gene,n_cells,cells,direction,theme,pathway
RNPS1,4,"L6 IT Car3,Pvalb,Sncg,Sst",down,axon_guidance,REACTOME_SIGNALING_BY_ROBO_RECEPTORS
RPL10A,4,"L6 IT Car3,Pvalb,Sncg,Sst",down,axon_guidance,REACTOME_SIGNALING_BY_ROBO_RECEPTORS
RPL13,4,"L6 IT Car3,Micro-PVM,Pvalb,Sst",down,axon_guidance,REACTOME_SIGNALING_BY_ROBO_RECEPTORS
RPL23,4,"L6 IT Car3,Micro-PVM,Sncg,Sst",down,axon_guidance,REACTOME_SIGNALING_BY_ROBO_RECEPTORS
RPL23A,4,"L6 IT Car3,Pvalb,Sncg,Sst",down,axon_guidance,REACTOME_SIGNALING_BY_ROBO_RECEPTORS
RPL24,4,"L6 IT Car3,Pvalb,Sncg,Sst",down,axon_guidance,REACTOME_SIGNALING_BY_ROBO_RECEPTORS
RPL37A,4,"L6 IT Car3,Micro-PVM,Sncg,Sst",down,axon_guidance,REACTOME_SIGNALING_BY_ROBO_RECEPTORS
RPL5,4,"L6 IT Car3,Micro-PVM,Sncg,Sst",down,axon_guidance,REACTOME_SIGNALING_BY_ROBO_RECEPTORS
RPL6,4,"L6 IT Car3,Pvalb,Sncg,Sst",down,axon_guidance,REACTOME_SIGNALING_BY_ROBO_RECEPTORS
RPL7A,4,"L6 IT Car3,Pvalb,Sncg,Sst",down,axon_guidance,REACTOME_SIGNALING_BY_ROBO_RECEPTORS
RPL8,4,"L6 IT Car3,Micro-PVM,Sncg,Sst",down,axon_guidance,REACTOME_SIGNALING_BY_ROBO_RECEPTORS
RPS15,4,"L6 IT Car3,Micro-PVM,Sncg,Sst",down,axon_guidance,REACTOME_SIGNALING_BY_ROBO_RECEPTORS
RPS18,4,"L6 IT Car3,Pvalb,Sncg,Sst",down,axon_guidance,REACTOME_SIGNALING_BY_ROBO_RECEPTORS
RPS20,4,"L6 IT Car3,Micro-PVM,Sncg,Sst",down,axon_guidance,REACTOME_SIGNALING_BY_ROBO_RECEPTORS
RPS24,4,"L6 IT Car3,Micro-PVM,Pvalb,Sst",down,axon_guidance,REACTOME_SIGNALING_BY_ROBO_RECEPTORS
