gene,xen_celltype,set,meta_est,meta_padj,xen_logFC,xen_p,xen_logCPM,ctrl_med,scz_med,ctrl_mean,scz_mean,ctrl_pctpos,scz_pctpos,n_ctrl,n_scz,concord,raw_up
PAQR6,Astrocyte,concordance,-0.206627685396684,0.047195001140429,-0.0246697287191128,0.775328079243616,10.42,1,1,1.22,1.17,61.0,59.0,71659,67822,True,False
SERPING1,Astrocyte,concordance,0.507892192799225,0.0047963672410407,0.8330356255568955,0.0104467427149186,9.36,0,0,0.42,0.9,29.0,40.0,71659,67822,True,True
ACTA2,Astrocyte,concordance,0.405000072299974,0.0249169719582669,0.0695170013943601,0.6144863598135483,9.23,0,0,0.52,0.56,37.0,38.0,71659,67822,True,True
CHI3L1,Astrocyte,concordance,0.547057754573593,0.0973996728917574,1.9904942928541536,0.0030744922351665,10.94,0,0,0.61,3.97,26.0,40.0,71659,67822,True,True
AKAP8L,Astrocyte,concordance,-0.121585512537678,0.0218712980430324,0.0245584726664854,0.87573214004021,8.65,0,0,0.35,0.34,27.0,26.0,71659,67822,False,False
IFITM3,Astrocyte,concordance,0.430462915832372,0.0911375877199536,-0.2269665756866276,0.5676860620653099,8.85,0,0,0.48,0.35,28.0,21.0,71659,67822,False,False
MOG,Astrocyte,concordance,-0.245007482900116,0.0589951444175498,-0.0522638728099602,0.650980403728537,7.59,0,0,0.17,0.17,12.0,11.0,71659,67822,True,False
UGT8,Astrocyte,concordance,-0.251100817990804,0.0947981123161659,-0.0568392087693559,0.6809532264251519,4.3,0,0,0.02,0.02,2.0,2.0,71659,67822,True,False
HMGB2,Astrocyte,concordance,0.25726718146777,0.0184346412088704,0.1758308605404786,0.2981385898370381,9.22,0,0,0.5,0.6,35.0,38.0,71659,67822,True,True
VGF,Chandelier,concordance,-1.04241772228702,0.0020458341639626,-0.7519300172095577,0.025159696358764,12.52,2,1,6.54,3.85,75.0,58.0,5802,5296,True,False
SMAD1,Chandelier,concordance,0.240668909469538,0.0612197577409265,0.15893675457683,0.0924243555926623,8.18,0,0,0.25,0.26,20.0,21.0,5802,5296,True,True
FABP3,Chandelier,concordance,0.254155391284715,0.0691104452500655,-0.0121738322504993,0.8787696314445366,10.71,1,1,1.59,1.45,63.0,60.0,5802,5296,False,False
IRS2,Chandelier,concordance,0.228065745787852,0.0202786341487675,-0.0788456566163596,0.2892962532655574,11.03,1,1,2.07,1.73,73.0,69.0,5802,5296,False,False
RASGRF2,Chandelier,concordance,-0.15581263052177,0.0691104452500655,-0.1196696452413614,0.0696651262657542,13.14,6,4,8.82,7.46,90.0,88.0,5802,5296,True,False
TNFSF10,Endothelial,concordance,-0.633742366347256,0.0016414881138867,-0.6805141189979477,0.0101600674628951,10.9,1,0,2.07,0.76,64.0,36.0,16687,19566,True,False
ABCG2,Endothelial,concordance,-0.481613966493963,0.0026646345524991,-0.297416634697668,0.0441902727927677,13.33,6,3,9.32,5.68,92.0,86.0,16687,19566,True,False
DACH1,Endothelial,concordance,-0.393508115098583,0.0522207705112699,-0.2454826654281729,0.0569499325871796,8.67,0,0,0.35,0.22,27.0,18.0,16687,19566,True,False
RTF2,L2/3 IT,concordance,-0.0774001793834642,0.0986109881265046,-0.0405724997184969,0.502351890467797,11.46,3,3,3.53,3.19,86.0,84.0,63011,53884,True,False
CRYM,L2/3 IT,concordance,-0.149721748325495,0.0587410276488952,-0.0544819600627039,0.6550248287784022,11.34,2,2,3.38,2.98,75.0,73.0,63011,53884,True,False
PPM1K,L2/3 IT,concordance,0.119165976564842,0.0257435443196069,0.070639071628302,0.586969042792193,8.9,0,0,0.59,0.59,38.0,38.0,63011,53884,True,False
FSTL4,L2/3 IT,concordance,-0.158312961682833,0.0076409558487921,-0.0346585203627793,0.6789406012293633,10.08,1,1,1.35,1.23,57.0,55.0,63011,53884,True,False
PMP22,L2/3 IT,concordance,0.199216886616266,0.0395111008222358,0.1189455260673426,0.3604891199857463,7.82,0,0,0.27,0.27,20.0,21.0,63011,53884,True,False
MOG,L2/3 IT,concordance,-0.22543220367643,0.0350500997340672,-0.3047704962792009,0.0342584880553168,7.58,0,0,0.26,0.19,16.0,13.0,63011,53884,True,False
BCAS1,L2/3 IT,concordance,-0.166060997250417,0.0584504879109125,0.1703554098789761,0.0479422508134451,7.58,0,0,0.23,0.23,18.0,18.0,63011,53884,False,False
HMGB2,L2/3 IT,concordance,0.154239410363312,0.0427092882002999,0.0470421416646992,0.674359280989365,8.8,0,0,0.57,0.53,37.0,36.0,63011,53884,True,False
DDIT4,L2/3 IT,concordance,0.371662234923871,0.0735303661285265,0.2999997592469708,0.0415244498398891,8.76,0,0,0.48,0.55,32.0,36.0,63011,53884,True,True
CARTPT,L2/3 IT,concordance,0.533888110405772,0.001724818983211,-0.23141134810646,0.40059724124648,10.18,0,0,1.62,1.25,27.0,24.0,63011,53884,False,False
BDNF,L2/3 IT,concordance,-0.226301422805704,0.0344885277367823,-0.7187312623471982,0.0014795243570566,8.31,0,0,0.51,0.29,29.0,18.0,63011,53884,True,False
OSBPL1A,L2/3 IT,concordance,0.0964291474151736,0.0761452024232127,-0.1584009982035742,0.0162102922779969,12.6,6,5,8.25,6.81,95.0,92.0,63011,53884,False,False
RASD1,L2/3 IT,concordance,0.285129287352807,0.0986109881265046,0.103375312000154,0.6543911352288443,10.68,1,1,1.99,2.09,68.0,68.0,63011,53884,True,True
TNK2,L2/3 IT,concordance,-0.0874169015548079,0.0653905348697227,0.0148257477958387,0.859038690366973,11.73,3,3,4.2,3.98,86.0,85.0,63011,53884,False,False
CALB1,L2/3 IT,concordance,0.268625766483772,0.0569373517043372,0.2627258544543632,0.0482171467830796,9.85,0,0,1.11,1.17,41.0,42.0,63011,53884,True,True
SMAD1,L2/3 IT,concordance,0.141709328907533,0.0215478930410587,0.1163912681123926,0.1628970283847137,8.46,0,0,0.42,0.44,31.0,31.0,63011,53884,True,True
PPM1K,L4 IT,concordance,0.0899755695377865,0.0306564079384498,0.0093589497419412,0.9393607111812996,9.0,0,0,0.55,0.5,37.0,34.0,18482,17241,True,False
FSTL4,L4 IT,concordance,-0.148963817472518,0.0096545987482319,0.0581742354261006,0.5508895833484149,10.59,1,1,1.64,1.54,60.0,56.0,18482,17241,False,False
MAPK3,L4 IT,concordance,0.197408812883491,0.0495088474750599,0.3713989085251463,0.0083364503448017,9.12,0,0,0.5,0.6,36.0,41.0,18482,17241,True,True
SMAD1,L4 IT,concordance,0.165391669492325,0.0028360293587167,0.0765580990858844,0.4365092597745384,8.36,0,0,0.34,0.33,26.0,25.0,18482,17241,True,False
VGF,L4 IT,concordance,-0.381926399216921,0.0495088474750599,-0.3506578080819155,0.0528594545996016,12.58,4,2,7.28,5.3,86.0,77.0,18482,17241,True,False
BDNF,L4 IT,concordance,-0.337127494577122,0.0089294990641332,-0.6748684094076784,0.0008688419595267829,8.58,0,0,0.52,0.3,29.0,19.0,18482,17241,True,False
ATP2B4,L4 IT,concordance,0.188413339798999,0.0256233350861571,0.1077580358774057,0.218538350146653,11.01,1,1,2.05,2.11,62.0,64.0,18482,17241,True,True
TNK2,L4 IT,concordance,-0.0845678479983978,0.0859817875630226,-0.0049053279360887,0.9634939703262494,11.69,3,2,3.54,3.15,85.0,84.0,18482,17241,True,False
OSBPL1A,L4 IT,concordance,0.0823827501102928,0.0531484081435647,-0.1579027243236921,0.0247112034109334,12.63,6,4,7.29,5.83,93.0,89.0,18482,17241,False,False
CHI3L1,L5 IT,concordance,-0.409541688577392,0.0015660424930872,-0.0686008179531559,0.7445882839399522,9.55,0,0,1.12,1.06,48.0,45.0,27837,25326,True,False
PPM1K,L5 IT,concordance,0.0971966352871376,0.0404961684168057,0.0792612964954549,0.5615139958105433,9.31,1,1,0.95,0.97,53.0,55.0,27837,25326,True,True
TRABD2A,L5 IT,concordance,-0.131121797457009,0.0336832650207874,0.0683446055534222,0.6354986253168973,8.72,0,0,0.62,0.63,34.0,36.0,27837,25326,False,True
TAGLN,L5 IT,concordance,0.17271970273128,0.0620060809509693,0.2811789450976243,0.0481945620128326,7.91,0,0,0.31,0.4,25.0,30.0,27837,25326,True,True
ABCA2,L5 IT,concordance,-0.102979792742602,0.042304462938051,-0.0579018854913525,0.475512459880189,11.63,4,4,4.77,4.57,93.0,93.0,27837,25326,True,False
FILIP1,L5 IT,concordance,0.2201948211486,0.0686636977786954,0.4423641019373995,0.0032376395704766,8.78,0,0,0.56,0.74,33.0,39.0,27837,25326,True,True
FSTL4,L5 IT,concordance,-0.191990912208849,0.0009191136522729,0.1042597283072281,0.2200566386189155,10.56,2,2,2.15,2.32,74.0,76.0,27837,25326,False,True
OLR1,L5 IT,concordance,-0.260771362783672,0.0439602001198413,-0.0707131739717843,0.6332464793982926,6.86,0,0,0.19,0.15,13.0,11.0,27837,25326,True,False
ARRDC3,L5 IT,concordance,0.129166242690278,0.0796880645439504,0.2077493967792776,0.0541185898397104,8.88,0,0,0.66,0.74,43.0,46.0,27837,25326,True,True
VGF,L5 IT,concordance,-0.558767361665207,0.0012258240223186,-0.3569416881602882,0.0991133478675266,11.77,3,2,5.76,4.53,88.0,78.0,27837,25326,True,False
CALB1,L5 IT,concordance,0.312042487273748,0.0984841056279355,-0.1694135800839019,0.3309810513625769,9.7,0,0,1.35,1.13,35.0,29.0,27837,25326,False,False
OSBPL1A,L5 IT,concordance,0.0811276783327651,0.0932186070474703,-0.1332590552387206,0.0528391813359376,13.13,13,11,14.32,12.48,99.0,99.0,27837,25326,False,False
BDNF,L5 IT,concordance,-0.406054253173907,0.0242110262751773,-0.3634345831669627,0.1137849902926053,6.68,0,0,0.17,0.14,11.0,9.0,27837,25326,True,False
TNK2,L5 IT,concordance,-0.106100527424417,0.0187534915396484,-0.0146323090109142,0.8970374680725741,12.04,5,6,6.14,6.13,95.0,95.0,27837,25326,True,False
CYP46A1,L5 IT,concordance,0.113273277907732,0.0142790117859055,0.0169357946721429,0.8130720300157934,11.87,4,4,5.64,5.42,93.0,93.0,27837,25326,True,False
NPTX2,L5 IT,concordance,-0.547036606705866,0.0911944362272191,-0.2036746151860144,0.4664569146400743,10.51,1,0,2.34,2.09,57.0,50.0,27837,25326,True,False
SMAD1,L5 IT,concordance,0.139400960916023,0.0103037385364278,0.1843916361229124,0.0562784786200015,8.47,0,0,0.49,0.57,36.0,39.0,27837,25326,True,True
CAMK2N1,L6 IT Car3,concordance,-0.209621135206199,0.0876012335259177,-0.2227454202003496,0.031657284546732,14.82,28,25,36.18,31.81,100.0,100.0,2469,3052,True,False
CALB1,L6 IT,concordance,0.489145118575738,0.0380492550916892,0.409299036626204,0.0487918123764619,8.02,0,0,0.33,0.33,16.0,16.0,10737,11911,True,False
SMAD1,L6 IT,concordance,0.192419617476897,0.0031015333872534,0.3112757226390294,0.0111119681746887,8.65,0,0,0.49,0.58,35.0,39.0,10737,11911,True,True
PPM1K,L6 IT,concordance,0.129560196196176,0.043844036842468,0.1208112885428872,0.4746129469457987,9.03,0,0,0.68,0.69,42.0,43.0,10737,11911,True,True
FSTL4,L6 IT,concordance,-0.266831280521342,0.0063144042959168,0.0408300143856731,0.6647636152807933,10.58,1,1,1.97,2.01,70.0,69.0,10737,11911,False,True
PECAM1,L6b,concordance,0.321904511814421,0.0156128054144654,0.5122924520867974,0.0140064274017862,8.28,0,0,0.36,0.47,25.0,30.0,3372,4539,True,True
PPM1K,L6b,concordance,0.200119356340366,0.0109382642264244,0.0801464741338041,0.6842548692650877,8.81,0,0,0.62,0.59,40.0,40.0,3372,4539,True,False
SESN1,L6b,concordance,0.149703295499708,0.06169072247605,0.4157619578591099,0.0320868616081347,10.7,1,2,2.09,2.52,71.0,74.0,3372,4539,True,True
ADCYAP1R1,L6b,concordance,0.158241872344008,0.0764415136652769,0.2139444774701688,0.0945224390260954,10.92,2,2,2.36,2.79,78.0,78.0,3372,4539,True,True
PDXK,L6b,concordance,0.149543529323623,0.0473876760122206,-0.0123064525792904,0.893009497651108,11.18,2,2,3.01,3.04,86.0,85.0,3372,4539,False,True
FILIP1,L6b,concordance,-0.217959371527311,0.0986641022993873,-0.1136621068543198,0.4201591476387196,12.15,5,4,6.49,5.9,88.0,86.0,3372,4539,True,False
ATP2B4,L6b,concordance,0.152565644889663,0.0604190793967589,0.1713650487537275,0.1464414329383148,13.18,10,10,12.13,12.91,99.0,98.0,3372,4539,True,True
PPM1K,Lamp5,concordance,0.0863140882322448,0.0721998068673213,0.0423336199134194,0.7338733903429894,9.06,0,0,0.59,0.6,39.0,39.0,7576,6706,True,True
BCAS1,Lamp5,concordance,-0.267699188946468,0.053511754051654,0.2675806872633411,0.0249217960804307,8.34,0,0,0.33,0.38,25.0,28.0,7576,6706,False,True
VGF,Lamp5,concordance,-0.85273588806981,0.0108254140774522,-0.9007115678254864,0.0076758343422112,10.3,1,0,1.75,1.03,52.0,37.0,7576,6706,True,False
OSBPL1A,Lamp5,concordance,0.105428452240541,0.0255494911665103,-0.0735045628376785,0.2047976132270718,12.51,6,5,6.76,6.23,92.0,92.0,7576,6706,False,False
COMT,Lamp5,concordance,-0.148445473795547,0.0142966345802516,0.0431400943423058,0.6340700744978033,8.66,0,0,0.44,0.44,34.0,34.0,7576,6706,False,False
DEAF1,Lamp5,concordance,-0.0907978089138006,0.0731107947740775,0.1659351012216328,0.1042846549964085,9.06,0,0,0.57,0.62,40.0,43.0,7576,6706,False,True
NOS1,Lamp5,concordance,-0.174340083987989,0.0618047304414141,0.0251933682100946,0.8519191319700413,10.25,0,0,1.33,1.37,28.0,28.0,7576,6706,False,True
TNK2,Lamp5,concordance,-0.104095263412436,0.0420781499032538,0.0275698148538387,0.8063910678833177,11.72,3,3,3.72,3.72,84.0,86.0,7576,6706,False,False
GNAL,Lamp5,concordance,0.113903980549427,0.0743607025805206,0.0561796941298317,0.4663491085055363,11.07,2,2,2.39,2.39,76.0,77.0,7576,6706,True,False
P2RY12,Microglia-PVM,concordance,-0.399404165028079,0.0018791336608366,-0.6306520243767857,0.0182088044214202,12.52,5,2,6.95,3.91,83.0,68.0,29331,26061,True,False
CAPZB,Microglia-PVM,concordance,-0.187073382767407,0.0032578177307788,-0.0030766223752569,0.9718010505598996,10.69,1,1,1.53,1.3,65.0,58.0,29331,26061,True,False
A2M,Microglia-PVM,concordance,-0.275217664247304,0.0615093206790214,-0.4492334383600456,0.0080483848575489,12.09,3,1,4.75,2.98,81.0,69.0,29331,26061,True,False
ITGAX,Microglia-PVM,concordance,-0.270029899817266,0.0348718826441305,-0.3032337340488857,0.0807016754215764,11.45,2,1,2.67,1.98,72.0,62.0,29331,26061,True,False
P2RY13,Microglia-PVM,concordance,-0.39535777149111,0.00310146847415,-0.6073966391893701,0.0147970614970337,10.28,1,0,1.53,0.82,57.0,40.0,29331,26061,True,False
RGS10,Microglia-PVM,concordance,-0.192060207762146,0.0199879471293029,-0.1739102293690543,0.2029327066830314,11.03,1,1,2.11,1.55,70.0,59.0,29331,26061,True,False
CX3CR1,Microglia-PVM,concordance,-0.543691140282205,0.0005670755998284,-0.3435063092508661,0.0050136684164804,12.93,6,3,8.16,5.5,88.0,81.0,29331,26061,True,False
LST1,Microglia-PVM,concordance,-0.181596694233929,0.0836564152643235,-0.107749295715615,0.4989935209515269,8.91,0,0,0.46,0.39,33.0,27.0,29331,26061,True,False
MTURN,Microglia-PVM,concordance,-0.291716914956079,0.0014436337076141,0.0562862688634115,0.4501857007289965,12.43,4,3,4.71,4.18,91.0,89.0,29331,26061,False,False
OLR1,Microglia-PVM,concordance,-0.44790029739093,0.0348718826441305,-0.4556722524560749,0.0447566256944478,9.97,0,0,1.04,0.61,49.0,34.0,29331,26061,True,False
SELPLG,Microglia-PVM,concordance,-0.416352006971321,0.0023752143208985,-0.3927863074089894,0.1218659515945523,10.38,1,0,1.42,0.95,59.0,43.0,29331,26061,True,False
PECAM1,Microglia-PVM,concordance,-0.182633689037016,0.0528941664566587,-0.2364465774657925,0.0688137566030433,9.36,0,0,0.64,0.49,39.0,30.0,29331,26061,True,False
TMEM119,Microglia-PVM,concordance,-0.237367595748283,0.0497023135622988,-0.381236939932954,0.0665558819825717,10.77,1,0,1.89,1.26,62.0,46.0,29331,26061,True,False
C1QA,Microglia-PVM,concordance,0.294708702174264,0.0178620305069416,0.0595602265681904,0.7480991262095122,11.75,2,2,2.85,2.92,80.0,74.0,29331,26061,True,True
C1QB,Microglia-PVM,concordance,0.322797598926336,0.0405379013146685,0.1572278809000957,0.5091789067884038,12.34,3,3,4.03,4.52,84.0,81.0,29331,26061,True,True
EDIL3,Microglia-PVM,concordance,-0.210820777407254,0.0435525865212143,-0.0639555967828905,0.6287098811010988,8.69,0,0,0.38,0.3,23.0,20.0,29331,26061,True,False
SLC44A1,Microglia-PVM,concordance,-0.147536518062815,0.0380748320103267,-0.3019825655591697,0.0605372767602587,8.63,0,0,0.39,0.28,28.0,21.0,29331,26061,True,False
KCNK1,Oligodendrocyte,concordance,-0.181453805474866,0.0178636011577986,-0.3686583796817523,0.0027855427196816,10.5,1,1,1.46,1.04,62.0,51.0,64892,51900,True,False
DCC,Oligodendrocyte,concordance,-0.264442965442228,0.011625253859989,-0.0065591456258645,0.9371963732245076,7.51,0,0,0.16,0.14,13.0,12.0,64892,51900,True,False
CNDP1,Oligodendrocyte,concordance,-0.299630329549649,1.18779314663786e-06,-0.2752308672296068,0.036311688541751,12.76,6,4,6.79,5.31,92.0,86.0,64892,51900,True,False
TXNIP,Oligodendrocyte,concordance,0.430108154250617,0.0192018715698867,0.2078670007120023,0.424623342019107,10.88,1,1,1.42,1.75,56.0,59.0,64892,51900,True,True
HHIP,Oligodendrocyte,concordance,-0.160406328399727,0.0784399472836056,-0.2638876073653914,0.0156476379192711,11.64,3,2,3.13,2.45,82.0,73.0,64892,51900,True,False
OGA,Oligodendrocyte,concordance,0.0914909806103886,0.0596753438185918,0.0137502529023658,0.8550170226251737,11.16,2,1,2.02,1.89,77.0,74.0,64892,51900,True,False
SV2A,Oligodendrocyte,concordance,-0.127809186207267,0.0715668777179676,0.0112596386310026,0.8734450966085652,10.79,1,1,1.57,1.32,59.0,55.0,64892,51900,False,False
ERBB4,Oligodendrocyte,concordance,-0.135051957907784,0.0727211712720268,0.0605373623917111,0.6190630054278312,9.11,0,0,0.49,0.47,32.0,31.0,64892,51900,False,False
KIF5A,Oligodendrocyte,concordance,-0.152511788447482,0.0496312254612017,0.179425505589709,0.0817573537234405,13.25,7,7,8.03,7.91,97.0,97.0,64892,51900,False,False
ITM2A,Oligodendrocyte,concordance,-0.376571818759786,0.0245160906675716,-0.5370288469262822,0.0025309270096308,10.8,1,1,1.85,1.29,64.0,51.0,64892,51900,True,False
FSCN1,Oligodendrocyte,concordance,-0.131217521742629,0.089006839509863,-0.3634841871848182,0.0005254483037402233,11.81,3,2,3.55,2.61,85.0,75.0,64892,51900,True,False
LMO4,Oligodendrocyte,concordance,-0.147299921400423,0.0150867445868598,-0.1554443103521881,0.0566967304410471,11.7,2,2,3.14,2.57,79.0,74.0,64892,51900,True,False
PPM1K,Oligodendrocyte,concordance,0.173039740687692,0.0736726830592529,0.0920008324648263,0.4080685198340475,8.21,0,0,0.26,0.24,22.0,20.0,64892,51900,True,False
GRIN2A,Oligodendrocyte,concordance,-0.333985528190416,0.0127470402077605,0.099584297452247,0.5361389158109426,7.56,0,0,0.16,0.14,13.0,12.0,64892,51900,False,False
TF,Oligodendrocyte,concordance,-0.121615982135858,0.0182595036603032,0.0573890523260201,0.504977556260909,14.12,14,12,15.62,14.55,98.0,97.0,64892,51900,False,False
ARRDC3,Oligodendrocyte,concordance,0.317379208523548,0.0215310962578686,0.261010688125912,0.1344681210917771,8.87,0,0,0.37,0.45,28.0,31.0,64892,51900,True,True
ITGB4,Oligodendrocyte,concordance,0.409696261141204,0.0454219710879624,0.2252322966925652,0.518377163606186,5.72,0,0,0.04,0.04,4.0,4.0,64892,51900,True,False
DDIT4,Oligodendrocyte,concordance,0.371126542955937,0.0730845534077999,0.3139143889264808,0.1173172555014695,9.12,0,0,0.44,0.48,32.0,33.0,64892,51900,True,True
HMGB2,Oligodendrocyte,concordance,0.24055290064626,0.0116146741588104,0.2338988098604021,0.1582531416888266,8.77,0,0,0.35,0.4,27.0,29.0,64892,51900,True,True
CRHBP,Oligodendrocyte,concordance,-0.237837811157281,0.038089232588797,-0.1154396210471643,0.5390673627536523,7.57,0,0,0.18,0.15,15.0,12.0,64892,51900,True,False
FILIP1,Oligodendrocyte,concordance,0.164534927994609,0.0738638948423015,0.3368868783784743,0.02147092368636,7.68,0,0,0.16,0.18,13.0,15.0,64892,51900,True,True
ZNF804A,Oligodendrocyte,concordance,-0.232557454102231,0.089006839509863,-0.1033611497500254,0.4107270990775293,5.27,0,0,0.04,0.03,3.0,3.0,64892,51900,True,False
TAGLN,Oligodendrocyte,concordance,0.234394393606999,0.0074276830645477,0.4288607890636419,0.0027533919837334,7.8,0,0,0.17,0.21,14.0,17.0,64892,51900,True,True
HIF3A,OPC,concordance,0.686477251963683,0.0521828815325559,0.8592801130760108,0.0107397735542468,11.47,1,2,1.61,2.84,61.0,72.0,14769,13842,True,True
FKBP5,OPC,concordance,0.65586578543474,0.0914829756457525,0.7850514070373281,0.0032218677020357,9.67,0,0,0.47,0.81,33.0,46.0,14769,13842,True,True
ZBTB16,OPC,concordance,0.364663835946056,0.0508118963756069,0.4568973074260041,0.000941839718340834,9.82,0,0,0.59,0.8,40.0,49.0,14769,13842,True,True
MT1E,OPC,concordance,0.374988862414495,0.0215047229195886,-0.0706277721709594,0.7114491153035092,8.16,0,0,0.23,0.21,19.0,17.0,14769,13842,False,False
DDIT4,OPC,concordance,0.536853559016015,0.0494690506481376,0.3028580401228559,0.08681820786221,9.99,0,0,0.71,0.85,44.0,48.0,14769,13842,True,True
ENPP2,OPC,concordance,-0.341736291440985,0.0090009878622458,-0.4046820289570617,0.0061486488353358,9.55,0,0,0.65,0.52,38.0,32.0,14769,13842,True,False
ITGB4,OPC,concordance,0.382459056471172,0.0142261951038691,0.175503627953824,0.5510995806486523,6.45,0,0,0.07,0.07,6.0,7.0,14769,13842,True,False
MT2A,OPC,concordance,0.300490812131939,0.0465188648654227,0.1396565899893945,0.4128691291449315,10.29,1,1,0.94,1.01,52.0,53.0,14769,13842,True,True
GFAP,OPC,concordance,0.374832001103912,0.0854000638541065,0.6437017415786525,0.0491349270115704,11.37,1,1,1.62,2.77,60.0,68.0,14769,13842,True,True
PPM1K,OPC,concordance,0.0960316412049985,0.0770112775756249,0.0230110074295491,0.8133047122904943,9.25,0,0,0.48,0.47,35.0,35.0,14769,13842,True,False
SERPING1,OPC,concordance,0.351318739155525,0.0090009878622458,0.2314337858767996,0.0505594359341214,8.6,0,0,0.28,0.33,22.0,25.0,14769,13842,True,True
ARRDC3,OPC,concordance,0.288218918241295,0.0494856533294126,0.180104230260702,0.1829547050997388,9.43,0,0,0.52,0.58,36.0,38.0,14769,13842,True,True
ABCA2,Pvalb,concordance,-0.103121696646033,0.0735345672449974,-0.0516848043992597,0.5000756160898134,11.64,4,4,4.28,4.3,92.0,92.0,11663,9340,True,True
MYL6,Pvalb,concordance,-0.16215917177025,0.0679413722637897,0.0087632391618123,0.9180112326605334,11.09,2,3,2.85,2.95,85.0,87.0,11663,9340,False,True
BCAS1,Pvalb,concordance,-0.276928999516186,0.0193798310370861,0.1354873522380691,0.2174938152890949,8.44,0,0,0.43,0.49,32.0,35.0,11663,9340,False,True
RASGRF2,Pvalb,concordance,-0.135870956885458,0.0217387754806457,-0.0681429006863062,0.3239887391382157,13.83,18,17,20.07,19.21,100.0,99.0,11663,9340,True,False
VGF,Pvalb,concordance,-0.600682919453112,0.036436775931697,-0.5878842163757352,0.0270298412500854,11.62,1,0,5.23,3.32,64.0,47.0,11663,9340,True,False
TNK2,Pvalb,concordance,-0.0955568492108731,0.052328374538219,-0.0036954083064477,0.975153530314444,12.03,5,5,5.36,5.64,93.0,95.0,11663,9340,True,True
SMAD1,Pvalb,concordance,0.185779341639527,0.0007528423437192,0.2973778142310349,0.0017718214987187,8.32,0,0,0.38,0.48,30.0,35.0,11663,9340,True,True
ALCAM,Pvalb,concordance,0.145004333782003,0.0246856063948368,-0.0416488022616188,0.7491693754713742,10.51,1,1,1.99,1.93,56.0,57.0,11663,9340,False,False
ATP2B4,Sst,concordance,0.211511064350211,0.0160084044708292,0.3238783131919651,0.001070736796787,10.31,1,1,1.25,1.39,52.0,55.0,14356,13242,True,True
SMAD1,Sst,concordance,0.224349332712827,6.58343348742902e-05,0.1372856717453751,0.0797673339984203,8.67,0,0,0.44,0.43,33.0,32.0,14356,13242,True,False
RASGRF2,Sst,concordance,-0.136317819168484,0.0367575304335924,-0.2442413409698997,0.0113250451468955,13.29,11,7,12.69,9.43,96.0,94.0,14356,13242,True,False
SST,Sst,concordance,-0.45816050414587,0.0487464074202476,-0.3179680656808681,0.052146713256982,15.04,36,23,40.54,31.05,98.0,95.0,14356,13242,True,False
BCAS1,Vip,concordance,-0.229910727173864,0.0477189244167195,0.1326973240239358,0.1769067150941387,8.32,0,0,0.34,0.36,26.0,27.0,13052,10807,False,True
PPM1K,Vip,concordance,0.112530974218193,0.0033553545135772,0.0965357923311356,0.3972791210217166,9.19,0,0,0.65,0.68,43.0,45.0,13052,10807,True,True
MOG,Vip,concordance,-0.265369177796018,0.0420369611376115,-0.2914414473481803,0.073413449712964,8.06,0,0,0.33,0.27,18.0,16.0,13052,10807,True,False
