cell_type,pathway,NES,padj,gene
Astro,REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES,-1.7064655499209485,0.007861231372697695,KCNJ6
Astro,REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES,-1.7064655499209485,0.007861231372697695,SYT1
Astro,REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES,-1.7064655499209485,0.007861231372697695,PPM1F
Astro,REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES,-1.7064655499209485,0.007861231372697695,CAMKK2
Astro,REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES,-1.7064655499209485,0.007861231372697695,PLCB3
Astro,REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES,-1.7064655499209485,0.007861231372697695,PICK1
Astro,REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES,-1.7064655499209485,0.007861231372697695,CALM1
Astro,REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES,-1.7064655499209485,0.007861231372697695,DNAJC5
Astro,REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES,-1.7064655499209485,0.007861231372697695,SLC1A2
Astro,REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES,-1.7064655499209485,0.007861231372697695,GLUL
Astro,REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES,-1.7064655499209485,0.007861231372697695,GAD1
Astro,REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES,-1.7064655499209485,0.007861231372697695,RASGRF2
Astro,REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES,-1.7064655499209485,0.007861231372697695,NEFL
Astro,REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES,-1.7064655499209485,0.007861231372697695,GABRG2
Astro,REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES,-1.7064655499209485,0.007861231372697695,GRIA3
Astro,REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES,-1.7064655499209485,0.007861231372697695,PRKACA
Astro,REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES,-1.7064655499209485,0.007861231372697695,GRIA4
Astro,REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES,-1.7064655499209485,0.007861231372697695,PRKACB
Chandelier,HALLMARK_MYC_TARGETS_V1,1.8940637717509088,0.0027107984511135384,EIF2S2
Chandelier,HALLMARK_MYC_TARGETS_V1,1.8940637717509088,0.0027107984511135384,PSMB2
Chandelier,HALLMARK_MYC_TARGETS_V1,1.8940637717509088,0.0027107984511135384,YWHAQ
Chandelier,HALLMARK_MYC_TARGETS_V1,1.8940637717509088,0.0027107984511135384,PTGES3
Chandelier,HALLMARK_MYC_TARGETS_V1,1.8940637717509088,0.0027107984511135384,HDAC2
Chandelier,HALLMARK_MYC_TARGETS_V1,1.8940637717509088,0.0027107984511135384,PSMC6
Chandelier,HALLMARK_MYC_TARGETS_V1,1.8940637717509088,0.0027107984511135384,PGK1
Chandelier,HALLMARK_MYC_TARGETS_V1,1.8940637717509088,0.0027107984511135384,PSMD3
Chandelier,HALLMARK_MYC_TARGETS_V1,1.8940637717509088,0.0027107984511135384,POLD2
Chandelier,HALLMARK_MYC_TARGETS_V1,1.8940637717509088,0.0027107984511135384,HSP90AB1
Chandelier,HALLMARK_MYC_TARGETS_V1,1.8940637717509088,0.0027107984511135384,XPOT
Chandelier,HALLMARK_MYC_TARGETS_V1,1.8940637717509088,0.0027107984511135384,RPS2
Chandelier,HALLMARK_MYC_TARGETS_V1,1.8940637717509088,0.0027107984511135384,CUL1
Chandelier,HALLMARK_MYC_TARGETS_V1,1.8940637717509088,0.0027107984511135384,HPRT1
Chandelier,HALLMARK_MYC_TARGETS_V1,1.8940637717509088,0.0027107984511135384,G3BP1
Chandelier,HALLMARK_MYC_TARGETS_V1,1.8940637717509088,0.0027107984511135384,SET
Chandelier,HALLMARK_MYC_TARGETS_V1,1.8940637717509088,0.0027107984511135384,NCBP1
