genes,cell_type,meta_est,meta_se,meta_p,meta_padj,xen_logFC,xen_p,xen_FDR,class,concordant,both_sig,xen_sig,combined,tag
CRYM,L2_3 IT,-0.149721748325495,0.0473980300436877,0.00158410407362609,0.0587410276488952,-0.02935733443043567,0.8140308157365638,0.9414186936790416,Excitatory,TRUE,FALSE,FALSE,1.320417614214336,CRYM (L2_3 IT)
MOG,Astro,-0.245007482900116,0.0842413593310185,0.00363284535183517,0.0589951444175498,0.02472583411533455,0.8400558520879629,0.930109261919469,Glia,FALSE,FALSE,FALSE,1.3048755698049483,MOG (Astro)
OGA,Oligo,0.0914909806103886,0.0289702019064027,0.00158797576875049,0.0596753438185918,0.01427552075424851,0.8483458323272447,0.9288458018181512,Glia,TRUE,FALSE,FALSE,1.2956321395109123,OGA (Oligo)
ATP2B4,L6b,0.152565644889663,0.046333464429775,9.9204045741441e-4,0.0604190793967589,0.0718723458292196,0.4847425253841995,0.8488602682544618,Excitatory,TRUE,FALSE,FALSE,1.5333147752574714,ATP2B4 (L6b)
CNN3,VLMC,0.241494165846653,0.0714747342166357,7.2820240274826e-4,0.0612003011825728,0.1377678156761705,0.3203737153198985,0.7926266112077107,Glia,TRUE,FALSE,FALSE,1.7075895628732756,CNN3 (VLMC)
SMAD1,Chandelier,0.240668909469538,0.069725672654206,5.5716132994587e-4,0.0612197577409265,0.23577508649408968,0.01693029671392323,0.2399726827669969,Inhibitory,TRUE,TRUE,TRUE,2.9844438238720796,SMAD1 (Chandelier)
A2M,Micro-PVM,-0.275217664247304,0.100496295466657,0.00617041759715632,0.0615093206790214,-0.4280288909555942,0.01156978307490901,0.20243861061314888,Glia,TRUE,TRUE,TRUE,3.147733853063373,A2M (Micro-PVM)
SESN1,L6b,0.149703295499708,0.0456932067871175,0.00105187843817704,0.06169072247605,0.1961807346884588,0.27519847849221735,0.7383666733282497,Excitatory,TRUE,FALSE,FALSE,1.7701341151330543,SESN1 (L6b)
NOS1,Lamp5,-0.174340083987989,0.0530495706873132,0.0010149055218319,0.0618047304414141,0.03872035821299811,0.7573728781866296,0.9435327586567582,Inhibitory,FALSE,FALSE,FALSE,1.3296685345792307,NOS1 (Lamp5)
TAGLN,L5 IT,0.17271970273128,0.0563721203585762,0.00218456856959843,0.0620060809509693,0.3230251147176131,0.04387338618203466,0.4393895594582252,Excitatory,TRUE,TRUE,TRUE,2.565364562166879,TAGLN (L5 IT)
TNK2,L2_3 IT,-0.0874169015548079,0.0281474288789893,0.00189842159927843,0.0653905348697227,0.04426093194222484,0.6191728873860279,0.818290159541006,Excitatory,FALSE,FALSE,FALSE,1.3926731792449787,TNK2 (L2_3 IT)
MYL6,Pvalb,-0.16215917177025,0.0508407207847753,0.00142493024656145,0.0679413722637897,0.01527640865432564,0.8705247493605358,0.95689404723052085,Inhibitory,FALSE,FALSE,FALSE,1.2280845628084698,MYL6 (Pvalb)
FILIP1,L5 IT,0.2201948211486,0.0734849869724896,0.00273134104515161,0.0686636977786954,0.4584941561011841,0.00200038591198398,0.1583466237592745,Excitatory,TRUE,TRUE,TRUE,3.8621590247109188,FILIP1 (L5 IT)
FABP3,Chandelier,0.254155391284715,0.0746269628128628,6.6000018830703e-4,0.0691104452500655,0.03692706645446138,0.6100697929644601,0.8569784289803867,Inhibitory,TRUE,FALSE,FALSE,1.375076787202556,FABP3 (Chandelier)
RASGRF2,Chandelier,-0.15581263052177,0.04572144400191,6.5472639333285e-4,0.0691104452500655,-0.09053898251129598,0.12600159795116744,0.4493550963077778,Inhibitory,TRUE,FALSE,FALSE,2.060080256170653,RASGRF2 (Chandelier)
SV2A,Oligo,-0.127809186207267,0.0416899902359845,0.00217157895404206,0.0715668777179676,-0.07644643098610303,0.19535806919879103,0.4868391342055043,Glia,TRUE,FALSE,FALSE,1.8544565752260238,SV2A (Oligo)
PPM1K,Lamp5,0.0863140882322448,0.0272043159323641,0.00150972003983236,0.0721998068673213,0.02233391741299882,0.8715895780034265,0.973404235067787,Inhibitory,TRUE,FALSE,FALSE,1.2011519356088514,PPM1K (Lamp5)
ERBB4,Oligo,-0.135051957907784,0.0441898752755486,0.00224180947622877,0.0727211712720268,0.08575534248683914,0.5098806024739738,0.7498244154029027,Glia,FALSE,FALSE,FALSE,1.4308706445354757,ERBB4 (Oligo)
DDIT4,Oligo,0.371126542955937,0.121824083633934,0.00231589040887904,0.0730845534077999,0.3380425046752334,0.09965408704502562,0.32852995729129325,Glia,TRUE,FALSE,FALSE,2.137679287678649,DDIT4 (Oligo)
DEAF1,Lamp5,-0.0907978089138006,0.0287381875280053,0.00158049434500993,0.0731107947740775,0.1950475127639941,0.07866023366899434,0.539645789124496,Inhibitory,FALSE,FALSE,FALSE,2.2402632627382504,DEAF1 (Lamp5)
DDIT4,L2_3 IT,0.371662234923871,0.12244196894178799,0.00240204621871811,0.0735303661285265,0.3712556027626713,0.01717442521321421,0.3254875851599397,Excitatory,TRUE,TRUE,TRUE,2.8986510603666096,DDIT4 (L2_3 IT)
ABCA2,Pvalb,-0.103121696646033,0.032777929516091,0.00165479774437343,0.0735345672449974,-0.03583784636240898,0.6637202800594348,0.8869445894964645,Inhibitory,TRUE,FALSE,FALSE,1.3115233713142123,ABCA2 (Pvalb)
PPM1K,Oligo,0.173039740687692,0.0568627641591337,0.00234145433700305,0.0736726830592529,0.08863018567499374,0.4441163526179206,0.6975649517558962,Glia,TRUE,FALSE,FALSE,1.4851967490016533,PPM1K (Oligo)
FILIP1,Oligo,0.164534927994609,0.0541291904753198,0.00236836747919368,0.0738638948423015,0.4719238819769921,4.5723212331278e-4,0.11623468196191136,Glia,TRUE,TRUE,TRUE,4.471431061138037,FILIP1 (Oligo)
GNAL,Lamp5,0.113903980549427,0.0362982609035325,0.00170104272077128,0.0743607025805206,0.07168418453850958,0.3812991800488472,0.7388524080363058,Inhibitory,TRUE,FALSE,FALSE,1.5473906441844871,GNAL (Lamp5)
OSBPL1A,L2_3 IT,0.0964291474151736,0.0319284323333562,0.00252636658662494,0.0761452024232127,-0.12278529781614672,0.06604180803683006,0.36593355431476454,Excitatory,FALSE,FALSE,FALSE,2.2985384999643665,OSBPL1A (L2_3 IT)
OSBPL1A,Vip,0.0615308638394142,0.0205331955155512,0.00272961141496866,0.0761605662142319,-0.05044653557881989,0.32964259684393615,0.6420489794738103,Inhibitory,FALSE,FALSE,FALSE,1.6002265091101828,OSBPL1A (Vip)
ADCYAP1R1,L6b,0.158241872344008,0.0500870911433679,0.00158129912416056,0.0764415136652769,0.1606580808092341,0.16738216923506827,0.675485674333191,Excitatory,TRUE,FALSE,FALSE,1.8929615298832871,ADCYAP1R1 (L6b)
PPM1K,OPC,0.0960316412049985,0.0305013946777823,0.00164147543836491,0.0770112775756249,-0.00118622221734444,0.99048920863178,0.9952675772668276,Glia,FALSE,FALSE,FALSE,1.117595923570448,PPM1K (OPC)
HHIP,Oligo,-0.160406328399727,0.0534642317067499,0.00269753670141812,0.0784399472836056,-0.2137086798789887,0.0500885018681731,0.2504425093408655,Glia,TRUE,FALSE,FALSE,2.405724664608184,HHIP (Oligo)
ARRDC3,L5 IT,0.129166242690278,0.0444035102772621,0.00362680083030442,0.0796880645439504,0.24241098655742155,0.03656915222096846,0.4393895594582252,Excitatory,TRUE,TRUE,TRUE,2.535491828900456,ARRDC3 (L5 IT)
LST1,Micro-PVM,-0.181596694233929,0.0699293433127122,0.00940803402919794,0.0836564152643235,-0.06447710153794574,0.688085498776734,0.8501552236952209,Glia,TRUE,FALSE,FALSE,1.2398583438784265,LST1 (Micro-PVM)
GFAP,OPC,0.374832001103912,0.120581364135095,0.00188014154308188,0.0854000638541065,0.8100467420328227,0.02672594966875136,0.22417881954165064,Glia,TRUE,TRUE,TRUE,2.6416086583924265,GFAP (OPC)
TNK2,L4 IT,-0.0845678479983978,0.0281244542670505,0.00263913404448761,0.0859817875630226,-0.02849353102611121,0.7816559205257796,0.9299226627365674,Excitatory,TRUE,FALSE,FALSE,1.1725779084065986,TNK2 (L4 IT)
CAMK2N1,L6 IT Car3,-0.209621135206199,0.0618564479504154,7.0190897095643e-4,0.0876012335259177,-0.16325424313831743,0.08044080487672095,0.4256762192979607,Excitatory,TRUE,FALSE,FALSE,2.152013371002477,CAMK2N1 (L6 IT Car3)
FSCN1,Oligo,-0.131217521742629,0.0450172361390951,0.00355884079311644,0.089006839509863,-0.3556614776785193,0.00149895038402763,0.11623468196191136,Glia,TRUE,TRUE,TRUE,3.8747893620585385,FSCN1 (Oligo)
ZNF804A,Oligo,-0.232557454102231,0.0798001453502413,0.00356545963871934,0.089006839509863,-0.09306013006320468,0.47110312272663857,0.7247740349640593,Glia,TRUE,FALSE,FALSE,1.377460636803511,ZNF804A (Oligo)
IFITM3,Astro,0.430462915832372,0.159770951902841,0.00705471898686128,0.0911375877199536,-0.5696555266075463,0.14818584023341627,0.5292351436907724,Glia,FALSE,FALSE,FALSE,1.869495763746151,IFITM3 (Astro)
NPTX2,L5 IT,-0.547036606705866,0.194620368919227,0.00494203299584385,0.0911944362272191,-0.13056295762441353,0.6594038866788116,0.9200984465285744,Excitatory,TRUE,FALSE,FALSE,1.220880154524103,NPTX2 (L5 IT)
FKBP5,OPC,0.65586578543474,0.214740758408563,0.00225645608148206,0.0914829756457525,0.7702143946425377,0.00341753427045791,0.1273031515745572,Glia,TRUE,TRUE,TRUE,3.5049468393450125,FKBP5 (OPC)
OSBPL1A,L5 IT,0.0811276783327651,0.029002832343499,0.00515423560680936,0.0932186070474703,-0.09097764205369228,0.21376532034029228,0.6726994748241816,Excitatory,FALSE,FALSE,FALSE,1.7005601410025424,OSBPL1A (L5 IT)
UGT8,Astro,-0.251100817990804,0.0939372257565149,0.00751604745707761,0.0947981123161659,-0.03966143661878216,0.7920695688551683,0.9194691919529182,Glia,TRUE,FALSE,FALSE,1.1244369824314735,UGT8 (Astro)
KIF1A,Astro,-0.104748640781958,0.0393327511196929,0.007741509297837,0.0963001831021191,0.08379433895455775,0.24980865088839443,0.6127251410508593,Glia,FALSE,FALSE,FALSE,1.6187654131787057,KIF1A (Astro)
CHI3L1,Astro,0.547057754573593,0.205892290399219,0.00788372406834286,0.0973996728917574,2.087437946767393,0.00247904141919068,0.14874248515144117,Glia,TRUE,TRUE,TRUE,3.6171587187491028,CHI3L1 (Astro)
CALB1,L5 IT,0.312042487273748,0.112656887281298,0.00560824070012402,0.0984841056279355,-0.10304621748575034,0.5677192078465012,0.8447486447270938,Excitatory,FALSE,FALSE,FALSE,1.2525002666174558,CALB1 (L5 IT)
RTF2,L2_3 IT,-0.0774001793834642,0.0271277346771869,0.00432847526444825,0.0986109881265046,-0.01288515295136439,0.8394233626714196,0.9449234966804158,Excitatory,TRUE,FALSE,FALSE,1.0820936371055212,RTF2 (L2_3 IT)
RASD1,L2_3 IT,0.285129287352807,0.0998979951238964,0.00431447756836235,0.0986109881265046,0.18606173115254104,0.43897265560349674,0.7108704402750325,Excitatory,TRUE,FALSE,FALSE,1.363637221250613,RASD1 (L2_3 IT)
FILIP1,L6b,-0.217959371527311,0.072378968111988,0.00260077438245362,0.0986641022993873,-0.19653063051504427,0.09657698689251204,0.5508442252940539,Excitatory,TRUE,FALSE,FALSE,2.020967179498899,FILIP1 (L6b)
