source,term_name,term_id,p_value,term_size,intersection_size,query_set,cell_type,dir
GO:BP,ARF protein signal transduction,GO:0032011,0.11800760566804672,19,5,Astro|down,Astro,down
GO:BP,glycerol biosynthetic process,GO:0006114,0.11800760566804672,2,2,Astro|down,Astro,down
GO:BP,negative regulation of neurogenesis,GO:0050768,0.11800760566804672,89,12,Astro|down,Astro,down
GO:BP,central nervous system myelination,GO:0022010,0.11800760566804672,19,5,Astro|down,Astro,down
GO:BP,regulation of neuronal synaptic plasticity,GO:0048168,0.11800760566804672,46,8,Astro|down,Astro,down
GO:BP,dendrite development,GO:0016358,0.11800760566804672,188,20,Astro|down,Astro,down
GO:BP,alditol biosynthetic process,GO:0019401,0.11800760566804672,2,2,Astro|down,Astro,down
GO:BP,medium-chain fatty acid transport,GO:0001579,0.11800760566804672,2,2,Astro|down,Astro,down
GO:BP,anatomical structure morphogenesis,GO:0009653,0.11909706074620122,1636,112,Astro|down,Astro,down
GO:BP,monocarboxylic acid biosynthetic process,GO:0072330,0.12020471873015794,126,15,Astro|down,Astro,down
GO:BP,neuromuscular process,GO:0050905,0.12203783886284572,102,13,Astro|down,Astro,down
GO:BP,secondary alcohol biosynthetic process,GO:1902653,0.12619441919655203,47,8,Astro|down,Astro,down
GO:BP,cholesterol biosynthetic process,GO:0006695,0.12619441919655203,47,8,Astro|down,Astro,down
GO:BP,establishment of localization,GO:0051234,0.1283628773181205,2905,185,Astro|down,Astro,down
GO:BP,organophosphate catabolic process,GO:0046434,0.12988601576535694,166,18,Astro|down,Astro,down
GO:BP,postsynapse organization,GO:0099173,0.12988601576535694,179,19,Astro|down,Astro,down
GO:BP,postsynaptic density assembly,GO:0097107,0.12988601576535694,20,5,Astro|down,Astro,down
GO:BP,regulation of biological process,GO:0050789,0.12988601576535694,6926,403,Astro|down,Astro,down
GO:BP,membrane organization,GO:0061024,0.12988601576535694,570,46,Astro|down,Astro,down
GO:BP,neuronal stem cell population maintenance,GO:0097150,0.12988601576535694,20,5,Astro|down,Astro,down
GO:BP,forebrain development,GO:0030900,0.12988601576535694,261,25,Astro|down,Astro,down
GO:BP,regulation of cell communication,GO:0010646,0.13077906525002936,2228,146,Astro|down,Astro,down
GO:BP,adult behavior,GO:0030534,0.13077906525002936,92,12,Astro|down,Astro,down
GO:BP,negative regulation of nervous system development,GO:0051961,0.13077906525002936,92,12,Astro|down,Astro,down
GO:BP,cerebral cortex radially oriented cell migration,GO:0021799,0.13697859798643727,29,6,Astro|down,Astro,down
GO:BP,signal release,GO:0023061,0.13697859798643727,263,25,Astro|down,Astro,down
GO:BP,fatty-acyl-CoA metabolic process,GO:0035337,0.13697859798643727,29,6,Astro|down,Astro,down
