pathway,pval,padj,log2err,ES,NES,size,cell_type
TCA cycle,0.06757065590005333,0.20271196770015998,0.047368595651860565,-0.40871711797415844,-1.3955767632317526,37,Oligo
Aerobic resp / OxPhos summary,0.6077868198500079,0.985803324099723,0.021034266817298992,0.18925288462720688,0.9503116762719095,178,OPC
Complex I (NADH:UQ),0.950591393339485,0.985803324099723,0.008922671664503015,-0.18636620078392374,-0.6557286557704965,37,OPC
Complex III (UQ:Cyt c),0.5706546795758414,0.985803324099723,0.017786800300081614,0.304523983327141,0.9165495581280276,16,OPC
Complex IV (CytOx),0.985803324099723,0.985803324099723,0.00887191027264756,-0.17564537843141173,-0.5386155260427977,21,OPC
Complex V (ATP syn),0.8704023697852382,0.985803324099723,0.009628467986705339,-0.2025084118093297,-0.753265769478144,48,OPC
Inner membrane,0.9239077074128621,0.985803324099723,0.007343760008411037,-0.1682426949757985,-0.8083526761169151,239,OPC
Mito import / fold,0.40850802426476235,0.985803324099723,0.016947144183384645,-0.23669354675075593,-1.0232765140375697,108,OPC
Mito translation,0.9337156902908644,0.985803324099723,0.008864675793686652,-0.18499895678991987,-0.7072646224740474,55,OPC
TCA cycle,0.3207096554077107,0.985803324099723,0.021202909005899252,-0.3320885684147257,-1.0965377623217227,28,OPC
Aerobic resp / OxPhos summary,0.014698998221140343,0.022048497331710513,0.11487110693886844,-0.30316220990225307,-1.4218701340305302,145,Pax6
Complex I (NADH:UQ),0.03028846153846154,0.03894230769230769,0.08070906983518304,-0.43102597616967253,-1.5228228533242207,33,Pax6
Complex III (UQ:Cyt c),0.014597100305750075,0.022048497331710513,0.11835056504464499,-0.6277172012254967,-1.6947242189311198,12,Pax6
Complex IV (CytOx),0.9388659184878914,0.9388659184878914,0.010685835175875092,-0.21080484230593827,-0.6269040871472173,17,Pax6
Complex V (ATP syn),0.008596542065101903,0.022048497331710513,0.15301626549247851,-0.43911568286054925,-1.63978749283805,42,Pax6
Inner membrane,0.0058933582787652015,0.022048497331710513,0.1822007888889006,-0.2999270859596788,-1.4589014822741992,189,Pax6
Mito import / fold,0.6495621881178797,0.7307574616326147,0.014058713324368947,-0.2055520436148882,-0.9098512450050723,100,Pax6
Mito translation,0.010624939631024824,0.022048497331710513,0.13749086496628224,-0.43310464606045057,-1.6173405082539871,42,Pax6
TCA cycle,0.011841847719710315,0.022048497331710513,0.1310290298035046,-0.543510156056749,-1.6897777105846035,20,Pax6
Aerobic resp / OxPhos summary,2.7914095955936983e-4,0.0012561343180171641,0.49849310876659025,-0.3199688125222966,-1.5408082431768046,272,Pvalb
Complex I (NADH:UQ),0.7027693776858189,0.7027693776858189,0.011473292120341441,-0.22380313026936463,-0.8679843763872841,63,Pvalb
Complex III (UQ:Cyt c),0.4845125253893026,0.5450765910629655,0.016109742606893233,-0.31685082345061905,-0.9790912176647987,22,Pvalb
Complex IV (CytOx),0.40498034076015726,0.5206890095487736,0.01780352781855698,-0.29033578765599377,-1.0340606994678894,41,Pvalb
Complex V (ATP syn),0.0375487900078064,0.06758782201405152,0.0650200415768111,-0.34526457770216856,-1.3989161430217756,79,Pvalb
Inner membrane,5.3579486663213244e-5,4.822153799689192e-4,0.557332238758646,-0.30973871133364916,-1.553095514618908,419,Pvalb
Mito import / fold,0.13738580463808855,0.20607870695713282,0.030997505547421245,-0.2559521577106439,-1.1774912009437168,180,Pvalb
Mito translation,0.008441318030359126,0.018992965568308033,0.1350328412862088,-0.3423666282149621,-1.4896911200697005,121,Pvalb
TCA cycle,0.004182384779399704,0.012547154338199112,0.20275555458043723,-0.48023681395912154,-1.70087009539926,40,Pvalb
Aerobic resp / OxPhos summary,8.678891204180557e-4,0.0039055010418812507,0.47727081536286214,-0.29997936886480187,-1.5132024739357957,226,Sncg
Complex I (NADH:UQ),0.13523021210553543,0.17386741556425986,0.038587843928285605,-0.31065717311519603,-1.237579869887469,55,Sncg
Complex III (UQ:Cyt c),0.013297872340425532,0.02992021276595745,0.1263653498099204,-0.5531472911882384,-1.676078778587969,18,Sncg
Complex IV (CytOx),0.7764910842385735,0.7764910842385735,0.013063228382016862,-0.2347929581998321,-0.8015476994557048,28,Sncg
Complex V (ATP syn),0.017857142857142856,0.03214285714285714,0.10969121226166542,-0.35959175951615224,-1.4962266582141235,68,Sncg
Inner membrane,2.8882447905425376e-4,0.002599420311488284,0.49849310876659025,-0.2887980179260601,-1.518661302790681,323,Sncg
Mito import / fold,0.04129700042247571,0.06194550063371356,0.07229067321930821,-0.2744927498465068,-1.3067619884613537,147,Sncg
Mito translation,0.2252989301447451,0.25346129641283827,0.02941325745564889,-0.2548797065413736,-1.1249381988128326,93,Sncg
TCA cycle,0.008692952499223843,0.02607885749767153,0.15755066126295172,-0.465089058565996,-1.6602670356038791,34,Sncg
Aerobic resp / OxPhos summary,3.084145361127479e-8,2.775730825014731e-7,0.7195128263389107,-0.38676511318831813,-1.9190692820124737,264,Sst
Complex I (NADH:UQ),0.010144062739749382,0.013042366379677778,0.1321367667182931,-0.39595278462589817,-1.579820303995597,62,Sst
Complex III (UQ:Cyt c),0.004836975994267288,0.008706556789681118,0.19697435040111158,-0.5689280789761328,-1.7745203495997828,21,Sst
Complex IV (CytOx),0.26896311760612385,0.26896311760612385,0.023857693062230644,-0.3109814473827337,-1.1306971991471746,40,Sst
