pathway,pval,padj,log2err,ES,NES,size,cell_type
Lipid transport,0.4685982247529727,0.5271730028470942,0.016367837058446705,-0.4653752602608576,-1.0064249655669975,7,Micro-PVM
Mevalonate / isoprenoid,0.40508418620006603,0.5208225251143707,0.01789005778795995,-0.4716408398696598,-1.0583434700705068,8,Micro-PVM
Phospholipid metabolism,0.134185303514377,0.3520124562086415,0.028233928894762703,-0.30080282775150013,-1.213242734549704,130,Micro-PVM
SREBP regulation,0.09166726579912288,0.3520124562086415,0.0391026949787299,-0.45076152159844685,-1.3694012557782813,25,Micro-PVM
Sphingolipid metabolism,0.5891713163876834,0.5891713163876834,0.02502220912611752,0.22399694093936265,0.9363961770017378,52,Micro-PVM
Steroid metabolism,0.1619218220203442,0.3520124562086415,0.02680386308936903,-0.3350831506437068,-1.224825772976987,65,Micro-PVM
Sterol biosynthesis,0.1955624756714675,0.3520124562086415,0.02691968705589273,-0.4833347493569331,-1.2478898203153734,13,Micro-PVM
Cholesterol biosynthesis,1.987643779552165e-5,9.938218897760825e-5,0.5756102610711286,-0.7036129115895192,-2.1552822042635738,23,Oligo
Cholesterol homeostasis,1.1389135297030707e-5,9.938218897760825e-5,0.5933254763964051,-0.5676616520269646,-2.048387927495651,48,Oligo
Fatty acid metabolism,0.16782927406006148,0.1864769711778461,0.025083816176086824,-0.24441558278840125,-1.1418828752208035,291,Oligo
Lipid transport,0.049681528662420385,0.08280254777070065,0.07238525850412224,0.5094124301725115,1.510583144941744,15,Oligo
Mevalonate / isoprenoid,1.0432837987260801e-4,3.477612662420267e-4,0.5384340963099162,-0.6021018636889631,-2.0335968857052444,35,Oligo
Phospholipid metabolism,0.08465982785048932,0.10582478481311165,0.03668596787442812,-0.2584375495445887,-1.2093727737522988,296,Oligo
SREBP regulation,2.459061038112028e-4,6.14765259528007e-4,0.49849310876659025,-0.469110889516076,-1.7972469047361,67,Oligo
Sphingolipid metabolism,0.29730628533422016,0.29730628533422016,0.019016226886176196,-0.25712752066154204,-1.0862547712254313,122,Oligo
Steroid metabolism,0.07340021185120568,0.10485744550172241,0.04078665241700065,-0.2778694328288285,-1.2488107203289993,199,Oligo
Sterol biosynthesis,5.447867320225155e-4,0.001089573464045031,0.47727081536286214,-0.501426732335293,-1.8474309748907176,54,Oligo
Cholesterol biosynthesis,0.0022525192649673976,0.011262596324836987,0.3352238053672757,0.5799010414613525,1.881445336379996,21,OPC
Cholesterol homeostasis,9.39084423517219e-6,9.39084423517219e-5,0.5933254763964051,0.5381993891992253,2.187160607813777,53,OPC
Fatty acid metabolism,0.016182937554969218,0.032365875109938436,0.1504756117303464,0.24741450862627556,1.301018877548271,250,OPC
Lipid transport,0.3362887903736542,0.3736542115262825,0.02135342722385843,-0.42975836368858494,-1.107325445303605,11,OPC
Mevalonate / isoprenoid,0.013083883590119834,0.032365875109938436,0.13942439270956417,0.44103932316825645,1.6185522352995634,34,OPC
Phospholipid metabolism,0.06848809304042829,0.09784013291489756,0.0742540287489035,0.22119995101551218,1.1780920527076946,285,OPC
SREBP regulation,0.0535620743844945,0.0892701239741575,0.07064759098853918,0.3187007414375739,1.3518810194431414,65,OPC
Sphingolipid metabolism,0.5277437155119559,0.5277437155119559,0.014078958153795448,-0.22277307531274812,-0.968280939744791,112,OPC
Steroid metabolism,0.0821806346623271,0.10272579332790888,0.06341561555642705,0.2347064439409561,1.1978589710498566,197,OPC
Sterol biosynthesis,0.006441834028040924,0.02147278009346975,0.20275555458043723,0.4083359975419861,1.6396756850432017,50,OPC
Cholesterol biosynthesis,0.5925998052580331,0.7407497565725414,0.015425796003162207,-0.3158416305002678,-0.899307543937528,15,Pax6
Cholesterol homeostasis,0.4713511420828494,0.7407497565725414,0.01798232083996087,-0.2861855100548677,-0.9865639151820597,30,Pax6
Fatty acid metabolism,0.931764197797452,0.931764197797452,0.011710100580712163,0.1635050199423526,0.8034709194787961,178,Pax6
Lipid transport,0.2656971602633389,0.5953285225977972,0.02580336319913117,-0.5265804781887033,-1.1868434095491591,7,Pax6
Mevalonate / isoprenoid,0.5879040869818464,0.7407497565725414,0.01548062059412492,-0.2781313461649802,-0.9139064741960405,25,Pax6
Phospholipid metabolism,0.8322104291647439,0.9246782546274932,0.01125940343896718,-0.17434784109393237,-0.8680687639572201,224,Pax6
SREBP regulation,0.07571524901261921,0.37857624506309606,0.05045464812305621,-0.3427547233154746,-1.333107698755841,51,Pax6
Sphingolipid metabolism,0.2976642612988986,0.5953285225977972,0.023663338770444985,-0.25058822559947863,-1.0849109874091836,89,Pax6
Steroid metabolism,0.16819371727748691,0.5606457242582897,0.032453268306576175,-0.24973016528310785,-1.1566220305922084,133,Pax6
Sterol biosynthesis,0.04747261195464155,0.37857624506309606,0.06413656549670244,-0.3990959264287855,-1.4408393794048011,36,Pax6
Cholesterol biosynthesis,0.6498291849682772,0.8122864812103465,0.016934133223247386,0.26354876592130905,0.8772001532644019,23,Pvalb
Cholesterol homeostasis,0.4560925799863853,0.7601542999773089,0.022744912997093213,0.24037837606948476,0.9940589244465127,57,Pvalb
Fatty acid metabolism,0.959079283887468,0.959079283887468,0.005890391332654437,-0.16327489051462335,-0.8047655815310765,348,Pvalb
