sample_id,x,y,subclass,supertype,layer,qc_pass
Br1139,2531.00252,4771.874548,L6 CT,L6 CT_4,L5,True
Br1139,2512.132536,4546.1996,L5 IT,L5 IT_2,L5,True
Br1139,2550.374052,4546.046564,Astrocyte,Astro_5,L5,True
Br1139,2532.26054,4572.082152,L5 IT,L5 IT_5,L5,True
Br1139,2499.263536,4570.832604,Endothelial,Endo_3,L5,True
Br1139,2490.058036,4554.937552,L4 IT,L4 IT_1,L5,True
Br1139,2492.038528,4638.994032,L5/6 NP,L5/6 NP_2,L5,True
Br1139,2501.397032,4669.203068,L4 IT,L4 IT_1,L5,True
Br1139,2490.772036,4656.844156,L5 IT,L5 IT_5,L5,False
Br1139,2507.406528,4648.624548,VLMC,Pericyte_1,L5,True
Br1139,2542.035532,4646.950096,L5/6 NP,L5/6 NP_4,L5,True
Br1139,2549.685532,4615.678588,Pvalb,Pvalb_15,L5,True
Br1139,2515.107536,4609.516076,L5/6 NP,L5/6 NP_3,L5,True
Br1139,2508.962036,4636.843616,Astrocyte,Astro_2,L5,True
Br1139,2528.478036,4336.972116,Unassigned,Unassigned,L5,False
Br1139,2548.21504,4314.030588,Endothelial,Endo_2,L5,True
Br1139,2521.43154,4354.55006,Astrocyte,Astro_2,L5,True
Br1139,2531.929036,4351.039588,L5 IT,L5 IT_5,L5,True
Br1139,2520.743012,4346.925644,L5 IT,L5 IT_6,L5,True
Br1139,2552.881516,4524.065584,Sst,Sst_13,L5,True
Br1139,2544.050028,4495.01264,Endothelial,Endo_2,L5,False
Br1139,2486.35204,4519.977096,L5/6 NP,L5/6 NP_2,L5,True
Br1139,2496.365028,4524.065596,Chandelier,Chandelier_2,L5,False
Br1139,2513.399028,4508.1196,Astrocyte,Astro_2,L5,True
Br1139,2501.312032,4493.304072,L4 IT,L4 IT_1,L5,False
Br1139,2497.300032,4477.290068,L5 IT,L5 IT_5,L5,True
Br1139,2552.303536,4370.53858,L6 CT,L6 CT_4,L5,True
Br1139,2554.156536,4361.001584,L5/6 NP,L5/6 NP_1,L5,False
