type,source,rbh_partner,rbh_mean_auroc,best_match,best_match_auroc,is_reciprocal,in_combined_franken
Epen_69,siletti,,,,,False,True
Epen_70,siletti,,,,,False,True
Epen_71,siletti,,,,,False,True
Epen_72,siletti,,,,,False,True
Epen_73,siletti,,,,,False,True
Epen_74,siletti,,,,,False,True
Fbl_24,siletti,,,,,False,True
Fbl_25,siletti,,,,,False,True
Fbl_26,siletti,,,,,False,True
Fbl_27,siletti,VLMC_1,1.0,,,True,False
Fbl_28,siletti,,,,,False,True
Fbl_29,siletti,,,,,False,True
Fbl_30,siletti,,,,,False,True
Fbl_31,siletti,,,,,False,True
L5ET_113,siletti,,,,,False,True
L5ET_114,siletti,L5 ET_2,1.0,,,True,False
L5ET_115,siletti,,,,,False,True
L5ET_117,siletti,,,,,False,True
L5ET_118,siletti,,,,,False,True
LLC_264,siletti,Chandelier_1,1.0,,,True,False
LLC_265,siletti,Chandelier_2,1.0,,,True,False
LLC_266,siletti,,,,,False,True
LLC_267,siletti,,,,,False,True
LLC_268,siletti,,,,,False,True
LLC_269,siletti,,,,,False,True
LLC_270,siletti,,,,,False,True
LLC_271,siletti,,,,,False,True
LLC_272,siletti,,,,,False,True
LLC_273,siletti,,,,,False,True
LLC_274,siletti,Lamp5_Lhx6_1,1.0,,,True,False
LLC_275,siletti,,,,,False,True
LRL_315,siletti,,,,,False,True
LRL_316,siletti,,,,,False,True
LRL_317,siletti,,,,,False,True
LRL_318,siletti,,,,,False,True
LRL_319,siletti,,,,,False,True
LRL_320,siletti,,,,,False,True
LRL_321,siletti,,,,,False,True
LRL_322,siletti,,,,,False,True
MGE_236,siletti,,,,,False,True
MGE_239,siletti,Pvalb_6,1.0,,,True,False
MGE_240,siletti,Pvalb_8,1.0,,,True,False
MGE_241,siletti,Sst_23,1.0,,,True,False
MGE_242,siletti,Sst_11,1.0,,,True,False
MGE_243,siletti,Sst_25,1.0,,,True,False
MGE_244,siletti,Sst Chodl_2,1.0,,,True,False
MGE_245,siletti,,,,,False,True
MGE_246,siletti,,,,,False,True
MGE_247,siletti,,,,,False,True
MGE_248,siletti,Sst_9,1.0,,,True,False
MGE_249,siletti,,,,,False,True
MGE_250,siletti,Sst_3,1.0,,,True,False
MGE_251,siletti,Sst_19,1.0,,,True,False
MGE_252,siletti,Sst_10,1.0,,,True,False
MGE_253,siletti,Sst_1,1.0,,,True,False
MGE_254,siletti,Sst_4,1.0,,,True,False
MGE_255,siletti,Pvalb_7,1.0,,,True,False
MGE_256,siletti,Pvalb_9,1.0,,,True,False
MGE_257,siletti,Pvalb_1,1.0,,,True,False
MGE_258,siletti,Pvalb_10,1.0,,,True,False
MGE_259,siletti,Pvalb_14,1.0,,,True,False
MGE_260,siletti,,,,,False,True
MGE_261,siletti,Pvalb_2,1.0,,,True,False
MGE_262,siletti,Pvalb_15,1.0,,,True,False
MGE_263,siletti,,,,,False,True
MSN_206,siletti,,,,,False,True
MSN_207,siletti,,,,,False,True
MSN_208,siletti,,,,,False,True
MSN_209,siletti,,,,,False,True
MSN_210,siletti,,,,,False,True
MSN_211,siletti,,,,,False,True
MSN_212,siletti,,,,,False,True
MSN_213,siletti,,,,,False,True
MSN_214,siletti,,,,,False,True
MSN_215,siletti,,,,,False,True
MSN_216,siletti,,,,,False,True
MSN_217,siletti,,,,,False,True
MSN_218,siletti,,,,,False,True
MSN_219,siletti,,,,,False,True
MSN_220,siletti,,,,,False,True
MSN_221,siletti,,,,,False,True
MSN_427,siletti,,,,,False,True
MSN_430,siletti,,,,,False,True
Mgl_10,siletti,,,,,False,True
Mgl_11,siletti,Micro-PVM_2,1.0,,,True,False
Mgl_12,siletti,Micro-PVM_1,1.0,,,True,False
Mgl_4,siletti,,,,,False,True
Mgl_5,siletti,,,,,False,True
Mgl_6,siletti,,,,,False,True
Mgl_7,siletti,,,,,False,True
Mgl_8,siletti,,,,,False,True
Mgl_9,siletti,,,,,False,True
Midi_433,siletti,,,,,False,True
Midi_434,siletti,,,,,False,True
Midi_435,siletti,,,,,False,True
Midi_436,siletti,,,,,False,True
Midi_437,siletti,,,,,False,True
Midi_438,siletti,,,,,False,True
Midi_439,siletti,,,,,False,True
Midi_440,siletti,,,,,False,True
Midi_441,siletti,,,,,False,True
Midi_442,siletti,,,,,False,True
Midi_443,siletti,,,,,False,True
Midi_444,siletti,,,,,False,True
Misc_116,siletti,L5 ET_1,1.0,,,True,False
Misc_132,siletti,,,,,False,True
Misc_164,siletti,,,,,False,True
Misc_165,siletti,,,,,False,True
Misc_166,siletti,,,,,False,True
Misc_167,siletti,,,,,False,True
Misc_168,siletti,,,,,False,True
Misc_170,siletti,,,,,False,True
Misc_176,siletti,,,,,False,True
Misc_177,siletti,,,,,False,True
Misc_178,siletti,,,,,False,True
Misc_314,siletti,,,,,False,True
Misc_401,siletti,,,,,False,True
Misc_404,siletti,,,,,False,True
Mmb_323,siletti,,,,,False,True
Mmb_324,siletti,,,,,False,True
Mmb_325,siletti,,,,,False,True
Mmb_326,siletti,,,,,False,True
Mmb_327,siletti,,,,,False,True
Mmb_328,siletti,,,,,False,True
