stratum,gene,sn_est,sn_se,sn_z,xen_logFC,xen_z,n_supertypes
depleted,HSPA8,-0.20847034923595167,0.08736336019661681,-2.3862446312364347,-0.18479914118081064,-6.0310242101374,5
depleted,HTR2C,-0.00459128521784689,0.12004544514586996,-0.03824622593775152,0.13154942193009872,0.14049607548995874,4
depleted,IRS2,0.07085552276215738,0.07006102359281452,1.0113401022223196,-0.05174936633390925,-1.1290691190554834,5
depleted,KCNK1,0.01121434823997893,0.07163324880099192,0.15655227743661476,-0.18623552104500785,-3.4266621670819157,5
depleted,KIF1A,-0.0208412808067066,0.02918867324532482,-0.7140194633562104,0.024082820225873578,0.768877685441625,5
depleted,KIF5A,-0.0494141499841191,0.03265470550544649,-1.513232142788037,0.07328480896151814,2.2690417202172433,5
depleted,LATS1,0.04610550074320044,0.03510638699612041,1.3133080526997989,0.07777874283489718,1.7905140594001396,5
depleted,LMO4,0.03009666735414363,0.08483456031906929,0.354768943705817,-0.1731709223507508,-3.0672886240342225,5
depleted,LPAR6,0.16789641622101728,0.4815562662182458,0.34865378772773575,0.34340714310304643,1.0138305210954912,1
depleted,LZTS3,-0.00332643114765542,0.05568453300598836,-0.05973707541549632,-0.010367643007201235,-0.42806184613641285,5
depleted,MAP2K1,-0.05541423971906186,0.04221844033409595,-1.3125600870269214,0.08465523636560465,1.3433129770411167,5
depleted,MAPK3,-0.05967968567194441,0.05882686413623769,-1.0144971442593245,0.14878121586201773,2.9968051038996104,5
depleted,MBP,-0.01857886242481369,0.05323932038406267,-0.3489688127269055,0.4140281113794716,5.402916254092128,5
depleted,MEIS2,0.02352653997851863,0.10118468948194265,0.2325108679877618,0.029196583958109795,0.30787533118332805,5
depleted,MOBP,-0.0542358930560951,0.08853452032181681,-0.61259600050863106,0.17307833133989875,2.1827209135058054,5
depleted,MRPL27,-0.1148426434973858,0.06640223052260011,-1.7294997862805064,0.0585372344323559,0.8796251511245938,5
depleted,MRPL57,-0.04329466294337034,0.06739108270615914,-0.6424390469009852,-0.05401808121235289,-0.7230526878763522,5
depleted,MT-ATP8,0.27403190272345973,0.12184649432535748,2.248992917200663,0.03493318394698958,0.4063615900990841,5
depleted,MT-ND1,0.16934384920378953,0.16200452980910096,1.0453031739503635,0.021937327411548142,0.2841354765159929,5
depleted,MT-ND2,0.17862453417660945,0.1886231227273379,0.9469917133904002,-0.006213831688365162,-0.20457141101559848,5
depleted,MT-ND4,0.23983828601355903,0.14876564632105235,1.6121886466715716,0.043495408518621534,0.5813654619961863,5
depleted,MT-ND4L,0.2278247776224221,0.1239444740357718,1.8381196854058153,-0.13792212859327865,-1.2381824383649511,5
depleted,MT-ND5,0.19438400845451145,0.1491229691409188,1.3035148748334116,0.030668420446642312,0.4551296332853109,5
depleted,MT-ND6,0.30576146348822447,0.1886265715448513,1.6209882891049687,0.19071086212267202,3.2791971686961894,5
depleted,MTURN,-0.00940141767480796,0.03423927438224502,-0.27457993326176106,-0.16849651667558796,-3.542363146846383,5
depleted,MYL6,-0.24762728860069935,0.09721947563927442,-2.5470954967860746,0.15262604208310282,3.61873354345479,5
depleted,NDUFB2,-0.2072494416752709,0.09132828443799328,-2.2692799164094835,0.10910646838926291,0.7680868655416353,5
depleted,NDUFB9,-0.05213356749681112,0.11876297446396292,-0.4389715543258844,-0.09195297824341665,-1.9852464610191343,5
depleted,NEFH,-0.1504318914784615,0.08069567853599145,-1.8641877013447092,0.04344224967707935,1.0665302673177826,5
depleted,NEFL,-0.0933498671788369,0.0614690889333884,-1.5186473201188393,0.10950103636175741,2.653217138258098,5
depleted,NEFM,-0.01768482450805715,0.09692726992971482,-0.18245458188269417,0.20554466336354635,3.4985327208704367,5
depleted,NORAD,0.03877146037154969,0.04443464185561015,0.8725503065274408,-0.16217244784252471,-3.66160274677415,5
depleted,NOS1,-0.01697499588029761,0.04096627285097216,-0.41436515208619434,-0.06271974778001381,-0.9565363141212484,5
depleted,NPIPA1,-0.01225021539438766,0.07405180199424076,-0.1654276474641414,0.044793389091052,0.8773764989076827,5
depleted,NPTX1,0.12942426212606783,0.15832040991533147,0.8174831166448023,0.23134246723326518,3.564067620103504,5
depleted,NPTX2,-0.38861412855701266,0.12836856576834793,-3.027330921950941,-0.3713518828101727,-2.9916080275305634,5
depleted,NPY,-0.29086076793905696,0.15465700875005045,-1.8806827462254412,-0.035489209963657495,-0.4895768107983141,5
depleted,NRG1,0.03286657319205626,0.09028451003625866,0.3640333560968199,-0.03836148178498065,0.006082157735638583,5
depleted,NRXN1,0.05773841127526187,0.05815754834063564,0.992793075407532,-0.027180173880979364,-0.5992237171383422,5
depleted,NTRK2,-0.04663794679315532,0.03067212964383962,-1.520531744443848,-0.105688890632326,-2.7849236013059997,5
depleted,OGA,0.00928878136949518,0.02579190985484098,0.3601432162943038,-0.01237252316126854,-0.2842254265801487,5
depleted,OSBPL1A,0.04359843653666453,0.03883709076437683,1.1225979000634885,-0.12540313672158238,-2.9409887487000823,5
depleted,PCP4,0.00486375989488255,0.17929321915356347,0.02712740569801905,-3.8572859042868e-4,0.00139595161261909,5
depleted,PDXK,-0.01757728680765046,0.03491188489756757,-0.5034757320958954,-0.017567765639870177,-0.41193304681642345,5
depleted,PECAM1,0.33785266771554273,0.11446911232837384,2.9514745143332264,0.2420137321152111,2.4110561613157935,4
depleted,PFN1,-0.02162938429748376,0.0959089487668134,-0.22551998093600212,0.09524028864596086,1.108751089696077,5
depleted,PLEC,-0.05267187764013117,0.04138064772472171,-1.2728625707002603,0.19259406695617132,2.7928080412569227,5
depleted,PLP1,-0.03097655179236231,0.08618859882779774,-0.3594042856440043,-0.18268425633130045,-1.6191287509995762,5
depleted,PPM1K,0.03795730955029342,0.02895692775297353,1.310819637846271,0.18060442819353956,2.3710642906907364,5
depleted,PSMA7,-0.09545928709433144,0.07111208121489776,-1.3423779119311308,-0.02383205142812978,-0.6680422722014289,5
depleted,RANBP1,-0.06235140392712574,0.09081272053495353,-0.6865932829655388,0.046223908258922024,0.9183375354356368,5
depleted,RASD1,0.08761106521163677,0.13147588335177113,0.6663660511580548,0.31260368349572204,3.49236058993856,5
depleted,RASGRF2,-0.10824197824300584,0.03571300619159806,-3.030883977178912,-0.11373729994473648,-2.5128190610246586,5
depleted,RCAN2,-0.02330134003201288,0.03795482680958126,-0.6139229708230607,-0.27709985598601183,-5.560314745950907,5
depleted,RELN,0.06204257937824201,0.05523122523442019,1.1233243353721034,-0.2861485763656373,-1.0632730911507307,5
depleted,RIPOR2,0.0147501611654555,0.03439825576986519,0.4288054971199289,0.015563558169710985,0.22943681259867185,5
depleted,RORB,-0.03780856451738266,0.094992396280579,-0.398016746579458,-0.05008179482590652,-0.5488959914957023,5
depleted,RPL36AL,-0.07140650598106403,0.1289763703916554,-0.5536402192450279,0.038394216225597355,0.8410080562282762,5
depleted,RPS26,-0.20227211742794515,0.10424155464360672,-1.9404173136087317,-0.10455779315223519,-1.8689733246891764,5
depleted,RTF2,-0.02401644759736007,0.05583515105920469,-0.43013132662423137,0.017119552567773064,0.2867559397560345,5
depleted,S100A6,-0.06035775324758782,0.0949125400172514,-0.6359302283619965,0.13853586131043058,2.0691600301905453,5
depleted,SCG3,-0.01535005682039977,0.04136859679288552,-0.3710557768553474,-0.14557375826248162,-3.7956344985032615,5
depleted,SCN1B,-0.17137937010491724,0.06069377967725248,-2.823672722579655,-0.11570509792913751,-2.531573476843097,5
depleted,SERPING1,0.07903261744204627,0.06742102231314714,1.1722251418106258,0.10162357289605504,1.4473400520258206,5
depleted,SESN1,0.06463270605818769,0.04753851737526427,1.3595860709744818,-0.01077601927586371,-0.2472348901739549,5
depleted,SLC2A1,-0.11696053208165902,0.08842184408465223,-1.322756082418783,-0.09817808959001312,-1.210951587473367,5
depleted,SLC32A1,-0.10900383539826118,0.0969047105972831,-1.1248558994336164,-0.07744914894993371,-1.9670644867421214,5
depleted,SLC44A1,0.02477137842861008,0.02977669334780219,0.8319049445575344,-0.07663514787963628,-0.9811086712501359,5
depleted,SMAD1,0.16357837808448125,0.07500063795911988,2.181026489049892,0.14206873786574611,1.95015425122585,5
depleted,SMYD2,0.06398046286918942,0.10843735325868235,0.5900223580389411,0.025849461960776487,0.16448698308944343,5
depleted,SNPH,-0.05679920644466261,0.05903237148345253,-0.962170500986634,0.13135608575697116,2.86115790016452,5
depleted,SOX2-OT,-0.05155988016643366,0.05459206252675847,-0.944457450039764,-0.12079261159693548,-2.1303919721611817,5
depleted,SPRY2,-0.13165268863533178,0.11897659639158602,-1.106542737212158,-0.3329572309785743,-4.358880811310381,5
depleted,SSBP1,0.04844954570461753,0.03543738124469275,1.3671875291821551,0.002422168708725788,0.025875570388336225,5
depleted,SST,-0.4316520091461808,0.12846156778045925,-3.3601645737647687,-0.23442703148107363,-3.2483075998972524,5
depleted,SV2A,0.00840285125896651,0.04000422811634687,0.2100490786755831,-0.09111824385913099,-2.7871893122934486,5
depleted,SVBP,-0.08492673771922303,0.07318538429657505,-1.1604330363979172,-0.055507602959139854,-1.219598455960927,5
depleted,SYT2,-0.02027593466605596,0.14494766100609033,-0.139884524698912,-0.1226718372467975,-1.8137556818767693,5
depleted,TAGLN,-0.02148955666275951,0.07531496134532101,-0.2853291866436651,0.2686308955413881,3.2237906700864762,5
depleted,TEF,0.01960752398808358,0.05114946572319351,0.3833378063848012,0.045560508578123673,0.9894743796992747,5
depleted,TF,-0.03555412898127237,0.06888497876288883,-0.5161376198380545,-0.03624619395496504,-0.07946188844139682,5
depleted,TMEM144,-0.00686489241955637,0.09205735477295546,-0.074571906139249,-0.21739354517094214,-2.0768150685437625,5
depleted,TMSB10,-0.00211672826828833,0.09032607929854408,-0.02343429809780809,0.10783177952092023,2.3136277955514712,5
depleted,TNK2,-0.06703597146766056,0.04863212831292678,-1.37842972934092,0.050816900521807366,1.0730716678614871,5
depleted,TSC22D3,0.08961442367024103,0.09052709358760694,0.9899182677671776,0.06696129682578163,1.4725523820154407,5
depleted,TTC9B,-0.14161902909418728,0.07885744891771108,-1.7958865146901826,-0.10892477223423525,-2.277199685913142,5
depleted,TXNIP,0.2228257663251543,0.12910771740510332,1.725890371262551,0.5291249563632578,4.876608151862928,5
depleted,UQCRFS1,-0.23955559541355112,0.17591790266637164,-1.3617465407592335,-0.11629281279434298,-2.5595486581374938,5
depleted,USP22,-0.01098184271383209,0.03019051985825017,-0.3637513618643794,0.1280723857232725,3.331014049076116,5
