pathway,source,NES_depleted,NES_intermediate,NES_non_depleted,padj_depleted,padj_intermediate,padj_non_depleted,family
REACTOME_METABOLISM_OF_FAT_SOLUBLE_VITAMINS,C2:CP:REACTOME,-1.1125491186839354,-1.3784091361628907,-1.2069465701080813,0.7379599569797506,0.5708181716989444,0.7514707831248726,Other
GOBP_LAMELLIPODIUM_MORPHOGENESIS,C5:GO:BP,1.1106105750126327,1.216989151011688,1.4260416768233537,0.7380853219835354,0.6781170101539996,0.6392916501536264,Other
GOBP_LIPID_CATABOLIC_PROCESS,C5:GO:BP,-1.0630632186014344,-0.9324984165270176,0.9879726983729522,0.7380853219835354,0.8739789779936511,0.9007572984955616,Other
GOBP_PRIMARY_ALCOHOL_METABOLIC_PROCESS,C5:GO:BP,-1.098845894751842,-1.032209239170512,0.6977160021420669,0.7380853219835354,0.7965550692245608,0.988427176317998,Other
GOBP_REGULATION_OF_FEEDING_BEHAVIOR,C5:GO:BP,-1.11377774478056,-0.7026265605686938,NA,0.7381273591323937,0.9625845826171984,NA,Synaptic
GOBP_REGULATION_OF_MEMBRANE_PERMEABILITY,C5:GO:BP,-1.085319543989182,-1.0200117652432732,1.0742709529668837,0.7381273591323937,0.7989911100340549,0.8220592817760368,Other
GOCC_CHROMAFFIN_GRANULE,C5:GO:CC,-1.110370093004424,-0.9508670812645408,0.8139194479773812,0.7381273591323937,0.8345204188381627,0.9516548641189352,Synaptic
GOMF_I_SMAD_BINDING,C5:GO:MF,1.113168567657974,NA,-0.6395914945678738,0.7381273591323937,NA,0.9920677258989644,Other
GOBP_POSITIVE_REGULATION_OF_TRANSCRIPTION_BY_RNA_POLYMERASE_III,C5:GO:BP,-1.1068951400765297,-1.0271694351318534,1.0064422666908592,0.7385869036115692,0.7978964370040995,0.8825541530632737,Other
GOCC_PML_BODY,C5:GO:CC,1.0614634118935955,-0.8532151770047146,-0.7982617422480816,0.7385869036115692,0.9281351293160656,0.980636627952824,Other
GOCC_SITE_OF_DOUBLE_STRAND_BREAK,C5:GO:CC,-1.0729018907156374,-0.7216643404038187,1.2005705251736745,0.7395345318278618,0.9859468273836106,0.711375048661693,Other
GOCC_AXON_INITIAL_SEGMENT,C5:GO:CC,1.100042647664646,1.2875617281342295,1.5598900713995625,0.7404434322002129,0.6154313830596024,0.5116698124361169,Other
GOBP_INFLAMMATORY_RESPONSE_TO_ANTIGENIC_STIMULUS,C5:GO:BP,1.099753936807401,-0.8956443797616467,0.9274850864469196,0.7405582887856711,0.8730866550864687,0.9155012598600568,Other
GOBP_REGULATION_OF_POSTSYNAPSE_ORGANIZATION,C5:GO:BP,1.054427916215181,-0.9408824986910648,1.015068521909248,0.7405582887856711,0.8617427173343218,0.86650662452899,Other
GOMF_CARBOHYDRATE_BINDING,C5:GO:MF,-1.064251868274853,-1.4513008259145928,-1.2571691533419629,0.7405582887856711,0.3476928393445008,0.6581701884724422,Other
GOMF_METAL_CATION_MONOATOMIC_CATION_ANTIPORTER_ACTIVITY,C5:GO:MF,1.0886176110738863,-0.8603299128825208,1.34498196946617,0.7405582887856711,0.8965045508837824,0.6581701884724422,Other
REACTOME_DEADENYLATION_OF_MRNA,C2:CP:REACTOME,1.0905683342336931,1.32261937638517,0.6935835788626988,0.7405582887856711,0.5887837079863658,0.9894347350349892,Other
REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS,C2:CP:REACTOME,-1.108530008912264,-1.0603874453868476,0.7574959829670769,0.7414854623779014,0.7775721544922035,0.9758260745587486,Other
GOBP_CANONICAL_NF_KAPPAB_SIGNAL_TRANSDUCTION,C5:GO:BP,-1.06268859010284,-0.911002402198232,-0.8602683118664913,0.7415611925355554,0.8959669659828277,0.977153879558247,Other
GOBP_NEURON_PROJECTION_ARBORIZATION,C5:GO:BP,-1.0953405560755771,-1.2264235166660666,-1.0246466832315724,0.7415611925355554,0.658173760721957,0.875560991867249,Other
GOBP_POSITIVE_REGULATION_OF_CELL_PROJECTION_ORGANIZATION,C5:GO:BP,-1.0519042662101572,-0.9358165354486182,-1.2270429563985763,0.7415611925355554,0.8777272064690668,0.6103241883824215,Other
GOBP_REGULATION_OF_RESPONSE_TO_WOUNDING,C5:GO:BP,-1.072961299733634,-0.9496058138513233,0.8043561047690477,0.7415611925355554,0.8446971758973888,0.9787164142793376,Other
GOCC_MICROTUBULE_PLUS_END,C5:GO:CC,1.0921412560400252,0.7162847204571141,-1.1120623275167218,0.7415611925355554,0.9676412326091584,0.8075227622467298,Other
GOMF_CELL_CELL_ADHESION_MEDIATOR_ACTIVITY,C5:GO:MF,1.080599934960731,1.3284213188269631,1.2877742496085278,0.7415611925355554,0.5612144464084846,0.67389902839022775,Other
GOBP_ENDOCRINE_PANCREAS_DEVELOPMENT,C5:GO:BP,1.0890090869594558,-0.7258799869438047,-0.8007564021238869,0.7426530126220529,0.9573130327617104,0.962337376282204,Other
GOBP_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY,C5:GO:BP,-1.0575776047803565,-0.9873894799783296,-0.870306037642081,0.7426530126220529,0.8230949239325722,0.9758260745587486,Other
GOBP_REGULATION_OF_AXON_EXTENSION,C5:GO:BP,-1.0703967527564535,-1.0868461876975428,-1.2284698391750115,0.7426530126220529,0.7456350572357456,0.7022063652849444,Other
GOBP_REGULATION_OF_DENDRITE_EXTENSION,C5:GO:BP,-1.094872801285287,-1.3638324892621514,-1.0928270705253975,0.7426530126220529,0.5730886070370615,0.8213493601103073,Other
GOBP_REGULATION_OF_PEPTIDYL_SERINE_PHOSPHORYLATION,C5:GO:BP,1.0945108906705914,1.3047421698559527,-0.7679123962458532,0.7426530126220529,0.6154313830596024,0.9770410659596478,Other
