gene,spearman_rho,pval,pval_fdr,abs_rho,is_scz_gwas,magma_zstat,spredixcan_z,spredixcan_fdr,lead_snp_beta,signed_magma_z,direction_source
MEF2D,0.7151702786377709,0.000849239553853112,0.019740561262559804,0.7151702786377709,False,1.0025,,,0.0223972974420383,1.0025,lead_snp
AHCY,0.7151702786377709,0.000849239553853112,0.019740561262559804,0.7151702786377709,False,2.9972,1.3231314084380712,0.2834484045464228,0.0382972099323441,1.3231314084380712,spredixcan
WNT9A,0.7151702786377709,0.000849239553853112,0.019740561262559804,0.7151702786377709,False,-1.5493,2.254952002511291,0.0527698671167787,0.0473987203698754,2.254952002511291,spredixcan
AP006545.3,0.7151702786377709,0.000849239553853112,0.019740561262559804,0.7151702786377709,False,,,,,,none
SRD5A1,0.7151702786377709,0.000849239553853112,0.019740561262559804,0.7151702786377709,False,3.0151,-0.1514139923628599,0.9162993156772916,-0.0328951617042694,-0.1514139923628599,spredixcan
NFXL1,0.7151702786377709,0.000849239553853112,0.019740561262559804,0.7151702786377709,False,1.6265,11.020325607377613,1.730363191530937e-26,0.0651976788453886,11.020325607377613,spredixcan
TUBA1A,0.7151702786377709,0.000849239553853112,0.019740561262559804,0.7151702786377709,False,0.34048,0.3849495728103993,0.7790452885689572,0.0250047589895661,0.3849495728103993,spredixcan
HCCS,0.7151702786377709,0.000849239553853112,0.019740561262559804,0.7151702786377709,False,,,,,,none
CLDN16,0.7151702786377709,0.000849239553853112,0.019740561262559804,0.7151702786377709,False,-0.14454,2.3418079758213044,0.0434339734259824,-0.0841971588007556,2.3418079758213044,spredixcan
AMER3,0.7151702786377709,0.000849239553853112,0.019740561262559804,0.7151702786377709,False,-1.5228,,,-0.061003443560332,-1.5228,lead_snp
UBE4A,0.7151702786377709,0.000849239553853112,0.019740561262559804,0.7151702786377709,False,2.4314,-4.2874531545836465,9.124241189795555e-05,-0.0719042482916749,-4.2874531545836465,spredixcan
GPR83,-0.7151702786377709,0.000849239553853112,0.019740561262559804,0.7151702786377709,False,0.73552,2.2632959984882715,0.051796093169051,-0.160297868469195,2.2632959984882715,spredixcan
PRKCQ,-0.7151702786377709,0.000849239553853112,0.019740561262559804,0.7151702786377709,False,1.1363,-3.517678079722835,0.0015734213268086,-0.0349020520092649,-3.517678079722835,spredixcan
ANKAR,-0.7151702786377709,0.000849239553853112,0.019740561262559804,0.7151702786377709,False,1.1195,-1.7905215038107898,0.1328468676086434,0.0385955177593629,-1.7905215038107898,spredixcan
TRAPPC6A,0.7151702786377709,0.000849239553853112,0.019740561262559804,0.7151702786377709,False,-0.44479,3.0228323424798615,0.0073999693972423,-0.0555021391616052,3.0228323424798615,spredixcan
LINC01927,0.714849298384268,0.0008559596170757886,0.019882526538374617,0.714849298384268,False,,,,,,none
CTXN3,-0.7147399045179306,0.0008582600024016062,0.01992170034186847,0.7147399045179306,False,0.10129,,,0.127698162369541,0.10129,lead_snp
TNFAIP8L3,0.7145827072791391,0.0008615746455279691,0.019984343993840314,0.7145827072791391,False,3.1837,-5.7676217223124295,7.181747214256064e-08,-0.0388967656299467,-5.7676217223124295,spredixcan
TMEM252,-0.714410370935081,0.0008652207707601415,0.020054581436547564,0.714410370935081,False,-0.11714,,,-0.0577032681284449,-0.11714,lead_snp
AC068756.1,0.7143245507936762,0.0008670412638639686,0.020082433270796417,0.7143245507936762,False,,,,,,none
HERPUD2,-0.7131062951496387,0.0008932304748108608,0.0203978387808673,0.7131062951496387,False,1.7703,,,-0.0593997472816252,-1.7703,lead_snp
VWC2L,0.7131062951496387,0.0008932304748108608,0.0203978387808673,0.7131062951496387,False,4.6134,,,-0.0623010261973793,-4.6134,lead_snp
STK10,0.7131062951496387,0.0008932304748108608,0.0203978387808673,0.7131062951496387,False,-0.28233,,,-0.0252049938352247,-0.28233,lead_snp
AL161457.2,-0.7131062951496387,0.0008932304748108608,0.0203978387808673,0.7131062951496387,False,,,,,,none
CFAP300,0.7131062951496387,0.0008932304748108608,0.0203978387808673,0.7131062951496387,False,,,,,,none
PRKAG1,0.7131062951496387,0.0008932304748108608,0.0203978387808673,0.7131062951496387,False,0.91034,2.3519344308325714,0.0424624498022756,-0.0762009300937354,2.3519344308325714,spredixcan
PRR16,0.7131062951496387,0.0008932304748108608,0.0203978387808673,0.7131062951496387,False,1.1378,,,-0.0989036285144588,-1.1378,lead_snp
LTB,-0.7131062951496387,0.0008932304748108608,0.0203978387808673,0.7131062951496387,False,,3.15212738546524,0.005039788780354,,3.15212738546524,spredixcan
NBPF26,-0.7131062951496387,0.0008932304748108608,0.0203978387808673,0.7131062951496387,False,,,,,,none
AIG1,0.7131062951496387,0.0008932304748108608,0.0203978387808673,0.7131062951496387,False,2.2433,,,-0.0534957179427506,-2.2433,lead_snp
FAM98B,-0.7131062951496387,0.0008932304748108608,0.0203978387808673,0.7131062951496387,False,1.5528,4.785755547532152,1.0263176260867977e-05,-0.0628972021721127,4.785755547532152,spredixcan
SPATA6L,-0.7131062951496387,0.0008932304748108608,0.0203978387808673,0.7131062951496387,False,-0.073532,3.2100823686651165,0.004234949121624,-0.0962025778730607,3.2100823686651165,spredixcan
CLASP1,0.7131062951496387,0.0008932304748108608,0.0203978387808673,0.7131062951496387,False,2.3701,3.0974853107154847,0.0059356453176479,0.0394033887747662,3.0974853107154847,spredixcan
PARP1,0.7131062951496387,0.0008932304748108608,0.0203978387808673,0.7131062951496387,False,1.8101,,,-0.0274020297483382,-1.8101,lead_snp
AC026991.2,0.7131062951496387,0.0008932304748108608,0.0203978387808673,0.7131062951496387,False,,,,,,none
PAWR,0.7131062951496387,0.0008932304748108608,0.0203978387808673,0.7131062951496387,False,-0.60981,0.4210551963854719,0.7575843686172571,0.0223972974420383,0.4210551963854719,spredixcan
GNB3,-0.7131062951496387,0.0008932304748108608,0.0203978387808673,0.7131062951496387,False,2.0935,-1.2880705569990132,0.2979627033593892,-0.167803456281045,-1.2880705569990132,spredixcan
SMIM12,0.7131062951496387,0.0008932304748108608,0.0203978387808673,0.7131062951496387,False,2.2625,0.4666248559566058,0.7306997608050033,-0.0355028330426552,0.4666248559566058,spredixcan
MT-CO1,-0.7131062951496387,0.0008932304748108608,0.0203978387808673,0.7131062951496387,False,,,,,,none
DMKN,0.7131062951496387,0.0008932304748108608,0.0203978387808673,0.7131062951496387,False,-0.14254,-1.7841228863475789,0.1344160101657884,0.0210959082947329,-1.7841228863475789,spredixcan
P2RX2,0.7126244725122949,0.0009037687288026854,0.020623976968809524,0.7126244725122949,False,1.9761,-2.659495076046495,0.0199751777013125,-0.105905108365964,-2.659495076046495,spredixcan
LAYN,0.712514450528693,0.0009061895675838185,0.020664688312083564,0.712514450528693,False,1.1485,0.9176465607041154,0.4737321044852257,-0.0579045745015309,0.9176465607041154,spredixcan
CLDN2,-0.7124420154380358,0.0009077863221214165,0.020686563309578628,0.7124420154380358,False,,,,,,none
AL109829.1,-0.7116278294619743,0.000925896102061354,0.020901203636690138,0.7116278294619743,False,,,,,,none
AC092954.2,0.7116261370097507,0.0009259340581308056,0.020901203636690138,0.7116261370097507,False,,,,,,none
LLGL2,0.7114094907779807,0.0009308034304219624,0.020901203636690138,0.7114094907779807,False,0.6045,0.3831102268828881,0.7802721123188353,-0.0611947843281922,0.3831102268828881,spredixcan
LINC01285,0.7110423116615068,0.0009391049276515938,0.020901203636690138,0.7110423116615068,False,,,,,,none
HOOK2,0.7110423116615068,0.0009391049276515938,0.020901203636690138,0.7110423116615068,False,1.9621,2.618426542460304,0.0221500544395435,0.111398251790055,2.618426542460304,spredixcan
RMDN2,-0.7110423116615068,0.0009391049276515938,0.020901203636690138,0.7110423116615068,False,1.6257,,,0.029296631955588,1.6257,lead_snp
AKAP5,-0.7110423116615068,0.0009391049276515938,0.020901203636690138,0.7110423116615068,False,2.9189,,,0.043203157300648,2.9189,lead_snp
CA4,0.7110423116615068,0.0009391049276515938,0.020901203636690138,0.7110423116615068,False,1.5117,-5.130950228374685,1.9955269151583525e-06,0.0708032317954,-5.130950228374685,spredixcan
LYSMD2,0.7110423116615068,0.0009391049276515938,0.020901203636690138,0.7110423116615068,False,0.24727,0.8348795745567316,0.5176232232285337,0.0679016096105729,0.8348795745567316,spredixcan
HARS,-0.7110423116615068,0.0009391049276515938,0.020901203636690138,0.7110423116615068,False,4.7935,-6.850082234358635,1.0136795757628771e-10,-0.0428031223253094,-6.850082234358635,spredixcan
DLST,0.7110423116615068,0.0009391049276515938,0.020901203636690138,0.7110423116615068,False,3.4534,,,0.0389033551082361,3.4534,lead_snp
MROH1,0.7110423116615068,0.0009391049276515938,0.020901203636690138,0.7110423116615068,False,-0.54331,,,0.0795041011125991,0.54331,lead_snp
CDCA4,0.7110423116615068,0.0009391049276515938,0.020901203636690138,0.7110423116615068,False,-1.5619,0.9664887764558222,0.4484551684498976,-0.0644958553811008,0.9664887764558222,spredixcan
SLC66A3,0.7110423116615068,0.0009391049276515938,0.020901203636690138,0.7110423116615068,False,,,,,,none
MKLN1,-0.7110423116615068,0.0009391049276515938,0.020901203636690138,0.7110423116615068,False,2.8525,,,0.0579009158948382,2.8525,lead_snp
TMEM246-AS1,0.7110423116615068,0.0009391049276515938,0.020901203636690138,0.7110423116615068,False,,,,,,none
PIK3R1,0.7110423116615068,0.0009391049276515938,0.020901203636690138,0.7110423116615068,False,2.7869,,,-0.168998701478162,-2.7869,lead_snp
SPON1,0.7110423116615068,0.0009391049276515938,0.020901203636690138,0.7110423116615068,False,2.6451,-4.005240442895147,0.0002776348669532,-0.0346949697968869,-4.005240442895147,spredixcan
TMEM65,0.7110423116615068,0.0009391049276515938,0.020901203636690138,0.7110423116615068,False,-0.40059,1.9177008207650803,0.1051807324819271,-0.120304963043649,1.9177008207650803,spredixcan
AC015908.3,0.7110423116615068,0.0009391049276515938,0.020901203636690138,0.7110423116615068,False,,,,,,none
SCD,0.7110423116615068,0.0009391049276515938,0.020901203636690138,0.7110423116615068,False,0.45355,,,0.0450020459197846,0.45355,lead_snp
LMBR1,-0.7110423116615068,0.0009391049276515938,0.020901203636690138,0.7110423116615068,False,-0.65833,2.1637919911622436,0.0641562368856508,-0.0805053146596501,2.1637919911622436,spredixcan
CCDC125,0.7110423116615068,0.0009391049276515938,0.020901203636690138,0.7110423116615068,False,-0.13534,3.1405887530183008,0.0052224594207709,-0.0761038086648949,3.1405887530183008,spredixcan
AC012358.3,0.7110423116615068,0.0009391049276515938,0.020901203636690138,0.7110423116615068,False,,,,,,none
AC068234.2,-0.7110423116615068,0.0009391049276515938,0.020901203636690138,0.7110423116615068,False,,,,,,none
CCDC183-AS1,0.7110423116615068,0.0009391049276515938,0.020901203636690138,0.7110423116615068,False,,,,,,none
PLEKHA3,0.7110423116615068,0.0009391049276515938,0.020901203636690138,0.7110423116615068,False,0.45115,-0.6034130992406609,0.6502938374558953,-0.0310985871020312,-0.6034130992406609,spredixcan
LINC00476,-0.7110423116615068,0.0009391049276515938,0.020901203636690138,0.7110423116615068,False,,,,,,none
AC079140.6,-0.7110423116615068,0.0009391049276515938,0.020901203636690138,0.7110423116615068,False,,,,,,none
MTURN,-0.7110423116615068,0.0009391049276515938,0.020901203636690138,0.7110423116615068,False,0.42007,3.2940733871379657,0.003264367561043,-0.0626948883400778,3.2940733871379657,spredixcan
SMAP1,0.7110423116615068,0.0009391049276515938,0.020901203636690138,0.7110423116615068,False,2.5476,8.145140635942285,8.161633539552627e-15,0.0275957115907991,8.145140635942285,spredixcan
NETO2,-0.7110423116615068,0.0009391049276515938,0.020901203636690138,0.7110423116615068,False,2.3089,,,-0.0584981343943099,-2.3089,lead_snp
FAM168B,0.7110423116615068,0.0009391049276515938,0.020901203636690138,0.7110423116615068,False,2.2658,,,-0.0467038420537432,-2.2658,lead_snp
GGCX,0.7110423116615068,0.0009391049276515938,0.020901203636690138,0.7110423116615068,False,-0.44061,0.6513050043089483,0.6215289897540139,-0.0726997334182779,0.6513050043089483,spredixcan
ROBO3,0.7104461937782469,0.0009527138081785036,0.021189556597253217,0.7104461937782469,False,0.71097,,,0.0299956000353805,0.71097,lead_snp
AC108463.3,0.7103769661179254,0.0009543048112497555,0.02121040488017436,0.7103769661179254,False,,,,,,none
AJ011931.2,0.7101533125408662,0.0009594599944695597,0.021281255516430085,0.7101533125408662,False,,,,,,none
AC099487.2,0.7101533125408662,0.0009594599944695597,0.021281255516430085,0.7101533125408662,False,,,,,,none
AC136944.1,-0.7101533125408662,0.0009594599944695597,0.021281255516430085,0.7101533125408662,False,,,,,,none
NUFIP1,0.7089783281733747,0.000986925867795126,0.02155164495959074,0.7089783281733747,False,1.424,-10.58489665126158,1.7416123062856444e-24,-0.0811016014370415,-10.58489665126158,spredixcan
NAGK,0.7089783281733747,0.000986925867795126,0.02155164495959074,0.7089783281733747,False,0.41979,2.059055827735616,0.0797031952391428,0.0225048553400694,2.059055827735616,spredixcan
TLL2,0.7089783281733747,0.000986925867795126,0.02155164495959074,0.7089783281733747,False,2.2317,4.221423965361783,0.0001191247999587,0.0310043588626902,4.221423965361783,spredixcan
AC068987.2,0.7089783281733747,0.000986925867795126,0.02155164495959074,0.7089783281733747,False,,,,,,none
PHF8,0.7089783281733747,0.000986925867795126,0.02155164495959074,0.7089783281733747,False,,,,,,none
STH,0.7089783281733747,0.000986925867795126,0.02155164495959074,0.7089783281733747,False,5.5781,-9.42207307798585,1.4972700631886846e-19,0.0621011782291044,-9.42207307798585,spredixcan
PRC1-AS1,-0.7089783281733747,0.000986925867795126,0.02155164495959074,0.7089783281733747,True,,,,,,none
SNRPN,0.7089783281733747,0.000986925867795126,0.02155164495959074,0.7089783281733747,False,1.6887,2.9148877060101865,0.0101066950997592,-0.0473012731180131,2.9148877060101865,spredixcan
AL078600.1,-0.7089783281733747,0.000986925867795126,0.02155164495959074,0.7089783281733747,False,,,,,,none
