supertype,beta,se,t_stat,p_value,n_genes,p_bonferroni,p_fdr,source
Splat_351,1.149082403285999,2.9140522523571777,0.39432457065809506,0.34667320550436254,16870,1.0,0.6317993564083129,Siletti
CA4_193,1.2608662902351997,3.305611915656488,0.38143203812380805,0.3514437484114137,16870,1.0,0.6343772978437293,Siletti
L5/6 NP_3,1.2290561643833173,3.2275821881019517,0.38079779003430736,0.3516790477612959,16870,1.0,0.6343772978437293,SEA-AD
Pvalb_2,0.5413003541057211,1.4234269845934782,0.38027967712043415,0.35187130437057745,16870,1.0,0.6343772978437293,SEA-AD
DLNP_85,1.223345740204559,3.3906731915192188,0.3607973022184509,0.3591277492846727,16870,1.0,0.6451473496078228,Siletti
CBI_300,0.9053285953785689,2.545689944267609,0.35563191716147136,0.36106034283956834,16870,1.0,0.6463108628053483,Siletti
DLCT6b_107,0.5036421735037845,1.474597263523943,0.3415455771972595,0.36634857745925853,16870,1.0,0.6534074240860116,Siletti
Splat_410,0.780589704198366,2.308334349902855,0.33816145578356827,0.36762286484362083,16870,1.0,0.6534074240860116,Siletti
Splat_360,0.7322170960789799,2.228558194775608,0.3285609044428415,0.37124584091693347,16870,1.0,0.6575234435958364,Siletti
Oligo_46,0.9388033680715793,2.914666004177928,0.32209637973129124,0.3736918365308618,16870,1.0,0.6595333114913104,Siletti
CBI_303,0.674862298021521,2.156128341693913,0.312997276169252,0.37714330094026827,16870,1.0,0.6632974838215208,Siletti
Splat_384,0.8781544186399464,2.869380648889278,0.30604319401815,0.37978776805481895,16870,1.0,0.6635163592742069,Siletti
DG_200,0.4193511968094916,1.3716270624691624,0.3057326647190731,0.37990598701982425,16870,1.0,0.6635163592742069,Siletti
OPC_2,0.9025739102983518,3.0629961150928673,0.2946702758945506,0.3841246993702142,16870,1.0,0.6682626411724872,SEA-AD
DLIT_143,1.0213227386850874,3.501932509391338,0.2916454660237301,0.38528064799209005,16870,1.0,0.6682626411724872,Siletti
Splat_353,0.7468935956975874,2.614401154856931,0.2856843886830596,0.3875616855868842,16870,1.0,0.6699090304130679,Siletti
Splat_341,0.5456932788956976,1.976524458557784,0.27608728874211613,0.3912422031981464,16870,1.0,0.6724284411303001,Siletti
VLMC_2,0.30507989346549974,1.1097292062887492,0.27491381837716417,0.3916929090480674,16870,1.0,0.6724284411303001,SEA-AD
DLCT6b_97,0.5249258983643899,1.9656642014080996,0.2670475954073744,0.3947178903339865,16870,1.0,0.6748806104941408,Siletti
Amex_160,0.8510701394192656,3.2210003983671083,0.2642254064453755,0.3958047318007387,16870,1.0,0.6748806104941408,Siletti
Midi_439,0.5315720128502482,2.1775280643829724,0.24411718110318606,0.4035715179757444,16870,1.0,0.6857988971006739,Siletti
Splat_338,0.4027509038734721,1.71248978516576,0.23518441240482377,0.40703422962117664,16870,1.0,0.689354267674922,Siletti
Splat_416,0.3409962817918987,1.5523435646758592,0.21966547196857242,0.4130671778769702,16870,1.0,0.6972241291010605,Siletti
Splat_340,0.24030334267103784,1.15063849771355,0.20884347529527997,0.41728647670412067,16870,1.0,0.699928556664069,Siletti
VLMC_2_1-SEAAD,0.18852842433851857,0.9218204432227632,0.2045175128460018,0.4189757879368674,16870,1.0,0.699928556664069,SEA-AD
Mmb_328,0.5225261942435707,2.567424314461691,0.20352155711087758,0.4193649267880559,16870,1.0,0.699928556664069,Siletti
Splat_345,0.3294223264717392,1.677142006065242,0.19641886332845473,0.42214234984225985,16870,1.0,0.699928556664069,Siletti
Amex_155,1.0712425544222393,5.484917428495388,0.19530696102313075,0.4225775003447483,16870,1.0,0.699928556664069,Siletti
Splat_418,0.3004283681528176,1.547160478442986,0.19418048246369332,0.42301845174130603,16870,1.0,0.699928556664069,Siletti
CA13_119,0.6550025817721474,3.4832879315798166,0.1880414696223738,0.42542320263272804,16870,1.0,0.7015995768008597,Siletti
CA4_196,0.5733238572879198,3.1330407048593747,0.18299278920911857,0.4274029380676123,16870,1.0,0.7025610387189837,Siletti
Astro_5,0.3942218197545571,2.2117019546291914,0.17824364577217702,0.4292668874958403,16870,1.0,0.7031974554936727,SEA-AD
Oligo_48,0.2704605341207302,1.5465065663946809,0.17488482751886777,0.4305861158887698,16870,1.0,0.7031974554936727,Siletti
Splat_364,0.2378569833926492,1.6841592008847748,0.14123188785697385,0.4438442212490751,16870,1.0,0.7222785639603461,Siletti
DG_204,0.22579921990670646,1.6368513548680135,0.13794729694616262,0.44514185850438825,16870,1.0,0.7222785639603461,Siletti
Splat_381,0.2644355468507628,2.251264495294314,0.11746089693303338,0.4532481139803879,16870,1.0,0.7291487631312523,Siletti
DG_201,0.592490937176745,5.076547947357817,0.11671138405875153,0.45354507923046916,16870,1.0,0.7291487631312523,Siletti
Oligo_2_1-SEAAD,0.26330747588115533,2.264857115504289,0.11625787520045289,0.453724777057817,16870,1.0,0.7291487631312523,SEA-AD
Splat_377,0.37109046451931804,3.3197810357118476,0.11178160864448296,0.45549895028405984,16870,1.0,0.7296687006142742,Siletti
DG_199,0.1169820741444492,1.1201687175314143,0.10443254869877985,0.4584136678080537,16870,1.0,0.7298473894824078,Siletti
Thex_455,0.35058016615484944,3.365025153370188,0.10418352023423404,0.4585124753010753,16870,1.0,0.7298473894824078,Siletti
COP_38,0.24723246650017497,2.7435135236578243,0.09011527166468972,0.4640983418482424,16870,1.0,0.7364084099358545,Siletti
Splat_409,0.07758574389433029,0.933935842253653,0.0830739547452322,0.4668968606359889,16870,1.0,0.7385192481129007,Siletti
Amex_406,0.10701811182724426,1.4193757750501401,0.07539801207574068,0.46994946756601297,16870,1.0,0.740017551482061,Siletti
Thex_372,0.25569281570317276,3.6518475021859746,0.07001738587115605,0.472090325911104,16870,1.0,0.740017551482061,Siletti
Thex_452,0.0995760297308699,1.5189765589831814,0.06555468492385895,0.473866572329829,16870,1.0,0.740017551482061,Siletti
ULIT_127,0.23433522099525694,3.685047131798972,0.0635908341505686,0.47464839194607733,16870,1.0,0.740017551482061,Siletti
