gene,spearman_rho,pval,n_expressing,pval_fdr,abs_rho
KLHL5,0.15882920392375233,0.06680113555454274,122,0.33328477584172406,0.15882920392375233
KLK3,0.15882700749008133,0.06680495383530302,15,0.33328477584172406,0.15882700749008133
FTLP3,-0.15881911433350993,0.0668186767666873,126,0.3332848723631259,0.15881911433350993
CDK19,0.1588077232514106,0.0668384851873662,124,0.33331531643262935,0.1588077232514106
PPDPF,-0.15879231884130077,0.06686528015106724,98,0.3333249679609418,0.15879231884130077
LOC105372580,0.15878042603021622,0.06688597289807716,12,0.3333249679609418,0.15878042603021622
PQLC2,-0.15877577942630017,0.06689405911398398,84,0.3333249679609418,0.15877577942630017
DNAH2,0.1587709375667025,0.06690248596855261,92,0.3333249679609418,0.1587709375667025
HLX-AS1,0.15876636074747488,0.06691045233669632,27,0.3333249679609418,0.15876636074747488
KIAA1109,0.15875935270239958,0.0669226519696262,122,0.3333249679609418,0.15875935270239958
HK2,-0.1587507970997159,0.06693754805110542,56,0.33333089806530203,0.1587507970997159
DGAT1,-0.15874143141747007,0.06695385764844414,86,0.3333428445470357,0.15874143141747007
LOC101929550,0.15873304794671847,0.06696845954494418,20,0.3333428445470357,0.15873304794671847
SLC10A3,-0.15871745998364653,0.0669956167436583,41,0.3333428445470357,0.15871745998364653
LOC105373848,0.15871406493826423,0.06700153274735621,25,0.3333428445470357,0.15871406493826423
SULT1C4,0.15871008016813615,0.06700847691256354,10,0.3333428445470357,0.15871008016813615
MILR1,-0.15869450402573615,0.06703562670928481,59,0.3334097090381423,0.15869450402573615
ADAMTS9-AS2,-0.15868501061042584,0.06705217847621649,72,0.33342384639543265,0.15868501061042584
CSK,-0.15867651437854055,0.06706699447405184,75,0.3334293484471412,0.15867651437854055
PCYOX1L,0.1586588051446064,0.06709788495978124,79,0.3335147476204454,0.1586588051446064
ENG,-0.158637351026395,0.06713532321199045,83,0.33361368254198326,0.158637351026395
RPL10,-0.15862870424369296,0.06715041698171263,131,0.33361368254198326,0.15862870424369296
RPS25,-0.15862292547288623,0.06716050590708107,134,0.33361368254198326,0.15862292547288623
MRPL17,-0.1586159661693749,0.0671726575144152,67,0.33361368254198326,0.1586159661693749
PRIM2B,0.15860530237347464,0.06719128098938502,67,0.33363804510878586,0.15860530237347464
LOC105372009,-0.15855279765712965,0.06728303759273152,27,0.33398694165391263,0.15855279765712965
PRDM15,-0.15854938211758066,0.06728901007788216,78,0.33398694165391263,0.15854938211758066
USP48,0.15853046354146622,0.0673220993142599,118,0.3340223393848028,0.15853046354146622
PPP2R3C,-0.1585296002583331,0.0673236095417254,83,0.3340223393848028,0.1585296002583331
SNORD104,0.15851575697692832,0.06734783074230631,11,0.3340743608981505,0.15851575697692832
APOC1P1,-0.1584988194670449,0.06737747547012532,33,0.33415325874977936,0.1584988194670449
LOC100996251,0.15846200920570858,0.0674419389111339,112,0.3343315029892968,0.15846200920570858
LOC105375237,-0.1584566425784562,0.06745134132892554,13,0.3343315029892968,0.1584566425784562
STRA13,-0.15845337520610808,0.06745706634035321,76,0.3343315029892968,0.15845337520610808
MGC27382,0.15844690612322296,0.06746840247816573,37,0.3343315029892968,0.15844690612322296
KRT8P30,0.15839262716783434,0.06756357960460369,10,0.3346380419568406,0.15839262716783434
CCL17,0.15838889764769595,0.06757012325543685,18,0.3346380419568406,0.15838889764769595
CHST8,0.1583880902268987,0.06757153998807797,61,0.3346380419568406,0.1583880902268987
