gene,specificity,gwas_zstat,gwas_p,contribution,is_scz_gwas
SLC35G2,0.008262622,4.1537,1.6355e-05,0.0343204530014,False
FMN1,0.014523277,2.3628,0.0090694,0.0343155988956,False
TMEM127,0.008879745,3.8622,5.6189e-05,0.034295351139,False
ZBED4,0.0069674007,4.9175,4.3824e-07,0.034262192942250004,True
AMH,0.009950578,3.4418,0.00028896,0.0342478993604,False
DLL3,0.009556934,3.5829,0.00016988,0.034241538828599996,False
PRRT4,0.018546382,1.8461,0.032436,0.0342384758102,False
JOSD2,0.008152266,4.1958,1.3593e-05,0.0342052776828,False
CNTNAP2,0.010710185,3.1929,0.00070415,0.0341965496865,False
NUP210L,0.008361134,4.0891,2.1651e-05,0.034189513039399995,False
ARL2,0.0072887107,4.6896,1.3685e-06,0.034181137698720006,False
ARL17B,0.005839932,5.8529,2.4154e-09,0.0341805380028,True
RBM6,0.007542251,4.5317,2.9253e-06,0.0341792188567,False
KLC1,0.0068191243,5.0115,2.7008e-07,0.03417404142945,False
KLRG2,0.013162305,2.5908,0.0047879,0.034100899794,False
LRP1B,0.008804539,3.8731,5.3738e-05,0.0341008600009,False
ZNF281,0.0069922986,4.8706,5.5639e-07,0.03405668956116,True
GPR52,0.011979113,2.8428,0.0022356,0.0340542224364,False
UBE2O,0.010554751,3.2262,0.00062727,0.0340517376762,False
RPH3AL,0.028975105,1.175,0.12001,0.034045748375000004,False
LDB2,0.016133219,2.1041,0.017686,0.0339459060979,False
MSANTD2,0.006369528,5.3243,5.0669e-08,0.0339132779304,True
SHANK3,0.008258498,4.1005,2.061e-05,0.033863971049,True
NDRG4,0.008465353,3.9976,3.1993e-05,0.033841095152799996,False
KDM4A,0.005577219,6.065,6.5988e-10,0.033825833235,True
SLC9A1,0.010989933,3.0759,0.0010493,0.0338039349147,False
ASIC2,0.013357123,2.5304,0.0056973,0.0337988640392,False
GPR176,0.013955465,2.4202,0.007755,0.033775016393,False
MPV17,0.00927452,3.6382,0.00013729,0.033742558664,False
CCDC117,0.0086183995,3.9137,4.5456e-05,0.03372983012315,False
HARS,0.0070359153,4.7935,8.1953e-07,0.033726659990549995,False
CYP7B1,0.008046911,4.1911,1.3882e-05,0.0337254086921,True
ENKD1,0.009458242,3.5639,0.0001827,0.0337082286638,False
ZNF835,0.012278788,2.7446,0.0030293,0.0337003615448,False
NEK1,0.008772126,3.8411,6.1251e-05,0.0336946131786,True
GPN3,0.0062529743,5.3819,3.6857e-08,0.03365288238517,False
EDC4,0.008476643,3.9674,3.6329e-05,0.033630233438200006,False
ZC3H7B,0.0078260675,4.2962,8.6881e-06,0.0336223511935,False
NUFIP2,0.007955833,4.2239,1.2007e-05,0.03360464300870001,False
RNF180,0.009795276,3.4306,0.00030108,0.0336036738456,False
POLG,0.0071155666,4.7169,1.1973e-06,0.03356341609554,False
LRRC43,0.0093958555,3.5713,0.00017763,0.03355541874715,False
SULT1A3,0.009223156,3.6333,0.00013991,0.0335104926948,False
PPP2R2B,0.008069164,4.1527,1.6425e-05,0.0335088173428,False
CCL22,0.02569889,1.3036,0.096193,0.033501073004,False
SLC25A20,0.009728588,3.4408,0.00028998,0.0334741255904,False
MFSD2B,0.008908825,3.7558,8.6405e-05,0.033459764935,False
PPFIA3,0.0088415425,3.7826,7.7607e-05,0.0334440186605,False
CD47,0.008945155,3.7383,9.2642e-05,0.0334396729365,False
ACE,0.007981663,4.1895,1.3977e-05,0.0334391771385,False
DPH2,0.010446343,3.1986,0.00069039,0.0334136727198,False
ATP2B2,0.009695939,3.4447,0.00028586,0.033399601073300006,False
BNC1,0.011850426,2.8172,0.002422,0.0333850201272,False
DACH1,0.014768234,2.2587,0.01195,0.0333570101358,False
CFHR2,0.04515925,0.73778,0.23032,0.033317591465,False
TXNRD1,0.0075954497,4.3768,6.0208e-06,0.03324376424696,True
NCKIPSD,0.007877305,4.2196,1.2239e-05,0.033239076177999996,False
MRPS30,0.0057482393,5.78,3.7343e-09,0.033224823154,False
UBXN2A,0.009200277,3.6101,0.00015306,0.0332139199977,False
NPFFR2,0.023128789,1.4351,0.075624,0.0331921250939,False
MON1A,0.007402607,4.48,3.7326e-06,0.033163679360000003,False
PCSK6,0.015123988,2.1901,0.014259,0.0331230461188,False
KCNMA1,0.007752633,4.2649,9.9994e-06,0.0330642044817,False
PKNOX2,0.011005743,3.0034,0.0013347,0.0330546485262,False
SPATA33,0.006458408,5.1139,1.5779e-07,0.033027652671199996,False
DNER,0.01003154,3.2919,0.00049749,0.033022826526,False
ARSA,0.007388259,4.4671,3.9648e-06,0.033004091778900006,True
GABRB1,0.008590529,3.8388,6.1825e-05,0.0329773227252,False
ZNF79,0.010695348,3.0828,0.0010252,0.0329716188144,False
NMRAL1,0.008989702,3.6677,0.00012238,0.0329715300254,False
CUEDC2,0.0084087895,3.9175,4.4735e-05,0.032941432866249995,False
ARHGEF11,0.009355254,3.5161,0.00021899,0.032894008589399996,False
TARBP2,0.007327512,4.4868,3.6154e-06,0.032877080841599994,False
PRODH2,0.022415437,1.4657,0.071361,0.0328543060109,False
TMX1,0.009855709,3.332,0.00043113,0.032839222388,True
AP5B1,0.008205981,3.9989,3.1819e-05,0.0328148974209,False
GATAD2B,0.006277351,5.2119,9.3442e-08,0.032716925676899995,False
SLC12A8,0.009247562,3.5346,0.00020417,0.032686432645200006,False
NCAM1,0.007366849,4.4351,4.6019e-06,0.0326727119999,False
KIF26B,0.015658455,2.0855,0.018511,0.032655707902500004,False
SNX8,0.0059037916,5.5302,1.5998e-08,0.03264914830631999,False
EIF2AK2,0.007440332,4.387,5.7466e-06,0.032640736483999996,False
SCT,0.012776487,2.5544,0.005319,0.032636258392799995,False
NTAN1,0.010537971,3.0947,0.00098495,0.0326118588537,False
NAGA,0.0047988794,6.7953,5.4027e-12,0.03260982518682,True
NSUN6,0.006628054,4.9146,4.4471e-07,0.032574234188400004,False
PRPF40B,0.009561636,3.4049,0.0003309,0.032556414416400004,False
PLEKHM1,0.0076716705,4.238,1.1276e-05,0.032512539579,False
SFXN2,0.0074096974,4.3876,5.7295e-06,0.03251078831224,False
ITSN1,0.008107971,4.0086,3.0536e-05,0.0325016125506,False
SCN9A,0.011995038,2.7082,0.0033826,0.032484961911600004,False
PCDHA13,0.005945005,5.4633,2.3367e-08,0.0324793458165,True
NEFH,0.013059848,2.4868,0.0064449,0.0324772300064,False
C16orf96,0.009223695,3.5194,0.00021627,0.032461872183,False
C19orf73,0.008121957,3.9939,3.2497e-05,0.0324382840623,False
JRK,0.008942125,3.6258,0.00014403,0.032422356825,False
PRKD3,0.006215001,5.2106,9.4095e-08,0.032383884210600004,True
CDK5R1,0.007322533,4.4194,4.9484e-06,0.032361202340200006,False
CERS5,0.0086077275,3.7561,8.6286e-05,0.03233148526275,False
IL1RAP,0.011253806,2.871,0.0020461,0.032309677026,False
SIX4,0.022271674,1.4504,0.073475,0.0323028359696,False
GCLC,0.00891322,3.6155,0.00014987,0.03222574691,False
PCDHA11,0.0061267903,5.2593,7.2302e-08,0.032222628224789995,True
OSBP2,0.010393527,3.0995,0.00096914,0.032214736936499996,False
TARSL2,0.012192702,2.6414,0.0041281,0.0322058030628,False
SATB1,0.015876917,2.0281,0.021274,0.0321999753677,False
C15orf62,0.032319926,0.99626,0.15956,0.03219904947676,False
MFAP3,0.007121921,4.52,3.0919e-06,0.032191082919999996,True
