cell_type,group,cell_class,color,n_genes,beta,se,p,neglog10p,fdr,bonferroni,depleted_scz
L5/6 NP_1,L5/6 NP,Excitatory,#9fd4ae,15855,-1.8375,0.91241,0.97798,0.00967002658095896,0.9938821138211382,1.0,False
L5/6 NP_2,L5/6 NP,Excitatory,#86ba96,15855,0.3315,1.1594,0.38747,0.41176191725786476,0.5207930107526881,1.0,False
L5/6 NP_3,L5/6 NP,Excitatory,#6da17e,15855,0.43843,0.67087,0.25671,0.5905572132910444,0.38410714285714287,1.0,False
L5/6 NP_6,L5/6 NP,Excitatory,#225637,15855,0.29695,0.71937,0.33988,0.468674390418972,0.4720555555555556,1.0,False
L5/6 NP_4,L5/6 NP,Excitatory,#538866,15855,1.169,1.0665,0.13652,0.8648037203933987,0.2306081081081081,1.0,False
Astro_1,Astro,Non-neuronal,#d1c9ba,15855,-0.82904,0.56841,0.92764,0.03262053277582078,0.97715625,1.0,False
Astro_2,Astro,Non-neuronal,#aaa395,15855,-0.81902,0.61036,0.91017,0.04087748332004075,0.97715625,1.0,False
Astro_5,Astro,Non-neuronal,#383228,15855,-1.0909,0.59404,0.96684,0.014645390308326525,0.9920184426229508,1.0,False
Astro_3,Astro,Non-neuronal,#847d71,15855,-0.86646,0.56322,0.93801,0.027792531640477996,0.97715625,1.0,False
Astro_4,Astro,Non-neuronal,#5e574c,15855,-0.60959,0.54631,0.86774,0.06161038251952178,0.943195652173913,1.0,False
OPC_1,OPC,Non-neuronal,#75827f,15855,0.70348,0.53604,0.094712,1.0235949924474286,0.17410294117647057,1.0,False
OPC_2,OPC,Non-neuronal,#263430,15855,-0.29573,0.75338,0.65267,0.18530634920671665,0.7562152777777778,1.0,False
Oligo_1,Oligo,Non-neuronal,#b2cec5,15855,-0.29847,0.62142,0.68449,0.16463289227293176,0.7779545454545455,1.0,False
Oligo_2,Oligo,Non-neuronal,#799b8e,15855,0.39114,0.65936,0.27653,0.5582577463567518,0.40193313953488374,1.0,False
Oligo_4,Oligo,Non-neuronal,#32443d,15855,0.025443,0.64315,0.48422,0.31495727662444584,0.593406862745098,1.0,False
Oligo_3,Oligo,Non-neuronal,#4a6b61,15855,0.58223,0.63697,0.18035,0.743883853345618,0.29662828947368425,1.0,False
Endo_2,Endo,Non-neuronal,#b09a93,15855,-0.68254,0.2039,0.99959,0.00017809725001195225,0.99959,1.0,False
Micro-PVM_2,Micro-PVM,Non-neuronal,#94af97,15855,-0.53311,0.19862,0.99636,0.00158371602912436,0.99959,1.0,False
L6 CT_4,L6 CT,Excitatory,#1b5166,15855,2.2055,1.0186,0.015194,1.818327877931734,0.03956770833333333,1.0,False
Astro_6-SEAAD,Astro,Non-neuronal,#998a6b,15855,-0.61947,0.40255,0.93807,0.02776475279424217,0.97715625,1.0,False
VLMC_1,VLMC,Non-neuronal,#979e8a,15855,-0.40733,0.27835,0.92831,0.03230697118686054,0.97715625,1.0,False
OPC_2_2-SEAAD,OPC,Non-neuronal,#719a8e,15855,0.28688,0.56363,0.30538,0.5151594092378843,0.43734375000000003,1.0,False
Micro-PVM_3-SEAAD,Micro-PVM,Non-neuronal,#7f9381,15855,0.19252,0.29657,0.25812,0.5881783435649126,0.38410714285714287,1.0,False
