supertype,beta,se,t_stat,p_value,n_genes,p_bonferroni,p_fdr,source
ULIT_128,15.86805709444786,4.884005220199475,3.2489844664416165,0.000580257823988295,16363,0.267498856858604,0.0038214122408371997,Conti
Splat_425,19.253047574076483,5.993981835580453,3.212063049605827,0.0006602022438336741,16363,0.30435323440732376,0.0042866652733425875,Conti
DLCT6b_109,20.117915312577423,6.277424493806956,3.204804029490903,0.0006770690588345785,16363,0.31212883612274067,0.004335122723926953,Conti
CGE_290,12.62802287424425,3.967982882330447,3.1824791710864564,0.000731465420186761,16363,0.3372055587060968,0.004619254228850641,Conti
MSN_207,14.161380315234606,4.548179172585123,3.11363729920637,0.0009255768763708483,16363,0.42669094000696106,0.005766093783877852,Conti
CGE_285,14.544854554471463,4.692221922110895,3.0997797623195438,0.0009699666503369953,16363,0.4471546258053548,0.005962061677404731,Conti
Thex_450,11.132720297292916,3.623678819830955,3.072214964628752,0.0010641285101637976,16363,0.4905632431855107,0.006454779515598825,Conti
Midi_434,13.17674488705546,4.3143082784412226,3.0541964172797296,0.0011301354704457145,16363,0.5209924518754744,0.006766135738642524,Conti
DLIT_136,11.79047106992777,3.879562562006736,3.0391238397323463,0.0011882096106720086,16363,0.547764630519796,0.007014046692711017,Conti
CBI_307,9.13953823998366,3.010734521192105,3.0356506612096923,0.0012019732944125172,16363,0.5541096887241704,0.007014046692711017,Conti
Midi_436,10.910329312259318,3.6032594468868266,3.0279055596969884,0.0012331931129556661,16363,0.5685020250725621,0.0071062753134070265,Conti
Amex_407,13.949673720183782,4.634425042696727,3.0100117256544516,0.0013081790579206887,16363,0.6030705457014375,0.007445315379030093,Conti
LLC_266,13.658135491324527,4.562860219637944,2.9933276133557034,0.0013818276986834466,16363,0.6370225690930689,0.007729681146120294,Conti
Splat_422,15.799097496707208,5.281933268963342,2.9911581029511978,0.0013916779503860832,16363,0.6415635351279844,0.007729681146120294,Conti
CA13_179,13.058770764290687,4.403516720856634,2.9655322307372347,0.0015129795722208517,16363,0.6974835827938126,0.008286412327347583,Conti
MGE_258,8.715861859690657,2.944484309094581,2.9600639516977947,0.0015400813091944743,16363,0.7099774835386526,0.008286412327347583,Conti
CA4_198,10.996565022682681,3.7215236989339404,2.9548555678505375,0.0015663058907454674,16363,0.7220670156336605,0.008286412327347583,Conti
EMSN_232,15.722456204697039,5.325428845280364,2.952336170753833,0.0015791367731027295,16363,0.7279820524003583,0.008286412327347583,Conti
DLNP_94,14.95557315563376,5.069366167390902,2.950186011781249,0.0015901628882326602,16363,0.7330650914752563,0.008286412327347583,Conti
MGE_244,11.934112937851765,4.047760331308491,2.948324989882469,0.001599762900507451,16363,0.7374906971339349,0.008286412327347583,Conti
Splat_385,16.18948786638374,5.549266345539453,2.9174104932622282,0.0017671551807738606,16363,0.8146585383367497,0.009051761537074998,Conti
CGE_289,6.586183525085223,2.2674185231032458,2.9047057073835703,0.0018404535972103009,16363,0.8484491083139487,0.009323616574878558,Conti
