gene,spearman_rho_sag,pval_sag,pval_fdr_sag,spearman_rho_tau,pval_tau,pval_fdr_tau,combined_score,is_scz
IL3RA,0.6852941176470588,0.0033915617452165985,0.1143566859836144,-0.9088235294117648,1.1005852200187758e-06,0.0011503955769118837,1.5941176470588236,False
ZNF268,0.7411764705882353,0.0010184695495736751,0.07097090067706623,-0.8529411764705882,2.679074057724726e-05,0.0054256272932783935,1.5941176470588236,False
CARF,0.8911764705882352,3.618648907351986e-06,0.019542513424154397,-0.7000000000000001,0.002535094604431934,0.043717227497290026,1.5911764705882354,False
ENPP5,0.8029411764705883,0.0001805167946798431,0.040339901365592803,-0.788235294117647,0.0002864656823918494,0.014899434199908662,1.5911764705882354,False
Z97989.1,0.7205882352941175,0.0016381911638796128,0.08493169325310575,-0.8705882352941177,1.1498934802741624e-05,0.003802040657277927,1.5911764705882352,False
KIRREL3-AS2,0.7254539423422365,0.00146956213999745,0.08238446716667366,-0.8627826721683389,1.6955268704742365e-05,0.004370768111782324,1.5882366145105755,False
SPESP1,0.7705882352941176,0.00047682239536332553,0.05440308477802055,-0.8176470588235294,0.00010936308081986552,0.009228364343245058,1.588235294117647,False
TPT1-AS1,0.8441176470588234,3.930242737399882e-05,0.024490702965378534,-0.7441176470588236,0.0009482827857378677,0.026375285069754617,1.588235294117647,False
ASPHD1,0.75,0.0008197640272555874,0.06542564969251921,-0.8352941176470589,5.637132062814421e-05,0.007191338198085657,1.585294117647059,True
NEMF,0.7176470588235294,0.0017475350604702388,0.086982148332438,-0.8676470588235294,1.334868129916697e-05,0.004042404861092592,1.585294117647059,False
KLF3,0.7294117647058823,0.0013430786823836695,0.07941565427970446,-0.8558823529411764,2.3449156927289172e-05,0.005065486879433007,1.5852941176470587,False
AL662791.2,0.8503937011074523,2.9999170996594395e-05,0.02300055418056666,-0.7333534530456254,0.0012260810967317333,0.030256257037077204,1.5837471541530777,False
ENTPD6,0.823529411764706,8.83913936384215e-05,0.03147413547325024,-0.7588235294117647,0.0006540302361647908,0.022144766711021648,1.5823529411764707,False
XK,0.7294117647058823,0.0013430786823836695,0.07941565427970446,-0.8529411764705882,2.679074057724726e-05,0.0054256272932783935,1.5823529411764705,False
TXNDC5,0.7529411764705882,0.0007610810731946066,0.06438984338048259,-0.8264705882352942,7.923548582249701e-05,0.008124896984513833,1.5794117647058825,False
ERC1,0.7735294117647058,0.00043935565171172104,0.05433756176494236,-0.8058823529411765,0.00016384666473672616,0.01132009270248217,1.5794117647058823,False
CCND2-AS1,0.8676470588235294,1.334868129916697e-05,0.021626866006845366,-0.7088235294117646,0.0021116812392545335,0.03975874909678365,1.576470588235294,False
TMEM145,0.6823529411764706,0.0035879704117567236,0.11719859400418661,-0.8941176470588235,3.0113099296374175e-06,0.0019913362377559436,1.576470588235294,False
LINC01122,0.6852941176470588,0.0033915617452165985,0.1143566859836144,-0.888235294117647,4.32625086797558e-06,0.002261024304435689,1.5735294117647058,False
HPGD,0.8676470588235294,1.334868129916697e-05,0.021626866006845366,-0.7058823529411764,0.0022459006010513297,0.041138449505859945,1.5735294117647058,False
TPD52L1,0.7735294117647058,0.00043935565171172104,0.05433756176494236,-0.7999999999999999,0.00019857097280000065,0.012373644676227733,1.5735294117647056,False
AC103855.2,0.7411764705882353,0.0010184695495736751,0.07097090067706623,-0.8294117647058824,7.088454064639912e-05,0.007865999214264625,1.5705882352941178,False
AC126773.6,0.7411764705882353,0.0010184695495736751,0.07097090067706623,-0.8294117647058824,7.088454064639912e-05,0.007865999214264625,1.5705882352941178,False
PROS1,0.7999999999999999,0.00019857097280000065,0.04178113786778195,-0.7705882352941176,0.00047682239536332553,0.01921701004596746,1.5705882352941174,False
PRCD,0.7735294117647058,0.00043935565171172104,0.05433756176494236,-0.7941176470588236,0.00023919092762563114,0.013549831517226094,1.5676470588235294,False
NBPF14,0.8205882352941177,9.841270416875375e-05,0.0331186159608047,-0.7441176470588236,0.0009482827857378677,0.026375285069754617,1.5647058823529414,False
AC010735.2,0.7029411764705883,0.0023869526693009323,0.0991595222350745,-0.8617647058823529,1.780518441981504e-05,0.004370768111782324,1.5647058823529412,False
AC007681.1,0.7852941176470588,0.00031285391788601164,0.045256274559198374,-0.7764705882352941,0.0004043508405454708,0.017899153396441107,1.561764705882353,False
LINC01405,0.7264705882352941,0.0014361826350785254,0.0807927533410581,-0.8352941176470589,5.637132062814421e-05,0.007191338198085657,1.561764705882353,False
AC007405.1,0.823529411764706,8.83913936384215e-05,0.03147413547325024,-0.7352941176470589,0.0011716155350991776,0.02945217857549934,1.558823529411765,False
VWC2,0.8147058823529412,0.00012130950572235612,0.03418079925149135,-0.7441176470588236,0.0009482827857378677,0.026375285069754617,1.5588235294117647,False
AC068234.2,0.7264705882352941,0.0014361826350785254,0.0807927533410581,-0.8323529411764706,6.328124573232546e-05,0.007679783541065699,1.5588235294117647,False
ST3GAL4,0.7617647058823529,0.0006053428380705889,0.05855201188657102,-0.7970588235294117,0.0002180980699057476,0.013038803983682543,1.5588235294117645,False
KLHL13,0.6470588235294118,0.006742077007179861,0.14622725653524032,-0.9088235294117648,1.1005852200187758e-06,0.0011503955769118837,1.5558823529411767,False
