cell_type,source,group,cell_class,color,n_genes,beta,se,p,neglog10p,fdr,bonferroni,depleted_scz
Pvalb_8,SEA-AD,Pvalb,Inhibitory,#a64a52,15981,20.309,5.0664,3.0719e-05,4.512592926060794,0.00022632675,0.015390219,False
Pvalb_7,SEA-AD,Pvalb,Inhibitory,#b25159,15981,4.6019,3.4434,0.090713,1.0423304701207639,0.14816218241042345,1.0,False
Pvalb_1,SEA-AD,Pvalb,Inhibitory,#f97d86,15981,15.908,5.0749,0.00086224,3.0643718337480497,0.003348699534883721,0.43198224,False
Pvalb_3,SEA-AD,Pvalb,Inhibitory,#e16e77,15981,17.779,4.8601,0.00012749,3.894523878878179,0.0007427033720930231,0.06387248999999999,False
Pvalb_2,SEA-AD,Pvalb,Inhibitory,#ed757e,15981,15.107,4.6851,0.00063247,3.1989600695884306,0.0026929599152542374,0.31686747,False
Pvalb_15,SEA-AD,Pvalb,Inhibitory,#54181e,15981,8.365,4.1777,0.022636,1.6452003147367096,0.047450359832635985,1.0,False
Pvalb_14,SEA-AD,Pvalb,Inhibitory,#5f1f25,15981,24.468,4.9187,3.3106e-07,6.480093289283262,4.364764736842105e-06,0.00016586106,False
Pvalb_12,SEA-AD,Pvalb,Inhibitory,#772d34,15981,17.099,4.9771,0.00029651,3.527960655178019,0.0014855151,0.14855151,False
Pvalb_10,SEA-AD,Pvalb,Inhibitory,#8e3c43,15981,12.435,4.373,0.0022343,2.650858514480367,0.007186138461538462,1.0,False
Pvalb_13,SEA-AD,Pvalb,Inhibitory,#6b262c,15981,7.7561,3.9214,0.02398,1.62015082123717,0.04944024691358025,1.0,False
Pvalb_9,SEA-AD,Pvalb,Inhibitory,#9a434a,15981,11.902,4.3577,0.0031586,2.5005053689641032,0.00941939642857143,1.0,False
Chandelier_1,SEA-AD,Chandelier,Inhibitory,#f87cc3,15981,23.53,5.2587,3.8611e-06,5.413288950283284,3.8688222e-05,0.0019344111,False
Chandelier_2,SEA-AD,Chandelier,Inhibitory,#ad2d76,15981,14.691,4.4146,0.00043892,3.3576146294723137,0.0020174212844036696,0.21989892,False
L2/3 IT_1,SEA-AD,L2/3 IT,Excitatory,#eef987,15981,10.758,4.6332,0.010124,1.9946478635137834,0.024742068292682926,1.0,False
L2/3 IT_2,SEA-AD,L2/3 IT,Excitatory,#e1ec7f,15981,5.5533,3.9436,0.079548,1.099370734934845,0.13373673825503354,1.0,False
L2/3 IT_6,SEA-AD,L2/3 IT,Excitatory,#adbc63,15981,7.169,4.5808,0.058803,1.2306005166073646,0.10410001060070671,1.0,False
L2/3 IT_7,SEA-AD,L2/3 IT,Excitatory,#a0b05c,15981,8.9219,4.3995,0.021293,1.6717631459050837,0.0452025127118644,1.0,False
L2/3 IT_5,SEA-AD,L2/3 IT,Excitatory,#bac86a,15981,5.9125,4.5264,0.095748,1.018870288879291,0.15524190291262135,1.0,False
L2/3 IT_13,SEA-AD,L2/3 IT,Excitatory,#536831,15981,3.7054,3.6107,0.1524,0.8170150329964183,0.2252283185840708,1.0,False
L2/3 IT_10,SEA-AD,L2/3 IT,Excitatory,#798c46,15981,2.9153,4.1917,0.24338,0.613715113232142,0.3295496756756757,1.0,False
L2/3 IT_8,SEA-AD,L2/3 IT,Excitatory,#93a454,15981,6.0669,4.4997,0.088793,1.0516212704961947,0.1463332006578947,1.0,False
L2/3 IT_12,SEA-AD,L2/3 IT,Excitatory,#5f7438,15981,7.0707,4.0138,0.039081,1.4080343321353137,0.07444707604562738,1.0,False
L6 IT_1,SEA-AD,L6 IT,Excitatory,#beb867,15981,15.102,4.7426,0.00072698,3.1384775368839004,0.002985385081967213,0.36421698,False
L6 IT_2,SEA-AD,L6 IT,Excitatory,#716c18,15981,15.136,5.0126,0.0012681,2.896846497451319,0.004603754347826087,0.6353181,False
L4 IT_2,SEA-AD,L4 IT,Excitatory,#72c3c7,15981,11.288,3.7132,0.0011852,2.9262083571919866,0.004398408888888888,0.5937852,False
L4 IT_3,SEA-AD,L4 IT,Excitatory,#579697,15981,9.7011,4.5981,0.017446,1.75830413186019,0.039371378378378376,1.0,False
L4 IT_4,SEA-AD,L4 IT,Excitatory,#3c6868,15981,7.8908,4.5868,0.042696,1.369612810204469,0.08041615037593984,1.0,False
L5 IT_1,SEA-AD,L5 IT,Excitatory,#b0dfe2,15981,6.3769,3.8222,0.04763,1.3221194184884095,0.08732103260869566,1.0,False
L5 IT_3,SEA-AD,L5 IT,Excitatory,#82adad,15981,2.8989,3.5105,0.20447,0.6893704030121934,0.29019679886685557,1.0,False
L2/3 IT_3,SEA-AD,L2/3 IT,Excitatory,#d4e078,15981,3.8359,4.3666,0.18986,0.7215665234625842,0.2719284857142857,1.0,False
L4 IT_1,SEA-AD,L4 IT,Excitatory,#8df2f7,15981,4.8053,4.1235,0.12195,0.9138181953502506,0.18946486068111454,1.0,False
L5 IT_2,SEA-AD,L5 IT,Excitatory,#99c6c7,15981,10.415,4.8988,0.016762,1.775674163680515,0.037998923076923076,1.0,False
L5 IT_5,SEA-AD,L5 IT,Excitatory,#547b79,15981,0.48258,4.1593,0.45382,0.34311636852547633,0.5613921481481481,1.0,False
