cell_type,source,group,cell_class,color,n_genes,beta,se,p,neglog10p,fdr,bonferroni,depleted_scz
LRL_316,Siletti,Lower rhombic lip,Siletti,#9e9e9e,15981,-11.837,3.6872,0.99934,0.0002867289890342233,1.0,1.0,False
LRL_317,Siletti,Lower rhombic lip,Siletti,#9e9e9e,15981,-8.3215,4.08,0.9793,0.009084245493915564,1.0,1.0,False
LRL_318,Siletti,Lower rhombic lip,Siletti,#9e9e9e,15981,-5.0369,4.5203,0.86741,0.06177557536251056,0.9899143735763098,1.0,False
LRL_319,Siletti,Lower rhombic lip,Siletti,#9e9e9e,15981,-6.9924,4.6594,0.93327,0.02999269436006342,1.0,1.0,False
LRL_320,Siletti,Lower rhombic lip,Siletti,#9e9e9e,15981,-6.9597,4.9488,0.92018,0.036127210306204985,1.0,1.0,False
LRL_321,Siletti,Lower rhombic lip,Siletti,#9e9e9e,15981,-4.8692,4.9614,0.8368,0.07737832847680098,0.9593519450800916,1.0,False
LRL_322,Siletti,Lower rhombic lip,Siletti,#9e9e9e,15981,-2.3011,3.6306,0.73689,0.13259733705067453,0.8666241549295775,1.0,False
Mmb_323,Siletti,Mammillary body,Siletti,#9e9e9e,15981,7.7739,5.3853,0.074448,1.1281469648108078,0.12686546938775511,1.0,False
Mmb_324,Siletti,Mammillary body,Siletti,#9e9e9e,15981,6.9182,5.4172,0.1008,0.9965394678904935,0.1613444089456869,1.0,False
Mmb_325,Siletti,Mammillary body,Siletti,#9e9e9e,15981,8.8967,5.7996,0.062523,1.2039601916863198,0.10914293728222994,1.0,False
Mmb_326,Siletti,Mammillary body,Siletti,#9e9e9e,15981,10.047,5.6408,0.037461,1.4264206335628842,0.0721844653846154,1.0,False
Mmb_327,Siletti,Mammillary body,Siletti,#9e9e9e,15981,12.809,6.341,0.021701,1.663520253042004,0.04583518487394958,1.0,False
Mmb_328,Siletti,Mammillary body,Siletti,#9e9e9e,15981,20.136,6.2232,0.00060829,3.215889323074339,0.0026500286086956525,0.30475329,False
Mmb_329,Siletti,Mammillary body,Siletti,#9e9e9e,15981,21.441,6.9213,0.00097658,3.0102921741524273,0.0037065649999999993,0.48926657999999995,False
Mmb_330,Siletti,Mammillary body,Siletti,#9e9e9e,15981,12.511,6.0513,0.019351,1.7132965870657308,0.042214695652173916,1.0,False
Mmb_331,Siletti,Mammillary body,Siletti,#9e9e9e,15981,14.121,5.6875,0.0065244,2.1854594209506644,0.017294838095238095,1.0,False
Mmb_332,Siletti,Mammillary body,Siletti,#9e9e9e,15981,17.912,6.402,0.002576,2.5890541413122254,0.008116830188679246,1.0,False
Mmb_333,Siletti,Mammillary body,Siletti,#9e9e9e,15981,8.1338,4.934,0.049636,1.3042032241096984,0.08945192805755396,1.0,False
Splat_334,Siletti,Splatter,Siletti,#9e9e9e,15981,2.3811,2.9658,0.21104,0.67563522179771,0.29567373259052926,1.0,False
Splat_335,Siletti,Splatter,Siletti,#9e9e9e,15981,-1.9965,3.577,0.71162,0.14775185461905838,0.8388744,1.0,False
Splat_336,Siletti,Splatter,Siletti,#9e9e9e,15981,-5.7598,4.0133,0.92437,0.03415415779037225,1.0,1.0,False
Splat_337,Siletti,Splatter,Siletti,#9e9e9e,15981,-6.8102,3.9082,0.95928,0.018054610028289085,1.0,1.0,False
Splat_338,Siletti,Splatter,Siletti,#9e9e9e,15981,-1.4928,3.7829,0.65343,0.1848009302594713,0.7794486428571429,1.0,False
Splat_339,Siletti,Splatter,Siletti,#9e9e9e,15981,13.351,5.2868,0.0057855,2.237659102078277,0.01566775945945946,1.0,False
Splat_340,Siletti,Splatter,Siletti,#9e9e9e,15981,2.1724,4.0504,0.29587,0.5288990682796165,0.3890574015748032,1.0,False
Splat_341,Siletti,Splatter,Siletti,#9e9e9e,15981,7.1829,4.1218,0.040707,1.3903309028147566,0.07695927169811322,1.0,False
Splat_342,Siletti,Splatter,Siletti,#9e9e9e,15981,-1.4909,3.8154,0.65201,0.18574574336084887,0.7794486428571429,1.0,False
Splat_343,Siletti,Splatter,Siletti,#9e9e9e,15981,3.8017,3.6746,0.15044,0.8226366752496386,0.22365115727002965,1.0,False
Splat_344,Siletti,Splatter,Siletti,#9e9e9e,15981,2.7266,4.8966,0.28882,0.5393727363486104,0.3807863684210527,1.0,False
Splat_345,Siletti,Splatter,Siletti,#9e9e9e,15981,3.4352,3.4829,0.162,0.790484985457369,0.2373157894736842,1.0,False
Splat_346,Siletti,Splatter,Siletti,#9e9e9e,15981,5.7695,3.2809,0.039342,1.405143565949841,0.07466038636363637,1.0,False
Splat_347,Siletti,Splatter,Siletti,#9e9e9e,15981,1.0601,5.2405,0.41985,0.3769058424781564,0.5232458955223881,1.0,False
Splat_348,Siletti,Splatter,Siletti,#9e9e9e,15981,-0.46066,3.7194,0.54928,0.2602062139183251,0.6647084057971014,1.0,False
Splat_349,Siletti,Splatter,Siletti,#9e9e9e,15981,10.27,5.4255,0.029197,1.5346617701399117,0.05874577108433735,1.0,False
Splat_350,Siletti,Splatter,Siletti,#9e9e9e,15981,17.733,6.1778,0.0020523,2.687759154855788,0.006676638311688311,1.0,False
Splat_351,Siletti,Splatter,Siletti,#9e9e9e,15981,1.8315,5.4411,0.36821,0.433904420922051,0.4693974809160305,1.0,False
Splat_352,Siletti,Splatter,Siletti,#9e9e9e,15981,21.08,6.2159,0.00034875,3.457485783718346,0.0016963470873786407,0.17472374999999998,False
Splat_353,Siletti,Splatter,Siletti,#9e9e9e,15981,5.1558,5.8029,0.18714,0.7278333748592126,0.2694170689655172,1.0,False
Splat_354,Siletti,Splatter,Siletti,#9e9e9e,15981,9.8197,7.3502,0.09079,1.0419619839016632,0.14816218241042345,1.0,False
Splat_355,Siletti,Splatter,Siletti,#9e9e9e,15981,23.789,8.1602,0.0017801,2.7495555998100345,0.0061084253424657535,0.8918301,False
Splat_356,Siletti,Splatter,Siletti,#9e9e9e,15981,8.9298,7.7684,0.12518,0.9024650527827226,0.1933460429447853,1.0,False
Splat_357,Siletti,Splatter,Siletti,#9e9e9e,15981,6.9427,5.9627,0.12215,0.9131065286905445,0.18946486068111454,1.0,False
Splat_358,Siletti,Splatter,Siletti,#9e9e9e,15981,10.172,7.2116,0.079209,1.101225469568694,0.13361518181818183,1.0,False
Splat_359,Siletti,Splatter,Siletti,#9e9e9e,15981,11.066,5.5356,0.022806,1.6419508800132525,0.047607525,1.0,False
Splat_360,Siletti,Splatter,Siletti,#9e9e9e,15981,21.988,6.3009,0.00024263,3.615055501783756,0.0012931662765957447,0.12155763,False
Splat_361,Siletti,Splatter,Siletti,#9e9e9e,15981,-1.1623,5.4225,0.58486,0.2329480800784827,0.7060599036144579,1.0,False
Splat_362,Siletti,Splatter,Siletti,#9e9e9e,15981,2.9894,6.2538,0.31633,0.4998596186545414,0.4105733937823834,1.0,False
Splat_363,Siletti,Splatter,Siletti,#9e9e9e,15981,12.858,4.6185,0.0026887,2.570457652820567,0.008418991875,1.0,False
Splat_364,Siletti,Splatter,Siletti,#9e9e9e,15981,19.538,5.6445,0.00026951,3.5694251159531354,0.0013778011224489795,0.13502451,False
Splat_365,Siletti,Splatter,Siletti,#9e9e9e,15981,12.088,7.2959,0.048787,1.3116958866121282,0.08823930324909747,1.0,False
Splat_366,Siletti,Splatter,Siletti,#9e9e9e,15981,1.889,6.228,0.38083,0.4192688472590223,0.48425337563451776,1.0,False
Splat_367,Siletti,Splatter,Siletti,#9e9e9e,15981,25.659,7.848,0.00054018,3.267461499471841,0.002416340892857143,0.27063018,False
Splat_368,Siletti,Splatter,Siletti,#9e9e9e,15981,9.4453,4.5685,0.019355,1.713206824345026,0.042214695652173916,1.0,False
Splat_369,Siletti,Splatter,Siletti,#9e9e9e,15981,19.195,6.9968,0.003044,2.5165553519014647,0.009299048780487805,1.0,False
Splat_370,Siletti,Splatter,Siletti,#9e9e9e,15981,19.216,7.0327,0.0031477,2.502006665942298,0.00941939642857143,1.0,False
Splat_371,Siletti,Splatter,Siletti,#9e9e9e,15981,16.202,5.6078,0.0019342,2.713498621046431,0.006460228000000001,0.9690342000000001,False
Thex_372,Siletti,Thalamic excitatory,Siletti,#9e9e9e,15981,7.465,6.0331,0.10799,0.9666164588268809,0.17067189274447953,1.0,False
Splat_373,Siletti,Splatter,Siletti,#9e9e9e,15981,4.9918,5.6852,0.18997,0.7213149772743161,0.2719284857142857,1.0,False
Splat_374,Siletti,Splatter,Siletti,#9e9e9e,15981,5.2751,5.6911,0.177,0.7520267336381934,0.25555331412103743,1.0,False
Splat_375,Siletti,Splatter,Siletti,#9e9e9e,15981,8.3378,5.3954,0.06114,1.21367456560993,0.10710188811188812,1.0,False
Splat_376,Siletti,Splatter,Siletti,#9e9e9e,15981,7.8501,6.6154,0.11769,0.9292604371508016,0.18483601880877745,1.0,False
Splat_377,Siletti,Splatter,Siletti,#9e9e9e,15981,18.579,6.3532,0.0017289,2.7622301256989816,0.005973647586206897,0.8661789,False
Splat_378,Siletti,Splatter,Siletti,#9e9e9e,15981,10.348,6.0517,0.043654,1.3599759558911333,0.08160691791044775,1.0,False
Splat_379,Siletti,Splatter,Siletti,#9e9e9e,15981,4.7759,4.6339,0.15136,0.8199888809422825,0.22435313609467455,1.0,False
Splat_380,Siletti,Splatter,Siletti,#9e9e9e,15981,3.6866,5.64,0.25667,0.5906248893957282,0.34660827493261454,1.0,False
Splat_381,Siletti,Splatter,Siletti,#9e9e9e,15981,8.7649,5.2686,0.048105,1.3178097810158782,0.08732103260869566,1.0,False
Splat_382,Siletti,Splatter,Siletti,#9e9e9e,15981,9.3174,5.5954,0.047948,1.3192295033437615,0.08732103260869566,1.0,False
Splat_383,Siletti,Splatter,Siletti,#9e9e9e,15981,1.2379,4.5686,0.39322,0.4053644011432006,0.49498296482412063,1.0,False
Splat_384,Siletti,Splatter,Siletti,#9e9e9e,15981,18.136,6.3087,0.0020249,2.693596419619958,0.00667417697368421,1.0,False
Splat_385,Siletti,Splatter,Siletti,#9e9e9e,15981,19.199,7.3194,0.0043625,2.3602645600327636,0.012489214285714286,1.0,False
Splat_386,Siletti,Splatter,Siletti,#9e9e9e,15981,10.104,5.3137,0.028622,1.5433000226162075,0.05782105645161291,1.0,False
Splat_387,Siletti,Splatter,Siletti,#9e9e9e,15981,8.6867,4.9218,0.038798,1.4111906612962797,0.07444707604562738,1.0,False
Splat_388,Siletti,Splatter,Siletti,#9e9e9e,15981,10.822,5.019,0.01554,1.8085489855351045,0.035713486238532106,1.0,False
Splat_389,Siletti,Splatter,Siletti,#9e9e9e,15981,21.57,6.9219,0.00091774,3.0372803390151826,0.003522794885496183,0.45978774,False
Splat_390,Siletti,Splatter,Siletti,#9e9e9e,15981,14.184,6.9117,0.020087,1.6970849204311387,0.04337753017241379,1.0,False
Splat_391,Siletti,Splatter,Siletti,#9e9e9e,15981,16.241,5.6472,0.0020174,2.695207983507773,0.00667417697368421,1.0,False
Splat_392,Siletti,Splatter,Siletti,#9e9e9e,15981,7.0784,6.5066,0.13833,0.85908362306093,0.207495,1.0,False
Splat_393,Siletti,Splatter,Siletti,#9e9e9e,15981,17.721,7.4794,0.0089177,2.0497471418244984,0.022227700000000003,1.0,False
Splat_394,Siletti,Splatter,Siletti,#9e9e9e,15981,10.939,5.2361,0.018353,1.7362929353925685,0.04104845089285715,1.0,False
Splat_395,Siletti,Splatter,Siletti,#9e9e9e,15981,3.0016,4.0214,0.22771,0.6426178967038896,0.31343983606557374,1.0,False
Splat_396,Siletti,Splatter,Siletti,#9e9e9e,15981,15.295,4.956,0.0010157,2.993234547548007,0.003797505223880597,0.5088657,False
Splat_397,Siletti,Splatter,Siletti,#9e9e9e,15981,5.0365,4.393,0.12581,0.9002848376489764,0.1933460429447853,1.0,False
Splat_398,Siletti,Splatter,Siletti,#9e9e9e,15981,-0.99255,3.9375,0.59951,0.22220356834728758,0.7220060336538462,1.0,False
Splat_399,Siletti,Splatter,Siletti,#9e9e9e,15981,-0.02368,2.9824,0.50317,0.2982852602950052,0.6148491951219512,1.0,False
Splat_400,Siletti,Splatter,Siletti,#9e9e9e,15981,1.8868,3.1584,0.27513,0.5604620518345863,0.3656236870026525,1.0,False
Misc_401,Siletti,Miscellaneous,Siletti,#9e9e9e,15981,2.7123,4.4255,0.26998,0.5686684069941741,0.36069328,1.0,False
Splat_402,Siletti,Splatter,Siletti,#9e9e9e,15981,1.344,4.9082,0.39211,0.40659208172570654,0.49482899244332496,1.0,False
Splat_403,Siletti,Splatter,Siletti,#9e9e9e,15981,24.373,5.2672,1.8697e-06,5.72822807196437,1.9930206382978724e-05,0.0009367197,False
Misc_404,Siletti,Miscellaneous,Siletti,#9e9e9e,15981,60.358,8.857,4.923e-12,11.307770164227245,3.5234614285714284e-10,2.466423e-09,False
Amex_405,Siletti,Amygdala excitatory,Siletti,#9e9e9e,15981,42.759,8.2021,9.417e-08,7.026087429580295,1.429671818181818e-06,4.717917e-05,False
Amex_406,Siletti,Amygdala excitatory,Siletti,#9e9e9e,15981,15.905,6.3665,0.0062466,2.204356303139081,0.01673554331550802,1.0,False
Amex_407,Siletti,Amygdala excitatory,Siletti,#9e9e9e,15981,22.088,7.5515,0.0017254,2.7631102062981383,0.005973647586206897,0.8644254,False
Amex_408,Siletti,Amygdala excitatory,Siletti,#9e9e9e,15981,3.6295,3.3337,0.13815,0.8596491107474699,0.207495,1.0,False
Splat_409,Siletti,Splatter,Siletti,#9e9e9e,15981,3.8444,3.5202,0.1374,0.8620132672764684,0.207495,1.0,False
Splat_410,Siletti,Splatter,Siletti,#9e9e9e,15981,5.799,4.3332,0.090419,1.0437403004081551,0.14816218241042345,1.0,False
Splat_411,Siletti,Splatter,Siletti,#9e9e9e,15981,6.5829,4.5236,0.072812,1.1377970395838306,0.12492743835616439,1.0,False
Splat_412,Siletti,Splatter,Siletti,#9e9e9e,15981,2.3819,4.0348,0.27748,0.5567683141725055,0.36777111111111116,1.0,False
Splat_413,Siletti,Splatter,Siletti,#9e9e9e,15981,3.8538,4.1529,0.17672,0.7527142971366215,0.25555331412103743,1.0,False
Splat_414,Siletti,Splatter,Siletti,#9e9e9e,15981,4.2475,5.4796,0.21913,0.6592981612683231,0.30495591666666666,1.0,False
Splat_415,Siletti,Splatter,Siletti,#9e9e9e,15981,9.1879,5.7763,0.05586,1.2528990686350137,0.0999495,1.0,False
Splat_416,Siletti,Splatter,Siletti,#9e9e9e,15981,7.9784,5.5807,0.076421,1.11678728368974,0.1293477060810811,1.0,False
Splat_417,Siletti,Splatter,Siletti,#9e9e9e,15981,9.7801,6.1966,0.05726,1.2421486563144202,0.10172787234042553,1.0,False
Splat_418,Siletti,Splatter,Siletti,#9e9e9e,15981,0.72168,5.3851,0.4467,0.3499840475281614,0.5553267990074441,1.0,False
Amex_419,Siletti,Amygdala excitatory,Siletti,#9e9e9e,15981,26.334,7.6058,0.00026861,3.5708778231491465,0.0013778011224489795,0.13457361,False
Splat_420,Siletti,Splatter,Siletti,#9e9e9e,15981,16.409,6.271,0.0044452,2.3521086943242833,0.012653665909090908,1.0,False
Splat_421,Siletti,Splatter,Siletti,#9e9e9e,15981,14.51,7.1318,0.02096,1.678608721688311,0.044875897435897434,1.0,False
Splat_422,Siletti,Splatter,Siletti,#9e9e9e,15981,23.986,7.9068,0.0012104,2.9170710849848698,0.004458899999999999,0.6064104,False
Splat_423,Siletti,Splatter,Siletti,#9e9e9e,15981,38.058,8.965,1.0997e-05,4.95872577494577,9.152695081967213e-05,0.005509497,False
Splat_424,Siletti,Splatter,Siletti,#9e9e9e,15981,35.319,8.5247,1.7236e-05,4.7635635145836694,0.00013284978461538461,0.008635236,False
Splat_425,Siletti,Splatter,Siletti,#9e9e9e,15981,24.834,7.7521,0.00068025,3.167331449548205,0.00284004375,0.34080525,False
EMSN_426,Siletti,Eccentric medium spiny neuron,Siletti,#9e9e9e,15981,55.656,9.1226,5.4204e-10,9.26596866339098,1.429273894736842e-08,2.7156204e-07,False
MSN_427,Siletti,Medium spiny neuron,Siletti,#9e9e9e,15981,22.086,6.3528,0.0002547,3.593971055036385,0.001329215625,0.12760470000000002,False
Splat_428,Siletti,Splatter,Siletti,#9e9e9e,15981,42.095,7.8753,4.5889e-08,7.338291406223708,8.210853214285714e-07,2.2990389e-05,False
Splat_429,Siletti,Splatter,Siletti,#9e9e9e,15981,17.013,6.6067,0.005015,2.299729062643563,0.014036396648044694,1.0,False
MSN_430,Siletti,Medium spiny neuron,Siletti,#9e9e9e,15981,15.492,6.2673,0.0067276,2.1721398381014922,0.017646741361256543,1.0,False
Splat_431,Siletti,Splatter,Siletti,#9e9e9e,15981,-3.0864,3.6494,0.80114,0.09629158389751026,0.9334212558139534,1.0,False
Splat_432,Siletti,Splatter,Siletti,#9e9e9e,15981,-2.4343,2.9948,0.79184,0.10136256353291899,0.9247362237762238,1.0,False
Midi_433,Siletti,Midbrain-derived inhibitory,Siletti,#9e9e9e,15981,15.223,4.5512,0.00041265,3.384418150554635,0.0019321275700934577,0.20673765,False
Midi_434,Siletti,Midbrain-derived inhibitory,Siletti,#9e9e9e,15981,17.263,6.0719,0.0022376,2.650217546636529,0.007186138461538462,1.0,False
Midi_435,Siletti,Midbrain-derived inhibitory,Siletti,#9e9e9e,15981,24.154,6.2346,5.3741e-05,4.269694256577185,0.00035426632894736837,0.026924240999999998,False
Midi_436,Siletti,Midbrain-derived inhibitory,Siletti,#9e9e9e,15981,16.829,6.0107,0.00256,2.5917600346881504,0.008116830188679246,1.0,False
Midi_437,Siletti,Midbrain-derived inhibitory,Siletti,#9e9e9e,15981,16.156,6.3631,0.0055643,2.2545894630020165,0.015233411475409837,1.0,False
Midi_438,Siletti,Midbrain-derived inhibitory,Siletti,#9e9e9e,15981,17.85,6.1604,0.0018835,2.7250343754607136,0.0063759020270270274,0.9436335,False
Midi_439,Siletti,Midbrain-derived inhibitory,Siletti,#9e9e9e,15981,16.016,5.5773,0.0020446,2.6893916435414766,0.006676638311688311,1.0,False
Midi_440,Siletti,Midbrain-derived inhibitory,Siletti,#9e9e9e,15981,20.738,6.6157,0.00086193,3.0645280031406745,0.003348699534883721,0.43182693,False
Midi_441,Siletti,Midbrain-derived inhibitory,Siletti,#9e9e9e,15981,15.153,6.7608,0.012511,1.902707975908104,0.029990483253588517,1.0,False
Midi_442,Siletti,Midbrain-derived inhibitory,Siletti,#9e9e9e,15981,8.8281,6.0615,0.072652,1.1387524257292325,0.12492743835616439,1.0,False
Midi_443,Siletti,Midbrain-derived inhibitory,Siletti,#9e9e9e,15981,10.13,5.902,0.043061,1.365915888831178,0.08079985393258428,1.0,False
Midi_444,Siletti,Midbrain-derived inhibitory,Siletti,#9e9e9e,15981,19.41,6.4082,0.0012292,2.9103774484156593,0.004495103649635036,0.6158292,False
Thex_445,Siletti,Thalamic excitatory,Siletti,#9e9e9e,15981,1.3297,3.5338,0.35335,0.4517949043492587,0.45391884615384614,1.0,False
Thex_446,Siletti,Thalamic excitatory,Siletti,#9e9e9e,15981,3.8324,4.708,0.20782,0.6823126595138167,0.2932896338028169,1.0,False
Thex_447,Siletti,Thalamic excitatory,Siletti,#9e9e9e,15981,12.729,5.2106,0.0072914,2.1371890760853702,0.018927416580310878,1.0,False
Thex_448,Siletti,Thalamic excitatory,Siletti,#9e9e9e,15981,3.8476,3.5786,0.14116,0.8502883503120684,0.21110794029850746,1.0,False
Thex_449,Siletti,Thalamic excitatory,Siletti,#9e9e9e,15981,10.413,5.1586,0.021774,1.6620617814157999,0.04583518487394958,1.0,False
Thex_450,Siletti,Thalamic excitatory,Siletti,#9e9e9e,15981,10.48,4.7268,0.013318,1.8755609894434742,0.031179056074766353,1.0,False
Thex_451,Siletti,Thalamic excitatory,Siletti,#9e9e9e,15981,10.907,5.0392,0.015222,1.8175282823946257,0.035143880184331795,1.0,False
Thex_452,Siletti,Thalamic excitatory,Siletti,#9e9e9e,15981,9.1,4.5658,0.023136,1.6357117243855632,0.048096,1.0,False
Thex_453,Siletti,Thalamic excitatory,Siletti,#9e9e9e,15981,7.3873,5.0569,0.07204,1.1424262958525042,0.12445531034482761,1.0,False
Thex_454,Siletti,Thalamic excitatory,Siletti,#9e9e9e,15981,16.488,5.8635,0.0024659,2.608024539390238,0.007868891082802547,1.0,False
Thex_455,Siletti,Thalamic excitatory,Siletti,#9e9e9e,15981,5.6882,4.7167,0.11392,0.9434000237072189,0.1794777358490566,1.0,False
Thex_456,Siletti,Thalamic excitatory,Siletti,#9e9e9e,15981,24.672,6.6662,0.00010779,3.967421528075688,0.0006506360240963856,0.054002789999999995,False
Thex_457,Siletti,Thalamic excitatory,Siletti,#9e9e9e,15981,12.169,4.855,0.0061024,2.2144993286340884,0.016437109677419355,1.0,False
Thex_458,Siletti,Thalamic excitatory,Siletti,#9e9e9e,15981,0.56452,4.6901,0.4521,0.34476549296570574,0.5606487623762376,1.0,False
Thex_459,Siletti,Thalamic excitatory,Siletti,#9e9e9e,15981,1.681,5.7511,0.38504,0.41449415133069795,0.48836718987341776,1.0,False
Thex_460,Siletti,Thalamic excitatory,Siletti,#9e9e9e,15981,-2.1076,1.6748,0.89586,0.047759854152670804,1.0,1.0,False
