cell_type,beta,se,t_stat,p_value,p_bonferroni,p_fdr,source,supercluster
Pax6_4,18.38105256044394,3.9930229868767992,4.603292448066007,2.0944870132710847e-06,0.001015826201436476,3.762319264579541e-05,SEA-AD,
Sst Chodl_2,23.060818841073527,5.043220085238773,4.572637809040155,2.425233386449399e-06,0.0011762381924279586,4.200850687242709e-05,SEA-AD,
Sst_9,20.137885714059273,4.446633425133801,4.528793761193237,2.986391473669414e-06,0.0014483998647296659,4.9944822921712613e-05,SEA-AD,
Pvalb_12,18.59734215102659,4.12568384751846,4.507699290194673,3.2987713686205566e-06,0.00159990411378097,5.2055512576641304e-05,SEA-AD,
Sst_1,16.81131329668842,3.730979104958677,4.5058717360130105,3.3272595667543925e-06,0.0016137208898758804,5.2055512576641304e-05,SEA-AD,
L6 IT_1,23.994738065327546,5.348502026830882,4.486253897812396,3.64826808940677e-06,0.0017694100233622834,5.5294063230071355e-05,SEA-AD,
Pvalb_6,15.609239653523431,3.508228825060625,4.449321988925193,4.334663903926561e-06,0.002102311993404382,6.292935613239723e-05,SEA-AD,
Sncg_3,13.762111120228106,3.095711963106239,4.445539922396138,4.411542491755682e-06,0.002139598108501506,6.292935613239723e-05,SEA-AD,
Siletti_Splat_237,21.447046452429387,4.893700099615914,4.382582915964278,5.899456103519718e-06,0.002861236210207063,8.17496060059161e-05,Siletti,Splatter
Pvalb_10,23.61825919914932,5.486491170434738,4.304802188769012,8.40390089718035e-06,0.00407589193513247,0.00011321922042034638,SEA-AD,
Pvalb_8,20.131063024770793,4.701805959372273,4.281559723799925,9.330679692109989e-06,0.004525379650673345,0.0001223075581263066,SEA-AD,
Sncg_1,20.88090525251271,4.99407440387759,4.181136195387873,1.4576019429113352e-05,0.0070693694231199755,0.00018603603745052566,SEA-AD,
Siletti_EMSN_228,24.196324453827764,5.807438515383697,4.166436612240072,1.5546952134792846e-05,0.0075402717853745305,0.0001933403021890905,Siletti,Eccentric medium spiny neuron
Siletti_EMSN_224,22.946018240143033,5.558010042208689,4.128459298541416,1.834794523081218e-05,0.008898753436943907,0.00022246883592359767,Siletti,Eccentric medium spiny neuron
Siletti_Splat_424,23.52757324804587,5.775293220897931,4.073831812194611,2.3228684735809857e-05,0.01126591209686778,0.0002747783438260434,Siletti,Splatter
Vip_15,12.719790783635752,3.13466602176666,4.057781816407679,2.488210015716419e-05,0.012067818576224631,0.0002843961495089021,SEA-AD,
Pvalb_9,17.674060969034027,4.35893127561167,4.05467759217055,2.5214503977077918e-05,0.01222903442888279,0.0002843961495089021,SEA-AD,
Siletti_LLC_273,20.17337704786771,5.012054458130254,4.024971639153615,2.8615548650634537e-05,0.01387854109555775,0.0003154213885354034,Siletti,LAMP5-LHX6 and Chandelier
Siletti_MSN_217,23.054307394298927,5.879331057953196,3.9212466804556763,4.422029676065531e-05,0.021446843928917825,0.0004765965317537294,Siletti,Medium spiny neuron
Pax6_2,12.280467021733976,3.1404314839778746,3.9104394043899786,4.62445625845076e-05,0.022428612853486185,0.00048757854029317794,SEA-AD,
Sncg_5,16.276520955521047,4.174179566012915,3.8993341561172996,4.841562238899755e-05,0.02348157685866381,0.0004996080182694427,SEA-AD,
Vip_5,19.62682121028632,5.075920025871735,3.8666529634527924,5.5376663322004305e-05,0.026857681711172088,0.0005595350356494185,SEA-AD,
Siletti_LLC_266,17.462725008866844,4.540006230922864,3.846409921185754,6.0151065762625855e-05,0.02917326689487354,0.0005850054927258986,Siletti,LAMP5-LHX6 and Chandelier
Sst_23,15.461113686576361,4.020298015120771,3.845763082345005,6.0309844610917374e-05,0.029250274636294926,0.0005850054927258986,SEA-AD,
Sst_12,15.500263303950033,4.123358956907759,3.7591350803894565,8.553851875492402e-05,0.04148618159613815,0.0008116056205347854,SEA-AD,
L2/3 IT_8,16.537850210891566,4.40440887536789,3.7548399067537064,8.701750983053369e-05,0.04220349226780884,0.0008116056205347854,SEA-AD,
Lamp5_3,15.195335445682574,4.072215640519946,3.731466304113112,9.549658077867562e-05,0.046315841677657676,0.0008738838052388241,SEA-AD,
Lamp5_6,17.015645307138662,4.595393969427188,3.70276094287943,0.0001069728063028963,0.0518818110569047,0.0009607742788315685,SEA-AD,
Vip_14,13.598390642417138,3.691114789794722,3.6840877124749083,0.00011512052243833892,0.05583345338259438,0.0010151536978653523,SEA-AD,
Siletti_Splat_423,19.4198055693678,5.312271527892384,3.655650029823025,0.00012865521549831893,0.06239777951668468,0.0011142460627979406,Siletti,Splatter
Siletti_Splat_355,25.049000414277767,6.936555703088497,3.611158258719773,0.00015285852084312435,0.07413638260891531,0.0012891475959913845,Siletti,Splatter
Lamp5_4,11.822428743998946,3.275866394141,3.6089471674253164,0.00015416610426288724,0.07477056056750031,0.0012891475959913845,SEA-AD,
Siletti_EMSN_225,15.78771153782777,4.44082066085306,3.55513377898828,0.00018941032248920298,0.09186400640726344,0.001557017057750228,Siletti,Eccentric medium spiny neuron
Siletti_MSN_207,16.92417905885834,4.835204991512861,3.500198872346677,0.00023305575081522534,0.11303203914538429,0.0018838673190897381,Siletti,Medium spiny neuron
L5 ET_1,6.549945451027405,1.8837097772821274,3.477152122912406,0.0002540233734138475,0.12320133610571604,0.0020196940345199354,SEA-AD,
Sst_13,10.681342001368268,3.0948141793071686,3.451367798682984,0.0002795597241525005,0.13558646621396275,0.0021868784873219803,SEA-AD,
Chandelier_2,11.760956690508895,3.4403625250494474,3.4185224972301014,0.00031555488428958167,0.1530441188804471,0.002429271728261065,SEA-AD,
L4 IT_2,8.810894848396808,2.6123453904458818,3.3727909336264843,0.00037288884116104537,0.180851087963107,0.002825798249423547,SEA-AD,
Siletti_MSN_220,16.152863074714386,4.909762488006052,3.289947958617927,0.0005020570564262528,0.2434976723667326,0.003746118036411271,Siletti,Medium spiny neuron
Siletti_Splat_425,16.836621968559072,5.163670105549201,3.260592102982216,0.0005570020898630901,0.2701460135835987,0.004093121417933314,Siletti,Splatter
L5 IT_6,14.890552365108208,4.587445509063645,3.2459355289753744,0.0005864687690632087,0.2844373529956562,0.004245333626800838,SEA-AD,
Siletti_Thex_454,16.69872310192636,5.195232994186569,3.2142395000594037,0.0006551831827592558,0.31776384363823906,0.004672997700562339,Siletti,Thalamic excitatory
Pvalb_7,14.17511456423512,4.4469493403614715,3.1876042381636154,0.0007185926069975812,0.3485174143938269,0.00505097702020039,SEA-AD,
Siletti_MSN_206,10.45872986485969,3.3068312463639074,3.1627649207560244,0.0007827777526274726,0.3796472100243242,0.005423531571776061,Siletti,Medium spiny neuron
Siletti_CBI_306,10.85083442203556,3.5077201758646184,3.093415061069099,0.0009909527526154038,0.48061208501847086,0.0067691842960348,Siletti,Cerebellar inhibitory
Siletti_Splat_403,9.256963519251643,3.0051179493815128,3.0803993970209493,0.001035279164498304,0.5021103947816774,0.006973755483078853,Siletti,Splatter
Sncg_2,9.359900864781752,3.049817914942281,3.069003175213787,0.001075576275528678,0.5216544936314088,0.007145951967553545,SEA-AD,
Siletti_MSN_427,13.16566761655054,4.328268620574755,3.0417861668674018,0.0011777012759111027,0.5711851188168848,0.007718717821849795,Siletti,Medium spiny neuron
Siletti_EMSN_231,12.83478331724224,4.2363481735567845,3.0296809401448033,0.0012259146144540933,0.5945685880102353,0.007927581173469804,Siletti,Eccentric medium spiny neuron
Vip_23,10.767079678593227,3.593100227022957,2.996598758257915,0.001367034725096361,0.6630118416717351,0.008723840021996514,SEA-AD,
Lamp5_2,7.713462412243472,2.6549504912227304,2.905313088791745,0.0018368137904235526,0.890854688355423,0.011569541407213287,SEA-AD,
Sst_22,14.485336382336362,5.023529013536835,2.883498103286141,0.0019689119351884443,0.9549222885663955,0.012242593443158915,SEA-AD,
Vip_18,7.479249692563207,2.6258656119991413,2.848298731810976,0.0022003405895254513,1.0,0.013508420074934732,SEA-AD,
Siletti_Splat_352,11.606359295682665,4.10139328716419,2.8298576808047597,0.0023311867801319996,1.0,0.014111332528177558,Siletti,Splatter
L5 IT_7,15.647291474746503,5.536186550696343,2.826366368159755,0.0023567380098605817,1.0,0.014111332528177558,SEA-AD,
Siletti_Midi_434,12.373574524157155,4.438308613863255,2.7879031407387362,0.0026554895383172905,1.0,0.015706249098583973,Siletti,Midbrain-derived inhibitory
Siletti_Midi_435,6.965197318060316,2.502235328658156,2.783590031795874,0.0026910394128093484,1.0,0.015724748376054625,Siletti,Midbrain-derived inhibitory
Sst_4,9.349794201202881,3.3741039375436745,2.7710451053886236,0.002796894275609918,1.0,0.016148734805604883,SEA-AD,
Siletti_LLC_268,11.406695470360152,4.134615501462628,2.758828593934554,0.0029035742354862615,1.0,0.016567452990715728,Siletti,LAMP5-LHX6 and Chandelier
Sst_10,8.607561767131847,3.1722885381438304,2.7133602960871595,0.0033336140323865227,1.0,0.01880003262450539,SEA-AD,
Siletti_Splat_389,8.816733113983986,3.2589303158485783,2.7054070690333973,0.0034144641841554746,1.0,0.01903465665879776,Siletti,Splatter
L2/3 IT_6,11.546130408390837,4.319657578773731,2.6729272396791615,0.003763245668807813,1.0,0.020740615333770335,SEA-AD,
Siletti_COP_41,10.033059809419326,3.795209338736477,2.6436116993640173,0.004105128837657013,1.0,0.022370645913074735,Siletti,Committed oligodendrocyte precursor
Vip_19,5.724233566919715,2.1766760238470013,2.629805034927913,0.004275570883886637,1.0,0.023040576429833544,SEA-AD,
Siletti_Thex_450,8.23393606142369,3.1550465646815202,2.6097668901615236,0.004534199493859692,1.0,0.024120937076642014,Siletti,Thalamic excitatory
Siletti_Midi_437,12.366209998016549,4.744081268140998,2.6066606575781397,0.004575517960930031,1.0,0.024120937076642014,Siletti,Midbrain-derived inhibitory
Siletti_Splat_367,14.024156577040564,5.421763863960605,2.5866409767975216,0.00484997364061357,1.0,0.025292873287070763,Siletti,Splatter
Siletti_Thex_449,11.187180789894388,4.339434523802525,2.578027327876669,0.004972509537616188,1.0,0.02565603325259416,Siletti,Thalamic excitatory
Siletti_Thex_456,13.96073703384083,5.4634246142653184,2.5553088071149617,0.00530902966279756,1.0,0.0271039935416507,Siletti,Thalamic excitatory
Sst_7,10.068216438628795,3.9907878110445187,2.5228643855143016,0.0058247237454642775,1.0,0.029426989755730985,SEA-AD,
Siletti_MGE_247,10.549037907735658,4.189425229305196,2.518015558302537,0.005905496928137466,1.0,0.02952748464068733,Siletti,MGE interneuron
Siletti_CA13_185,11.319441229366179,4.526353517140649,2.5007859387255293,0.006200608167182486,1.0,0.030686683276362304,Siletti,Hippocampal CA1-3
Siletti_CBI_307,7.969885908498525,3.209704173643511,2.48305933423499,0.0065177930747031265,1.0,0.03193060243667693,Siletti,Cerebellar inhibitory
L2/3 IT_12,7.525568716513777,3.0384449229862875,2.4767829950056792,0.006633489650852531,1.0,0.03217242480663478,SEA-AD,
Siletti_URL_311,3.2096941461220085,1.3069800737271209,2.4558095495434062,0.00703338847210333,1.0,0.03377419216802094,Siletti,Upper rhombic lip
Siletti_CA13_179,10.859514366292192,4.447749791910815,2.4415749253796926,0.007316780074373863,1.0,0.03479057192226788,Siletti,Hippocampal CA1-3
Siletti_Splat_369,9.555902539892527,3.9796335170259485,2.401201643068336,0.008176043314919945,1.0,0.038498844735302656,Siletti,Splatter
Sst_5,6.044366751277009,2.5400749531190394,2.3796017294115424,0.008671206444092472,1.0,0.04043783774408509,SEA-AD,
Pvalb_5,8.069168221519192,3.4076885874928626,2.367930054153193,0.008949566241301943,1.0,0.041338472638394685,SEA-AD,
Siletti_Splat_378,8.704878795222047,3.7094745280936356,2.3466608893782155,0.009476997270742138,1.0,0.043361732795376765,Siletti,Splatter
L5 IT_3,8.95747895144166,3.8427129737536148,2.33102992927725,0.009881752862297088,1.0,0.044584867729081434,SEA-AD,
Siletti_EMSN_223,6.159821401424894,2.644525251106167,2.3292730515045483,0.00992817673142432,1.0,0.044584867729081434,Siletti,Eccentric medium spiny neuron
L6b_4,7.729772632893391,3.393351997423037,2.277916537619291,0.011372003341871495,1.0,0.050396785741466034,SEA-AD,
Siletti_Splat_390,9.106439725849766,4.001127898107015,2.27596816641581,0.011430198827961369,1.0,0.050396785741466034,Siletti,Splatter
Siletti_Midi_436,7.195841924543332,3.1743348850886357,2.26688178312428,0.011705027823045944,1.0,0.05114359003763318,Siletti,Midbrain-derived inhibitory
Siletti_Misc_177,6.880352262000747,3.0400497104218407,2.26323676169296,0.011816877718266783,1.0,0.051171300833565976,Siletti,Miscellaneous
Siletti_Amex_156,12.168689415738996,5.389882059646508,2.2576912223821592,0.011988824985765922,1.0,0.05145646122209267,Siletti,Amygdala excitatory
L6 IT_2,3.192351537540826,1.43803635131364,2.2199379971338185,0.013218111669263122,1.0,0.05623494876835627,SEA-AD,
Siletti_Splat_428,6.613241791549847,3.0094447962558877,2.197495631013906,0.013999308347837247,1.0,0.05904056129305274,Siletti,Splatter
Siletti_URL_310,4.624892307087652,2.1141338555308127,2.187606189167451,0.014355990630051663,1.0,0.05986360909667175,Siletti,Upper rhombic lip
Siletti_MSN_210,8.696744092225236,3.9797085191049826,2.1852716224003994,0.014441324256310506,1.0,0.05986360909667175,Siletti,Medium spiny neuron
L6b_5,7.04271067191814,3.2414580368868298,2.1726983942948466,0.014908451622816177,1.0,0.06127626302598174,SEA-AD,
Lamp5_Lhx6_1,7.053085429037811,3.3427717586162413,2.1099512435624606,0.01743862364672155,1.0,0.07079625958204876,SEA-AD,
Siletti_Splat_358,10.53579556441232,4.997662738203409,2.108144570035511,0.017516600308960517,1.0,0.07079625958204876,Siletti,Splatter
Pvalb_13,5.898428200681698,2.811745618062207,2.0977815926131913,0.017969644083758562,1.0,0.07202708579027192,SEA-AD,
Siletti_URL_312,2.414022850266685,1.153767333429606,2.0922960637921117,0.018213476521492522,1.0,0.07240603371249077,Siletti,Upper rhombic lip
Siletti_Mmb_332,8.760249166306012,4.203063550042956,2.0842533218933794,0.018576072076935124,1.0,0.07324711347409378,Siletti,Mammillary body
Siletti_Midi_441,10.31437098579394,4.982172050202468,2.070255880740766,0.01922178708015876,1.0,0.07518198978933063,Siletti,Midbrain-derived inhibitory
Siletti_Splat_357,3.2664462754813504,1.5864636287936589,2.0589481007926693,0.01975726654410581,1.0,0.07665819419113055,Siletti,Splatter
Siletti_URL_309,7.235579651375183,3.5419125054012515,2.042845395063052,0.02054163013343402,1.0,0.07906897313266269,Siletti,Upper rhombic lip
Pvalb_14,4.4038841108054125,2.1636926307185917,2.0353556915996993,0.020915349809174644,1.0,0.07987357997991891,SEA-AD,
Siletti_Misc_168,8.75217517530022,4.32338761000127,2.0243790205286842,0.02147345002610468,1.0,0.08136424423953725,Siletti,Miscellaneous
Siletti_Misc_167,5.0529249652169375,2.5911697182899456,1.9500555789728966,0.02559302136571351,1.0,0.09622182451450428,Siletti,Miscellaneous
Siletti_Splat_394,4.705494091170335,2.4200442029894247,1.9443835304155797,0.025932912274587383,1.0,0.09674971117826832,Siletti,Splatter
Siletti_DLIT_136,5.372674577456856,2.802743268580309,1.9169342542666457,0.02763158229427176,1.0,0.1023001329215405,Siletti,Deep-layer intratelencephalic
OPC_2_1-SEAAD,6.631352910071609,3.4721180110643726,1.9098869591816603,0.02808235866492592,1.0,0.10318139357946267,SEA-AD,
Siletti_EMSN_229,3.8395638334739015,2.0213376651371595,1.8995162954198277,0.02875683602991308,1.0,0.104865153943668,Siletti,Eccentric medium spiny neuron
Siletti_Thex_453,8.14972723860258,4.298076002340709,1.8961338129349696,0.02897971493723317,1.0,0.10488926675043347,Siletti,Thalamic excitatory
Siletti_Splat_422,5.8931656038979785,3.149804600587137,1.8709622821680645,0.03068380670013804,1.0,0.11023441666345887,Siletti,Splatter
Siletti_CA4_195,8.689209020202929,4.675403822172964,1.8584938008979275,0.03155816717069426,1.0,0.11254199321901998,Siletti,Hippocampal CA4
Siletti_Splat_375,5.595730307330095,3.0503439750447514,1.8344587866514301,0.033301764131500655,1.0,0.11789310659691837,Siletti,Splatter
Siletti_MSN_218,6.3077978871836375,3.449107568461072,1.8288202852420923,0.033722093680757737,1.0,0.11851605387802538,Siletti,Medium spiny neuron
Siletti_Splat_387,2.7042345052098997,1.5040508290360335,1.7979674975100943,0.03610001947085151,1.0,0.12596049959253944,Siletti,Splatter
Siletti_Midi_440,8.11302162979145,4.555654159274338,1.7808686406265217,0.03747595462529252,1.0,0.12827673988133254,Siletti,Midbrain-derived inhibitory
Siletti_Thex_447,6.232032632210148,3.5001412542083865,1.780508893667385,0.037505357026191066,1.0,0.12827673988133254,Siletti,Thalamic excitatory
Siletti_EMSN_234,8.073947105370737,4.536247073768954,1.7798737533629256,0.037557313532266434,1.0,0.12827673988133254,Siletti,Eccentric medium spiny neuron
Siletti_Thex_457,4.978626533673642,2.8164550110021516,1.7676925476264387,0.038565198745316054,1.0,0.13079805168865935,Siletti,Thalamic excitatory
Siletti_Splat_359,3.35254741086259,1.916432618294528,1.7493687901461883,0.040122741417351615,1.0,0.1350750457897346,Siletti,Splatter
Siletti_Oligo_40,6.073657262030247,3.477894149039939,1.7463605853866655,0.040383261112394875,1.0,0.1350750457897346,Siletti,Oligodendrocyte
Vip_12,2.9596045345334705,1.70988946548029,1.7308747695583635,0.041746197472544155,1.0,0.13766716256922998,SEA-AD,
Siletti_COP_42,6.0409416754560326,3.496010703339019,1.7279528548600738,0.04200749236085488,1.0,0.13766716256922998,Siletti,Committed oligodendrocyte precursor
Siletti_Thex_451,5.0133966952783,2.901393112609877,1.7279274130380153,0.04200977332009492,1.0,0.13766716256922998,Siletti,Thalamic excitatory
L2/3 IT_3,3.909504073570055,2.2794493821544424,1.7151089663043764,0.043171811204111954,1.0,0.1405256941878812,SEA-AD,
Siletti_Splat_350,2.6598300574071634,1.5669664625075517,1.697439046111266,0.044816069027793226,1.0,0.14490528985653142,Siletti,Splatter
Siletti_MSN_208,6.95500925420226,4.170815729195467,1.6675417246361666,0.047712651601846345,1.0,0.15324924521122832,Siletti,Medium spiny neuron
Siletti_Mmb_333,3.428046472575942,2.080573184456841,1.6476452249724036,0.04972206265098578,1.0,0.15587064357187905,Siletti,Mammillary body
L2/3 IT_10,4.9138803376121185,2.9834010031383094,1.6470733677581701,0.04978079956491721,1.0,0.15587064357187905,SEA-AD,
L5/6 NP_2,5.991991901309362,3.6380668177366404,1.6470263470963886,0.04978563163905514,1.0,0.15587064357187905,SEA-AD,
Siletti_MSN_430,4.149735285521746,2.5199589662227426,1.6467471657849788,0.04981432938895103,1.0,0.15587064357187905,Siletti,Medium spiny neuron
L5/6 NP_4,4.016654101143698,2.4792658280250555,1.6200981983215983,0.05261494146288337,1.0,0.16324920903993156,SEA-AD,
L2/3 IT_7,4.452065269919955,2.751663894467427,1.6179538783320895,0.05284562024591599,1.0,0.16324920903993156,SEA-AD,
Siletti_Mmb_330,5.814520465834427,3.60597734722081,1.6124672747364261,0.05343950441156664,1.0,0.16403898506082165,Siletti,Mammillary body
L6 CT_2,7.0080049594572404,4.358855680504482,1.6077625581414416,0.05395295647385856,1.0,0.1645734835837824,SEA-AD,
Siletti_Midi_438,2.9216753953531156,1.848377342581464,1.580670422670661,0.05698608484711443,1.0,0.1727390696928156,Siletti,Midbrain-derived inhibitory
L5 IT_2,4.634802859105639,2.9434092701868138,1.5746375830403887,0.0576794411130197,1.0,0.17318640755128384,SEA-AD,
Siletti_Splat_370,6.680733706253346,4.246640078527671,1.573181052011732,0.057847830975892744,1.0,0.17318640755128384,Siletti,Splatter
Siletti_Mmb_324,4.200822228611286,2.6794737753496083,1.5677788180864645,0.05847576160622625,1.0,0.17399229680380202,Siletti,Mammillary body
Siletti_L5ET_118,3.6650308886619714,2.344328635255863,1.5633605432038606,0.05899329010564114,1.0,0.17446186403192654,Siletti,Miscellaneous
Siletti_CBI_305,3.3849603775589188,2.169657085875578,1.560136115331284,0.05937324214232376,1.0,0.17452134811531528,Siletti,Cerebellar inhibitory
L5 ET_2,6.4424954077331815,4.1890477769977315,1.5379379158932591,0.062041278951780465,1.0,0.18126518247959955,SEA-AD,
Astro_6-SEAAD,2.1193629156056986,1.4099381329179603,1.503160221093912,0.06640822946984826,1.0,0.19286222331063715,SEA-AD,
Siletti_Splat_411,2.8790487454661506,1.9239961365550533,1.4963900866355868,0.067285373149649,1.0,0.1942464641522605,Siletti,Splatter
Siletti_Midi_443,5.108948261833187,3.4252881415377616,1.4915382445867917,0.06791947194670189,1.0,0.194916827776038,Siletti,Midbrain-derived inhibitory
Vip_6,5.257145648739189,3.5524512496042338,1.4798642625496603,0.06946407782006658,1.0,0.19817692789842525,SEA-AD,
Siletti_CBI_304,3.83478939747134,2.631233805412051,1.457411116254191,0.07251077580983845,1.0,0.20565921794018505,Siletti,Cerebellar inhibitory
Siletti_Splat_386,3.3735205220200184,2.3627215011159404,1.427811327076283,0.07668234504358673,1.0,0.21622637991941607,Siletti,Splatter
Sst Chodl_1,3.2233967497492024,2.2643463705629934,1.4235440265032229,0.07729850506674318,1.0,0.21670390148769042,SEA-AD,
Siletti_EMSN_426,3.8016282986187915,2.694967246566536,1.4106398893946384,0.0791846349243901,1.0,0.2196034129302788,Siletti,Eccentric medium spiny neuron
Siletti_CA4_198,4.376070367441076,3.1029889301938427,1.4102758552759982,0.07923834487175008,1.0,0.2196034129302788,Siletti,Hippocampal CA4
Siletti_Amex_153,2.6350664961642263,1.880904681928003,1.400956955172857,0.08062267357159181,1.0,0.22217043569444334,Siletti,Amygdala excitatory
Vip_4,3.762581264633054,2.7372844564723375,1.374567139245025,0.08464197380963867,1.0,0.2319285723032472,SEA-AD,
Siletti_Thex_448,1.6238347799509638,1.1845464208549021,1.3708494250305714,0.0852200722721741,1.0,0.23220075871912607,Siletti,Thalamic excitatory
Siletti_Misc_401,4.1378667710623205,3.033394884048468,1.3641042229028184,0.08627648580332314,1.0,0.23376589728833364,Siletti,Miscellaneous
Siletti_Splat_371,5.192871625832153,3.8701768811857957,1.3417659670999564,0.0898449786548704,1.0,0.24208230359784524,Siletti,Splatter
L4 IT_1,2.3402627540375653,1.749992131043174,1.3372990155347326,0.09057154489905406,1.0,0.24269170870741003,SEA-AD,
Siletti_MGE_245,4.377553023756831,3.30195505677008,1.325745792566566,0.09247093618493629,1.0,0.24611506323296245,Siletti,MGE interneuron
Siletti_Amex_173,3.3620763939166314,2.5413608857695866,1.3229433146400662,0.09293608413099275,1.0,0.24611506323296245,Siletti,Amygdala excitatory
Siletti_CA13_163,3.248415205378154,2.462749652940719,1.3190196581691882,0.09359022567052933,1.0,0.24611506323296245,Siletti,Hippocampal CA1-3
L2/3 IT_5,1.628148566532816,1.2359793320890484,1.317294330303181,0.09387894164556299,1.0,0.24611506323296245,SEA-AD,
L6 CT_4,4.793202462978024,3.7098729911682193,1.2920125498605466,0.0981852522147304,1.0,0.2560206845384099,SEA-AD,
Siletti_MGE_246,2.10029630278262,1.6542479468700038,1.2696381499258214,0.10211553711470256,1.0,0.2648114315888921,Siletti,MGE interneuron
Siletti_Amex_162,4.799400412621721,3.7965533722314135,1.2641466988783268,0.1030974254618644,1.0,0.2648114315888921,Siletti,Amygdala excitatory
Siletti_CBI_302,1.838826907252252,1.4585806798354883,1.2606960538238112,0.10371790953433946,1.0,0.2648114315888921,Siletti,Cerebellar inhibitory
Siletti_Splat_391,3.73375828868658,2.961959427866063,1.2605703689116896,0.10374056082863814,1.0,0.2648114315888921,Siletti,Splatter
L6b_3,3.4580152750137914,2.752983285666308,1.2560974463660224,0.10454902189633686,1.0,0.26547788282577683,SEA-AD,
Siletti_Mmb_323,3.290829842812075,2.7044331256223546,1.216827959853796,0.11184335477772522,1.0,0.28252097430831635,Siletti,Mammillary body
Siletti_Mmb_325,5.304962912345061,4.454151681765682,1.1910153248849638,0.11683216639834049,1.0,0.2935937860269178,Siletti,Mammillary body
Siletti_Misc_178,2.1496423859551848,1.829737587599385,1.1748364358495333,0.12003837450492072,1.0,0.29919897439039167,Siletti,Miscellaneous
