cluster,conti_beta,conti_pvalue,conti_fdr,conti_sig,repro_beta,repro_pvalue,repro_fdr,repro_sig,both_sig
CGE_283,28.746393344024824,5.8729305973947994e-08,1.4249584238942116e-06,True,14.431964736988412,2.376358078648444e-06,3.130003069305522e-05,True,True
Splat_424,36.3643222173676,1.551913110242609e-07,3.577159719109213e-06,True,9.63083504753848,2.1718246415503017e-05,0.0002085856582822,True,True
Splat_237,29.74248866324996,1.7336140933910118e-07,3.8056957002536016e-06,True,19.925627321001137,5.154145013563927e-06,6.0924637211614625e-05,True,True
LLC_267,30.502035253512396,2.083839526489939e-07,4.3665910077811905e-06,True,24.497633974982698,1.0552019691356664e-07,2.1149917729197485e-06,True,True
MGE_260,25.538125387921426,4.695211386351872e-07,9.4108367352531e-06,True,63.770432620989496,0.0,0.0,True,True
MGE_261,24.135434995479933,5.368204196720683e-07,1.031142556120098e-05,True,69.63160819121202,0.0,0.0,True,True
DLIT_141,25.129616209511173,5.925454129585006e-07,1.052247779044395e-05,True,21.79621180957891,8.8514962048869e-07,1.3163031453073743e-05,True,True
Misc_404,24.931144623304096,5.934586172484657e-07,1.052247779044395e-05,True,26.885949952155187,3.735403691917938e-07,6.249440568495794e-06,True,True
DLNP_93,27.32424140086624,7.858228326940164e-07,1.3417197254516354e-05,True,24.631467779206172,8.927158345106712e-06,9.79861904070046e-05,True,True
DLIT_149,24.09833293962948,9.457367274867678e-07,1.530841386244746e-05,True,23.81449819708798,1.506649286997508e-06,2.042839180311327e-05,True,True
MGE_249,27.211061229004297,9.630021735596015e-07,1.530841386244746e-05,True,25.694365509537615,1.0823339557930469e-08,2.771977520114414e-07,True,True
LLC_271,25.973887815093818,1.0779468240240675e-06,1.656444952916984e-05,True,6.130152253936859,0.0068305550048749,0.0311770876955183,True,True
LLC_270,22.53021103845019,1.4661842244745316e-06,2.1803578305895455e-05,True,25.28953710912369,1.5119267837704342e-08,3.668411827990369e-07,True,True
CGE_286,23.392504944484305,2.1178420369638573e-06,3.036979096907958e-05,True,36.58186350721173,1.19776411011685e-11,4.2474558058759066e-10,True,True
ULIT_130,31.098649437299837,2.1739763600425732e-06,3.036979096907958e-05,True,28.87322056274339,6.065862041770842e-06,6.990906003140896e-05,True,True
ULIT_125,28.22202912364899,3.4548382402688205e-06,4.614874413615728e-05,True,21.385070863334292,3.239895163764661e-05,0.00028180974915,True,True
CGE_293,16.043797331498865,3.5037007478644355e-06,4.614874413615728e-05,True,16.25080000574688,1.3888407992546092e-06,1.940168510473863e-05,True,True
EMSN_231,19.04336952956928,4.580194471248689e-06,5.865193475682349e-05,True,17.89883608957366,0.0001470623222321,0.0011299288424837,True,True
LLC_274,22.744101328616793,4.9769678824862496e-06,6.201032956286922e-05,True,18.7957120277122,1.9930454336569703e-05,0.0001954880733863,True,True
MGE_257,25.45930511792901,5.982645938096276e-06,7.257894151216797e-05,True,0.5644987319657221,0.3487243386390306,0.6159460540712379,False,False
Misc_177,18.69696517344012,7.033560885272294e-06,8.314029661821866e-05,True,12.40074438803994,0.0002734577550548,0.0019697503918793,True,True
DLIT_140,22.566654003294307,1.0589642264857702e-05,0.0001208482072075,True,22.783585161518214,7.748739033086594e-06,8.712606571348585e-05,True,True
Splat_423,28.4743960949954,1.0747888276596562e-05,0.0001208482072075,True,41.97474730384469,7.361028453445328e-09,2.1208963231489353e-07,True,True
CGE_284,18.821498188667352,1.1029017841446276e-05,0.000121056600593,True,19.843497900898164,9.63158372613293e-07,1.3875500305460252e-05,True,True
MGE_252,16.783181633104657,1.177922809736387e-05,0.0001262842826252,True,22.8154325918389,1.446726720644165e-07,2.6677640728678397e-06,True,True
