supertype,beta,se,t_stat,p_value,n_genes,p_bonferroni,p_fdr
Sst_10,1.95149854540056,0.7793168130246705,2.504114517722823,0.006142518354088189,17160,0.8415250145100819,0.022743919311083292
Sst_9,1.891550148338319,0.7605720188689894,2.487009910187274,0.006445806085857875,17160,0.8830754337625288,0.022862887309365698
Sst_23,2.7481965757253155,1.1090407446969235,2.4779942385943063,0.006610938801997146,17160,0.905698615873609,0.022862887309365698
Pvalb_2,2.162629314962067,0.8739540177679667,2.474534438877357,0.006675295564778305,17160,0.9145154923746278,0.022862887309365698
Sncg_5,2.4559449536826183,1.0211715933471555,2.405026706268454,0.008090903493389479,17160,1.0,0.027035458014496548
Sncg_4,1.8751472027052658,0.8386405422840935,2.235936743051054,0.01268436149404406,17160,1.0,0.04137517915914372
Vip_11,1.8189225639822295,0.8263156752401916,2.2012441715492197,0.013866005659095126,17160,1.0,0.044177738960372845
Chandelier_2,1.9787627458377617,0.9062406412168083,2.1834848889373126,0.014506811132045327,17160,1.0,0.045168934661141136
Sst_12,2.294320832787479,1.091676038351207,2.101649896294018,0.017799250020736124,17160,1.0,0.054188827840907755
Lamp5_2,1.7258944009032886,0.8388888563208617,2.057357643863088,0.019833458440671303,17160,1.0,0.05906921318199932
Vip_5,1.6237481890301604,0.8546627007221111,1.8998701916653704,0.028733454601271524,17160,1.0,0.08375496341221698
Sst_25,2.1131490425808233,1.121320859138238,1.8845177322437656,0.029755934924156624,17160,1.0,0.08492839759603037
L6 IT_1,1.6263583951639868,0.9434494637884128,1.7238426196495564,0.04237713746859273,17160,1.0,0.11615376071866379
Sncg_1,1.5818786031349734,0.9183836230191438,1.7224595076452045,0.04250216769315007,17160,1.0,0.11615376071866379
Vip_19,1.0960089365318821,0.642240265743893,1.706540363461015,0.0439628081624458,17160,1.0,0.11615376071866379
Sst_4,1.5282727805508747,0.896242211380354,1.705200626733586,0.04408755881292348,17160,1.0,0.11615376071866379
Vip_12,1.3404305905898246,0.8002815406919641,1.6749487804389693,0.046981253934201384,17160,1.0,0.1214421092261432
Lamp5_3,1.2840215728765159,0.7827670524596924,1.6403623132089287,0.05047409500114419,17160,1.0,0.12805464842882877
Pvalb_14,1.1255546476779779,0.710702870719284,1.5837204182654183,0.05663789474175862,17160,1.0,0.1375834666303792
Vip_4,1.201910189986926,0.7617026351647386,1.5779257344002502,0.057300555088878435,17160,1.0,0.1375834666303792
Sncg_8,1.1164567465662365,0.7097691671581574,1.5729856948230285,0.0578702859645327,17160,1.0,0.1375834666303792
Sst_13,0.9363559220923253,0.5965037904155917,1.5697401041491361,0.05824701506979557,17160,1.0,0.1375834666303792
L5 IT_3,1.0738903487978986,0.6969715184052979,1.540795169442516,0.061692544909154545,17160,1.0,0.14325218055176564
Sncg_2,1.4903775463994862,0.990468962929229,1.5047190797294843,0.06620736280363959,17160,1.0,0.15100569476962605
Pvalb_7,1.2619427043686695,0.843112176623527,1.4967672622431618,0.06723611226968751,17160,1.0,0.15100569476962605
L6 CT_1,1.8912398033878355,1.335565792533915,1.416058882280642,0.07838821053429923,17160,1.0,0.17234914136472257
L2/3 IT_7,1.2483641727378674,0.8852648757968978,1.4101589330697377,0.07925544456917899,17160,1.0,0.17234914136472257
Vip_23,1.2599898480024065,0.9143231603154465,1.3780574557115048,0.08410176154593307,17160,1.0,0.180030333309263
Oligo_2_1-SEAAD,0.8746780294390804,0.6631466480114746,1.31898130234377,0.09359648456301806,17160,1.0,0.197272590540515
Vip_9,1.0552234587893965,0.8442576830703842,1.2498831576536857,0.10567964162499777,17160,1.0,0.21936531670643475
L5/6 NP_3,0.9859253920723278,0.8413358462130888,1.1718571085613987,0.12063535208085607,17160,1.0,0.24667228709070568
Astro_6-SEAAD,0.48414901455708703,0.42968607193976294,1.1267505422539252,0.12993186354010422,17160,1.0,0.26127621527481554
L5/6 NP_2,1.0513603489215753,0.9425108813852311,1.1154888178865006,0.13232831653303156,17160,1.0,0.26127621527481554
Sst_19,1.059635010412436,0.9545922205626715,1.1100394363028103,0.13349879612581816,17160,1.0,0.26127621527481554
Pvalb_9,0.792495610776994,0.7293727276996476,1.0865440681836684,0.138626810902037,17160,1.0,0.2674911703320995
L2/3 IT_12,0.7232210730570848,0.6858938864187598,1.0544212266320385,0.14585247908865195,17160,1.0,0.27752485604368493
L2/3 IT_8,0.6343003826884658,0.6679776150259356,0.9495832920446561,0.17116870416280872,17160,1.0,0.32123441740143555
L5/6 NP_6,0.774493998397911,0.844297550309119,0.9173235171822408,0.1794930166758686,17160,1.0,0.33230463898099993
L5/6 NP_4,0.6213838426468985,0.6862588707641357,0.9054656618937397,0.18261572987796892,17160,1.0,0.3335780665770899
Sst_7,0.7327055380716495,0.8681198876401278,0.8440142294901402,0.1993366116172095,17160,1.0,0.35933047094154874
L6b_5,0.6304883969330262,0.7818461281010308,0.8064098219228553,0.21000888209740542,17160,1.0,0.3687986267820625
L6 IT Car3_3,0.5277490610126093,0.6577840977775702,0.8023134989059401,0.21119137494874474,17160,1.0,0.3687986267820625
L4 IT_1,0.49507622404362106,0.6209972255537886,0.7972277550871913,0.2126649015750579,17160,1.0,0.3687986267820625
Sst_22,0.900463462566915,1.1658862390540925,0.772342474251587,0.21996112752362207,17160,1.0,0.3766834308842028
OPC_2_1-SEAAD,0.5237232653059941,0.7220862721461243,0.7252918183161517,0.23414145858094004,17160,1.0,0.3960170348838121
L6b_4,0.5530090657556924,0.8872899547316696,0.6232563130086726,0.26656219354799005,17160,1.0,0.4453539087326175
L5 IT_6,0.4170274651820161,0.7692416730007969,0.5421280201255868,0.2938686793429559,17160,1.0,0.48308511478565064
Vip_6,0.3846444767669956,0.7284957717550137,0.5279982282400233,0.298753697496009,17160,1.0,0.48308511478565064
Sst Chodl_1,0.28217317223074456,0.537264694899131,0.5252032655593,0.2997243412903672,17160,1.0,0.48308511478565064
