cell_type,expr_beta,expr_fdr,expr_logp,atac_beta,atac_fdr,atac_logp,class,subclass
L5 ET_2,-0.6446610079678389,0.9200490253841974,0.10762027335024064,-1.7513959164890682,0.9999999999187467,0.14656891665614585,Glutamatergic,L5 ET
L5 IT_1,-0.5047459791909632,0.9229000968692314,0.09247596158638452,-3.705725018512242,0.9999999999187467,0.03272657821642671,Glutamatergic,L5 IT
L5 IT_2,-0.5141322880592543,0.9334192091354488,0.08385846271241129,-1.54000831527896,0.9999999999187467,0.16198333189267164,Glutamatergic,L5 IT
L5 IT_3,1.0738903487978986,0.1432521805517656,1.209767314093741,-8.31362351313141,0.9999999999187467,0.00033857425744446593,Glutamatergic,L5 IT
L5 IT_5,-0.4832171485656142,0.9450161405358832,0.07215343051292207,-7.461341793205223,0.9999999999187467,0.0014521590259905432,Glutamatergic,L5 IT
L5 IT_6,0.4170274651820161,0.4830851147856506,0.5318466987636326,-8.322898478170925,0.9999999999187467,0.0004510826440789672,Glutamatergic,L5 IT
L5 IT_7,-0.325771646944216,0.8059295644553838,0.19917947146839943,-10.509319494440025,0.9999999999187467,2.4106791647084352e-05,Glutamatergic,L5 IT
L5/6 NP_1,-0.2307692973597876,0.8059295644553838,0.20078855202216148,5.414291157668514,0.1371572461998916,1.2064554938982697,Glutamatergic,L5/6 NP
L5/6 NP_2,1.0513603489215753,0.2612762152748155,0.8783472125156495,4.468517704563005,0.22071365924888492,0.9796416536491052,Glutamatergic,L5/6 NP
L5/6 NP_3,0.9859253920723278,0.2466722870907056,0.9185254039388435,0.16617218199043038,0.8446681673059813,0.31782200893765683,Glutamatergic,L5/6 NP
L5/6 NP_4,0.6213838426468985,0.3335780665770899,0.7384618165882583,6.587483691047806,0.07466296104332511,1.5217215637187322,Glutamatergic,L5/6 NP
L5/6 NP_6,0.774493998397911,0.3323046389809999,0.745952443342665,3.2711447478998306,0.33622405207448924,0.7775369316757323,Glutamatergic,L5/6 NP
L6 CT_1,1.8912398033878357,0.1723491413647225,1.105749249623045,-2.9553721562220896,0.9999999999187467,0.09572842797938043,Glutamatergic,L6 CT
L6 CT_2,-0.0633343031153964,0.7367765344240319,0.2737495869830419,-6.449081431398098,0.9999999999187467,0.010562278083747491,Glutamatergic,L6 CT
L6 CT_3,0.3423373087011013,0.5002787466233343,0.4855908244032752,-8.115031696401747,0.9999999999187467,0.002151690668236554,Glutamatergic,L6 CT
L6 CT_4,-0.0452868562737003,0.7321431183820559,0.2808985067878294,-12.245393689008768,0.9999999999187467,2.4853136667755574e-05,Glutamatergic,L6 CT
L6 IT Car3_1,-0.5450016723114546,0.9200490253841974,0.10472373579669436,5.070867112459146,0.08290007320040571,1.4685850305510135,Glutamatergic,L6 IT Car3
L6 IT Car3_2,-1.171510399038169,0.9999998526386172,0.01222185982396375,0.09324710843326409,0.8446681673059813,0.313238685865179,Glutamatergic,L6 IT Car3
L6 IT Car3_3,0.5277490610126093,0.3687986267820625,0.6753238223534465,2.866245044875372,0.2889165875388427,0.8497334108826647,Glutamatergic,L6 IT Car3
L6 IT_1,1.6263583951639868,0.1161537607186637,1.3728683827734387,-1.8351650620756104,0.9999999999187467,0.12566576758807732,Glutamatergic,L6 IT
L6 IT_2,1.7335945748048989,0.0050454028252689,3.1327947254373787,-5.219474182563569,0.9999999999187467,0.012063657416392573,Glutamatergic,L6 IT
