gene,specificity,gwas_zstat,gwas_p,contribution,is_scz_gwas
SH2D4B,0.014278623,2.3626,0.0090743,0.0337346746998,False
DDAH1,0.011317633,2.9802,0.0014405,0.0337288098666,False
PTP4A1,0.017948283,1.879,0.030124,0.033724823757,False
ENHO,0.029905105,1.1276,0.12974,0.033720996398,False
AGO4,0.007033773,4.7938,8.1813e-07,0.0337185010074,False
CDH18,0.012764674,2.6413,0.0041292,0.0337153334362,False
OSBPL7,0.012961584,2.6008,0.0046497,0.0337104876672,False
NTM,0.009473642,3.5579,0.00018694,0.0337062708718,False
RNF38,0.0061957506,5.4377,2.6982e-08,0.03369063303762,True
TDRD6,0.010936112,3.0777,0.0010429,0.0336580719024,False
KIF21B,0.007693197,4.3711,6.1802e-06,0.0336277334067,False
DOT1L,0.008196951,4.1021,2.0475e-05,0.0336247126971,False
GSG1L,0.02676136,1.2546,0.10481,0.033574802256,False
CATSPER2,0.006337968,5.2954,5.938e-08,0.0335620757472,True
C3orf20,0.019222997,1.7457,0.040431,0.033557585862899995,False
IFT81,0.0054006116,6.2134,2.5921e-10,0.03355616011544,True
MPV17,0.00921801,3.6382,0.00013729,0.033536963982,False
ABHD17C,0.009064127,3.6988,0.0001083,0.0335263929476,False
BRD1,0.0074082837,4.5176,3.1272e-06,0.033467662443119994,True
RGS12,0.020753222,1.6125,0.053424,0.033464570475000004,False
PPFIA3,0.008833013,3.7826,7.7607e-05,0.0334117549738,False
RCCD1,0.013758358,2.4255,0.0076435,0.033370897329,True
PCGF3,0.006295133,5.2957,5.9294e-08,0.033337135828099995,True
SCN9A,0.012303443,2.7082,0.0033826,0.033320184332600006,False
