gene,gwas_zstat,gwas_p,upper_sst_spec,deep_sst_spec,total_sst_spec,upper_fraction,upper_gwas_score,is_scz_gwas
LHFPL3,3.3166,0.00045561,0.12346137000000001,0.137268811,0.29856367100000003,0.41351772500144535,0.40947197974200006,True
SUGP1,6.9237,2.2001e-12,0.0588729901,0.07385061520000001,0.14770225759999997,0.398592350967559,0.40761892155537,True
CACNA1G,3.1041,0.00095428,0.13101046900000002,0.0945534578,0.2488652013,0.5264314509045023,0.40666959682290005,False
ACTR5,7.9681,8.0552e-16,0.05045017489999999,0.0828981125,0.15374560539999998,0.3281405980271355,0.40199203862068994,True
SMPD3,3.5913,0.0001645,0.111930928,0.06485732520000001,0.2000386222,0.559546585399347,0.4019775417264,False
MAU2,7.1487,4.3804e-13,0.056146581200000004,0.07125973430000002,0.1424447705,0.39416386437296413,0.40137506502444004,True
NMU,1.6958,0.044963,0.23649293100000002,0.37959683399999994,0.6910043316400002,0.34224522216628916,0.40104471238980005,False
OR2T35,1.0966,0.1364,0.36524365999999997,0.0,0.36524365999999997,1.0,0.400526197556,False
CNNM2,6.6393,1.5761e-11,0.060304527,0.0771120793,0.15457402430000003,0.3901336416198875,0.4003798461111,True
CYP2D6,6.3878,8.4132e-11,0.0626154893,0.0698042116,0.16429301890000003,0.3811208152314254,0.39997522255053997,False
SEZ6L2,5.7341,4.902e-09,0.069683714,0.08066813199999999,0.167655485,0.4156363509371614,0.3995733844473999,True
DEFB125,0.73008,0.23267,0.54640317,0.0,0.54640317,1.0,0.3989180263536,False
LRP8,2.6798,0.003683,0.148694839,0.122274042,0.322478323,0.4611002613034551,0.3984724295522,False
GDPD3,6.1447,4.0052e-10,0.064617183,0.035088977300000004,0.1108289203,0.5830353920717569,0.3970532043801,False
HS3ST6,2.5455,0.005456,0.15547094,0.058147382,0.213618322,0.7277977775707835,0.39575127777,False
PCDHA4,5.5322,1.5809e-08,0.0713181348,0.11386497199999998,0.2062081598,0.34585505670178623,0.39454618534055996,True
CD101,2.6157,0.0044519,0.150654332,0.041008459,0.21552040529999997,0.6990258383668696,0.3940665362124,False
ANKRD13A,4.5022,3.3629e-06,0.087199887,0.0622589326,0.16868601460000002,0.5169360791810419,0.39259133125140006,False
IFT81,6.2134,2.5921e-10,0.06313216149999999,0.0654628939,0.1431841244,0.44091593090050696,0.39226537226409997,True
CNTN4,5.7036,5.8647e-09,0.0687303131,0.05790262100000001,0.1481199061,0.4640180709647371,0.39201021379715995,True
TCF20,5.5509,1.4211e-08,0.070540634,0.08141547500000001,0.17064007250000002,0.4133884436787262,0.39156400527060004,False
TRANK1,4.8414,6.4448e-07,0.0797675135,0.09763639360000001,0.19873607209999997,0.40137410716189764,0.3861864398589,True
PRMT1,6.4076,7.3933e-11,0.060098256,0.0727133901,0.1483385871,0.40514243242377496,0.38508558514560004,True
CACNG8,4.0143,2.9812e-05,0.09578871,0.08630150689999999,0.1984671919,0.4826425419888253,0.384524618553,False
ZNF536,5.0807,1.8799e-07,0.0755962453,0.0156793213,0.11359545160000001,0.6654865510477886,0.38408184349571,True
MAN2A2,7.65,1.0048e-14,0.0501425254,0.0589947139,0.12277113429999999,0.4084227590296036,0.38359031931,True
KCNB1,5.9848,1.0835e-09,0.06404578400000001,0.082019853,0.1617350555,0.3959919746650101,0.38330120808320006,True
PCDHA9,5.3692,3.9546e-08,0.0713083215,0.09518394250000001,0.18402660960000003,0.38748918786797004,0.3828686397978,True
MTRNR2L3,1.5709,0.058106,0.2426897,0.0,0.2426897,1.0,0.38124124973,False
SLC32A1,5.7089,5.6871e-09,0.0666064409,0.11127541149999999,0.1914069744,0.3479833538395871,0.38024951045400995,False
SRPK2,6.7271,8.6554e-12,0.056378905,0.06907613069999999,0.1406201517,0.40093048057777053,0.3792665318255,False
PCDHAC2,5.4012,3.3091e-08,0.07019839080000001,0.111382378,0.2087726348,0.33624325749037304,0.3791555483889601,True
TOX2,1.9472,0.025753,0.19461739999999997,0.055879329119999994,0.27467263492,0.708543099157597,0.37895900127999993,False
