gene,spearman_rho,pval,n_expressing,pval_fdr,abs_rho
VTI1BP2,0.2310603289263154,0.007228971795384489,11,0.19683230411298988,0.2310603289263154
LOC105378586,0.23103612589006042,0.007235232098886269,17,0.19683230411298988,0.23103612589006042
HHEX,0.23091714794050291,0.007266076659597075,15,0.1973775594825689,0.23091714794050291
LOC102724183,-0.23088712957559726,0.007273877205558236,26,0.1973775594825689,0.23088712957559726
SFXN1,-0.2308580365640197,0.007281444377719618,116,0.1973775594825689,0.2308580365640197
ZNF580,0.2308176412772464,0.007291962881797653,99,0.1973775594825689,0.2308176412772464
UBASH3B,-0.23079877305467633,0.007296880583074237,130,0.1973775594825689,0.23079877305467633
TMEM218,0.23077160025097945,0.0073039679098027225,53,0.1973775594825689,0.23077160025097945
LMAN1L,-0.23064850699023987,0.007336150155949175,12,0.1980272008244616,0.23064850699023987
LOC105369617,-0.2304741227110188,0.007381957511660501,55,0.1990427811985533,0.2304741227110188
LOC100287225,-0.23034313375663926,0.007416532394128423,66,0.1996283849892291,0.23034313375663926
PQLC1,-0.23032967835486695,0.007420092102720411,91,0.1996283849892291,0.23032967835486695
LINC01023,0.23025283217757136,0.007440451275173001,20,0.19992156590265242,0.23025283217757136
C16orf95,0.23022653469772217,0.007447429740051934,24,0.19992156590265242,0.23022653469772217
TGFBRAP1,0.230162948144005,0.007464327453405361,86,0.2001542535769259,0.230162948144005
GBF1,-0.2300777477236551,0.0074870221928620894,128,0.20054170347202518,0.2300777477236551
ZNF69,-0.2300238004748344,0.007501423668678696,57,0.20070640819134714,0.2300238004748344
NEURL3,-0.22986592089595287,0.007543711569284872,11,0.2012850683813954,0.22986592089595287
UBE2Q2P2,-0.22984449237670715,0.00754946743402433,58,0.2012850683813954,0.22984449237670715
ME2,0.22982535067786852,0.007554612332516752,117,0.2012850683813954,0.22982535067786852
OLFML2A,-0.22981961008945404,0.007556155891296165,25,0.2012850683813954,0.22981961008945404
LOC105379283,-0.22968667939367524,0.007591977243357505,14,0.2020180290324922,0.22968667939367524
LINC00943,-0.22946530683431968,0.007651965452108326,12,0.20339175055817113,0.22946530683431968
DKFZp434J0226,-0.22922843285587163,0.007716619070301967,10,0.2042879973303793,0.22922843285587163
LAMA2,-0.2292133664949309,0.007720747683191642,92,0.2042879973303793,0.2292133664949309
SLC41A2,-0.22919976804290007,0.007724475727200982,118,0.2042879973303793,0.22919976804290007
LINC00589,-0.22919907673870107,0.007724665292278606,13,0.2042879973303793,0.22919907673870107
ZNRF1,-0.229187844189966,0.007727745988504951,107,0.2042879973303793,0.229187844189966
ASAP1,-0.22915747079140641,0.0077360818034323976,134,0.2042879973303793,0.22915747079140641
LOC105372074,-0.2290532863729465,0.007764735205997731,10,0.20472542065290864,0.2290532863729465
PTK2,-0.22901062234038466,0.007776496019517714,132,0.20472542065290864,0.22901062234038466
LOC102723493,-0.2290055355855331,0.0077778992921050775,44,0.20472542065290864,0.2290055355855331
LOC105374217,-0.22892296718777191,0.007800708655135409,11,0.20510382183951167,0.22892296718777191
LOC105374315,-0.22880859758769193,0.007832400899891186,20,0.20571471089228244,0.22880859758769193
TTBK1,-0.22867463427386706,0.00786966759904162,89,0.2063921908336338,0.22867463427386706
LOC105373077,0.22865491062994464,0.007875167677875588,16,0.2063921908336338,0.22865491062994464
LOC105378030,-0.22859694175266276,0.007891352421347291,37,0.20659373760988964,0.22859694175266276
CPLX3,0.22851874670958344,0.007913230909097433,12,0.20677595057778744,0.22851874670958344
RPL22L1,0.22851130306088635,0.007915316392743723,56,0.20677595057778744,0.22851130306088635
ENPP3,-0.22842102796165986,0.007940647491625779,47,0.20678844071116656,0.22842102796165986
LOC105375399,0.22842005854340874,0.007940919898421163,11,0.20678844071116656,0.22842005854340874
ZSCAN4,-0.2284083624991385,0.00794420714221052,21,0.20678844071116656,0.2284083624991385
CRTC3,-0.22838845736811594,0.007949804369266919,108,0.20678844071116656,0.22838845736811594
LOC105372130,-0.22827671325179716,0.007981291139184967,44,0.20738566431209146,0.22827671325179716
CACNA1A,0.2282001374085459,0.00800293204562462,132,0.20772605152789367,0.2282001374085459
SCFD1,-0.2280713129683998,0.008039456005036983,131,0.20845160927345893,0.2280713129683998
LOC105369729,-0.2280098562874309,0.008056931959469514,39,0.2086822600492631,0.2280098562874309
WIPF3,0.2279716064119813,0.008067825743696477,72,0.2087421169281298,0.2279716064119813
CCNYL1,-0.22790159134850663,0.008087800209858957,97,0.20903654506267771,0.22790159134850663
GREB1L,-0.22786069965971062,0.008099486356299434,107,0.2091163563392341,0.22786069965971062
