seaad_type,best_siletti,best_auroc,second_siletti,second_auroc,third_siletti,third_auroc,is_reciprocal
Lamp5_6,CGE_286,1.0,CGE_283,0.9978260869565218,CGE_287,0.9956521739130436,False
Lamp5_Lhx6_1,LLC_274,1.0,LLC_272,0.9978260869565218,LLC_271,0.9956521739130436,True
Micro-PVM_1,Mgl_12,1.0,Mgl_6,0.9978260869565218,Mgl_11,0.9956521739130436,True
Micro-PVM_1_1-SEAAD,Mono_3,1.0,Mgl_12,0.9978260869565218,Mgl_5,0.9956521739130436,True
Micro-PVM_2,Mgl_11,1.0,Mgl_9,0.9978260869565218,Mgl_10,0.9956521739130436,True
Micro-PVM_2_1-SEAAD,Mgl_12,1.0,Mgl_5,0.9978260869565218,Mgl_6,0.9956521739130436,False
Micro-PVM_2_3-SEAAD,Mgl_11,1.0,Mgl_9,0.9978260869565218,Mgl_8,0.9956521739130436,False
Micro-PVM_3-SEAAD,Mgl_11,1.0,Mgl_9,0.9978260869565218,Mgl_8,0.9956521739130436,False
OPC_1,COP_37,1.0,COP_38,0.9978260869565218,OPC_35,0.9956521739130436,True
OPC_2,OPC_35,1.0,OPC_34,0.9978260869565218,OPC_33,0.9956521739130436,True
OPC_2_1-SEAAD,OPC_35,1.0,OPC_34,0.9978260869565218,OPC_33,0.9956521739130436,False
OPC_2_2-SEAAD,OPC_35,1.0,OPC_34,0.9978260869565218,OPC_33,0.9956521739130436,False
Oligo_1,Oligo_44,1.0,Oligo_45,0.9978260869565218,Oligo_46,0.9956521739130436,True
Oligo_2,Oligo_45,1.0,Oligo_47,0.9978260869565218,Oligo_46,0.9956521739130436,True
Oligo_2_1-SEAAD,Oligo_45,1.0,Oligo_47,0.9978260869565218,Oligo_46,0.9956521739130436,False
Oligo_3,Oligo_40,1.0,Oligo_47,0.9978260869565218,Oligo_45,0.9956521739130436,True
Oligo_4,Oligo_47,1.0,Oligo_45,0.9978260869565218,Oligo_46,0.9956521739130436,True
Pax6_1,CGE_278,1.0,CGE_280,0.9978260869565218,CGE_277,0.9956521739130436,True
Pax6_2,CGE_277,1.0,CGE_278,0.9978260869565218,CGE_276,0.9956521739130436,True
Pax6_3,CGE_279,1.0,CGE_280,0.9978260869565218,CGE_278,0.9956521739130436,True
Pax6_4,CGE_279,1.0,CGE_280,0.9978260869565218,CGE_278,0.9956521739130436,False
Pvalb_1,MGE_257,1.0,MGE_258,0.9978260869565218,MGE_262,0.9956521739130436,True
Pvalb_10,MGE_258,1.0,MGE_257,0.9978260869565218,MGE_262,0.9956521739130436,True
Pvalb_12,MGE_258,1.0,MGE_262,0.9978260869565218,MGE_257,0.9956521739130436,False
Pvalb_13,MGE_258,1.0,MGE_257,0.9978260869565218,MGE_262,0.9956521739130436,False
Pvalb_14,MGE_259,1.0,MGE_240,0.9978260869565218,MGE_236,0.9956521739130436,True
Pvalb_15,MGE_262,1.0,MGE_261,0.9978260869565218,MGE_257,0.9956521739130436,True
Pvalb_2,MGE_261,1.0,MGE_259,0.9978260869565218,MGE_260,0.9956521739130436,True
Pvalb_3,MGE_259,1.0,MGE_261,0.9978260869565218,MGE_257,0.9956521739130436,False
Pvalb_5,MGE_259,1.0,MGE_239,0.9978260869565218,MGE_240,0.9956521739130436,False
Pvalb_6,MGE_239,1.0,MGE_259,0.9978260869565218,MGE_262,0.9956521739130436,True
Pvalb_7,MGE_255,1.0,MGE_256,0.9978260869565218,MGE_258,0.9956521739130436,True
Pvalb_8,MGE_240,1.0,MGE_241,0.9978260869565218,MGE_239,0.9956521739130436,True
Pvalb_9,MGE_256,1.0,MGE_257,0.9978260869565218,MGE_258,0.9956521739130436,True
Sncg_1,CGE_283,1.0,CGE_286,0.9978260869565218,CGE_282,0.9956521739130436,True
Sncg_2,CGE_283,1.0,CGE_284,0.9978260869565218,CGE_282,0.9956521739130436,False
Sncg_3,CGE_281,1.0,CGE_280,0.9978260869565218,CGE_279,0.9956521739130436,True
Sncg_4,CGE_282,1.0,CGE_283,0.9978260869565218,CGE_280,0.9956521739130436,True
Sncg_5,CGE_282,1.0,CGE_283,0.9978260869565218,CGE_286,0.9956521739130436,False
Sncg_6,CGE_280,1.0,CGE_282,0.9978260869565218,CGE_281,0.9956521739130436,True
Sncg_8,CGE_283,1.0,CGE_282,0.9978260869565218,CGE_284,0.9956521739130436,False
Sst Chodl_1,Splat_235,1.0,MGE_244,0.9978260869565218,MGE_245,0.9956521739130436,True
Sst Chodl_2,MGE_244,1.0,MGE_245,0.9978260869565218,MGE_249,0.9956521739130436,True
Sst_1,MGE_253,1.0,MGE_255,0.9978260869565218,MGE_254,0.9956521739130436,True
Sst_10,MGE_252,1.0,MGE_248,0.9978260869565218,MGE_247,0.9956521739130436,True
Sst_11,MGE_242,1.0,MGE_241,0.9978260869565218,MGE_243,0.9956521739130436,True
Sst_12,MGE_253,1.0,MGE_252,0.9978260869565218,MGE_249,0.9956521739130436,False
Sst_13,MGE_252,1.0,MGE_251,0.9978260869565218,MGE_250,0.9956521739130436,False
Sst_19,MGE_251,1.0,MGE_250,0.9978260869565218,MGE_252,0.9956521739130436,True
Sst_2,MGE_239,1.0,MGE_250,0.9978260869565218,MGE_241,0.9956521739130436,False
Sst_20,MGE_242,1.0,MGE_250,0.9978260869565218,MGE_249,0.9956521739130436,False
Sst_22,MGE_242,1.0,MGE_249,0.9978260869565218,MGE_243,0.9956521739130436,False
Sst_23,MGE_241,1.0,MGE_242,0.9978260869565218,MGE_243,0.9956521739130436,True
Sst_25,MGE_243,1.0,MGE_241,0.9978260869565218,MGE_242,0.9956521739130436,True
Sst_3,MGE_250,1.0,MGE_249,0.9978260869565218,MGE_251,0.9956521739130436,True
Sst_4,MGE_254,1.0,MGE_252,0.9978260869565218,MGE_253,0.9956521739130436,True
Sst_5,MGE_254,1.0,MGE_252,0.9978260869565218,MGE_253,0.9956521739130436,False
Sst_7,MGE_254,1.0,MGE_258,0.9978260869565218,MGE_253,0.9956521739130436,False
Sst_9,MGE_248,1.0,MGE_252,0.9978260869565218,MGE_249,0.9956521739130436,True
VLMC_1,Fbl_27,1.0,Fbl_28,0.9978260869565218,Fbl_26,0.9956521739130436,True
VLMC_2,Per_22,1.0,Per_21,0.9978260869565218,Vsmc_20,0.9956521739130436,True
VLMC_2_1-SEAAD,Vsmc_19,1.0,Vsmc_20,0.9978260869565218,Per_22,0.9956521739130436,True
VLMC_2_2-SEAAD,Per_23,1.0,Per_22,0.9978260869565218,Per_21,0.9956521739130436,True
Vip_1,CGE_293,1.0,CGE_290,0.9978260869565218,CGE_294,0.9956521739130436,True
Vip_11,CGE_290,1.0,CGE_289,0.9978260869565218,CGE_291,0.9956521739130436,True
Vip_12,CGE_293,1.0,CGE_295,0.9978260869565218,CGE_290,0.9956521739130436,False
Vip_13,CGE_290,1.0,CGE_289,0.9978260869565218,CGE_291,0.9956521739130436,False
Vip_14,CGE_285,1.0,CGE_284,0.9978260869565218,CGE_283,0.9956521739130436,True
Vip_15,CGE_284,1.0,CGE_289,0.9978260869565218,CGE_283,0.9956521739130436,True
Vip_16,CGE_285,1.0,CGE_284,0.9978260869565218,CGE_283,0.9956521739130436,False
Vip_18,CGE_293,1.0,CGE_294,0.9978260869565218,CGE_295,0.9956521739130436,False
Vip_19,CGE_294,1.0,CGE_293,0.9978260869565218,CGE_295,0.9956521739130436,True
Vip_2,CGE_289,1.0,CGE_290,0.9978260869565218,CGE_284,0.9956521739130436,True
Vip_21,CGE_296,1.0,CGE_295,0.9978260869565218,CGE_294,0.9956521739130436,True
Vip_23,CGE_296,1.0,CGE_289,0.9978260869565218,CGE_295,0.9956521739130436,False
Vip_4,CGE_292,1.0,CGE_295,0.9978260869565218,CGE_294,0.9956521739130436,True
Vip_5,CGE_292,1.0,CGE_280,0.9978260869565218,CGE_291,0.9956521739130436,False
Vip_6,CGE_291,1.0,CGE_292,0.9978260869565218,CGE_290,0.9956521739130436,True
Vip_9,CGE_291,1.0,CGE_290,0.9978260869565218,CGE_292,0.9956521739130436,False
