supertype,beta,se,t_stat,p_value,n_genes,p_bonferroni,p_fdr
Pvalb_9,12.922818977546738,3.9792936907011023,3.247515760835913,0.0005832634454158159,16301,0.0810736189127984,0.003118216112030708
Oligo_3,5.73006359939661,1.7827946395270908,3.214090659884743,0.0006555655527989979,16301,0.0911236118390607,0.0033749485866318776
Sncg_2,12.71589879309499,4.032753124338169,3.1531557725051287,0.0008090431354528249,16301,0.11245699582794266,0.004016321279569381
Lamp5_2,12.885403418657937,4.144304537240156,3.1091835319705527,0.0009396419309068982,16301,0.13061022839605885,0.004488513056881205
Sst_4,13.469817986097835,4.3448845741312,3.100155540677683,0.0009687438252261593,16301,0.13465539170643614,0.004488513056881205
Sst_19,10.093608966172065,3.4010154729204722,2.967822124462322,0.0015017685266012215,16301,0.2087458251975698,0.0067337362966958
Pvalb_3,12.436746133218973,4.211055324650982,2.9533561481407866,0.001573939201230501,16301,0.21877754897103963,0.006836798405344988
Sst_22,11.415531275112262,3.8958485135828265,2.9301784284764043,0.0016961869489041659,16301,0.23576998589767906,0.007144545027202396
Vip_15,11.37513668482548,4.094371002669607,2.778237897202934,0.0027358556369829756,16301,0.3802839335406336,0.011184821574724517
Sst_5,11.322866335377999,4.188106562240442,2.7035764651892698,0.0034334408874652222,16301,0.4772482833576659,0.013635665238790454
L4 IT_2,7.370136970251366,2.7527361085283553,2.67738594608385,0.0037136718321945095,16301,0.5162003846750368,0.014338899574306578
Sst_10,10.13886430614369,3.857753431648039,2.628178416735242,0.004296197703389293,16301,0.5971714807711117,0.016139769750570587
Pvalb_10,11.293072500768208,4.424503016325707,2.552393446020622,0.005353800509034223,16301,0.744178270755757,0.019583638704098866
Lamp5_Lhx6_1,11.108504172418195,4.449711100730943,2.4964551452775052,0.006276975630218673,16301,0.8724996126003955,0.02237178493847168
Pvalb_14,10.054959163086284,4.056331461149324,2.478830751231879,0.006595712621038308,16301,0.9168040543243248,0.02271936412919963
Sncg_6,10.238277602737453,4.151613923804705,2.4660957860346238,0.006834849386451847,16301,0.9500440647168067,0.02271936412919963
Lamp5_1,9.943003446227639,4.034448000235148,2.464526360396295,0.006864843837599888,16301,0.9542132934263844,0.02271936412919963
L4 IT_3,6.6256049576421,2.7735118020935583,2.3888865202018708,0.008455414178253351,16301,1.0,0.02733261792505153
L4 IT_4,6.294877833213883,2.7575312261666416,2.282794759849249,0.011227640385223503,16301,1.0,0.035469136671501526
Pvalb_1,9.552558233375649,4.234426100444334,2.255927487404554,0.012044186940838197,16301,1.0,0.037203155217255764
Pax6_4,9.609669993664385,4.368597244064046,2.1997152533852358,0.013920546548192081,16301,1.0,0.04203112022241507
Sncg_5,8.409023731716639,3.83696800601666,2.1915803620282066,0.014211961514054017,16301,1.0,0.04203112022241507
Pax6_3,9.26877252058438,4.2723907098282945,2.1694580739683538,0.015031164911265882,16301,1.0,0.04352774838887411
Sst_1,8.514276360978798,4.177561916620303,2.03809698836659,0.020778173626657126,16301,1.0,0.05894216600214981
Vip_16,9.303266053914934,4.706958240783375,1.976492158631643,0.024057948516488348,16301,1.0,0.06688109687583761
Vip_14,8.790578604810188,4.48870074746654,1.958379294893219,0.025101278128843663,16301,1.0,0.06841328744920136
Sst_12,8.567366214690129,4.442762976399368,1.9283869655440276,0.02691218138305207,16301,1.0,0.07112588214388484
Chandelier_1,7.897060838134357,4.102252374241188,1.9250548522371473,0.0271199406735676,16301,1.0,0.07112588214388484
Sncg_4,6.9224960197788645,3.6123143584182924,1.9163603532030324,0.027668358324597686,16301,1.0,0.07122040383553849
Sncg_3,8.153853574488805,4.32464724583955,1.8854378428976084,0.029694260979169385,16301,1.0,0.07466296104332511
L5/6 NP_4,6.587483691047806,3.504448070908932,1.879749266576874,0.03008004185918134,16301,1.0,0.07466296104332511
L6 IT Car3_1,5.070867112459146,2.778261319943963,1.8251944394350292,0.03399499404620954,16301,1.0,0.08290007320040571
Vip_9,7.064439141233927,4.065016430691902,1.737862383014156,0.04112697779351526,16301,1.0,0.0985629295396314
Oligo_4,3.0178607426309965,1.784659914386319,1.6910004636198326,0.04542791824025216,16301,1.0,0.10702509551517034
L4 IT_1,5.440541255216886,3.256012036096817,1.670921727223957,0.04737817070699246,16301,1.0,0.10975942880453254
Vip_5,6.139134294614562,3.7453963679808226,1.6391147134913857,0.050604337373378105,16301,1.0,0.11531152286720585
Sst Chodl_2,6.441545649261109,4.0687537502764455,1.5831741227454348,0.056700594135154714,16301,1.0,0.12711907394816943
L5/6 NP_1,5.414291157668514,3.522793606368093,1.5369311298513753,0.06216479504023864,16301,1.0,0.1371572461998916
Oligo_2,2.621692213472277,1.783486252418718,1.4699817337626269,0.07079300348239737,16301,1.0,0.15375355443833177
L6b_3,3.375063008845672,2.635110612687845,1.280805060931794,0.10014018686714132,16301,1.0,0.214145938069733
L5/6 NP_2,4.468517704563005,3.561367737791623,1.2547195441642032,0.10479929144191658,16301,1.0,0.22071365924888492
Chandelier_2,4.900371572908513,4.099583126262346,1.195334116172992,0.115986955000008,16301,1.0,0.24062965291046434
L6 IT Car3_3,2.866245044875372,2.6678833194202225,1.0743517244593204,0.14134048886792305,16301,1.0,0.2889165875388427
L5/6 NP_6,3.2711447478998306,3.3845038652942216,0.966506429921144,0.16690258700100546,16301,1.0,0.33622405207448924
Vip_2,3.0246196885586034,3.4486392159704855,0.877047292900844,0.1902369400356202,16301,1.0,0.37464305100888945
Oligo_1,1.5713895748686724,1.8001883047021912,0.8729028906387827,0.19136443612684284,16301,1.0,0.37464305100888945
Vip_19,3.649365687269679,4.238736540194027,0.8609560072121468,0.1946374700604927,16301,1.0,0.3757584491445623
L2/3 IT_1,1.91922189363393,2.4786400235437367,0.7743044070151014,0.21938101579475722,16301,1.0,0.41772549582837337
L6b_1,2.5755443953632593,3.62402767632378,0.7106856308492367,0.23864461833118844,16301,1.0,0.4482648911896648
Vip_18,2.530944437611039,3.7851657083025603,0.6686482528517963,0.25186467772514476,16301,1.0,0.4667892027172683
L6b_4,2.213222112273532,3.389174814352046,0.6530268379492438,0.2568740946079602,16301,1.0,0.46980919934876925
Vip_11,1.9166550400006448,3.5260260091805415,0.5435737101797729,0.2933711453342891,16301,1.0,0.5295920675515089
Vip_21,0.4772533307075227,3.875086720913561,0.12315939360319891,0.45099119937011856,16301,1.0,0.8036894450313652
L5/6 NP_3,0.16617218199043038,3.4944477727636136,0.0475532023358906,0.481036455828458,16301,1.0,0.8446681673059813
L6 IT Car3_2,0.09324710843326409,2.6834076454411138,0.03474951284113808,0.48613995240632013,16301,1.0,0.8446681673059813
L2/3 IT_2,-0.025998890009275345,2.6515544586527717,-0.009805150305110128,0.5039115663319913,16301,1.0,0.8647371323474912
Vip_13,-0.19416690218019,3.579505639748984,-0.0542440553868791,0.5216293069241837,16301,1.0,0.8842252885666042
Vip_6,-0.3428129761000918,3.8693698005977413,-0.0885965916328633,0.5352981971967132,16301,1.0,0.8964632459077487
L6b_5,-0.7447899639837047,3.229508686057444,-0.23062020771120384,0.5911936188645319,16301,1.0,0.9782846788353564
Endo_1,-0.6140335144082767,1.3840381162436517,-0.44365361560619027,0.6713505370219777,16301,1.0,0.9999999999187467
Oligo_2_1-SEAAD,-0.8202189286297458,1.8332516480990648,-0.44741207759461016,0.6727082480814202,16301,1.0,0.9999999999187467
OPC_2_2-SEAAD,-1.2611059532337685,2.700689670606147,-0.46695700248696986,0.6797315579445798,16301,1.0,0.9999999999187467
Vip_4,-1.7567304242961421,3.6962826963746243,-0.47526949873698043,0.6826993668516641,16301,1.0,0.9999999999187467
L5 IT_2,-1.54000831527896,3.1293475621802593,-0.4921180165126865,0.6886787271444359,16301,1.0,0.9999999999187467
L5 ET_2,-1.7513959164890682,3.1062520824085493,-0.5638292933170632,0.7135609636708105,16301,1.0,0.9999999999187467
L2/3 IT_7,-1.3395482315711715,2.280444501148626,-0.5874066353715081,0.7215306114994481,16301,1.0,0.9999999999187467
Vip_23,-2.143686024351103,3.632566465797509,-0.5901298832478401,0.7224441208565058,16301,1.0,0.9999999999187467
Vip_1,-2.099166964546437,3.5091311092390276,-0.598201349336774,0.7251430476151182,16301,1.0,0.9999999999187467
L6 IT_1,-1.8351650620756104,2.736755925357031,-0.6705621955805938,0.7487455123088307,16301,1.0,0.9999999999187467
Vip_12,-2.613863293816723,3.5482505839108196,-0.7366625417238061,0.7693309019327721,16301,1.0,0.9999999999187467
L6 CT_1,-2.9553721562220896,3.4791414736658464,-0.8494544354093541,0.8021795236291154,16301,1.0,0.9999999999187467
OPC_2,-2.4177574771274646,2.5971781962493306,-0.9309170547554367,0.8240448689740709,16301,1.0,0.9999999999187467
L2/3 IT_5,-2.5890161567800245,2.6978288451631984,-0.9596665709248907,0.8313813545915686,16301,1.0,0.9999999999187467
L2/3 IT_3,-2.829919799133673,2.7278301609315285,-1.0374252179128636,0.8502234381299929,16301,1.0,0.9999999999187467
Endo_3,-2.2680573482404043,1.9822279271011536,-1.1441960418533972,0.873720424852726,16301,1.0,0.9999999999187467
Micro-PVM_4-SEAAD,-2.221841749304275,1.8414676823028264,-1.2065602729045868,0.8861904754833523,16301,1.0,0.9999999999187467
OPC_1,-3.2651073717219403,2.427756307937567,-1.344907378490439,0.9106630680273773,16301,1.0,0.9999999999187467
L2/3 IT_6,-3.0487154677997768,2.180321252464979,-1.3982872773234807,0.918977077221097,16301,1.0,0.9999999999187467
L5 IT_1,-3.705725018512242,2.543629959374256,-1.4568648261336985,0.927413517768635,16301,1.0,0.9999999999187467
L5 ET_1,-4.327399816794336,2.9051754589613648,-1.4895485239784565,0.9318188309152797,16301,1.0,0.9999999999187467
Lymphocyte,-3.712718915515195,2.4820912621640163,-1.4958027418694724,0.9326377841863195,16301,1.0,0.9999999999187467
L2/3 IT_8,-3.6497889488100905,2.26014703242495,-1.6148458027061052,0.946818274395619,16301,1.0,0.9999999999187467
L2/3 IT_10,-4.0889168629411,2.5072925050136328,-1.630809670098251,0.9485250944335977,16301,1.0,0.9999999999187467
L2/3 IT_12,-3.9512599835353335,2.4039388205457026,-1.6436607911004921,0.9498672099519463,16301,1.0,0.9999999999187467
OPC_2_1-SEAAD,-5.130258057318217,2.6712879334394666,-1.920518560765053,0.9725950689488098,16301,1.0,0.9999999999187467
L6 IT_2,-5.219474182563569,2.7175271814057864,-1.920670460364454,0.9726046522277751,16301,1.0,0.9999999999187467
L6 CT_2,-6.449081431398098,3.261994596012015,-1.977036209465978,0.9759728173197624,16301,1.0,0.9999999999187467
Micro-PVM_2_1-SEAAD,-3.761890370887627,1.8090770475402609,-2.0794528215382195,0.9812043265557708,16301,1.0,0.9999999999187467
L6b_2,-7.797334585197561,3.425437535667957,-2.2763032471053624,0.9885796109132996,16301,1.0,0.9999999999187467
