gene,spearman_rho,pval,pval_fdr,abs_rho
APH1B,-0.7852941176470588,0.00031285391788601164,0.045256274559198374,0.7852941176470588
PRTFDC1,0.7852941176470588,0.00031285391788601164,0.045256274559198374,0.7852941176470588
MIA3,-0.7852941176470588,0.00031285391788601164,0.045256274559198374,0.7852941176470588
FAM78B,0.7852941176470588,0.00031285391788601164,0.045256274559198374,0.7852941176470588
PPP2R1B,-0.7852941176470588,0.00031285391788601164,0.045256274559198374,0.7852941176470588
CACNG8,0.7852941176470588,0.00031285391788601164,0.045256274559198374,0.7852941176470588
EYA2,0.7852941176470588,0.00031285391788601164,0.045256274559198374,0.7852941176470588
AC016885.2,-0.7852941176470588,0.00031285391788601164,0.045256274559198374,0.7852941176470588
PRKCQ-AS1,0.7852941176470588,0.00031285391788601164,0.045256274559198374,0.7852941176470588
CYP20A1,-0.7852941176470588,0.00031285391788601164,0.045256274559198374,0.7852941176470588
AL035425.3,-0.7844005066922591,0.0003212581439199635,0.04626545616639367,0.7844005066922591
AL365271.1,-0.7836696797086543,0.0003282693692770481,0.047065983949930036,0.7836696797086543
SLC24A3,0.7823529411764706,0.00034122076396497244,0.047453117659901296,0.7823529411764706
VMAC,-0.7823529411764706,0.00034122076396497244,0.047453117659901296,0.7823529411764706
SIK2,-0.7823529411764706,0.00034122076396497244,0.047453117659901296,0.7823529411764706
PHACTR2,-0.7823529411764706,0.00034122076396497244,0.047453117659901296,0.7823529411764706
COTL1,0.7823529411764706,0.00034122076396497244,0.047453117659901296,0.7823529411764706
ESD,-0.7823529411764706,0.00034122076396497244,0.047453117659901296,0.7823529411764706
RAPGEF5,-0.7823529411764706,0.00034122076396497244,0.047453117659901296,0.7823529411764706
LINC01152,-0.7799854944594699,0.0003655687425925095,0.049973256027473364,0.7799854944594699
PRSS12,-0.7794117647058825,0.00037168023647875443,0.049973256027473364,0.7794117647058825
BRMS1L,-0.7794117647058825,0.00037168023647875443,0.049973256027473364,0.7794117647058825
LHFPL5,-0.7794117647058825,0.00037168023647875443,0.049973256027473364,0.7794117647058825
NIPA1,-0.7794117647058825,0.00037168023647875443,0.049973256027473364,0.7794117647058825
AC027128.1,-0.7794117647058825,0.00037168023647875443,0.049973256027473364,0.7794117647058825
AC011451.3,-0.7794117647058825,0.00037168023647875443,0.049973256027473364,0.7794117647058825
MKLN1,0.7794117647058825,0.00037168023647875443,0.049973256027473364,0.7794117647058825
AC021723.2,-0.7770421529709435,0.0003978230670348327,0.05238536822853493,0.7770421529709435
IQCJ,0.7764705882352941,0.0004043508405454708,0.05238536822853493,0.7764705882352941
