cell_type,beta,se,t_stat,p_value,n_genes,p_bonferroni,p_fdr,source,supercluster
Lamp5_1,18.582256933886903,3.63640674454132,5.110060078339995,1.627864341102736e-07,16870,8.188157635746762e-05,4.309556650393033e-06,SEA-AD,
Sncg_6,24.710087446794095,4.891649475828795,5.0514836700574195,2.2148441825020626e-07,16870,0.0001114066623798,5.570333118992687e-06,SEA-AD,
Vip_1,20.896774405795217,4.156105217573106,5.02797049445191,2.503905772721638e-07,16870,0.0001259464603678,5.997450493709446e-06,SEA-AD,
Sst_11,25.779510206748963,5.267708421834908,4.893875693630201,4.989121407117381e-07,16870,0.000250952806778,1.1259516430343112e-05,SEA-AD,
Sst_3,20.411309188465214,4.1760744723742365,4.887678446227687,5.148486638129057e-07,16870,0.0002589688778978,1.1259516430343112e-05,SEA-AD,
EMSN_232,33.85302265691549,6.965995478699288,4.859753750979556,5.929419106820433e-07,16870,0.000298249781073,1.2427074211377825e-05,Siletti,Eccentric medium spiny neuron
LLC_267,21.51295404597408,4.464848063729589,4.818294763652903,7.302478228776721e-07,16870,0.0003673146549074,1.469258619629876e-05,Siletti,LAMP5-LHX6 and Chandelier
Vip_13,21.07229118666471,4.416676280196111,4.7710744120302735,9.239002014549412e-07,16870,0.0004647218013318,1.7873915435839827e-05,SEA-AD,
Splat_237,27.250176922164176,5.741641557129353,4.746060277539938,1.0455933330266731e-06,16870,0.0005259334465124,1.947901653749691e-05,Siletti,Splatter
Sst_1,17.939838348218778,3.9608111828875647,4.529334401429364,2.9787675828174542e-06,16870,0.0014983200941571,5.2891035960971104e-05,SEA-AD,
Sncg_4,20.595067667645065,4.55202485964257,4.5243750424645555,3.049383783038095e-06,16870,0.0015338400428681,5.2891035960971104e-05,SEA-AD,
Sst Chodl_2,23.60381961930918,5.254038260319529,4.492510037007933,3.5428090243705412e-06,16870,0.0017820329392583,5.940109797527941e-05,SEA-AD,
Splat_238,26.106322918020453,5.820696807464558,4.485085511504614,3.668289933811408e-06,16870,0.0018451498367071,5.9520962474423815e-05,Siletti,Splatter
L4 IT_3,18.703626625726013,4.1924666302118805,4.461246391549874,4.1005661398640925e-06,16870,0.0020625847683516,6.44557740109887e-05,SEA-AD,
Pax6_1,18.34484445682135,4.169333210750008,4.399946833110361,5.447075937636825e-06,16870,0.0027398791966313,8.30266423221613e-05,SEA-AD,
Sncg_3,13.89591769095949,3.1725425607212188,4.380057138713534,5.968170335601819e-06,16870,0.0030019896788077,8.829381408257985e-05,SEA-AD,
Pax6_4,17.474594420385035,4.019642778964515,4.34730034017764,6.931535957765966e-06,16870,0.0034865625867562,9.709378757852888e-05,SEA-AD,
Pvalb_12,18.29000506724477,4.20774670853655,4.346745736890141,6.949058355520954e-06,16870,0.003495376352827,9.709378757852888e-05,SEA-AD,
Sst_9,19.56380347460659,4.515269299118764,4.332809889860792,7.4034802233224895e-06,16870,0.0037239505523312,0.0001006473122251,SEA-AD,
Pvalb_6,15.046312760686895,3.559328893692666,4.22728924751793,1.1888424421679922e-05,16870,0.005979877484105,0.0001573651969501,SEA-AD,
Pvalb_10,23.59282239502182,5.664957386707171,4.164695475094376,1.5665937026843046e-05,16870,0.007879966324502,0.0002020504185769,SEA-AD,
Pvalb_8,19.80578984226775,4.839722352942117,4.092340096788322,2.145141449294563e-05,16870,0.0107900614899516,0.0002697515372487,SEA-AD,
Pax6_3,17.10670418694969,4.187563835884616,4.085120814244477,2.212872734830285e-05,16870,0.0111307498561963,0.0002714817038096,SEA-AD,
Lamp5_3,18.626404610543737,4.5691919135499734,4.076520523313322,2.296208883678652e-05,16870,0.0115499306849036,0.0002749983496405,SEA-AD,
EMSN_228,24.53373751046313,6.075314708443013,4.038266112596274,2.704295134137169e-05,16870,0.0136026045247099,0.0003118839003682,Siletti,Eccentric medium spiny neuron
LLC_273,21.714131912837452,5.385225388959192,4.032167707846702,2.7753875336933295e-05,16870,0.0139601992944774,0.0003118839003682,Siletti,LAMP5-LHX6 and Chandelier
Splat_423,24.56619109509178,6.094445994892994,4.030914559859532,2.790213820391685e-05,16870,0.0140347755165701,0.0003118839003682,Siletti,Splatter
LLC_272,19.25491234777916,4.790477861399099,4.019413700443572,2.9298322233084484e-05,16870,0.0147370560832414,0.0003162590911056,Siletti,LAMP5-LHX6 and Chandelier
EMSN_224,24.01437965465843,5.977610900163268,4.01738755762817,2.9551048274290004e-05,16870,0.0148641772819678,0.0003162590911056,Siletti,Eccentric medium spiny neuron
