supertype,comp_beta,se_y,comp_zval,comp_pval,comp_padj,abs_comp_beta,comp_logp,is_sst
Vip_18,-0.0648361552969541,0.0610262514155198,-1.06243057361484,0.288040260267096,0.603776699406029,0.0648361552969541,0.5405468053316371,False
Pax6_4,0.0641894868833819,0.0737338588677429,0.870556456274982,0.383996380664173,0.680028908243956,0.0641894868833819,0.415672869030869,False
Sncg_3,0.0510673069238611,0.071816876077193,0.711076695524475,0.477036710407552,0.725161804665052,0.0510673069238611,0.3214481984987539,False
Sst Chodl_2,0.131358137330864,0.0747291013191975,1.7577909410389,0.0787830872937457,0.390334387046285,0.131358137330864,1.103567004380312,True
L6 IT Car3_3,0.0835367743096128,0.0628200302811211,1.32977927479156,0.1835910063917,0.513113325556289,0.0835367743096128,0.7361485974818593,False
L6 CT_3,0.131444235983575,0.0740213144769062,1.77576198034938,0.0757721566988142,0.390334387046285,0.131444235983575,1.1204903512742062,False
Pvalb_14,0.158780283491465,0.0619554054455309,2.56281566313144,0.0103827157361502,0.16167371646291,0.158780283491465,1.9836890361828154,False
Pvalb_1,-0.0009767133801452,0.0578748050915545,-0.0168763139435229,0.986535288811571,0.995669874819086,0.0009767133801452,0.005887375224734035,False
Pvalb_12,0.119075676297048,0.0666610938727148,1.78628446338453,0.0740532112031961,0.390334387046285,0.119075676297048,1.130456104224604,False
L2/3 IT_13,-0.0703821418224023,0.0729471465821103,-0.964837490157059,0.334626214864152,0.651326025360581,0.0703821418224023,0.47544003909125754,False
Vip_14,0.0695235995305419,0.0637252518928077,1.0909897954972,0.275277372815086,0.588337914447929,0.0695235995305419,0.560229485175544,False
L5 IT_2,0.0090654063430058,0.0530108064807735,0.171010534357628,0.864215482395579,0.961919380354394,0.0090654063430058,0.06337795758190876,False
Sst_23,-0.0654486788027768,0.0700522250641106,-0.934284082238348,0.350157373023614,0.652482950989092,0.0654486788027768,0.4557367245787101,True
Pvalb_5,-0.0760606231404792,0.0615546320838198,-1.23566042985858,0.216584812018757,0.549017314187081,0.0760606231404792,0.6643720014859222,False
L6 CT_2,0.0979330149930562,0.0762766895965434,1.28391800314174,0.199170647302325,0.519939354955901,0.0979330149930562,0.7007746651790262,False
Sst_12,-0.0614500257970238,0.0661862188405618,-0.928441401752424,0.353178650837457,0.652482950989092,0.0614500257970238,0.45200555680374005,True
Pvalb_2,-0.08358702781814,0.0577625999171038,-1.44707869690937,0.147874883743049,0.499604933085498,0.08358702781814,0.830105583799497,False
Lamp5_Lhx6_1,0.0020444766422872,0.0416093479821212,0.0491350319444014,0.96081168565798,0.995669874819086,0.0020444766422872,0.017361723563189362,False
Vip_19,-0.003547494579619,0.04136867900373,-0.0857531510566039,0.931662649267175,0.995669874819086,0.003547494579619,0.030741315203688172,False
Lamp5_3,0.101828511468411,0.0651742578564092,1.56240385111492,0.118192880438295,0.499604933085498,0.101828511468411,0.9274086831796863,False
Sst_13,-0.0817744078418891,0.0556219860096725,-1.47018137445989,0.141512637776069,0.499604933085498,0.0817744078418891,0.8492047737698872,True
Sst_20,-0.174676636280529,0.0747117440175118,-2.33800774667483,0.019386846286962,0.192106022298078,0.174676636280529,1.7124928330855798,True
Sst_3,-0.186286911011216,0.0617411940282608,-3.01722235766849,0.0025510261027712,0.0463436408670109,0.186286911011216,2.5932850975519126,True
L6 IT Car3_1,-0.0475631776962481,0.0816046156953244,-0.582849110812898,0.559994880952075,0.786920305648997,0.0475631776962481,0.2518159429659919,False
Pvalb_9,0.0038736037517235,0.0585607569774225,0.0661467500021717,0.94726099120489,0.995669874819086,0.0038736037517235,0.023530346842687053,False
Pvalb_6,-0.115169547076118,0.0513734717663942,-2.24180969508578,0.0249736743761872,0.226844208917034,0.115169547076118,1.6025175552095405,False
Vip_2,-0.0771042168942552,0.0567337884768138,-1.35905284953369,0.174129842342005,0.512977103115637,0.0771042168942552,0.7591267931915494,False
L5/6 NP_1,0.036994958884966,0.0637298265675389,0.580496776431046,0.561579659970754,0.786920305648997,0.036994958884966,0.25058863044099,False
L2/3 IT_5,-0.04189726063948,0.0563552386355641,-0.743449263171781,0.457209728300242,0.725161804665052,0.04189726063948,0.3398845374583726,False
L6 IT Car3_2,0.027995281250069,0.0852044968888781,0.328565771435513,0.74248392328774,0.910999400823907,0.027995281250069,0.12931294551648828,False
L5 ET_2,0.0627526232524604,0.0749759427050267,0.836970113191431,0.402609367618143,0.696578112228216,0.0627526232524604,0.3951161244857683,False
Vip_6,0.0151278477964083,0.0632472158452404,0.23918598778205,0.810961367501729,0.961919380354394,0.0151278477964083,0.09099983417410466,False
Vip_4,-0.0687142701441916,0.0478809304254671,-1.4351072448593,0.151256539374509,0.499604933085498,0.0687142701441916,0.8202858401275837,False
L5/6 NP_2,0.152629704450451,0.0760417986694187,2.00718167009684,0.0447303226202571,0.305703809828044,0.152629704450451,1.34939796943986,False
Pax6_1,-0.0332602293344894,0.0586025879247094,-0.567555640669333,0.570336735286888,0.786920305648997,0.0332602293344894,0.2438686546842604,False
L5 IT_1,-0.0040694693313462,0.0525882032035817,-0.0773836922245153,0.938318313597857,0.995669874819086,0.0040694693313462,0.02764980726278806,False
Vip_21,0.0114308683093151,0.0608229756476285,0.187936683261578,0.850926285986344,0.961919380354394,0.0114308683093151,0.07010806033370327,False
Vip_5,-0.0965279301348535,0.065405364906343,-1.47584116796958,0.139986536167956,0.499604933085498,0.0965279301348535,0.8539137325299516,False
Lamp5_5,0.0001788859426369,0.0599011047709173,0.0029863546477331,0.997617237275197,0.997617237275197,0.0001788859426369,0.0010360555310905272,False
Sncg_4,-0.0022464953554502,0.066013609441946,-0.0340307911420277,0.972852597134413,0.995669874819086,0.0022464953554502,0.01195295736848646,False
Sst_4,0.0416898873119017,0.0659924621571455,0.631737109802435,0.527558674671892,0.766718607189817,0.0416898873119017,0.277729231444244,True
Sst_10,0.07088016835135,0.0582623091165044,1.21656984465916,0.223767921882224,0.552868160375212,0.07088016835135,0.6502021713735867,True
L4 IT_2,-0.0171930519235433,0.0497270524300618,-0.345748462523982,0.729531759937806,0.910999400823907,0.0171930519235433,0.13695579648404602,False
L6b_6,0.103381130437337,0.0807303536341445,1.28057323898075,0.200343604661907,0.519939354955901,0.103381130437337,0.6982245164924447,False
Vip_16,0.0457961592876426,0.0638434279283233,0.717319867897095,0.473176750853715,0.725161804665052,0.0457961592876426,0.32497660221821906,False
