CellType,estimate,se,zval,pval,I2,ci.lb,ci.ub,k,padj
L6 IT Car3_1,0.01705991959909416,0.08405037916270344,0.2029725477629295,0.839156489290408,0,-0.1476757964467404,0.18179563564492873,5,0.9478813335213044
L6 CT_1,0.07447983054991852,0.09399634234283974,0.7923694549545639,0.4281452843356063,39.97228877839965,-0.10974961512054462,0.25870927622038165,7,0.7527070321384046
Sst_22,-0.24354730033608185,0.08161163601593366,-2.9842227435378486,0.0028429972605726497,0,-0.40350316764670374,-0.08359143302545996,6,0.04426952877177412
Lamp5_Lhx6_1,0.0012661068394678892,0.042879753947948344,0.029526914753401197,0.9764443534272036,0,-0.08277666656445005,0.08530888024338583,7,0.9854855048478259
Sst_23,-0.09867049107159323,0.07132800052985587,-1.383334599857353,0.1665622935711658,0,-0.23847080319936462,0.041129821056178156,7,0.4777707894541335
Vip_16,0.0048757750239529635,0.06443709232344315,0.07566721042406635,0.9396838634698037,0,-0.12141860519847798,0.13117015524638392,7,0.969883901658038
Pvalb_10,0.019665250400919754,0.06694613346605309,0.29374736646876803,0.7689509569425135,0,-0.11154676009675592,0.15087726089859543,7,0.9066912112415545
Sst_10,-0.027516600200334754,0.06018188170664143,-0.45722399200585534,0.6475100553309445,0,-0.14547092086720187,0.09043772046653237,7,0.8755522440414867
L5 IT_5,-0.12147399228877467,0.0707395101940226,-1.7172014897417127,0.08594236345815032,51.16722162086541,-0.2601208845530629,0.017172899975513606,7,0.33456134346208516
Pvalb_14,0.08876541868044124,0.06150488568622206,1.4432254883505282,0.14895696170179834,23.321015096962416,-0.031781942137807065,0.20931277949868954,7,0.4510085784860005
Sst_19,-0.04749591156482522,0.052213448268479255,-0.9096490107415112,0.3630076426847127,0,-0.1498323896796898,0.05484056655003935,7,0.7194151464115216
Pvalb_6,-0.07865969409650908,0.05250265085222749,-1.4982042395897777,0.13408019448540573,0,-0.18156299885975613,0.024243610666737955,7,0.4510085784860005
L5 IT_1,-0.02719973439128551,0.052924417205474195,-0.5139354541342428,0.6072971186851447,0,-0.1309296860167869,0.07653021723421588,7,0.8723300506286329
L6 CT_2,0.15869797548113007,0.0779715099205006,2.0353328496900702,0.04181739297257212,67.06051091906886,0.005876624216741372,0.31151932674551874,7,0.21419365953690625
Vip_6,0.023348855243194425,0.06505414552204644,0.35891417919372476,0.7196592919586309,0,-0.10415492702504421,0.15085263751143307,7,0.9066912112415545
Lamp5_6,0.06310534789642916,0.07781899951776249,0.810924687897396,0.4174089217153732,20.870545550465692,-0.08941708847132512,0.21562778426418344,7,0.7527070321384046
Sst_13,-0.09198874340097828,0.0553924498945836,-1.6606729540946545,0.09677914811527172,0,-0.20055595020980163,0.01657846340784508,7,0.3588478699536413
Pax6_1,-0.03797602222972729,0.0607756213099712,-0.6248561744196718,0.5320654582233579,0,-0.15709405113531585,0.08114200667586127,7,0.8054879853659168
Sncg_8,-0.027375963232175518,0.0623403368763695,-0.43913723607984784,0.6605620996862914,32.683478724985214,-0.14956077829395392,0.0948088518296029,7,0.8755522440414867
L6 CT_3,0.23822719863090888,0.07471844648855588,3.188331795246794,0.0014309623618073825,38.29188395674854,0.09178173453255609,0.3846726627292617,7,0.03311929284517139
Pvalb_13,0.003921459947767481,0.06526511145162056,0.06008508773748688,0.9520878667652299,0,-0.12399580794440145,0.13183872783993641,7,0.969883901658038
L5 ET_1,0.06267150416973004,0.1309697133994138,0.4785190601937329,0.6322808115627374,14.894811598135478,-0.19402441715865387,0.319367425498114,5,0.8723874488650428
Vip_15,-0.029801780890929958,0.046953393447219105,-0.6347098410348234,0.5256176741385294,0,-0.12182874099941837,0.06222517921755846,7,0.8054879853659168
L6b_5,0.2018297158009309,0.13892032591659184,1.45284510721714,0.14626676474381478,20.670198830192298,-0.07044911971615536,0.47410855131801716,4,0.4510085784860005
Sncg_4,-0.025637877480626958,0.067026197566393525,-0.38250532495493395,0.7020865799123172,0,-0.15700681073142447,0.10573105577017056,7,0.9003227907110891
Sst_11,-0.17213661572760233,0.07937733148769757,-2.1685865788305216,0.030114085020974048,31.773133120199017,-0.3277133266323867,-0.01655990482281791,7,0.19308442748742186
Sst_7,-0.007699994221984902,0.0657214720445106,-0.11716101271697009,0.9067324614308377,0,-0.13651171244018165,0.12111172399621185,7,0.969883901658038
L6b_2,0.17386125932188504,0.08461617745311883,2.054704721425309,0.039907533645540734,46.18185950075304,0.008016599004321973,0.3397059196394481,7,0.21419365953690625
Lamp5_5,-0.006630593216064497,0.06068873385387057,-0.10925575135625629,0.9129996417321863,0,-0.12557832583698753,0.11231713940485852,7,0.969883901658038
Pvalb_5,-0.10904216530435934,0.06044184456645933,-1.804084009786649,0.07121813804959087,0,-0.22750600381378758,0.009421673205068898,7,0.3234490436418919
Vip_4,-0.08151271914961565,0.0465321649412094,-1.7517499831052794,0.0798168080927033,0,-0.17271408655706344,0.009688648257832125,7,0.324653754596075
L6 IT Car3_3,0.09078045678884024,0.06460720813715269,1.4051134448670983,0.1599875467282556,41.294915393636266,-0.03584734430166213,0.2174082578793426,7,0.4713146646859422
Vip_12,0.041710964033424315,0.059150194811428095,0.7051703577038019,0.48070422584200273,0,-0.07422128747550272,0.15764321554235133,7,0.795057308242619
Sst Chodl_1,0.007665823585964091,0.0734270636498569,0.10440051943952454,0.9168515104828849,15.535373731242549,-0.13624857665828558,0.15158022383021377,7,0.969883901658038
L2/3 IT_8,0.018007440966287164,0.08197613151807129,0.21966687903926646,0.8261306013141497,0,-0.14266282440105132,0.17867770633362567,7,0.947876163613077
Chandelier_1,-0.0207200361465179,0.04777169735974646,-0.433730373666335,0.664484247409521,0,-0.11435084245196814,0.07291077015893233,7,0.8755522440414867
Vip_13,-0.07907985940169604,0.0665184096473418,-1.1888417029353349,0.23450196408042204,0,-0.20945354661936763,0.05129382781597555,7,0.5820423666589482
Sncg_6,-0.052296558306132786,0.065043989369073,-0.804018308431104,0.4213864014665361,0,-0.179780434880322,0.07518731826805644,7,0.7527070321384046
L5/6 NP_4,0.18600377134896823,0.0729786241920523,2.5487431889573067,0.010811188013215461,0,0.042968296291262253,0.3290392464066742,7,0.11218313425729048
