# MEAN_SAMPLE_SIZE = 57475
# TOTAL_GENES = 15956
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
VARIABLE      TYPE  NGENES         BETA     BETA_STD           SE            P
Type177      COVAR   15956      -3.9553    -0.023003       1.6227       0.9926
Type178      COVAR   15956      -3.2697    -0.017206       1.7818      0.96674
Type179      COVAR   15956      -1.9669    -0.012159       1.5012      0.90493
Type180      COVAR   15956      -3.2146    -0.017459       1.7413      0.96755
Type181      COVAR   15956      -2.8149    -0.012791       2.0675      0.91331
Type182      COVAR   15956      -4.0602    -0.018277         2.09      0.97397
Type183      COVAR   15956      -5.2613    -0.022435        2.215      0.99122
Type184      COVAR   15956      -3.7577    -0.017075       2.0692      0.96531
Type185      COVAR   15956      -5.2308     -0.02233       2.2026      0.99121
Type186      COVAR   15956        -7.07    -0.023649       2.7057      0.99551
Type187      COVAR   15956      -8.2858    -0.031929       2.3811      0.99975
Type188      COVAR   15956      -8.3856    -0.034723       2.2456      0.99991
Type189      COVAR   15956      -6.4844    -0.027804       2.1525       0.9987
Type190      COVAR   15956      -7.4943    -0.030083       2.3199      0.99938
Type191      COVAR   15956      -7.1889    -0.028849       2.2929      0.99914
Type192      COVAR   15956      -7.7244     -0.03048       2.3773      0.99942
Type193      COVAR   15956      -5.1609    -0.025467       1.8702       0.9971
Type194      COVAR   15956       7.2345      0.01303       5.0152     0.074594
Type195      COVAR   15956       8.9129     0.013795       6.1914     0.075009
Type196      COVAR   15956       22.876     0.034706        5.908    5.424e-05
Type197      COVAR   15956        20.25     0.034533       5.6955   0.00018932
Type198      COVAR   15956       24.378     0.035555       6.5425   9.7667e-05
Type199      COVAR   15956       24.017     0.038897        5.824   1.8747e-05
Type200      COVAR   15956        31.03     0.045123       6.7078   1.8823e-06
Type201      COVAR   15956       31.163     0.044409       6.7508   1.9737e-06
Type202      COVAR   15956       13.323     0.022135       5.5324    0.0080235
Type203      COVAR   15956       4.4984    0.0092793        4.411      0.15392
Type204      COVAR   15956       10.988     0.022969       4.5243    0.0075819
Type205      COVAR   15956       17.931     0.028772       5.7656   0.00093771
Type206      COVAR   15956       15.997     0.031427       4.5824    0.0002415
Type207      COVAR   15956       10.882     0.022499       4.5642    0.0085658
Type208      COVAR   15956       13.639     0.022734       5.7415    0.0087708
Type209      COVAR   15956       10.189     0.019074       5.1218     0.023346
Type210      COVAR   15956       36.852     0.045641       7.9458    1.777e-06
Type211      COVAR   15956         7.38     0.012962       5.3644     0.084465
Type212      COVAR   15956       17.615     0.024837       6.9186    0.0054531
Type213      COVAR   15956       3.9285     0.009106       4.1094      0.16955
Type214      COVAR   15956       8.8572     0.017716        4.628     0.027831
Type215      COVAR   15956       13.095     0.022679       5.4925    0.0085651
Type216      COVAR   15956        19.46     0.031235       5.8915   0.00047946
Type217      COVAR   15956       14.645     0.025048       5.3104    0.0029135
Type218      COVAR   15956       7.9933     0.015134        5.095     0.058354
Type219      COVAR   15956       11.396      0.01738        6.002     0.028809
Type220      COVAR   15956       43.166     0.053143       7.8404   1.8756e-08
Type221      COVAR   15956       10.884     0.015597       6.7263     0.052838
Type222      COVAR   15956       32.118     0.041069       7.4995   9.3006e-06
Type223      COVAR   15956       52.014     0.073317       6.8021   1.1034e-14
Type224      COVAR   15956       51.424      0.06049       8.2254   2.0928e-10
Type225      COVAR   15956       18.314     0.030241       5.4556   0.00039521
