# MEAN_SAMPLE_SIZE = 90909
# TOTAL_GENES = 15981
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
VARIABLE      TYPE  NGENES         BETA     BETA_STD           SE            P
Type129      COVAR   15981      -2.9203    -0.022262       1.1782       0.9934
Type130      COVAR   15981      -3.0965     -0.02289       1.2016      0.99501
Type131      COVAR   15981      -2.9154     -0.01955        1.333      0.98562
Type132      COVAR   15981       -2.896    -0.017858       1.4591      0.97641
Type133      COVAR   15981      -2.4639    -0.016557       1.3376      0.96726
Type134      COVAR   15981      -3.0646    -0.019159       1.4336      0.98372
Type135      COVAR   15981      -3.0424     -0.02423       1.1515      0.99588
Type136      COVAR   15981      -4.3887    -0.033327       1.1762       0.9999
Type137      COVAR   15981       -3.342    -0.022384       1.3669      0.99275
Type138      COVAR   15981       -4.031    -0.024044       1.5363      0.99565
Type139      COVAR   15981      -2.8814    -0.024105        1.075      0.99632
Type140      COVAR   15981      -3.2955    -0.027084       1.0913      0.99873
Type141      COVAR   15981      -4.9661    -0.032458       1.3686      0.99986
Type142      COVAR   15981      -4.8236    -0.027829       1.5989      0.99872
Type143      COVAR   15981      -1.8896    -0.010577       1.5952      0.88189
Type144      COVAR   15981      -1.6693    -0.008514       1.7759      0.82637
Type145      COVAR   15981      -3.2484     -0.01578       1.8644      0.95926
Type146      COVAR   15981       -6.801    -0.040061       1.5292            1
Type147      COVAR   15981      -8.1942    -0.039228       1.9247      0.99999
Type148      COVAR   15981      -9.0235     -0.03944       2.1037      0.99999
Type149      COVAR   15981      -6.0836    -0.035623        1.539      0.99996
Type150      COVAR   15981      -4.4489    -0.031342       1.2624      0.99979
Type151      COVAR   15981       -8.414    -0.037779       2.0261      0.99998
Type152      COVAR   15981      -8.0777    -0.047181       1.5223            1
Type153      COVAR   15981      0.88405    0.0023258       3.5735      0.40231
Type154      COVAR   15981       2.6582    0.0066116       3.7494      0.23918
Type155      COVAR   15981       3.0311    0.0068567       4.0837      0.22898
Type156      COVAR   15981       1.0944    0.0026214       3.8089      0.38693
Type157      COVAR   15981      0.98648    0.0030455       2.8999      0.36687
Type158      COVAR   15981      0.92569    0.0037684       2.2008      0.33702
Type159      COVAR   15981       7.4642     0.017136       3.9641     0.029865
Type160      COVAR   15981       8.6643     0.019827       3.9657     0.014459
Type161      COVAR   15981       3.7293    0.0097224       3.4205       0.1378
Type162      COVAR   15981       1.8075    0.0057286       2.9083      0.26714
Type163      COVAR   15981     -0.81056   -0.0030916       2.3845      0.63304
Type164      COVAR   15981       -1.571   -0.0065575       2.1283      0.76977
Type165      COVAR   15981      -1.5478   -0.0063684       2.1998      0.75916
Type166      COVAR   15981     0.050171   0.00021185       2.2811      0.49123
Type167      COVAR   15981      -3.9379    -0.012167       2.9619      0.90815
Type168      COVAR   15981      -3.9492    -0.011923       3.0005      0.90593
Type169      COVAR   15981      -1.8559   -0.0044931       3.7484      0.68974
Type170      COVAR   15981      -3.0896   -0.0085939       3.2996      0.82545
Type171      COVAR   15981      -4.0094    -0.014133       2.6049      0.93811
Type172      COVAR   15981      -3.9356    -0.012315       2.9636       0.9079
Type173      COVAR   15981      -5.6459    -0.019645       2.6744      0.98261
Type174      COVAR   15981      -4.0705    -0.015195         2.48      0.94963
Type175      COVAR   15981      -5.2547    -0.024121       1.9906      0.99585
Type176      COVAR   15981       -4.135    -0.015213        2.421      0.95617
Type177      COVAR   15981      -2.3547    -0.013681       1.5227      0.93899
Type178      COVAR   15981      -2.0416    -0.010734       1.6821      0.88756
Type179      COVAR   15981      -1.3355   -0.0082475       1.4076      0.82862
