# MEAN_SAMPLE_SIZE = 90908
# TOTAL_GENES = 15979
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
VARIABLE      TYPE  NGENES         BETA     BETA_STD           SE            P
Type122      COVAR   15979       16.542     0.028637       5.2235   0.00077246
Type123      COVAR   15979       13.442      0.02698       4.4946    0.0013938
Type124      COVAR   15979       12.623     0.025484       4.4254    0.0021733
Type125      COVAR   15979     -0.89729    -0.010538       0.7646       0.8797
Type126      COVAR   15979      -1.7339    -0.022278      0.72139      0.99188
Type127      COVAR   15979      -1.3672    -0.020295      0.60925      0.98758
Type128      COVAR   15979      -1.4099    -0.019997      0.62235      0.98825
Type129      COVAR   15979      -3.0035    -0.022466       1.2014      0.99378
Type130      COVAR   15979      -3.1021    -0.022677       1.2144      0.99468
Type131      COVAR   15979      -2.8862    -0.019177       1.3418      0.98426
Type132      COVAR   15979      -2.9525    -0.017962        1.477      0.97718
Type133      COVAR   15979      -2.5192    -0.016709       1.3549       0.9685
Type134      COVAR   15979      -3.0383    -0.018719       1.4539      0.98167
Type135      COVAR   15979      -3.0236    -0.023624       1.1678      0.99519
Type136      COVAR   15979      -4.2415    -0.032527        1.159      0.99987
Type137      COVAR   15979      -3.4022    -0.022741       1.3677      0.99356
Type138      COVAR   15979      -4.0339    -0.024167       1.5277      0.99586
Type139      COVAR   15979      -2.8942    -0.024428       1.0671      0.99665
Type140      COVAR   15979      -3.3133    -0.027353       1.0835      0.99888
Type141      COVAR   15979      -4.9183    -0.032326        1.358      0.99985
Type142      COVAR   15979      -4.8093    -0.028119        1.576      0.99886
Type143      COVAR   15979      -1.9825    -0.011318       1.5624      0.89774
Type144      COVAR   15979      -1.7548   -0.0091136       1.7423      0.84306
Type145      COVAR   15979      -3.2477    -0.015972       1.8368      0.96147
Type146      COVAR   15979      -6.6329     -0.03906       1.5223      0.99999
Type147      COVAR   15979      -8.2456    -0.039075       1.9388      0.99999
Type148      COVAR   15979      -9.2117    -0.039432       2.1447      0.99999
Type149      COVAR   15979      -6.2283    -0.035698       1.5702      0.99996
Type150      COVAR   15979      -4.4075    -0.031019       1.2614      0.99976
Type151      COVAR   15979      -8.0757    -0.036656       2.0053      0.99997
Type152      COVAR   15979       -8.115    -0.047564       1.5159            1
Type153      COVAR   15979      0.34071   0.00092921       3.4375      0.46052
Type154      COVAR   15979       2.8803     0.006868       3.9217      0.23134
Type155      COVAR   15979        2.403    0.0054332       4.0678      0.27736
Type156      COVAR   15979        1.001    0.0023817       3.8378      0.39711
Type157      COVAR   15979       1.2473    0.0037526       2.9822      0.33789
Type158      COVAR   15979      0.93862     0.003859       2.1817      0.33352
Type159      COVAR   15979       7.1859     0.016702       3.9067     0.032941
Type160      COVAR   15979       8.5694     0.019708       3.9454     0.014937
Type161      COVAR   15979       3.2598    0.0087572       3.3108      0.16242
Type162      COVAR   15979       1.7382     0.005457       2.9381      0.27707
Type163      COVAR   15979     -0.83495   -0.0031684       2.3962      0.63624
Type164      COVAR   15979      -1.7497   -0.0072746       2.1374      0.79348
Type165      COVAR   15979       -1.819   -0.0076685       2.1404      0.80229
Type166      COVAR   15979     -0.08962  -0.00037706        2.284      0.51565
Type167      COVAR   15979      -4.1335    -0.013075       2.8871      0.92388
Type168      COVAR   15979      -3.9637    -0.011933       3.0193      0.90536
Type169      COVAR   15979      -2.0861   -0.0050781       3.7335      0.71183
Type170      COVAR   15979      -3.1279   -0.0087644       3.2774      0.83005
Type171      COVAR   15979      -3.9823     -0.01407       2.6029      0.93698
Type172      COVAR   15979      -4.1855    -0.013136       2.9606      0.92126
Type173      COVAR   15979      -5.8162    -0.020438       2.6511      0.98587
Type174      COVAR   15979      -4.7444    -0.016785       2.6312      0.96431
Type175      COVAR   15979      -5.3656    -0.025378       1.9373      0.99719
Type176      COVAR   15979        -4.03    -0.014941       2.4012      0.95335
Type177      COVAR   15979      -2.4257    -0.014072       1.5296       0.9436
Type178      COVAR   15979      -2.0622    -0.010828       1.6823      0.88986
Type179      COVAR   15979      -1.4129   -0.0087686       1.4004      0.84348
Type180      COVAR   15979      -2.0391    -0.011093       1.6217      0.89568
Type181      COVAR   15979       -1.642   -0.0075105       1.9405      0.80125
Type182      COVAR   15979      -3.0523    -0.013709       1.9953      0.93695
Type183      COVAR   15979      -3.6814     -0.01577       2.0874      0.96109
Type184      COVAR   15979      -2.9087    -0.013294       1.9237      0.93473
Type185      COVAR   15979      -3.3319    -0.014559       2.0276      0.94983
Type186      COVAR   15979      -8.5501    -0.028948        2.576      0.99955
Type187      COVAR   15979      -9.0328    -0.035151       2.3099      0.99995
Type188      COVAR   15979      -8.1756    -0.034192       2.1196      0.99994
Type189      COVAR   15979      -7.7215    -0.033181       2.0787       0.9999
Type190      COVAR   15979      -8.2682    -0.033561       2.2248       0.9999
Type191      COVAR   15979      -8.3242    -0.033782       2.2052      0.99992
Type192      COVAR   15979      -7.5332    -0.030147       2.2558      0.99958
Type193      COVAR   15979      -5.6908    -0.028302       1.7829      0.99929
Type194      COVAR   15979       8.6143     0.015821       4.9448     0.040757
Type195      COVAR   15979       7.7915     0.012182       5.9052     0.093525
Type196      COVAR   15979       18.665     0.028563       5.8912   0.00076852
Type197      COVAR   15979       12.802      0.02186        5.396    0.0088426
Type198      COVAR   15979       19.939     0.030399       6.0545    0.0004964
Type199      COVAR   15979       20.467      0.03246       5.8892   0.00025586
Type200      COVAR   15979       26.486     0.038614       6.4002   1.7608e-05
Type201      COVAR   15979       25.093     0.035935       6.4611    5.168e-05
Type202      COVAR   15979       10.523     0.017205       5.4101       0.0259
Type203      COVAR   15979       3.0102    0.0062547       4.2761      0.24074
Type204      COVAR   15979       7.2761     0.015303       4.3826     0.048444
Type205      COVAR   15979       7.1716     0.011598       5.6095      0.10055
Type206      COVAR   15979       6.8654     0.013474       4.7479     0.074101
Type207      COVAR   15979       5.9845     0.012068       4.6299     0.098093
Type208      COVAR   15979       5.1186    0.0085012        5.667      0.18321
Type209      COVAR   15979       11.489     0.021485       5.0223      0.01109
Type210      COVAR   15979       28.483     0.036123       7.4296   6.3395e-05
Type211      COVAR   15979       2.5514    0.0044959       5.2321       0.3129
Type212      COVAR   15979       15.277     0.021621       6.6517     0.010824
Type213      COVAR   15979       2.7527    0.0067579       3.6388      0.22468
Type214      COVAR   15979       10.877     0.022133       4.5195    0.0080548
Type215      COVAR   15979       13.186     0.022615       5.3112    0.0065273
Type216      COVAR   15979       7.7485     0.015667        4.417     0.039708
Type217      COVAR   15979       19.715     0.034384       5.0997   5.5583e-05
Type218      COVAR   15979       5.7545     0.011061       4.8862      0.11947
Type219      COVAR   15979       16.459     0.025127       5.8136    0.0023227
Type220      COVAR   15979       51.062     0.062954       7.6247   1.1065e-11
Type221      COVAR   15979        15.72      0.02311       6.2332    0.0058411
Type222      COVAR   15979       36.743     0.048167        7.015   8.2465e-08
Type223      COVAR   15979       61.921     0.087597       6.5147   1.1704e-21
Type224      COVAR   15979       61.491     0.072664       7.8692   2.9718e-15
Type225      COVAR   15979       27.311     0.043764        5.591   5.2388e-07
Type226      COVAR   15979       50.604     0.063765       7.4668   6.3796e-12
Type227      COVAR   15979       45.002     0.058803        7.234   2.5445e-10
Type228      COVAR   15979       17.033      0.02345       6.8719    0.0066012
Type229      COVAR   15979       5.1722    0.0084328       5.5551      0.17592
Type230      COVAR   15979       29.368     0.038583       7.0736   1.6597e-05
Type231      COVAR   15979       28.159     0.035946       7.2194   4.8247e-05
Type232      COVAR   15979       7.0117     0.012961       4.9763     0.079428
Type233      COVAR   15979       3.1205    0.0068262       4.5837      0.24801
Type234      COVAR   15979       16.063     0.027724       5.1561   0.00092078
Type235      COVAR   15979       13.542     0.022921       5.3856    0.0059651
Type236      COVAR   15979       33.005     0.041057       7.2377   2.5779e-06
Type237      COVAR   15979       20.439     0.027719       6.6362    0.0010376
Type238      COVAR   15979       10.564      0.01876       5.0395     0.018041
Type239      COVAR   15979       16.451     0.022632       6.3238    0.0046471
Type240      COVAR   15979       19.627     0.027196       6.5603    0.0013889
Type241      COVAR   15979       4.7847    0.0071013       5.7842      0.20407
Type242      COVAR   15979       4.8334     0.010063       3.8585      0.10517
Type243      COVAR   15979       18.594     0.027688       5.9988   0.00097118
Type244      COVAR   15979       12.208     0.020898       5.2446    0.0099693
Type245      COVAR   15979       4.7999    0.0085326       4.9014      0.16373
Type246      COVAR   15979       2.8179    0.0050741       5.0432      0.28817
Type247      COVAR   15979       2.3051    0.0041092       5.0741      0.32482
Type248      COVAR   15979       31.161     0.045406       6.4865   7.8619e-07
Type249      COVAR   15979       26.538     0.037093       6.4775    2.105e-05
Type250      COVAR   15979       14.503     0.021164       6.1275    0.0089776
Type251      COVAR   15979       14.254     0.020433        6.423     0.013243
Type252      COVAR   15979       7.3737     0.014259       4.5865     0.053962
Type253      COVAR   15979       10.255     0.015443       6.1981     0.049015
Type254      COVAR   15979       6.8658     0.012946       4.6573     0.070226
Type255      COVAR   15979       10.303     0.016761       5.4373     0.029069
Type256      COVAR   15979       8.8706     0.013576       5.9944     0.069476
Type257      COVAR   15979        9.709     0.017678       4.6748     0.018916
Type258      COVAR   15979       47.149     0.060681       7.2958   5.3288e-11
Type259      COVAR   15979        29.82     0.044355       6.0097   3.5308e-07
Type260      COVAR   15979       31.589     0.046211       6.2832   2.5155e-07
Type261      COVAR   15979        15.27        0.028       5.0179    0.0011734
Type262      COVAR   15979       11.345     0.020243       5.1552     0.013885
Type263      COVAR   15979       6.9881     0.014862       4.1668     0.046776
Type264      COVAR   15979       5.3784     0.010035       4.6889      0.12569
Type265      COVAR   15979      -2.8007   -0.0065692       3.7577      0.77196
Type266      COVAR   15979       18.609     0.029477       5.6095   0.00045548
Type267      COVAR   15979       2.6765    0.0051306       4.5232      0.27702
Type268      COVAR   15979       5.8086    0.0090757       5.5582      0.14801
Type269      COVAR   15979       18.567     0.027404       6.1624    0.0012961
Type270      COVAR   15979        10.73     0.020667       4.7579     0.012069
Type271      COVAR   15979     -0.74982   -0.0018319       3.8966      0.57629
Type272      COVAR   15979       10.047     0.018856       4.8776     0.019717
Type273      COVAR   15979       3.4308    0.0079714       4.0042      0.19578
Type274      COVAR   15979       13.428     0.022911       5.4757    0.0071039
Type275      COVAR   15979       7.9734     0.015531       4.6874     0.044479
Type276      COVAR   15979       11.803      0.02245       4.7581    0.0065622
Type277      COVAR   15979       14.416     0.024038       5.4789    0.0042591
Type278      COVAR   15979        7.028     0.012131       5.2917     0.092079
Type279      COVAR   15979       16.101     0.028391       5.1111   0.00081768
Type280      COVAR   15979       8.6983      0.02143       3.5202    0.0067427
Type281      COVAR   15979       16.506     0.031276          4.6   0.00016701
Type282      COVAR   15979       27.747      0.03939        6.525   1.0648e-05
Type283      COVAR   15979       28.061     0.042208       5.9346    1.143e-06
Type284      COVAR   15979       23.645     0.036527       5.8839   2.9422e-05
Type285      COVAR   15979       7.5475     0.014852       4.5357     0.048065
Type286      COVAR   15979       17.728     0.027479       6.0692    0.0017479
Type287      COVAR   15979       20.495      0.03831       4.8915   1.4037e-05
Type288      COVAR   15979       19.656     0.032761       5.5773   0.00021295
Type289      COVAR   15979           15     0.024638       5.6021    0.0037134
Type290      COVAR   15979       10.777     0.019593       4.9728     0.015119
Type291      COVAR   15979       13.932     0.024596       5.2304    0.0038702
Type292      COVAR   15979       4.7285     0.010854       3.7472      0.10351
Type293      COVAR   15979       13.828     0.024666       5.1247    0.0034897
Type294      COVAR   15979       7.5844     0.011876       5.8343     0.096816
Type295      COVAR   15979       8.3199     0.012661       5.9815     0.082135
Type296      COVAR   15979       5.5744    0.0098102       5.1435      0.13924
Type297      COVAR   15979         23.3     0.032725       6.6302   0.00022128
Type298      COVAR   15979       43.273     0.049408       8.1507   5.5958e-08
Type299      COVAR   15979       18.007      0.02691       6.1914    0.0018193
Type300      COVAR   15979       22.187     0.034264       5.8926   8.3588e-05
Type301      COVAR   15979        26.42     0.037723       6.4519    2.124e-05
Type302      COVAR   15979       19.438     0.034925       4.9571   4.4266e-05
Type303      COVAR   15979       11.061     0.020902       4.7341    0.0097417
Type304      COVAR   15979       22.996     0.036812       5.6742    2.546e-05
Type305      COVAR   15979       30.876     0.040628       7.0275   5.6166e-06
Type306      COVAR   15979       27.868     0.040824       6.2184   3.7367e-06
Type307      COVAR   15979       33.109     0.042784       7.1253   1.7019e-06
