,Sst_1,Sst_10,Sst_11,Sst_12,Sst_13,Sst_19,Sst_2,Sst_20,Sst_22,Sst_23,Sst_25,Sst_3,Sst_4,Sst_5,Sst_7,Sst_9
PPP1R3E,0.3139665646760423,0.2783794567991418,0.24984736016589945,0.21735047088736945,0.26723647483401214,0.26070524940123213,0.2808064518851594,0.25757716749222537,0.21125966950693037,0.2830796388927596,0.29297923572905243,0.22409953138854827,0.21090195636922365,0.2821492566870249,0.3146705988692266,0.2826594880216404
BCL2L2,0.19542886267871443,0.191503086874778,0.15189962991023523,0.16874023011469183,0.17662181735874868,0.14639262633672787,0.2013448898599033,0.19652889825507266,0.126551784075105,0.15394050568989315,0.14941786179612251,0.1530546114921553,0.20527924561828872,0.19613281403732957,0.15835662121959276,0.2047464628250379
BCL2L2-PABPN1,0.1366632460904179,0.08826552979874097,0.09657683284213521,0.12722083113428248,0.10756166433643345,0.08778171583530399,0.10671086746889472,0.12651591383231756,0.1332460670675835,0.13485074753481924,0.14264453654508186,0.11397153455745172,0.09746109318259008,0.1452019296748748,0.14833323792642977,0.10130313354978282
PABPN1,0.4659763289178597,0.376736389674557,0.5664880951371916,0.48144318005901077,0.4805698739983411,0.4127640868186738,0.4979724947508404,0.48493187455727427,0.6001268921194148,0.5626346112680357,0.5949722163216492,0.48533923562659925,0.5203275037993057,0.41658039383097645,0.5347897424666088,0.41514605019835665
SLC22A17,1.0098248359558932,1.0294324574596094,0.8381997578583552,0.762851955664025,0.8351298308802555,0.9256303195414343,0.8984072135923248,0.7874815417234722,0.7605040216372363,0.9234826747221798,0.7686334246453523,0.8119252818755691,0.860686200520289,0.8853641493839696,0.792049556059915,0.9334647268358021
EFS,0.0,0.005144331602242672,0.0,0.004888169379643078,0.002200920255800499,0.0032976152259228167,0.0,0.0011331043585585628,0.008697758852597045,0.0017637182941203327,0.0029346087782486045,0.0011878955784641924,0.002754830880707062,0.0032657812035097123,0.0,0.0
AL049829.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IL25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00020817911709325435,0.0,0.0,0.0,0.0
CMTM5,0.0033348526071143828,0.0,0.0010897843398774037,0.004966973442420438,0.0009509106737018336,0.0009591072358504763,0.0011840987125596519,0.002038759973710179,0.0,0.0014557460119224595,0.0009493919050405537,0.0019948941269463056,0.0,0.005508149294818994,0.0,0.0046908624561059565
MYH6,0.0,0.0,0.0013177898437303692,0.0,0.0,0.00270424875602501,0.0,0.0,0.0021220158672334228,0.0,0.0008730603596894727,0.0006170826440728087,0.0032619673554916137,0.0030233119341994577,0.0,0.002785512535002112
MYH7,0.01339223417521789,0.0023483578971358054,0.003227857055338019,0.0,0.0,0.001015565974497715,0.0012042423148463475,0.0,0.008850852049804413,0.001282826041472024,0.001141071934914735,0.00022601901798722176,0.0,0.0023904409036551097,0.0018957170151077372,0.0
AL132855.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NGDN,0.12511935450093756,0.11427552397411517,0.10555493049329898,0.0824280925954955,0.1048776658037201,0.11512250018792895,0.10133713085051281,0.1137613416150031,0.08630273180278038,0.08594013418016441,0.08470305093852583,0.08912315066615438,0.10779690230388259,0.0985585883217739,0.10931986150556354,0.1270651901016387
ZFHX2-AS1,0.34671198079052723,0.3176986015620804,0.3449970726326951,0.3099713749610896,0.3776269198412813,0.3479915795362176,0.276166160581236,0.3076403905831168,0.34015553889024003,0.3093817616276992,0.29313212148933104,0.32717169153952774,0.2482953014550971,0.28759555521273367,0.30128026270117164,0.3354815221172072
ZFHX2,0.3716635965140174,0.3512405613754815,0.32799099925019565,0.3111351268724492,0.31340852360119636,0.3362975117581062,0.3566617522578157,0.31494776388413337,0.329571931993826,0.36256251259549865,0.3266149827726056,0.299616168197157,0.3064342255847783,0.33267577955072863,0.3137191356049393,0.36472387228639025
AL135999.2,0.005436030742342572,0.0017188576248385566,0.009178723698339364,0.0110874889175328,0.010754328601201306,0.00674686114102578,0.005479319524918766,0.004984715542754927,0.012405638088358257,0.012398719311653381,0.005779683778220627,0.008362178009607932,0.014356148988227834,0.0060840606980833946,0.014193486284600494,0.0035005417758409113
THTPA,0.003852176710374874,0.001370109723450021,0.0014765905271808767,0.0,0.0031531901569530436,0.0017811361626357712,0.002407923071422794,0.0012989736982513022,0.0024675476948044658,0.005286146549553354,0.0013003418255302336,0.0009051976645756339,0.0038746555673010064,0.0,0.0,0.005940960523315849
AP1G2,0.1827558096843441,0.11944346504850682,0.1845929256759858,0.16108412506463524,0.15913209120313515,0.13905584674415516,0.13179084157961066,0.1742016258538451,0.23378083806513286,0.17919954423061993,0.1742867798406211,0.1735842745586406,0.13598540663617914,0.1546645769129701,0.096189795377407,0.14178688356143646
AL135999.1,0.007599280298211712,0.008489285178959275,0.0035635921498539075,0.015556544256548253,0.004112772246076073,0.009056277579279903,0.0034835296260041855,0.004357126479043942,0.004027283398778775,0.006229456241074514,0.007727766189394939,0.008291712043102271,0.004485515058148154,0.02230316320493286,0.01488154160026955,0.0021459966299954224
