# MEAN_SAMPLE_SIZE = 90833
# TOTAL_GENES = 15861
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
VARIABLE      TYPE  NGENES         BETA     BETA_STD           SE            P
Type52       COVAR   15861      -1.0199   -0.0089573       1.0872      0.82588
Type53       COVAR   15861       6.9998     0.039392       1.6294   8.7631e-06
Type54       COVAR   15861       5.5022      0.03216        1.624   0.00035292
Type55       COVAR   15861       4.3115     0.028293       1.4315    0.0013002
Type56       COVAR   15861       5.7202     0.037044       1.3846   1.8153e-05
Type57       COVAR   15861       6.8224     0.034686       1.7961   7.3116e-05
Type58       COVAR   15861       7.3234     0.039776       1.6809   6.6466e-06
Type59       COVAR   15861       2.5665     0.017194       1.3558     0.029187
Type60       COVAR   15861     -0.68148    -0.015572      0.38837      0.96033
Type61       COVAR   15861    -0.017725  -0.00045627      0.33397      0.52116
Type62       COVAR   15861     -0.78126    -0.019746      0.35352      0.98644
Type63       COVAR   15861     -0.43427    -0.012431       0.2917      0.93171
Type64       COVAR   15861     -0.46527    -0.010295      0.39376      0.88131
Type65       COVAR   15861     -0.47845     -0.01014      0.41639      0.87472
Type66       COVAR   15861      0.19585    0.0021973      0.79991      0.40329
Type67       COVAR   15861     -0.64243   -0.0065287      0.91307      0.75915
Type68       COVAR   15861     -0.11913    -0.001105      0.98166       0.5483
Type69       COVAR   15861       0.5991    0.0072241      0.73633      0.20793
Type70       COVAR   15861      0.17432    0.0022697      0.70171       0.4019
Type71       COVAR   15861      0.28593     0.003509      0.75239      0.35196
Type72       COVAR   15861       1.7249     0.018755      0.83264     0.019158
Type73       COVAR   15861       1.1304     0.012404      0.83605     0.088195
Type74       COVAR   15861       0.1435    0.0017432      0.76164      0.42528
Type75       COVAR   15861       4.5372      0.02712       1.5487    0.0016992
Type76       COVAR   15861       4.4697     0.032418       1.2624   0.00020028
Type77       COVAR   15861       2.2482     0.015878       1.2697     0.038314
Type78       COVAR   15861       5.0805     0.031188       1.4617   0.00025561
Type79       COVAR   15861       2.5941     0.015178       1.5608     0.048261
Type80       COVAR   15861       6.6888     0.037133       1.6487   2.4993e-05
Type81       COVAR   15861       5.4739      0.02822       1.7774    0.0010381
Type82       COVAR   15861       7.1251     0.041604        1.559   2.4555e-06
Type83       COVAR   15861       8.5551     0.043414       1.7699    6.775e-07
Type84       COVAR   15861       2.0408     0.012895       1.4426     0.078591
Type85       COVAR   15861       5.5961     0.030773       1.6314   0.00030254
Type86       COVAR   15861       2.8945     0.018368       1.4307      0.02154
Type87       COVAR   15861       3.2881     0.018116       1.6098     0.020559
Type88       COVAR   15861       6.3177      0.03248       1.7951   0.00021696
Type89       COVAR   15861       4.7352     0.027459       1.4978   0.00078664
Type90       COVAR   15861       6.1047     0.035623       1.5811   5.6744e-05
Type91       COVAR   15861       4.3211      0.02497        1.656    0.0045414
Type92       COVAR   15861       4.5163     0.026293       1.5844    0.0021864
Type93       COVAR   15861       1.6908     0.011107        1.342      0.10386
Type94       COVAR   15861       4.5602     0.030895        1.338   0.00032779
Type95       COVAR   15861       5.2979      0.03262       1.4558   0.00013721
Type96       COVAR   15861       6.4653     0.037647       1.6004   2.6908e-05
Type97       COVAR   15861       6.2684     0.039325       1.4654   9.5051e-06
Type98       COVAR   15861       4.4209     0.027668       1.4919    0.0015243
Type99       COVAR   15861   -0.0026969  -2.8874e-05      0.83906      0.50128
Type100      COVAR   15861       2.3831     0.015536       1.3792     0.042018
Type101      COVAR   15861       1.0458    0.0070439       1.3042      0.21132
Type102      COVAR   15861       9.6525     0.047777       1.8315   6.9214e-08
Type103      COVAR   15861        5.963     0.031432       1.8041   0.00047578
Type104      COVAR   15861       5.0793     0.027211       1.7113    0.0015011
Type105      COVAR   15861       2.4943     0.015276       1.4862     0.046656
Type106      COVAR   15861       3.5106     0.019665       1.6245     0.015356
Type107      COVAR   15861       5.6486     0.031583       1.6211   0.00024733
Type108      COVAR   15861       3.6579     0.021594       1.5242    0.0082076
Type109      COVAR   15861        4.711     0.025107       1.7155    0.0030195
Type110      COVAR   15861        1.605    0.0095961       1.5058      0.14325
Type111      COVAR   15861       3.7823      0.02405       1.4735    0.0051362
Type112      COVAR   15861       7.2632     0.035503       1.9437   9.3566e-05
Type113      COVAR   15861       8.0898     0.040441       1.8296   4.9381e-06
Type114      COVAR   15861       5.0192     0.027434       1.6633    0.0012765
Type115      COVAR   15861       8.6519     0.044239       1.8139   9.3237e-07
Type116      COVAR   15861       3.2367     0.017034        1.753     0.032428
Type117      COVAR   15861      -1.4197    -0.032144      0.40244      0.99979
Type118      COVAR   15861     -0.62772    -0.013665      0.41652      0.93409
Type119      COVAR   15861    -0.092934   -0.0019183      0.42298      0.58695
Type120      COVAR   15861      0.20806    0.0043843      0.40902      0.30549
Type121      COVAR   15861        5.398     0.032063       1.5211   0.00019427
Type122      COVAR   15861       4.6378     0.029015       1.4462   0.00067224
Type123      COVAR   15861       3.4072     0.021796       1.4401    0.0089997
Type124      COVAR   15861       4.1267     0.027209       1.3418    0.0010531
Type125      COVAR   15861      0.89466    0.0062992        1.279      0.24213
Type126      COVAR   15861       1.9118     0.011478       1.5057       0.1021
Type127      COVAR   15861       2.6384     0.016585       1.4475     0.034182
Type128      COVAR   15861       2.4096     0.016105       1.3257     0.034576
Type129      COVAR   15861       3.6576     0.022137       1.5099    0.0077154
Type130      COVAR   15861      0.41645      0.00292       1.2952       0.3739
Type131      COVAR   15861       3.2036     0.018535       1.5514      0.01947
Type132      COVAR   15861      0.21265    0.0013466        1.408      0.43998
Type133      COVAR   15861        3.021     0.019209       1.3733     0.013921
Type134      COVAR   15861       2.5786     0.016386       1.4313     0.035818
Type135      COVAR   15861       2.9568     0.020642       1.3063     0.011813
Type136      COVAR   15861       3.5998     0.021918       1.4943    0.0080052
