gene,specificity,gwas_z,gwas_p,gwas_fdr,driver_score
CCDC63,0.014340253,3.5856,0.00016818,0.002640410612991766,0.054123350726705974
CEMIP,0.016053554,3.301,0.00048173,0.0059858702389572775,0.05325279004168126
SETD7,0.0119123105,3.9609,3.733e-05,0.0007937828996282527,0.05274702009999199
GPR84,0.023654686,2.4968,0.0062667,0.03844722829581994,0.05211035298155048
HUNK,0.020678448,2.7266,0.0031991,0.024134125714285713,0.05159215257207534
RAB3IP,0.016300473,3.1891,0.00071356,0.008003065098039216,0.05129057122913296
TENM2,0.01193129,3.8853,5.1096e-05,0.0010279101524032826,0.051204480426316284
POSTN,0.019701242,2.7851,0.0026757,0.02123778085991678,0.05068267797543407
SOX6,0.021641338,2.5885,0.0048201,0.03210905124223602,0.050141767183537224
BRINP2,0.011325935,3.9589,3.7654e-05,0.0007957421674876849,0.05010807570219794
LPCAT4,0.011304957,3.949,3.9238e-05,0.0008231345721271394,0.04981295444488606
COX8A,0.011126379,3.9664,3.6484e-05,0.0007777210434782608,0.04937773013724082
CACNA1G,0.016252682,3.1041,0.00095428,0.009891351449275361,0.049088368403769886
C16orf86,0.014315752,3.3621,0.00038675,0.005046866920152091,0.04885350118765091
NDST3,0.019495977,2.7043,0.003422,0.02530083412322275,0.048071620306961854
RGS5,0.015226832,3.1893,0.00071298,0.008002912230215828,0.04791766254649617
PANK1,0.014816689,3.2466,0.00058395,0.0069012272727272716,0.04791160614751109
CYTH3,0.01344716,3.4532,0.00027694,0.0038953200000000003,0.04783980887353068
DHRS11,0.012805721,3.5368,0.00020249,0.003016853125,0.04729916523625211
CKMT1B,0.013051192,3.4917,0.00023995,0.003442760869565217,0.04724373905285777
ECM1,0.011480378,3.7846,7.6984e-05,0.00142200800861141,0.04722567751303732
PRSS27,0.020297388,2.5948,0.0047325,0.031759757528353534,0.04718958769719889
CCDC150,0.017984224,2.812,0.0024618,0.019933930188679245,0.04691629459134771
BNC1,0.017896732,2.8172,0.002422,0.019688072003789674,0.04681473439643972
ITGA9,0.014118661,3.2727,0.0005326,0.006432282899366642,0.046218832242262795
SULT1A3,0.011948101,3.6333,0.00013991,0.0022756925118483412,0.04604978832553176
PITPNC1,0.011298977,3.756,8.632e-05,0.001555066540880503,0.045917783464068745
FRMD5,0.0122066,3.5773,0.00017355,0.0026902601626016256,0.0459038394578305
GRM8,0.016184269,2.9748,0.0014659,0.013604566792861006,0.045864529601014524
AGRP,0.013198219,3.3892,0.00035053,0.004673733333333333,0.04560347360994582
RAB11FIP5,0.011838733,3.6203,0.00014712,0.0023660536082474224,0.045369911319901014
CDC25A,0.01562576,2.9906,0.0013921,0.013046660841070454,0.044632320287499305
ENKD1,0.011915845,3.5639,0.0001827,0.0028017265415549593,0.044544544039222
TTC36,0.013850821,3.231,0.00061674,0.007243845585215606,0.04445972101342627
MYBPC2,0.019433316,2.5614,0.0052119,0.03405796039603961,0.04436633671595584
FGF18,0.013904224,3.2056,0.00067385,0.007713986657771847,0.04409636721432012
CBR3,0.015013634,3.0403,0.0011816,0.01148145866364666,0.043952856702885866
SLC23A3,0.012733688,3.3864,0.00035411,0.004717800931677018,0.04394219760277016
ELAVL2,0.014589713,3.0971,0.00097716,0.010046773876572797,0.043915536836688064
GSTK1,0.013451957,3.2542,0.0005686,0.0067664188626907085,0.04365419863846708
PPARGC1A,0.019663148,2.4764,0.0066361,0.03977487809989522,0.04282804857504175
CTNNAL1,0.012022759,3.4304,0.00030134,0.0041534091566265054,0.042331451739441465
PRPSAP1,0.0123826405,3.3463,0.00040954,0.005272097824456114,0.04194871671626436
SUN3,0.01361546,3.142,0.00083893,0.009008785231539425,0.04188488934064408
ZPBP,0.019613827,2.4341,0.0074643,0.04340474008810573,0.04171882409521696
OSM,0.013024187,3.2223,0.00063581,0.007412024184782608,0.04163406231664959
GLT8D2,0.012693804,3.2765,0.00052553,0.006394038983050848,0.04162809240872124
FNDC4,0.012236123,3.3485,0.00040632,0.005234572972972973,0.04149430581620728
ALK,0.019064175,2.4742,0.0066762,0.03995939727938612,0.04147355339949972
CCDC114,0.018790223,2.4991,0.0062247,0.03825782664756447,0.04144900669815839
OSBPL10,0.016137246,2.7657,0.0028403,0.022235195255474453,0.04109568815428317
NXPH2,0.018096706,2.5478,0.0054205,0.03480386836200449,0.041006423713110876
KCNJ4,0.012535448,3.2658,0.00054578,0.006558532773109244,0.0409029459871355
STAC2,0.014285917,2.9828,0.001428,0.013305986970684039,0.04064731667095115
MSGN1,0.014671209,2.8982,0.0018767,0.01635559776536313,0.040002593957483526
C7orf57,0.013395914,3.0707,0.0010679,0.010681775189283635,0.03980554871672468
LRP8,0.016218195,2.6798,0.003683,0.026678041367665682,0.039471815114275846
GRIP2,0.01820474,2.4644,0.006862,0.04078694838933149,0.039386852233910155
SLIT2,0.015928634,2.7094,0.0033704,0.02511335822839774,0.03938065737618305
ASGR1,0.013380442,3.0488,0.0011489,0.011259351227869788,0.039334723125369515
LAG3,0.01777987,2.5004,0.006203,0.03816546432413052,0.03924725336911845
GCKR,0.011573629,3.343,0.00041438,0.0053224257485029935,0.03914897150494105
DIRAS1,0.010963575,3.452,0.00027819,0.003909697297297297,0.03898272848013683
SLC25A2,0.01782972,2.477,0.0066255,0.03973910520796924,0.03884706126348442
OCM2,0.018185286,2.4401,0.0073424,0.04285564081632653,0.03881034560654508
C8orf87,0.011998727,3.2161,0.00064973,0.007515478706199462,0.03824314756998372
POC1A,0.012515213,3.1238,0.00089281,0.009413651351351353,0.03816190002793631
PARD6A,0.011701356,3.2609,0.00055536,0.006631856367432149,0.03809289157981754
MYRFL,0.016671007,2.5596,0.0052393,0.03416097835169009,0.038022011336434645
SYT13,0.011344759,3.3142,0.00045951,0.005780932258064517,0.03786545921159851
TICAM2,0.011270192,3.3207,0.00044901,0.005686355424354243,0.03772971749606966
TSHZ3,0.017474521,2.4557,0.00703,0.041512319339298005,0.03762342438687926
SH2D4B,0.018378718,2.3626,0.0090743,0.04989265876321692,0.03753277652974215
ESRRG,0.011691381,3.2101,0.00066346,0.007610276470588236,0.037157374712063415
VSTM2L,0.017446265,2.4321,0.0075065,0.04359104568527918,0.03706568057710276
FAM217A,0.014922299,2.7058,0.0034068,0.025224755823986197,0.03682306128756157
FAM135B,0.014853668,2.7088,0.0033766,0.025148635416666665,0.03671114323718075
DNAJB7,0.011046405,3.3041,0.00047638,0.005949549344978166,0.03669667084599847
HEXIM1,0.012208652,3.0705,0.0010686,0.010681775189283635,0.03627416161901846
