class,subclass,supertype,med_depth,n_ctrl,n_scz,beta,p,fdr,sig
GABAergic,Sncg,Sncg_6,0.11232775019796543,465,579,0.02847202230456578,0.07422107595590895,0.33560834345280566,ns
GABAergic,Sncg,Sncg_8,0.1203372864926325,297,298,0.019090886027440784,0.13936726732071147,0.4112667112894921,ns
GABAergic,Sncg,Sncg_3,0.13232501232500632,53,61,0.019741980129389727,0.28943413833330955,0.700026753178237,ns
GABAergic,Sncg,Sncg_1,0.20307342699673936,222,256,0.026007386233579486,0.3825705021660947,0.7957466445054769,ns
GABAergic,Sst,Sst_23,0.1964237744903318,138,115,0.019235716903228797,0.13275423048512364,0.40607176383684873,ns
GABAergic,Sst,Sst_25,0.21753517520110324,1032,382,-0.019184117112679516,0.014887770930157968,0.21852745367077694,ns
GABAergic,Sst,Sst_11,0.23574878979150368,1341,1802,0.0475233411688564,0.023014543903667785,0.21852745367077694,ns
GABAergic,Sst,Sst_22,0.26203283784302933,1189,1107,0.023198548778642233,0.09168268732106216,0.35501463337838296,ns
GABAergic,Sst,Sst_20,0.2953085202956327,1563,1685,0.020716132755877133,0.06162596034103894,0.29407580688408846,ns
GABAergic,Sst,Sst_2,0.3210172480957289,777,534,0.002905544460036569,0.8200774500398629,0.9818192956917948,ns
GABAergic,Sst,Sst_3,0.46173654180350066,1565,789,0.023417330419591115,0.017604731680258043,0.21852745367077694,ns
GABAergic,Sst,Sst_19,0.5540052720067934,1931,1718,0.006390462384627381,0.27617320467428047,0.6838574591934564,ns
GABAergic,Sst,Sst_13,0.6038585997349777,1013,973,0.005610431113846556,0.5493113845908344,0.9355038611448676,ns
GABAergic,Sst,Sst_10,0.6067260989098762,1513,1763,0.008778431638415237,0.24795385443174423,0.644680021522535,ns
GABAergic,Sst,Sst_9,0.6067336791970351,506,419,0.012932233982180326,0.10128604818250377,0.35501463337838296,ns
GABAergic,Sst,Sst_5,0.6629835873000309,575,875,-0.0046912010690912335,0.7759918103764705,0.9818192956917948,ns
GABAergic,Sst,Sst_4,0.7267671847772811,283,368,-0.021854622601236877,0.3142378798474109,0.7151038879073167,ns
GABAergic,Sst,Sst_12,0.771011854238486,381,296,-5.639567197576568e-4,0.9780530141801653,0.9912781911026444,ns
GABAergic,Sst,Sst_1,0.786377682853672,178,226,0.04774161325393546,0.039001415053018317,0.27720364289402927,ns
GABAergic,Sst,Sst_7,0.7954662205573154,186,239,-0.020249575739039155,0.4546223377086621,0.8494316444122636,ns
GABAergic,Sst Chodl,Sst Chodl_2,0.2705313011048569,163,152,0.012577892317379975,0.7106292280970643,0.9818192956917948,ns
GABAergic,Sst Chodl,Sst Chodl_1,0.6406828365655088,129,142,0.05695046961677541,0.05936983241818466,0.29407580688408846,ns
GABAergic,Vip,Vip_9,0.19504389043083992,413,326,-0.006300077071185888,0.43344599513886384,0.8494316444122636,ns
GABAergic,Vip,Vip_5,0.2012489391951014,331,344,0.007517038381688567,0.4538138936684871,0.8494316444122636,ns
GABAergic,Vip,Vip_21,0.20215754070498854,1042,1078,0.029382732679266017,0.06220834376394179,0.29407580688408846,ns
GABAergic,Vip,Vip_6,0.21145590711140516,268,213,0.001735914995059844,0.8802666925568177,0.9878209562106786,ns
GABAergic,Vip,Vip_13,0.21934401924789962,1061,641,-0.014800293743095176,0.10240806732068738,0.35501463337838296,ns
GABAergic,Vip,Vip_16,0.23294409901923346,356,406,0.025613766224211656,0.2566494012344682,0.651013115326456,ns
GABAergic,Vip,Vip_1,0.234785044687183,1317,1486,-0.017045590654162564,0.02167282052109788,0.21852745367077694,ns
GABAergic,Vip,Vip_4,0.24517195806917433,1339,1116,-2.3962377349721342e-4,0.9797767030845426,0.9912781911026444,ns
GABAergic,Vip,Vip_11,0.25823438627434725,549,423,-0.02087143391323277,0.10000955733957971,0.35501463337838296,ns
GABAergic,Vip,Vip_12,0.2661766839592413,1112,687,-0.009826475230391223,0.3766536070355486,0.7957466445054769,ns
GABAergic,Vip,Vip_14,0.3355437765539657,93,83,-0.05286218012064832,0.09023711756787298,0.35501463337838296,ns
GABAergic,Vip,Vip_15,0.34959171782784687,921,643,0.01784527794692527,0.14236155390790112,0.4112667112894921,ns
GABAergic,Vip,Vip_2,0.37606579020964637,800,632,-0.014446489711309,0.09563197261769767,0.35501463337838296,ns
GABAergic,Vip,Vip_18,0.43101584650246394,886,766,0.011163199272587212,0.4031604674984349,0.8221311494085731,ns
GABAergic,Vip,Vip_19,0.5102700683522883,1149,946,0.024711804469835553,0.06016274147407724,0.29407580688408846,ns
GABAergic,Vip,Vip_23,0.5143209468849651,1320,988,0.020540709531557087,0.05487290415390031,0.29407580688408846,ns
Glutamatergic,L2/3 IT,L2/3 IT_1,0.19141184989571028,17274,15344,0.008809815981824983,0.29728545498237113,0.7026747117765136,ns
Glutamatergic,L2/3 IT,L2/3 IT_6,0.1975624172933954,8368,7654,-0.00981499983763609,0.044624193090290434,0.29005725508688784,ns
Glutamatergic,L2/3 IT,L2/3 IT_7,0.2168398981094442,4888,5516,-0.009922239379723604,0.05851534522247805,0.29407580688408846,ns
Glutamatergic,L2/3 IT,L2/3 IT_2,0.263868214557685,7350,5335,-0.005511772994204684,0.6333407318556945,0.9818192956917948,ns
Glutamatergic,L2/3 IT,L2/3 IT_8,0.27394912795434456,5231,3126,-0.01250548325800106,0.014471849021944183,0.21852745367077694,ns
Glutamatergic,L2/3 IT,L2/3 IT_12,0.30338934911027954,9479,8568,-0.01275109579711834,0.02836296398373584,0.22690371186988673,ns
Glutamatergic,L2/3 IT,L2/3 IT_10,0.3440816363166145,4040,2828,-0.01292363638108916,0.021245861551023017,0.21852745367077694,ns
Glutamatergic,L2/3 IT,L2/3 IT_5,0.36883978797150263,2294,2443,-0.012091168545323152,0.0399812946481773,0.27720364289402927,ns
Glutamatergic,L2/3 IT,L2/3 IT_3,0.3798489777663303,104,88,-0.048263681891547984,0.023113480676716792,0.21852745367077694,ns
Glutamatergic,L2/3 IT,L2/3 IT_13,0.42592522962851076,391,419,-0.0026814371945773174,0.7850059886958816,0.9818192956917948,ns
Glutamatergic,L4 IT,L4 IT_3,0.5302818896391034,3473,3196,-0.001376518980656344,0.8076884571682614,0.9818192956917948,ns
Glutamatergic,L4 IT,L4 IT_2,0.5512284346194801,7871,6126,-0.009651823834919568,0.11049687091523913,0.3607281028671695,ns
Glutamatergic,L4 IT,L4 IT_4,0.5524121404194949,1386,959,-0.0019264462696415656,0.8147277191915493,0.9818192956917948,ns
Glutamatergic,L4 IT,L4 IT_1,0.561434810727042,5527,6752,0.0021508141441631463,0.7206749399593553,0.9818192956917948,ns
Glutamatergic,L5 ET,L5 ET_1,0.541656032804253,3052,2569,0.01089572407974471,0.15344414714165355,0.4199524027034729,ns
Glutamatergic,L5 ET,L5 ET_2,0.5799486964700766,1496,992,-7.241979674503254e-4,0.9313154964238337,0.9912781911026444,ns
Glutamatergic,L5 IT,L5 IT_6,0.5079189748551833,9920,7503,2.182318525953395e-4,0.9759693354056356,0.9912781911026444,ns
Glutamatergic,L5 IT,L5 IT_1,0.5623710708245842,876,1243,0.0010356457974190895,0.8863074267015267,0.9878209562106786,ns
Glutamatergic,L5 IT,L5 IT_5,0.583797902401471,5674,6008,-0.002607553942847204,0.473721493999147,0.8494316444122636,ns
Glutamatergic,L5 IT,L5 IT_7,0.5905296907246677,5236,3872,0.0032854849905242173,0.6690733151050929,0.9818192956917948,ns
Glutamatergic,L5 IT,L5 IT_2,0.5924919877382451,3216,3663,-0.0017847893399581937,0.7005196275859782,0.9818192956917948,ns
Glutamatergic,L5 IT,L5 IT_3,0.613707270336551,240,262,0.008966056996400877,0.5473109070230013,0.9355038611448676,ns
Glutamatergic,L5/6 NP,L5/6 NP_3,0.6094525278328555,311,584,-0.0021546500884565127,0.8402107434285552,0.9818192956917948,ns
Glutamatergic,L5/6 NP,L5/6 NP_6,0.6189438340466471,462,526,-0.0032918925004257775,0.6735171225374327,0.9818192956917948,ns
Glutamatergic,L5/6 NP,L5/6 NP_2,0.6284795588658468,530,640,8.464979290344761e-4,0.9130592802097712,0.9891475535605855,ns
Glutamatergic,L5/6 NP,L5/6 NP_4,0.6319405595373098,1007,919,0.0016763228218824886,0.8200470330520065,0.9818192956917948,ns
Glutamatergic,L5/6 NP,L5/6 NP_1,0.6362672105257192,663,689,-0.0013616874579483744,0.8978970551261971,0.9878209562106786,ns
Glutamatergic,L6 CT,L6 CT_4,0.788545200463931,1282,2091,1.1935085707718112e-4,0.9960489034814661,0.9960489034814661,ns
Glutamatergic,L6 CT,L6 CT_3,0.8004782408445879,1200,1114,-0.004672465328553749,0.6458971359937604,0.9818192956917948,ns
Glutamatergic,L6 CT,L6 CT_2,0.8217426998035546,1091,1315,0.005951976593186542,0.8288656129526801,0.9818192956917948,ns
Glutamatergic,L6 CT,L6 CT_1,0.8827506013018988,126,357,0.019194373445188758,0.4659101347424728,0.8494316444122636,ns
Glutamatergic,L6 IT,L6 IT_2,0.8134861837109557,7655,8196,0.007073143968624908,0.837235863672158,0.9818192956917948,ns
Glutamatergic,L6 IT,L6 IT_1,0.8376516363035921,1803,2629,0.029334072356411268,0.471609862260551,0.8494316444122636,ns
Glutamatergic,L6 IT Car3,L6 IT Car3_1,0.7647965696356104,780,1327,0.005664345182026987,0.6698784886483298,0.9818192956917948,ns
Glutamatergic,L6 IT Car3,L6 IT Car3_3,0.7969726781219828,719,769,0.0018378397096663647,0.8940055669147695,0.9878209562106786,ns
Glutamatergic,L6 IT Car3,L6 IT Car3_2,0.7998125426112035,796,786,-1.6055366779465786e-4,0.9817466700343497,0.9912781911026444,ns
Glutamatergic,L6b,L6b_3,0.848963657348914,259,276,-0.006045263327203824,0.5577042249132864,0.9355038611448676,ns
Glutamatergic,L6b,L6b_6,0.8499356387263115,2066,2394,6.584234064859754e-4,0.9647826427674726,0.9912781911026444,ns
Glutamatergic,L6b,L6b_5,0.8614651894324948,318,787,-0.05285597546958947,0.2291460995791945,0.6110562655445186,ns
Glutamatergic,L6b,L6b_2,0.8690959691192897,145,291,0.012205685904610726,0.7838782116518219,0.9818192956917948,ns
Glutamatergic,L6b,L6b_4,0.8779330497725565,58,203,-0.02253868694906202,0.12393156434983349,0.39057220279947524,ns
