Subject,488 Channel,568 Channel,Area (um^2),Layer
698 - R - 15,,,,
698 - R - 16,,,,
698 - R - 17,,,,
698 - R - 18,,,,
698 - R - 19,,,,
698 - R - 20,,,,
716 - L - 1,2,0,34089328,3-Feb
716 - L - 2,3,0,,3-Feb
716 - L - 3,13,0,,3-Feb
716 - L - 4,15,0,,3-Feb
716 - L - 5,19,0,,3-Feb
716 - L - 6,21,0,,3-Feb
716 - L - 7,0,0,,3-Feb
716 - L - 8,25,0,,3-Feb
716 - L - 9,28,0,,3-Feb
716 - L - 10,26,0,,3-Feb
716 - L - 11,20,0,,6-May
716 - L - 12,30,0,,6-May
716 - L - 13,26,0,,6-May
716 - L - 14,30,0,,6-May
716 - L - 15,14,0,,6-May
716 - L - 16,30,0,,6-May
716 - L - 17,13,0,,6-May
716 - L - 18,36,0,,6-May
716 - L - 19,25,0,,6-May
716 - L - 20,19,0,,6-May
716 - R - 1,1,2,29254914,3-Feb
716 - R - 2,1,3,,3-Feb
716 - R - 3,1,2,,3-Feb
716 - R - 4,3,1,,3-Feb
716 - R - 5,2,1,,3-Feb
716 - R - 6,4,0,,3-Feb
716 - R - 7,5,1,,3-Feb
716 - R - 8,1,1,,3-Feb
716 - R - 9,2,0,,3-Feb
716 - R - 10,1,0,,3-Feb
716 - R - 11,0,0,,6-May
716 - R - 12,0,0,,6-May
716 - R - 13,0,0,,6-May
716 - R - 14,2,0,,6-May
716 - R - 15,3,0,,6-May
716 - R - 16,0,0,,6-May
716 - R - 17,1,0,,6-May
716 - R - 18,0,0,,6-May
716 - R - 19,3,0,,6-May
716 - R - 20,0,0,,6-May
789 - l - 1,,,,
789 - l - 2,,,,
789 - l - 3,,,,
789 - l - 4,,,,
789 - l - 5,,,,
789 - l - 6,,,,
789 - l - 7,,,,
789 - l - 8,,,,
789 - l - 9,,,,
789 - l - 10,,,,
789 - l - 11,,,,
789 - l - 12,,,,
789 - l - 13,,,,
789 - l - 14,,,,
789 - l - 15,,,,
789 - l - 16,,,,
789 - l - 17,,,,
789 - l - 18,,,,
789 - l - 19,,,,
789 - l - 20,,,,
789 - R - 1,3,3,49662847,3-Feb
789 - R - 2,5,5,,3-Feb
789 - R - 3,6,2,,3-Feb
789 - R - 4,2,2,,3-Feb
789 - R - 5,2,1,,3-Feb
789 - R - 6,0,0,,3-Feb
789 - R - 7,3,3,,3-Feb
789 - R - 8,5,2,,3-Feb
789 - R - 9,6,2,,3-Feb
789 - R - 10,12,3,,3-Feb
789 - R - 11,1,0,,6-May
789 - R - 12,0,0,,6-May
789 - R - 13,6,0,,6-May
789 - R - 14,4,1,,6-May
789 - R - 15,0,2,,6-May
789 - R - 16,7,0,,6-May
789 - R - 17,0,0,,6-May
789 - R - 18,4,0,,6-May
789 - R - 19,0,0,,6-May
789 - R - 20,2,0,,6-May
795 - L - 1,34,0,78391693,3-Feb
795 - L - 2,31,0,,3-Feb
795 - L - 3,19,0,,3-Feb
795 - L - 4,21,0,,3-Feb
795 - L - 5,29,0,,3-Feb
795 - L - 6,15,0,,3-Feb
795 - L - 7,29,0,,3-Feb
795 - L - 8,18,0,,3-Feb
795 - L - 9,17,1,,3-Feb
795 - L - 10,18,0,,3-Feb
795 - L - 11,22,0,,6-May
795 - L - 12,21,0,,6-May
795 - L - 13,23,0,,6-May
795 - L - 14,27,0,,6-May
795 - L - 15,24,0,,6-May
795 - L - 16,24,0,,6-May
795 - L - 17,31,2,,6-May
795 - L - 18,14,0,,6-May
795 - L - 19,23,0,,6-May
795 - L - 20,21,0,,6-May
795 - R - 1,2,3,82782791,3-Feb
795 - R - 2,4,0,,3-Feb
795 - R - 3,3,0,,3-Feb
795 - R - 4,2,2,,3-Feb
795 - R - 5,2,1,,3-Feb
795 - R - 6,0,1,,3-Feb
795 - R - 7,3,1,,3-Feb
795 - R - 8,4,0,,3-Feb
795 - R - 9,0,3,,3-Feb
795 - R - 10,2,0,,3-Feb
795 - R - 11,5,2,,6-May
795 - R - 12,0,0,,6-May
795 - R - 13,1,0,,6-May
795 - R - 14,0,0,,6-May
795 - R - 15,3,1,,6-May
795 - R - 16,3,0,,6-May
795 - R - 17,3,0,,6-May
795 - R - 18,0,0,,6-May
795 - R - 19,3,0,,6-May
795 - R - 20,1,0,,6-May
840 - L - 1,13,0,105570244,3-Feb
840 - L - 2,37,5,,3-Feb
840 - L - 3,21,0,,3-Feb
840 - L - 4,38,2,,3-Feb
840 - L - 5,25,0,,3-Feb
840 - L - 6,22,3,,3-Feb
840 - L - 7,20,0,,3-Feb
840 - L - 8,14,0,,3-Feb
840 - L - 9,26,0,,3-Feb
840 - L - 10,13,0,,3-Feb
840 - L - 11,11,0,,6-May
840 - L - 12,13,0,,6-May
840 - L - 13,18,1,,6-May
840 - L - 14,19,0,,6-May
840 - L - 15,14,0,,6-May
840 - L - 16,29,1,,6-May
840 - L - 17,25,0,,6-May
840 - L - 18,26,3,,6-May
840 - L - 19,23,0,,6-May
840 - L - 20,26,1,,6-May
840 - R - 1,7,3,,3-Feb
840 - R - 2,2,2,,3-Feb
840 - R - 3,5,6,,3-Feb
840 - R - 4,11,4,,3-Feb
840 - R - 5,2,2,,3-Feb
840 - R - 6,1,1,,3-Feb
840 - R - 7,3,1,,3-Feb
840 - R - 8,3,2,,3-Feb
840 - R - 9,3,2,,3-Feb
840 - R - 10,1,2,,3-Feb
840 - R - 11,0,0,,6-May
840 - R - 12,0,1,,6-May
840 - R - 13,1,1,,6-May
840 - R - 14,2,0,,6-May
840 - R - 15,4,0,,6-May
840 - R - 16,3,1,,6-May
840 - R - 17,2,1,,6-May
840 - R - 18,0,0,,6-May
840 - R - 19,1,0,,6-May
840 - R - 20,1,1,,6-May
843 - L - 1,3,0,30111237,3-Feb
843 - L - 2,8,0,,3-Feb
843 - L - 3,13,2,,3-Feb
843 - L - 4,10,2,,3-Feb
843 - L - 5,12,2,,3-Feb
843 - L - 6,13,0,,3-Feb
843 - L - 7,12,0,,3-Feb
843 - L - 8,12,2,,3-Feb
843 - L - 9,0,0,,3-Feb
843 - L - 10,8,0,,3-Feb
843 - L - 11,0,0,,6-May
843 - L - 12,0,0,,6-May
843 - L - 13,0,0,,6-May
843 - L - 14,0,0,,6-May
843 - L - 15,0,0,,6-May
843 - L - 16,0,0,,6-May
843 - L - 17,0,0,,6-May
843 - L - 18,0,0,,6-May
843 - L - 19,3,0,,6-May
843 - L - 20,2,0,,6-May
843 - R - 1,6,0,29377777,3-Feb
843 - R - 2,1,0,,3-Feb
843 - R - 3,3,2,,3-Feb
843 - R - 4,4,0,,3-Feb
843 - R - 5,3,0,,3-Feb
843 - R - 6,1,2,,3-Feb
843 - R - 7,2,1,,3-Feb
843 - R - 8,4,0,,3-Feb
843 - R - 9,5,0,,3-Feb
843 - R - 10,1,1,,3-Feb
843 - R - 11,0,0,,6-May
843 - R - 12,0,0,,6-May
843 - R - 13,0,0,,6-May
843 - R - 14,0,0,,6-May
843 - R - 15,0,0,,6-May
843 - R - 16,0,0,,6-May
843 - R - 17,0,0,,6-May
843 - R - 18,0,0,,6-May
843 - R - 19,2,1,,6-May
843 - R - 20,1,0,,6-May
886 - L - 1,18,0,88631374,3-Feb
886 - L - 2,20,0,,3-Feb
886 - L - 3,12,0,,3-Feb
886 - L - 4,20,1,,3-Feb
886 - L - 5,25,0,,3-Feb
886 - L - 6,28,0,,3-Feb
886 - L - 7,23,1,,3-Feb
886 - L - 8,26,0,,3-Feb
886 - L - 9,32,1,,3-Feb
886 - L - 10,30,0,,3-Feb
886 - L - 11,5,0,,6-May
886 - L - 12,18,0,,6-May
886 - L - 13,5,0,,6-May
886 - L - 14,14,0,,6-May
886 - L - 15,14,0,,6-May
886 - L - 16,13,0,,6-May
886 - L - 17,5,0,,6-May
886 - L - 18,18,0,,6-May
886 - L - 19,15,1,,6-May
886 - L - 20,10,1,,6-May
886 - R - 1,7,1,92361204,3-Feb
886 - R - 2,3,1,,3-Feb
886 - R - 3,2,2,,3-Feb
886 - R - 4,3,1,,3-Feb
886 - R - 5,1,1,,3-Feb
886 - R - 6,3,1,,3-Feb
886 - R - 7,2,1,,3-Feb
886 - R - 8,3,2,,3-Feb
886 - R - 9,3,2,,3-Feb
886 - R - 10,5,1,,3-Feb
886 - R - 11,3,1,,6-May
886 - R - 12,5,2,,6-May
886 - R - 13,4,0,,6-May
886 - R - 14,2,0,,6-May
886 - R - 15,1,0,,6-May
886 - R - 16,1,0,,6-May
886 - R - 17,1,0,,6-May
886 - R - 18,1,1,,6-May
886 - R - 19,2,0,,6-May
886 - R - 20,3,0,,6-May
934 - L - 1,12,0,67573129,3-Feb
934 - L - 2,12,0,,3-Feb
934 - L - 3,13,0,,3-Feb
934 - L - 4,11,0,,3-Feb
934 - L - 5,27,0,,3-Feb
934 - L - 6,24,0,,3-Feb
934 - L - 7,41,1,,3-Feb
934 - L - 8,21,0,,3-Feb
934 - L - 9,24,0,,3-Feb
934 - L - 10,20,0,,3-Feb
934 - L - 11,10,0,,6-May
934 - L - 12,4,0,,6-May
934 - L - 13,5,0,,6-May
934 - L - 14,3,0,,6-May
934 - L - 15,7,0,,6-May
934 - L - 16,4,0,,6-May
934 - L - 17,15,0,,6-May
934 - L - 18,19,0,,6-May
934 - L - 19,22,1,,6-May
934 - L - 20,7,0,,6-May
934 - R - 1,0,0,70032079,3-Feb
934 - R - 2,0,0,,3-Feb
934 - R - 3,1,1,,3-Feb
934 - R - 4,4,0,,3-Feb
934 - R - 5,2,2,,3-Feb
934 - R - 6,0,0,,3-Feb
934 - R - 7,2,0,,3-Feb
934 - R - 8,2,0,,3-Feb
934 - R - 9,0,1,,3-Feb
934 - R - 10,0,0,,3-Feb
934 - R - 11,1,0,,6-May
934 - R - 12,1,0,,6-May
934 - R - 13,0,0,,6-May
934 - R - 14,0,0,,6-May
934 - R - 15,0,0,,6-May
934 - R - 16,0,0,,6-May
934 - R - 17,2,0,,6-May
934 - R - 18,0,0,,6-May
934 - R - 19,0,0,,6-May
934 - R - 20,4,0,,6-May
945 - L - 1,18,0,51869142,3-Feb
945 - L - 2,30,0,,3-Feb
945 - L - 3,27,0,,3-Feb
945 - L - 4,21,0,,3-Feb
945 - L - 5,17,0,,3-Feb
945 - L - 6,37,3,,3-Feb
945 - L - 7,25,0,,3-Feb
945 - L - 8,30,0,,3-Feb
945 - L - 9,21,0,,3-Feb
945 - L - 10,21,0,,3-Feb
945 - L - 11,22,0,,6-May
945 - L - 12,16,0,,6-May
945 - L - 13,1,0,,6-May
945 - L - 14,13,1,,6-May
945 - L - 15,7,0,,6-May
945 - L - 16,15,0,,6-May
945 - L - 17,24,0,,6-May
945 - L - 18,22,0,,6-May
945 - L - 19,4,0,,6-May
945 - L - 20,24,0,,6-May
945 - R - 1,4,6,60787272,3-Feb
945 - R - 2,5,4,,3-Feb
945 - R - 3,3,0,,3-Feb
945 - R - 4,5,2,,3-Feb
945 - R - 5,4,1,,3-Feb
945 - R - 6,4,2,,3-Feb
945 - R - 7,3,2,,3-Feb
945 - R - 8,3,1,,3-Feb
945 - R - 9,5,7,,3-Feb
945 - R - 10,4,4,,3-Feb
945 - R - 11,0,0,,6-May
945 - R - 12,5,0,,6-May
945 - R - 13,6,0,,6-May
945 - R - 14,0,0,,6-May
945 - R - 15,0,0,,6-May
945 - R - 16,1,0,,6-May
945 - R - 17,1,0,,6-May
945 - R - 18,3,1,,6-May
945 - R - 19,0,1,,6-May
945 - R - 20,2,0,,6-May
957 - L - 1,34,1,38753221,3-Feb
957 - L - 2,19,0,,3-Feb
957 - L - 3,22,1,,3-Feb
957 - L - 4,30,1,,3-Feb
957 - L - 5,19,0,,3-Feb
957 - L - 6,14,1,,3-Feb
957 - L - 7,28,5,,3-Feb
957 - L - 8,31,1,,3-Feb
957 - L - 9,26,3,,3-Feb
957 - L - 10,24,0,,3-Feb
957 - L - 11,0,0,,6-May
957 - L - 12,27,1,,6-May
957 - L - 13,17,3,,6-May
957 - L - 14,17,4,,6-May
957 - L - 15,31,2,,6-May
957 - L - 16,25,2,,6-May
957 - L - 17,28,1,,6-May
957 - L - 18,1,0,,6-May
957 - L - 19,22,0,,6-May
957 - L - 20,18,1,,6-May
957 - R - 1,2,1,36066290,3-Feb
957 - R - 2,3,0,,3-Feb
957 - R - 3,5,1,,3-Feb
957 - R - 4,3,0,,3-Feb
957 - R - 5,1,0,,3-Feb
957 - R - 6,3,0,,3-Feb
957 - R - 7,3,0,,3-Feb
957 - R - 8,0,0,,3-Feb
957 - R - 9,1,1,,3-Feb
957 - R - 10,2,1,,3-Feb
957 - R - 11,1,3,,6-May
957 - R - 12,3,1,,6-May
957 - R - 13,1,1,,6-May
957 - R - 14,6,3,,6-May
957 - R - 15,5,0,,6-May
957 - R - 16,0,3,,6-May
957 - R - 17,11,4,,6-May
957 - R - 18,4,2,,6-May
957 - R - 19,6,5,,6-May
957 - R - 20,5,1,,6-May
967 - L - 1,19,0,51133147,3-Feb
967 - L - 2,12,0,,3-Feb
967 - L - 3,20,1,,3-Feb
967 - L - 4,1,0,,3-Feb
967 - L - 5,20,0,,3-Feb
967 - L - 6,15,1,,3-Feb
967 - L - 7,28,2,,3-Feb
967 - L - 8,25,1,,3-Feb
967 - L - 9,32,0,,3-Feb
967 - L - 10,28,1,,3-Feb
967 - L - 11,19,0,,6-May
967 - L - 12,22,1,,6-May
967 - L - 13,22,1,,6-May
967 - L - 14,20,1,,6-May
967 - L - 15,23,0,,6-May
967 - L - 16,36,1,,6-May
967 - L - 17,21,2,,6-May
967 - L - 18,20,0,,6-May
967 - L - 19,26,1,,6-May
967 - L - 20,27,1,,6-May
967 - R - 1,2,3,52577928,3-Feb
967 - R - 2,6,3,,3-Feb
967 - R - 3,14,1,,3-Feb
967 - R - 4,2,3,,3-Feb
967 - R - 5,6,2,,3-Feb
967 - R - 6,10,3,,3-Feb
967 - R - 7,8,0,,3-Feb
967 - R - 8,7,0,,3-Feb
967 - R - 9,5,1,,3-Feb
967 - R - 10,4,4,,3-Feb
967 - R - 11,4,0,,6-May
967 - R - 12,1,1,,6-May
967 - R - 13,4,1,,6-May
967 - R - 14,8,3,,6-May
967 - R - 15,5,1,,6-May
967 - R - 16,4,0,,6-May
967 - R - 17,5,0,,6-May
967 - R - 18,0,0,,6-May
967 - R - 19,1,0,,6-May
967 - R - 20,0,0,,6-May
984 - L - 1,20,0,43237298,3-Feb
984 - L - 2,35,0,,3-Feb
984 - L - 3,20,0,,3-Feb
984 - L - 4,26,0,,3-Feb
984 - L - 5,22,0,,3-Feb
984 - L - 6,14,0,,3-Feb
984 - L - 7,14,0,,3-Feb
984 - L - 8,18,0,,3-Feb
984 - L - 9,22,0,,3-Feb
984 - L - 10,29,0,,3-Feb
984 - L - 11,14,1,,6-May
984 - L - 12,7,0,,6-May
984 - L - 13,22,2,,6-May
984 - L - 14,32,1,,6-May
984 - L - 15,26,1,,6-May
984 - L - 16,25,0,,6-May
984 - L - 17,18,0,,6-May
984 - L - 18,29,1,,6-May
984 - L - 19,33,0,,6-May
984 - L - 20,26,0,,6-May
984 - R - 1,0,0,46314112,3-Feb
984 - R - 2,0,4,,3-Feb
984 - R - 3,1,1,,3-Feb
984 - R - 4,2,1,,3-Feb
984 - R - 5,0,0,,3-Feb
984 - R - 6,3,1,,3-Feb
984 - R - 7,2,1,,3-Feb
984 - R - 8,0,2,,3-Feb
984 - R - 9,1,1,,3-Feb
984 - R - 10,1,3,,3-Feb
984 - R - 11,3,0,,6-May
984 - R - 12,0,0,,6-May
984 - R - 13,2,0,,6-May
984 - R - 14,4,0,,6-May
984 - R - 15,0,0,,6-May
984 - R - 16,3,3,,6-May
984 - R - 17,1,0,,6-May
984 - R - 18,2,0,,6-May
984 - R - 19,2,0,,6-May
984 - R - 20,3,1,,6-May
986 - L - 1,27,0,80541513,3-Feb
986 - L - 2,18,0,,3-Feb
986 - L - 3,29,0,,3-Feb
986 - L - 4,20,0,,3-Feb
986 - L - 5,18,1,,3-Feb
986 - L - 6,25,0,,3-Feb
986 - L - 7,23,0,,3-Feb
986 - L - 8,16,0,,3-Feb
986 - L - 9,31,0,,3-Feb
986 - L - 10,32,1,,3-Feb
986 - L - 11,14,0,,6-May
986 - L - 12,32,0,,6-May
986 - L - 13,20,0,,6-May
986 - L - 14,30,0,,6-May
986 - L - 15,24,1,,6-May
986 - L - 16,24,1,,6-May
986 - L - 17,17,0,,6-May
986 - L - 18,21,0,,6-May
986 - L - 19,23,0,,6-May
986 - L - 20,23,0,,6-May
986 - R - 1,10,3,82362488,3-Feb
986 - R - 2,3,2,,3-Feb
986 - R - 3,3,3,,3-Feb
986 - R - 4,3,3,,3-Feb
986 - R - 5,2,1,,3-Feb
986 - R - 6,5,3,,3-Feb
986 - R - 7,6,2,,3-Feb
986 - R - 8,5,0,,3-Feb
986 - R - 9,6,3,,3-Feb
986 - R - 10,5,0,,3-Feb
986 - R - 11,3,0,,6-May
986 - R - 12,1,0,,6-May
986 - R - 13,2,0,,6-May
986 - R - 14,2,0,,6-May
986 - R - 15,3,0,,6-May
986 - R - 16,1,0,,6-May
986 - R - 17,1,1,,6-May
986 - R - 18,1,1,,6-May
986 - R - 19,1,0,,6-May
986 - R - 20,3,1,,6-May
1010 - L - 1,21,2,23656451,3-Feb
1010 - L - 2,24,1,,3-Feb
1010 - L - 3,15,0,,3-Feb
1010 - L - 4,22,0,,3-Feb
1010 - L - 5,16,0,,3-Feb
1010 - L - 6,7,0,,3-Feb
1010 - L - 7,9,0,,3-Feb
1010 - L - 8,27,0,,3-Feb
1010 - L - 9,15,1,,3-Feb
1010 - L - 10,5,0,,3-Feb
1010 - L - 11,7,0,,6-May
1010 - L - 12,3,0,,6-May
1010 - L - 13,2,0,,6-May
1010 - L - 14,11,2,,6-May
1010 - L - 15,11,1,,6-May
1010 - L - 16,3,0,,6-May
1010 - L - 17,10,0,,6-May
1010 - L - 18,8,0,,6-May
1010 - L - 19,26,0,,6-May
1010 - L - 20,8,0,,6-May
1010 - R - 1,3,6,27173679,3-Feb
1010 - R - 2,1,1,,3-Feb
1010 - R - 3,7,0,,3-Feb
1010 - R - 4,4,1,,3-Feb
1010 - R - 5,1,0,,3-Feb
1010 - R - 6,1,0,,3-Feb
1010 - R - 7,6,0,,3-Feb
1010 - R - 8,1,1,,3-Feb
1010 - R - 9,2,2,,3-Feb
1010 - R - 10,2,1,,3-Feb
1010 - R - 11,4,0,,6-May
1010 - R - 12,4,0,,6-May
1010 - R - 13,2,0,,6-May
1010 - R - 14,1,1,,6-May
1010 - R - 15,1,0,,6-May
1010 - R - 16,0,0,,6-May
1010 - R - 17,0,0,,6-May
1010 - R - 18,0,1,,6-May
1010 - R - 19,4,0,,6-May
1010 - R - 20,7,0,,6-May
