gene,logFC,logCPM,PValue,F,FDR,n_scz,n_ctrl,n_samples,n_genes_tested,celltype,cell_class
NRXN1,-0.22793844293145057,13.229901741802985,0.0525404794593431,4.182550316985452,0.37528913899530786,12,12,24,300,Astro_2,Non-neuronal
MEIS2,-0.3006749298096808,10.310746387188814,0.055353427303887155,4.077520555764873,0.37981812841185536,12,12,24,300,Astro_2,Non-neuronal
TMEM144,-0.2689274983762703,9.652178110591487,0.05676792636684509,4.026978603620219,0.37981812841185536,12,12,24,300,Astro_2,Non-neuronal
SV2A,0.15857283004572362,10.281575268516704,0.0569727192617783,4.019765335278928,0.37981812841185536,12,12,24,300,Astro_2,Non-neuronal
NOTCH1,-0.23058976407027124,11.866022483169127,0.0628716574602291,3.8241294385616333,0.4090973950760463,12,12,24,300,Astro_2,Non-neuronal
ZNF804A,0.22546413300458676,5.587862350588773,0.06409192522858059,3.7858107015785585,0.4090973950760463,12,12,24,300,Astro_2,Non-neuronal
HBA1,0.4299314380809151,6.428490707412839,0.06669666932823641,3.708642931990819,0.41685418330147755,12,12,24,300,Astro_2,Non-neuronal
SLN,0.5372466469025896,3.956377697180539,0.07428782841985487,3.4844801554385842,0.44362958258420937,12,12,24,300,Astro_2,Non-neuronal
TAGLN,0.29063964632442146,7.847716073473848,0.07493081067520399,3.482451043933473,0.44362958258420937,12,12,24,300,Astro_2,Non-neuronal
GALNT16,0.3739610622584237,8.780908147055174,0.07549316572319807,3.4679858118709364,0.44362958258420937,12,12,24,300,Astro_2,Non-neuronal
SLC44A1,-0.21400246645131873,9.252981096204001,0.07742935153561185,3.4194277746519157,0.44362958258420937,12,12,24,300,Astro_2,Non-neuronal
OSBPL1A,-0.13227555586224507,11.564201099343494,0.07935594474759096,3.372458174852753,0.44362958258420937,12,12,24,300,Astro_2,Non-neuronal
ARPC1B,-0.2123866560168942,6.246424754582068,0.08156200822509854,3.320501402376232,0.44362958258420937,12,12,24,300,Astro_2,Non-neuronal
C1orf61,-0.3025889434665171,13.532015345713436,0.08169169783385931,3.3172588822935727,0.44362958258420937,12,12,24,300,Astro_2,Non-neuronal
MAPK3,0.1670345174872259,9.353934480365515,0.08374810623515462,3.270154652843273,0.44362958258420937,12,12,24,300,Astro_2,Non-neuronal
UQCRFS1,-0.1896010432943132,11.14399569129647,0.08515953824842952,3.238575462847565,0.44362958258420937,12,12,24,300,Astro_2,Non-neuronal
S100A6,0.14253125342682688,8.780692877987166,0.08819904675199369,3.172608654932312,0.44362958258420937,12,12,24,300,Astro_2,Non-neuronal
ADIRF,0.3454574982242725,6.271056946113832,0.0888717176802648,3.1587653545844474,0.44362958258420937,12,12,24,300,Astro_2,Non-neuronal
CXCR4,-0.25894936191755796,8.582406293412882,0.08912432828576092,3.1530700175504287,0.44362958258420937,12,12,24,300,Astro_2,Non-neuronal
SYT2,0.13461331448881497,8.870630313931402,0.09080360022116483,3.118119053765229,0.44362958258420937,12,12,24,300,Astro_2,Non-neuronal
DCC,0.15419253241006717,7.023261227674021,0.09168344706740326,3.100375723537078,0.44362958258420937,12,12,24,300,Astro_2,Non-neuronal
RORB,-0.2613065192581247,10.850731221290319,0.09545124436001465,3.025231432505078,0.4545297350476888,12,12,24,300,Astro_2,Non-neuronal
PDXK,0.12642162651559966,11.350398140982838,0.10111188200035122,2.9189589573915558,0.47396194687664633,12,12,24,300,Astro_2,Non-neuronal
CACNA1C,0.1474973263290584,8.358802789574602,0.1068307671849809,2.818434523201294,0.48655767531264865,12,12,24,300,Astro_2,Non-neuronal
MT1M,-0.3731840957137076,8.718984278175473,0.10887785136982865,2.7839679893001454,0.48655767531264865,12,12,24,300,Astro_2,Non-neuronal
ABCA2,0.12180341323790206,10.91404977956752,0.10896311936036873,2.782510895310534,0.48655767531264865,12,12,24,300,Astro_2,Non-neuronal
RPS26,-0.24017848592663857,9.436296897887932,0.11315167995321826,2.7143418269829858,0.48655767531264865,12,12,24,300,Astro_2,Non-neuronal
KRT17,0.31486718122496266,4.772680811695654,0.11369021910915156,2.7023943331691744,0.48655767531264865,12,12,24,300,Astro_2,Non-neuronal
