cell_type,gene,detection_rate,fold_change
L5 ET,COL24A1,0.86301374,3.9882991
L5 ET,GRM8,0.9066257,3.1621268
L5 ET,CBLN2,0.9351412,3.0215185
L5 ET,NRG1,0.97651666,2.4387999
L5 IT,TRABD2A,0.5085012,14.656243
L5 IT,TLL1,0.7484605,11.973814
L5 IT,HS3ST2,0.8761693,6.436259
L5 IT,RXFP1,0.9158598,5.3056674
L5 IT,FOXP2,0.9387386,4.7268796
L5 IT,IL1RAPL2,0.9537701,3.8044257
L5 IT,RORB,0.9546148,3.156187
L5 IT,CPNE4,0.9586565,3.1199334
L5 IT,NRG1,0.96436936,2.579721
L5 IT,FSTL4,0.9725618,2.542272
L5 IT,CLSTN2,0.97599494,2.4867413
L5/6 NP,CD200R1L,0.3024168,459.02847
L5/6 NP,IL26,0.32894966,74.95092
L5/6 NP,PDLIM1,0.37474766,49.8443
L5/6 NP,QRFPR,0.53884757,36.10503
L5/6 NP,ADAMTS12,0.59733516,25.188137
L5/6 NP,FER1L6-AS2,0.86249065,23.83287
L5/6 NP,HTR2C,0.96568036,14.797985
L5/6 NP,ITGA8,0.9747938,7.904316
L5/6 NP,TSHZ2,0.9983273,3.9223487
L5/6 NP,ZNF385D,0.9988464,2.4721608
L6 CT,SH2D1B,0.32655022,27.659807
L6 CT,SYT6,0.4786896,16.190985
L6 CT,ABO,0.49699146,15.366435
L6 CT,SULF1,0.8743941,13.434742
L6 CT,SEMA3E,0.9715026,9.255865
L6 CT,FOXP2,0.9745111,4.3228407
L6 CT,HS3ST4,0.9910162,3.7094498
L6 CT,CLSTN2,0.9915594,2.3964226
L6 CT,TRPM3,0.99360687,2.1924229
L6 IT,SH2D1B,0.2633166,25.994638
L6 IT,THEMIS,0.84931326,14.561596
L6 IT,RXFP1,0.92388624,4.7831945
L6 IT,SLIT3,0.9444665,3.3803735
L6 IT,CBLN2,0.9641883,3.2392986
L6 IT,PDZRN4,0.98388803,3.0445192
L6 IT,CLSTN2,0.9846804,2.4101622
L6 IT,CABP1,0.98628724,2.2537389
L6 IT,RGS6,0.9905133,2.1190152
L6 IT Car3,SMYD1,0.67934054,194.56146
L6 IT Car3,POSTN,0.8381108,40.102203
L6 IT Car3,THEMIS,0.8755384,12.705166
L6 IT Car3,NTNG2,0.9316055,5.733933
L6 IT Car3,GALNT14,0.958191,4.195542
L6 IT Car3,RIT2,0.96428037,3.9265387
L6 IT Car3,HS3ST4,0.9656913,3.5697389
L6 IT Car3,NWD2,0.9696272,3.258407
L6 IT Car3,PDZRN4,0.9829942,2.9595752
L6 IT Car3,ZNF804B,0.9935393,2.839929
L6 IT Car3,NRG1,0.99517304,2.5011704
L6b,NPFFR2,0.5812172,26.601229
L6b,SEMA3D,0.6342831,17.059553
L6b,MCTP2,0.67909735,15.989433
L6b,RBM20,0.7169364,13.352704
L6b,DPP4,0.7492136,11.433009
L6b,ARSJ,0.7923866,9.868573
L6b,SEMA3E,0.8294962,7.750444
L6b,DCHS2,0.83013445,5.1908355
L6b,SEMA3A,0.9245498,4.730537
L6b,GRIK3,0.9342603,4.3371205
L6b,HS3ST4,0.9914748,3.7026882
Lamp5,GRPR,0.26489246,21.997396
Lamp5,SV2C,0.9120664,17.003738
Lamp5,GAD2,0.9743553,5.691271
Lamp5,MYO16,0.98457193,3.8703833
Lamp5,GRIK1,0.9897009,2.70897
Lamp5,FSTL5,0.99128693,2.6947849
Lamp5,ADARB2,0.9998764,2.5023067
Lamp5 Lhx6,MYB,0.37353253,34.337296
Lamp5 Lhx6,TMEM255A,0.5649235,22.478102
Lamp5 Lhx6,HCRTR2,0.6463892,15.674475
Lamp5 Lhx6,SFRP1,0.744812,14.904397
Lamp5 Lhx6,SV2C,0.9317562,14.32085
Lamp5 Lhx6,EYA4,0.96928734,9.459124
Lamp5 Lhx6,GAD2,0.97622436,5.363616
Lamp5 Lhx6,MYO16,0.99164,3.7537563
Lamp5 Lhx6,FGF13,0.99697614,3.3385868
Lamp5 Lhx6,PTPRT,0.99739116,2.0237987
Microglia-PVM,CD86,0.41960147,98.74892
Microglia-PVM,FGD2,0.43249184,98.729164
Microglia-PVM,IKZF1,0.5974283,92.79818
Microglia-PVM,SYK,0.6490112,62.523182
Microglia-PVM,CSF1R,0.73435354,39.476643
Microglia-PVM,APBB1IP,0.8654341,27.060234
Microglia-PVM,DOCK8,0.88656056,23.865788
Microglia-PVM,ARHGAP24,0.88910216,4.2131305
Microglia-PVM,ST6GAL1,0.892566,3.1988537
Microglia-PVM,SFMBT2,0.90064126,2.107458
OPC,GPR17,0.28814125,55.00593
OPC,PDGFRA,0.6696408,28.63379
OPC,COL9A1,0.69390523,20.508581
OPC,STK32A,0.70423484,13.57049
OPC,VCAN,0.960009,9.737143
OPC,LHFPL3,0.99657613,4.2681265
Oligodendrocyte,TMEM235,0.3928609,28.159204
Oligodendrocyte,FOLH1,0.721539,22.984348
Oligodendrocyte,LINC01608,0.81507885,15.647532
Oligodendrocyte,MOG,0.83784115,12.80998
Oligodendrocyte,LPAR1,0.8387129,8.626849
Oligodendrocyte,BCAS1,0.8720171,7.030097
Oligodendrocyte,MOBP,0.91091263,6.943293
Oligodendrocyte,ST18,0.98460495,6.6092215
Pax6,SP8,0.3613423,36.805935
Pax6,ZNF385D-AS2,0.36160794,11.453302
Pax6,NR2F2,0.5205419,9.740894
Pax6,NR2F2-AS1,0.8318576,9.584953
Pax6,RELN,0.88285816,6.587771
Pax6,CXCL14,0.9373119,6.317225
Pax6,FSTL5,0.9382858,2.4824963
Pax6,ADARB2,0.99796355,2.439542
Pvalb,AKAIN1,0.2554453,35.055435
Pvalb,POSTN,0.3031859,23.836323
Pvalb,TAC1,0.64422584,19.5279
Pvalb,MYO5B,0.8513951,16.871603
Pvalb,GAD2,0.89655405,5.7873645
Pvalb,GAD1,0.90687096,3.9893396
Pvalb,VWC2,0.914807,3.3142893
Pvalb,NXPH1,0.95966005,3.27477
Pvalb,ZNF385D,0.96253806,2.5145204
Sncg,NDNF,0.3510232,35.628307
Sncg,RXRG,0.5626531,19.30371
Sncg,NR2F2,0.67181873,13.892035
Sncg,NR2F2-AS1,0.9088485,11.271138
Sncg,CXCL14,0.9654489,6.775463
Sncg,FSTL5,0.9938752,2.6619694
Sncg,ADARB2,0.99992794,2.4694855
Sst,NMU,0.36178342,25.84513
Sst,KLF5,0.37312153,13.552278
Sst,SST,0.6499736,11.548844
Sst,GRIN3A,0.8026845,5.350975
Sst,GRIK3,0.92526007,4.844834
Sst,NXPH1,0.99330884,3.3921692
Sst,GRIK1,0.9947847,2.835136
Sst,KIAA1217,0.99725777,2.056958
Sst Chodl,ANKRD34B,0.3734375,47.72518
Sst Chodl,NPY,0.73359376,32.58688
Sst Chodl,SST,0.79765624,9.8440075
Sst Chodl,NXPH2,0.8078125,7.8397207
Sst Chodl,GRIK3,0.8125,3.6640632
Sst Chodl,LHFPL3,0.8828125,3.180392
Sst Chodl,SOX6,0.94375,2.6265204
Sst Chodl,GRIK1,0.95468754,2.5267777
VLMC,COL1A2,0.3224418,125.8175
VLMC,ITIH5,0.46474957,22.118027
VLMC,EBF1,0.51568437,11.05171
VLMC,ATP1A2,0.65245366,2.7249036
Vip,CHRNA2,0.46444294,90.24114
Vip,SHISA8,0.49701536,35.0068
Vip,VIP,0.6912827,28.886492
Vip,NR2F2-AS1,0.6949175,12.431442
Vip,PROX1,0.83430994,5.406384
Vip,GAD1,0.87679976,3.9488158
Vip,SLC24A3,0.9413884,3.4644635
Vip,SYNPR,0.9842543,3.0683572
Vip,ADARB2,0.99806505,2.6369398
