subclass,beta,se,p,dataset,n_donors
L6 IT Car3,0.11953027697945591,0.08633087920171176,0.1712881002892715,Fröhlich,61
L5/6 NP,0.017046643412429435,0.08100146708455343,0.83402693590269,Fröhlich,61
Lamp5_Lhx6,0.061102902227261585,0.09191871602026869,0.5073667429756229,HBCC,130
Lamp5,0.07481915465654759,0.11638787633773674,0.521437279981048,HBCC,130
Pax6,0.09857305202426511,0.1887376030985978,0.6023509581985009,HBCC,130
Sncg,-0.08223140028236596,0.19299690377590453,0.6707439726340538,HBCC,130
Vip,0.03670961657219315,0.11452255938058513,0.7490605664453907,HBCC,130
Sst Chodl,-0.0020851518818664158,0.14758070089242864,0.9887484125172958,HBCC,130
Sst,-0.12217926822147446,0.09638319414900812,0.20715055920152356,HBCC,130
Pvalb,-0.003366676104325827,0.09292335194963142,0.971152978347956,HBCC,130
Chandelier,0.04816870161069921,0.11798188174136139,0.6837333275638664,HBCC,130
L2/3 IT,-0.04930360511397117,0.15404317547848212,0.7494245660002934,HBCC,130
L6 IT,-0.06942176838024951,0.19412686822981762,0.7212042510687895,HBCC,130
L4 IT,0.16669524913322514,0.12137710205291484,0.17195902583774028,HBCC,130
L5 IT,-0.009549133088011705,0.10003834337749504,0.924097931951018,HBCC,130
L5 ET,-0.07816977186247372,0.16902149713851164,0.6444930905285915,HBCC,130
L6 CT,0.04407343528550622,0.18217995643121906,0.8092144088344577,HBCC,130
L6b,-0.08199749419061308,0.21256360821573028,0.7002970164710978,HBCC,130
L6 IT Car3,-0.019909211885339693,0.15398868351102804,0.8973242615916104,HBCC,130
L5/6 NP,0.00815996678365764,0.13020474055825007,0.950123557067991,HBCC,130
Lamp5_Lhx6,0.12384311585033095,0.11612255060552454,0.29356413595977254,McLean,32
Lamp5,-0.06689322498999971,0.11242517805611889,0.5557004637996941,McLean,32
Pax6,0.021651946110513427,0.1300397916057011,0.8687274496492319,McLean,32
Sncg,-0.1673481331225968,0.17120427740309926,0.335095525438745,McLean,32
Vip,-0.11152802923231625,0.11263341059060983,0.3289342417983512,McLean,32
Sst Chodl,0.43564014704673565,0.20288369147155827,0.038838445743458315,McLean,32
Sst,-0.12743307189190506,0.11412903066833949,0.27184618267551586,McLean,32
Pvalb,0.08521910964412814,0.09114406615138315,0.3562496181987863,McLean,32
Chandelier,0.03360293143218466,0.15886203064116586,0.8337161635758045,McLean,32
L2/3 IT,-0.027260801833106633,0.15395576502498096,0.8604831037860643,McLean,32
L6 IT,0.16649176183488001,0.12605200340806294,0.19520222611593627,McLean,32
L4 IT,-0.22167722629758566,0.10653639329852742,0.04489961385642053,McLean,32
L5 IT,-0.021865458600768425,0.08461045597303347,0.7976047897012501,McLean,32
L5 ET,0.0022405236757630357,0.16842038396413306,0.9894620774542227,McLean,32
L6 CT,0.33621869861032566,0.15547452245837656,0.03755122395754749,McLean,32
L6b,0.09633637626636767,0.14185101486298593,0.5015532789180039,McLean,32
L6 IT Car3,0.20534857968863598,0.11538415870035242,0.08388098996945832,McLean,32
L5/6 NP,0.0710402972718302,0.11432403196468778,0.5383991508532829,McLean,32
Lamp5_Lhx6,0.16335000359284882,0.1750748094756347,0.35650816662884155,MSSM 1,35
Lamp5,0.11744047044711578,0.21691715284854907,0.5912866928456422,MSSM 1,35
Pax6,0.01674669042959529,0.25733676197466243,0.9484430168904139,MSSM 1,35
Sncg,-0.0900846735692147,0.3004235281803768,0.7658668676769019,MSSM 1,35
Vip,-0.025402381318510657,0.21208669482865777,0.9052734058758638,MSSM 1,35
Sst Chodl,0.34906757923257853,0.29909606428849644,0.2502206028058871,MSSM 1,35
Sst,-0.4512005921816253,0.2677530850173979,0.09989710619958288,MSSM 1,35
Pvalb,-0.07532825722104376,0.19279630123433325,0.6981208814982834,MSSM 1,35
Chandelier,0.09413352749112507,0.29442237910391145,0.7508739473000406,MSSM 1,35
L2/3 IT,0.018587543615195767,0.2302552347802932,0.9360701619582501,MSSM 1,35
L6 IT,0.20818525092678516,0.3226825186460794,0.5225697528272794,MSSM 1,35
L4 IT,0.30242362221754937,0.1923475355935878,0.12391246904079378,MSSM 1,35
L5 IT,0.0602996232129276,0.1851171538829847,0.7463528902978852,MSSM 1,35
L5 ET,0.2990839824000266,0.2652934937388426,0.2664298614636551,MSSM 1,35
L6 CT,0.6904404844622472,0.3206398398454485,0.03749414286384455,MSSM 1,35
L6b,0.43735339964541725,0.2769161958770653,0.122276088815187,MSSM 1,35
