supertype,beta,se,p,dataset,n_donors
Sncg_5,0.19601288907464245,0.16265181949459145,0.23027855097264302,HBCC,130
Vip_14,0.14480439591839,0.11245085374858066,0.2000578579343785,HBCC,130
Vip_15,-0.02622203869703844,0.10789430855617557,0.8083490349653135,HBCC,130
Vip_16,0.15425733827169794,0.1252388630868064,0.22020903824258256,HBCC,130
Vip_4,-0.012218973338753212,0.11217277811020451,0.913420456431769,HBCC,130
Vip_5,-0.18411919359602935,0.12793988897199915,0.15244403801732007,HBCC,130
Vip_6,0.03037916648954468,0.13082919715272343,0.816732000925864,HBCC,130
Vip_9,0.14464968603212466,0.13368975439283598,0.281197872702654,HBCC,130
Vip_2,0.0030211739247914724,0.12770508553394663,0.9811609360036524,HBCC,130
Vip_11,0.03666749071340194,0.1384967701842482,0.791604850483148,HBCC,130
Vip_13,0.12992855127923492,0.1634850240480469,0.42816365254191113,HBCC,130
Vip_1,0.01610294197269704,0.1370450120196545,0.9066382950663348,HBCC,130
Vip_12,0.030347305957999327,0.12636409867741197,0.8105737865874536,HBCC,130
Vip_18,-0.026498046394506047,0.12097823908109419,0.8269576271453853,HBCC,130
Vip_19,0.03994467837744031,0.08210616298348092,0.6274044600283633,HBCC,130
Vip_21,0.146887343399801,0.1357555770419758,0.2811897918465584,HBCC,130
Vip_23,0.05498458228160888,0.08562383373702913,0.521859751004571,HBCC,130
Sst Chodl_1,0.026712722572662873,0.14584244647723507,0.8549471913469664,HBCC,130
Sst_1,0.12657130871205308,0.12976712827205672,0.3311269440843728,HBCC,130
Sst_4,-0.054632035039309544,0.14016322156171282,0.6973200732815823,HBCC,130
Sst_5,0.1298800686707108,0.13963064224173852,0.3539506528448241,HBCC,130
Sst_7,-0.1700330168169322,0.12891510436691153,0.18942654119572006,HBCC,130
Sst_3,-0.22658057405707654,0.13183331953602462,0.08797237686891103,HBCC,130
Sst_19,-0.04526674011170597,0.1266232375493355,0.721284340110731,HBCC,130
Sst_9,-0.1221910880672516,0.1203489464002669,0.31178312143521647,HBCC,130
Sst_10,0.05387388864249593,0.1272121757576203,0.6726098223470096,HBCC,130
Sst_13,-0.06430845904577014,0.12669554749915507,0.6125776372843008,HBCC,130
Sst_12,-0.20060233405159916,0.1310013408194582,0.12804466326062514,HBCC,130
Sst Chodl_2,0.07777449671386913,0.1445350899044606,0.5913968153632979,HBCC,130
Sst_11,-0.05361225284658101,0.1497573277824359,0.7209090342875144,HBCC,130
Sst_20,-0.14350535181782917,0.13290901822362716,0.28219705822996904,HBCC,130
Sst_22,-0.15527958821895937,0.15278050099514717,0.3112845479907412,HBCC,130
Sst_23,-0.07930377051631544,0.15219349206756774,0.6031737007470346,HBCC,130
Sst_25,-0.22143596444875144,0.15633378390655917,0.15896198209754875,HBCC,130
Sst_2,-0.2088742588205087,0.11612414665756879,0.07430689281253479,HBCC,130
Pvalb_6,-0.142766436578171,0.11045695274938382,0.19839816141076866,HBCC,130
Pvalb_5,-0.005046243151525146,0.14171522830759192,0.9716474714441867,HBCC,130
Pvalb_8,0.18733750914816413,0.1267344684785826,0.14169585025284415,HBCC,130
Pvalb_7,0.15962199210075118,0.15303171840444058,0.29879001249258225,HBCC,130
Pvalb_1,0.07610859571836624,0.12185908132237419,0.533316670590154,HBCC,130
Pvalb_3,-0.09905153710011096,0.11188924923168346,0.37759457519150863,HBCC,130
Pvalb_2,0.01340440295346965,0.16272753496909892,0.9344723693656101,HBCC,130
Pvalb_15,-0.05851688563653307,0.09535272039780539,0.5404578817807641,HBCC,130
Pvalb_14,0.13393728381860828,0.13796361389563722,0.33338303315015694,HBCC,130
Pvalb_12,0.08432482019409598,0.1290244592438835,0.5145134267587217,HBCC,130
Pvalb_10,-0.06375133179975585,0.14722080728231124,0.6656852912312452,HBCC,130
Pvalb_13,0.0436838302831525,0.13093542571518108,0.7391793925252361,HBCC,130
Pvalb_9,0.04379136517665028,0.15277531560542884,0.774829942594891,HBCC,130
Chandelier_1,0.026448495503766503,0.11046063653616915,0.8111304128324763,HBCC,130
Chandelier_2,0.2623970362013195,0.13651273289189453,0.05670287872386524,HBCC,130
L2/3 IT_1,0.15813678799357211,0.16299242386676027,0.33368410845908225,HBCC,130
L2/3 IT_2,0.13172445537121674,0.15570012555682888,0.3990481107549825,HBCC,130
L2/3 IT_6,-0.20233311415152985,0.19774281535535834,0.30804427778287585,HBCC,130
L2/3 IT_7,0.3763443595786686,0.17450936090035402,0.03281677041157903,HBCC,130
L2/3 IT_5,-0.06681724338343606,0.14112342614629375,0.6366480461079218,HBCC,130
L2/3 IT_13,-0.18263310918320919,0.17102900693427556,0.28750218378143816,HBCC,130
L2/3 IT_10,-0.24719416594819374,0.2235688705392451,0.2708422800320853,HBCC,130
L2/3 IT_8,-0.23747741768621558,0.14475347034364605,0.10322508952547378,HBCC,130
L2/3 IT_12,-0.1901490123194616,0.1877252972105375,0.31292190973386774,HBCC,130
L6 IT_1,0.09261909689996012,0.17369274859938363,0.5947510191174656,HBCC,130
L6 IT_2,-0.1669740661014626,0.22227805700153974,0.4538482922977918,HBCC,130
L4 IT_2,0.12323479710838298,0.1315382223178435,0.35050284240945273,HBCC,130
L4 IT_3,0.3207600623237556,0.144851976331562,0.028485455873246798,HBCC,130
L4 IT_4,0.12446421555711243,0.12522263482369886,0.3220357195021156,HBCC,130
L5 IT_1,0.03655295086174263,0.12171778473811337,0.7644052415494564,HBCC,130
L5 IT_3,-0.20991279870546814,0.1472286074568902,0.15625477802857324,HBCC,130
L2/3 IT_3,-0.2383656814771376,0.16872478996835913,0.16004021449778907,HBCC,130
L4 IT_1,0.11115392086230895,0.12804758630736385,0.38690416012577533,HBCC,130
L5 IT_2,-0.02277312660011945,0.13270003511263923,0.8639993453059454,HBCC,130
L5 IT_5,-0.0457957352705572,0.1739458568112153,0.792741021128741,HBCC,130
L5 IT_6,-0.08688497469298517,0.1683747435248497,0.6066869642461099,HBCC,130
L5 IT_7,-0.26828301131684884,0.15647456713438102,0.08873223392067622,HBCC,130
L5 ET_1,0.14757690148134192,0.17140544450894235,0.39078097705240755,HBCC,130
L5 ET_2,-0.08202338734657516,0.16800581084770416,0.6261909650325362,HBCC,130
L6 CT_1,0.17527472895612758,0.18800352349934063,0.35285514133535645,HBCC,130
L6 CT_2,-0.09052416467671665,0.2130115475691139,0.6715356248023059,HBCC,130
L6 CT_3,0.03794226669987131,0.14735911965045623,0.7972006185397538,HBCC,130
L6 CT_4,0.37516381188159187,0.1720773848395895,0.030982802897405796,HBCC,130
L6b_1,0.26182840189330325,0.24709581645687229,0.29121589680972015,HBCC,130
L6b_2,-0.057828824632699595,0.20004537045250992,0.7729664916327841,HBCC,130
L6b_3,0.16431047187966735,0.19668343166558383,0.4049712597227787,HBCC,130
L6b_4,0.25731013917241435,0.17973217820837462,0.15456981006955525,HBCC,130
L6b_5,0.2661095630406812,0.1693403213432623,0.11842874858643007,HBCC,130
L6b_6,-0.2520394053723775,0.22705481053347343,0.2689639770302278,HBCC,130
L6 IT Car3_1,0.11453882624368011,0.17757828141934373,0.5200231425259155,HBCC,130
L6 IT Car3_2,-0.15334586019506946,0.18301673712392966,0.4035856237256168,HBCC,130
L6 IT Car3_3,3.6490217509920706e-4,0.17033540764989083,0.9982939027636432,HBCC,130
L5/6 NP_1,-0.02219916869320857,0.15848434889826074,0.8888129611878671,HBCC,130
