supertype,beta,se,p,k,I2,Q_p,dropped
L6b_4,0.2569550155446195,0.07743898886010847,9.061231087504285e-4,6,0,0.5629868887133765,Batiuk
L6b_5,0.012816063728659765,0.0768412460776039,0.867538233442129,5,0,0.4557185149375582,Batiuk
L6b_6,0.09033722232015788,0.08231113159886069,0.2724188711992113,6,0,0.5255998882574627,Batiuk
Lamp5_1,0.04958409979817538,0.08173925466856255,0.5441077277886684,6,76.16154917704851,8.190887096094257e-4,Batiuk
Lamp5_2,0.05053617457858971,0.0409818668405315,0.21752539929491138,6,0,0.9033270293808134,Batiuk
Lamp5_3,0.14285715657835077,0.0665217978916219,0.031751589708504134,6,0,0.8146856720029723,Batiuk
Lamp5_4,0.08801687152029763,0.06749408649082692,0.19221043299446894,6,0,0.6246261850985512,Batiuk
Lamp5_5,0.020546485119740995,0.06095764809562749,0.7360704304330977,6,0,0.9202937320431985,Batiuk
Lamp5_6,0.12480757332609946,0.08328425913849798,0.13398434410044102,6,0,0.8527940132760338,Batiuk
Lamp5_Lhx6_1,0.003044825651456172,0.04226287451184387,0.9425661552287421,6,0,0.717811750136614,Batiuk
Pax6_1,-0.01974786236771204,0.05944960028158258,0.7397546892590532,6,0,0.9915732050184748,Batiuk
Pax6_2,0.11425677951525803,0.08443678307515928,0.17600337804978464,5,30.572915750533948,0.21768648315211928,Batiuk
Pax6_3,0.028321532960529694,0.07392263215004237,0.7016278410245931,6,0,0.7882956087882903,Batiuk
Pax6_4,0.07165468532635269,0.07511547945160459,0.3401205861471838,6,36.02898662114112,0.16666968879747873,Batiuk
Pvalb_1,0.009398558699606036,0.05941770860084201,0.8743167459863117,6,16.41348778167697,0.30799131430775945,Batiuk
Pvalb_10,0.04956978511644553,0.06807298552574274,0.46649982392715195,6,12.543454573726242,0.3347239939844323,Batiuk
Pvalb_12,0.1060787681914861,0.06926883334297775,0.12566886392635035,6,0,0.7785046827535612,Batiuk
Pvalb_13,0.07044304759033923,0.06321234809135261,0.2651130036710562,6,7.752181060379004,0.3667775727304145,Batiuk
Pvalb_14,0.1700003409393785,0.06288602705298349,0.006865296365021665,6,31.707026189210907,0.19781370317976374,Batiuk
Pvalb_15,-0.05834246129338306,0.04266225751984035,0.17145524472615867,6,0,0.42715134245462844,Batiuk
Pvalb_2,-0.05823145072009542,0.06014649862864531,0.3329643304485066,6,0,0.45946125994728654,Batiuk
Pvalb_3,-0.02888081652938834,0.05609189626062929,0.6066341243304028,6,0,0.6129787333566177,Batiuk
Pvalb_5,-0.06363675622622532,0.06260477947671603,0.30939896619054336,6,0,0.6962680627397642,Batiuk
Pvalb_6,-0.11081828345436785,0.05195540489810925,0.032928823990742734,6,0,0.5099986573446185,Batiuk
Pvalb_7,0.13835319066653712,0.06717682848297714,0.03944278607313363,6,46.053458368765796,0.09882444034631356,Batiuk
Pvalb_8,0.012954535816504789,0.07021145863553355,0.8536153986221117,6,39.43964368809162,0.1426684085794616,Batiuk
Pvalb_9,-0.007160831245710394,0.05972275343205832,0.9045613947469462,6,0,0.6949566819049013,Batiuk
Sncg_1,0.022248999607726028,0.06836662444164864,0.7448506833451485,6,0,0.6977768191579063,Batiuk
Sncg_2,0.1109017923771226,0.08366286746228054,0.18497897919974973,6,33.78910520891965,0.18273910743698343,Batiuk
Sncg_3,0.052660424977696955,0.07343333135579558,0.4733007753492224,6,32.57609841733911,0.1915093135821141,Batiuk
Sncg_4,0.02657890498236999,0.06777070269994587,0.6949187798063068,6,0,0.5076941342879991,Batiuk
Sncg_5,0.028788895656502965,0.07379684156647921,0.696455110459268,6,0,0.6728471318411924,Batiuk
Sncg_6,0.006281340225047164,0.062162713566954735,0.9195133483195319,6,0,0.4299705333809244,Batiuk
Sncg_8,0.0050433559088799455,0.06486767981629261,0.9380282225006048,6,37.22276385736782,0.1581934846899128,Batiuk
Sst Chodl_1,-0.027711420857360426,0.07120717343443868,0.6971532490540278,6,38.24427645716362,0.15100141722342644,Batiuk
Sst Chodl_2,0.11315840669808927,0.07787867672295731,0.14622129613347581,6,0,0.5476509784143944,Batiuk
Sst_1,0.07705791151931167,0.06283651819913189,0.22007688595570207,6,7.332265010173341,0.3695271685364452,Batiuk
Sst_10,0.07066709259293855,0.05962855292849909,0.23596932860338657,6,0,0.7056957869151833,Batiuk
Sst_11,-0.14142079523390458,0.07778021422079703,0.06903197944415557,6,26.660658692008738,0.23456107353220856,Batiuk
Sst_12,-0.07785521523496171,0.06845852021229279,0.25542913162638653,6,44.65016870945895,0.10773731777683868,Batiuk
Sst_13,-0.09394100916780941,0.05695531883445218,0.09906964629037329,6,0,0.6291195350139253,Batiuk
Sst_19,-0.041168358401417963,0.054794772935997875,0.45246064899092764,6,0,0.7760128146068814,Batiuk
Sst_2,-0.2563323612505229,0.060192335574671546,2.0575275802136926e-5,6,0,0.42514308627596653,Batiuk
Sst_20,-0.17174875864565897,0.07622369456598782,0.024245276359883845,6,42.8869147411146,0.11926353519900619,Batiuk
Sst_22,-0.27733784154934565,0.08190772923170395,7.092484110490067e-4,6,16.947159876804925,0.3042521621910521,Batiuk
Sst_23,-0.038381455935956106,0.07183679724136892,0.593143090469498,6,0,0.9169300277002722,Batiuk
Sst_25,-0.24280869647165865,0.08398884395346327,0.003840625169269098,6,0,0.65488387581536,Batiuk
Sst_3,-0.19097487235576277,0.06354204258643015,0.002651547035567365,6,16.42043819700209,0.307942693746098,Batiuk
Sst_4,0.046941659135180676,0.0667662617528682,0.48200929432534023,6,0,0.8815998467243543,Batiuk
Sst_5,0.010829926387721824,0.06905265215571664,0.8753742754086166,6,27.67236937321863,0.2271923988341,Batiuk
Sst_7,0.02420014020917304,0.06726904814698714,0.7190329839538129,6,0,0.6620197783922118,Batiuk
Sst_9,-0.05499371850036649,0.05610368766732786,0.32697962972094746,6,0,0.6973405636711365,Batiuk
Vip_1,-0.04700571713038207,0.04996579257419498,0.3468289088249792,6,0,0.8074915547862636,Batiuk
Vip_11,-0.022649039434963852,0.05504806976748345,0.680749107970474,6,11.908833153509264,0.33903897431443425,Batiuk
Vip_12,-0.07500912330114394,0.06863141259126927,0.2744258561481672,6,51.49044008435261,0.06698316735749014,Batiuk
Vip_13,-0.05998866772482563,0.0636235727112241,0.3457481273226193,6,0,0.7732518712080256,Batiuk
Vip_14,0.06298254064282148,0.06474748736767022,0.3306820038828036,6,0.09231887916547922,0.41531659017947864,Batiuk
Vip_15,-0.015447972809180931,0.04719489114966626,0.7434236070018725,6,29.92049889367159,0.2108098499880844,Batiuk
Vip_16,0.04346678864899598,0.06526893217242827,0.5054338222159972,6,6.438803974699836,0.37534423813697704,Batiuk
Vip_18,-0.06608497916969033,0.06166232024723796,0.2838440857582149,6,0,0.9323346760489162,Batiuk
Vip_19,-6.842756935649192e-4,0.041976253160315356,0.9869938646244568,6,0,0.8854733905323057,Batiuk
Vip_2,-0.08329773374966093,0.05777576716292474,0.1493752502994571,6,0,0.6408918455198874,Batiuk
Vip_21,0.03378875375947188,0.061964898195690093,0.5855550303878623,6,0,0.6549544148749356,Batiuk
Vip_23,8.622520189145589e-4,0.042596388211311925,0.9838500252808232,6,0,0.85221505133992,Batiuk
Vip_4,-0.06305957405693087,0.04868972408444252,0.19527502116949855,6,0,0.7027271188093214,Batiuk
Vip_5,-0.11229446473837858,0.06648930421992864,0.091236638395375,6,0,0.4652597351553921,Batiuk
Vip_6,0.002581598248119501,0.06403886479270542,0.9678435960309542,6,4.4643063237432,0.38803633071648136,Batiuk
Vip_9,-0.0034372916824625985,0.05937893799788559,0.953838328395391,6,33.88522652830335,0.18204587663592592,Batiuk
