supertype,beta,se,p,method,k,I2,Q_p,fdr
L6b_4,0.26314891271937263,0.07663048653443094,5.94749293778555e-4,FE meta,7,0,0.6477057961361623,0.021609224340620833
L6b_5,0.0554107958035249,0.075347749807879,0.46209543222602933,FE meta,6,57.0089913175835,0.04021951489695294,0.7251618046650474
L6b_6,0.10338113043733724,0.08073035363414449,0.20034360466190754,FE meta,7,0,0.5661362541133239,0.5199393549559029
Lamp5_1,0.04033818146614023,0.07679681370360564,0.5994034818097701,FE meta,7,71.54188727833801,0.0017722138151572639,0.8158256896181504
Lamp5_2,0.04881693179464771,0.040528645609481634,0.22839468405060762,FE meta,7,0,0.9479595333393529,0.552868160375213
Lamp5_3,0.10182851146841061,0.06517425785640914,0.1181928804382958,FE meta,7,48.83999835277761,0.06832139916762044,0.4996049330854972
Lamp5_4,0.07517928029301421,0.06645332397674923,0.2579248246112779,FE meta,7,0,0.5862527616576754,0.5697552578583143
Lamp5_5,1.7888594263678183e-4,0.05990110477091736,0.9976172372751994,FE meta,7,0,0.5847869977982612,0.9976172372751994
Lamp5_6,0.11080758128472991,0.0815145497421795,0.17403268374648387,FE meta,7,0,0.8518315758186367,0.5129771031156343
Lamp5_Lhx6_1,0.0020444766422871457,0.04160934798212119,0.9608116856579821,FE meta,7,0,0.8209691204712561,0.995669874819086
Pax6_1,-0.03326022933448934,0.05860258792470944,0.570336735286888,FE meta,7,0,0.8858478880748399,0.7869203056489974
Pax6_2,0.118936931018439,0.08271166130089998,0.1504424174409908,FE meta,6,14.345464706598547,0.32236329217851684,0.4996049330854972
Pax6_3,0.03626078408442532,0.071840310228964685,0.6137404270521865,FE meta,7,0,0.8537625485725578,0.8158256896181504
Pax6_4,0.06418948688338172,0.07373385886774289,0.3839963806641746,FE meta,7,25.807090010863863,0.23179665354838538,0.6800289082439599
Pvalb_1,-9.76713380145278e-4,0.05787480509155452,0.9865352888115714,FE meta,7,8.768173932599757,0.3617763000097323,0.995669874819086
Pvalb_10,0.04315738249383009,0.06673593335432165,0.5178333553987547,FE meta,7,0,0.4293510229180838,0.7627545370062739
Pvalb_12,0.11907567629704775,0.06666109387271472,0.07405321120319606,FE meta,7,0,0.8134526633397049,0.39033438704628737
Pvalb_13,0.07408843008155935,0.06216260442507595,0.23332050804825505,FE meta,7,0,0.4789038568521511,0.552868160375213
Pvalb_14,0.15878028349146536,0.06195540544553089,0.010382715736150211,FE meta,7,28.613671122764973,0.20990948849151644,0.16167371646291043
Pvalb_15,-0.0627596619286159,0.041993052328718944,0.13503848123947176,FE meta,7,0,0.5118106732778445,0.4996049330854972
Pvalb_2,-0.08358702781813984,0.05776259991710379,0.14787488374305024,FE meta,7,13.568294272704946,0.32625399798850574,0.4996049330854972
Pvalb_3,-0.042763266048844846,0.05531420571408604,0.43946476723509675,FE meta,7,0,0.4467288762052733,0.7251618046650474
Pvalb_5,-0.07606062314047948,0.061554632083819845,0.2165848120187557,FE meta,7,0,0.648561096175051,0.5490173141870784
Pvalb_6,-0.11516954707611805,0.0513734717663942,0.02497367437618707,FE meta,7,0,0.5968643911589229,0.22684420891703255
Pvalb_7,0.13589880467652737,0.06588713449636033,0.03915064622320491,FE meta,7,35.50840048013748,0.15721318281039262,0.3048157455949525
Pvalb_8,0.011018235620551436,0.0692976447784177,0.873669895918211,FE meta,7,27.58551850700882,0.21791489023520336,0.961919380354394
Pvalb_9,0.003873603751723507,0.0585607569774225,0.9472609912048904,FE meta,7,0,0.6877057750332541,0.995669874819086
Sncg_1,0.013599146451911152,0.0672549473249945,0.8397580937248185,FE meta,7,0,0.7425604211947648,0.961919380354394
Sncg_2,0.1573781150908153,0.08230755525162642,0.05586673637914967,FE meta,7,65.02340728454071,0.008732485067359142,0.3383041258515174
Sncg_3,0.051067306923861036,0.07181687607719298,0.4770367104075529,FE meta,7,19.209084627865042,0.2831910793874609,0.7251618046650474
Sncg_4,-0.00224649535545027,0.06601360944194597,0.9728525971344127,FE meta,7,23.373987471875875,0.25080616513275467,0.995669874819086
Sncg_5,0.01479697656185929,0.0727340801672124,0.8387916183569148,FE meta,7,0,0.6182494497859047,0.961919380354394
Sncg_6,-0.0099450623828085,0.06120252349550339,0.8709166015252594,FE meta,7,15.59534066363788,0.3109195601450196,0.961919380354394
Sncg_8,-0.0017587901633399035,0.06351602113869545,0.9779090034641328,FE meta,7,27.107541042984085,0.22164247802820886,0.995669874819086
Sst Chodl_1,-0.01810613584459473,0.07039983962367763,0.7970320913014061,FE meta,7,32.61025942644629,0.17908224629497238,0.961919380354394
Sst Chodl_2,0.13135813733086357,0.07472910131919756,0.07878308729374608,FE meta,7,0,0.5826406798371768,0.39033438704628737
Sst_1,0.06976150606225365,0.06183785322794089,0.25926250342115836,FE meta,7,0,0.4432835706780438,0.5697552578583143
Sst_10,0.0708801683513498,0.05826230911650437,0.22376792188222475,FE meta,7,0,0.8134454927674322,0.552868160375213
Sst_11,-0.13193249442181157,0.07672638925288415,0.08551988660841087,FE meta,7,18.594861295622188,0.28793417278227956,0.40528989740507754
Sst_12,-0.061450025797023744,0.06618621884056178,0.3531786508374584,FE meta,7,39.474002927135764,0.12835977884383945,0.6524829509890895
Sst_13,-0.08177440784188915,0.055621986009672525,0.14151263777606934,FE meta,7,0,0.6162410500950422,0.4996049330854972
Sst_19,-0.0532380735325603,0.05386735081873501,0.3229969225974423,FE meta,7,0,0.683609360023407,0.6401211738749311
Sst_2,-0.25450992013593626,0.05915349958838022,1.688560463398153e-5,FE meta,7,0,0.5500543034378956,9.202654525519934e-4
Sst_20,-0.1746766362805294,0.07471174401751177,0.01938684628696199,FE meta,7,31.757117205168143,0.18561070080978218,0.1921060222980779
