class,subclass,supertype,median_MERFISH,median_Xenium,n_MERFISH,n_Xenium,q25_MERFISH,q25_Xenium,q75_MERFISH,q75_Xenium,delta_median,iqr_MERFISH,iqr_Xenium
GABAergic,Sst Chodl,Sst Chodl_1,0.4816466465750201,0.6406828365655088,540.0,271.0,0.3030560351247639,0.4627320497360501,0.74017776695727,0.8163878659880852,0.15903618999048874,0.4371217318325061,0.3536558162520351
GABAergic,Sst Chodl,Sst Chodl_2,0.3620864403721127,0.2705313011048569,158.0,315.0,0.1860226644875037,0.19882570794726726,0.5637340709247026,0.43448540746476916,-0.09155513926725578,0.3777114064371989,0.2356596995175019
GABAergic,Vip,Vip_1,0.2548571046514559,0.234785044687183,309.0,2803.0,0.20163106538120096,0.1972880463251322,0.320452373903902,0.294991316250526,-0.020072059964272887,0.11882130852270106,0.0977032699253938
GABAergic,Vip,Vip_11,0.2152201626820961,0.25823438627434725,632.0,972.0,0.16427571876468874,0.20247688062268687,0.2858144531758908,0.34585537075812733,0.043014223592251155,0.12153873441120208,0.14337849013544046
GABAergic,Vip,Vip_12,0.36415014413485025,0.2661766839592413,884.0,1799.0,0.25623802756490777,0.2032102628362801,0.488021095880968,0.35516519228185806,-0.09797346017560893,0.23178306831606021,0.15195492944557795
GABAergic,Vip,Vip_13,0.22876652742913295,0.21934401924789962,375.0,1702.0,0.18278154903047228,0.18893270449297972,0.289157586272337,0.2752021225895617,-0.00942250818123333,0.10637603724186473,0.086269418096582
GABAergic,Vip,Vip_14,0.3138310886470561,0.3355437765539657,340.0,176.0,0.2056124343051728,0.21845672779731382,0.4470765504039469,0.43054669725331063,0.02171268790690961,0.2414641160987741,0.2120899694559968
GABAergic,Vip,Vip_15,0.3275256449176629,0.34959171782784687,312.0,1564.0,0.22274193592583122,0.24847190071723885,0.4261544391498541,0.45474151483254766,0.022066072910183976,0.2034125032240229,0.2062696141153088
GABAergic,Vip,Vip_16,0.2175504768423322,0.23294409901923346,122.0,762.0,0.14624719233383487,0.18552274185357193,0.585444616111671,0.3471682305718488,0.015393622176901267,0.4391974237778361,0.1616454887182769
GABAergic,Vip,Vip_18,0.4350557142553219,0.43101584650246394,155.0,1652.0,0.3176914418078838,0.3101370408427322,0.5477691766012116,0.5516256944244616,-0.004039867752857973,0.23007773479332783,0.24148865358172944
GABAergic,Vip,Vip_19,0.547784619532303,0.5102700683522883,399.0,2095.0,0.3285111951846309,0.35004386274242716,0.6969392689274034,0.5924921129986083,-0.03751455118001468,0.36842807374277253,0.2424482502561811
GABAergic,Vip,Vip_2,0.3304338316286649,0.37606579020964637,351.0,1432.0,0.25139160852575504,0.2941145933562077,0.4174426801886459,0.4862110285018787,0.04563195858098146,0.16605107166289085,0.19209643514567099
GABAergic,Vip,Vip_21,0.16415117628853776,0.20215754070498854,348.0,2120.0,0.10881817678878886,0.11822825864661568,0.31156702200489605,0.31998821953184703,0.03800636441645078,0.2027488452161072,0.20175996088523135
GABAergic,Vip,Vip_23,0.4537236510991982,0.5143209468849651,606.0,2308.0,0.292774203566755,0.37013564454495146,0.5672315741350343,0.5779993219178942,0.06059729578576689,0.27445737056827935,0.2078636773729427
GABAergic,Vip,Vip_4,0.329514647268659,0.24517195806917433,730.0,2455.0,0.22203458901468304,0.1869607554620324,0.44201152422749285,0.34017164523866017,-0.08434268919948465,0.2199769352128098,0.15321088977662778
GABAergic,Vip,Vip_5,0.2776755632603616,0.2012489391951014,299.0,675.0,0.19866578296287224,0.16099900358439556,0.3739626059990022,0.24828150334922272,-0.07642662406526018,0.17529682303612998,0.08728249976482716
GABAergic,Vip,Vip_6,0.26978164737128874,0.21145590711140516,392.0,481.0,0.19242882419857305,0.1841400248607456,0.35312117642348373,0.26007284725859914,-0.058325740259883574,0.16069235222491068,0.07593282239785354
GABAergic,Vip,Vip_9,0.19346181392523382,0.19504389043083994,1147.0,739.0,0.14638892937500297,0.1607848483295648,0.273187490346961,0.2313529541274345,0.0015820765056061281,0.12679856097195802,0.0705681057978697
Glutamatergic,L2/3 IT,L2/3 IT_1,0.1826441573313118,0.19141184989571025,16394.0,32618.0,0.1402720072630793,0.15768899296054587,0.23657415612552954,0.23376541685291796,0.008767692564398438,0.09630214886245023,0.0760764238923721
Glutamatergic,L2/3 IT,L2/3 IT_10,0.3143280968447043,0.3440816363166145,5560.0,6868.0,0.2606947559329613,0.29222226726109274,0.36799945081900226,0.3994701281379798,0.029753539471910173,0.10730469488604094,0.10724786087688704
Glutamatergic,L2/3 IT,L2/3 IT_12,0.31931625754957965,0.30338934911027954,1117.0,18047.0,0.26321235117494973,0.24392546086696298,0.3711361523636343,0.3644924269390376,-0.015926908439300114,0.10792380118868455,0.12056696607207462
Glutamatergic,L2/3 IT,L2/3 IT_13,0.41901355718761535,0.42592522962851076,7270.0,810.0,0.35587032785594586,0.36093729580372663,0.4737869560322818,0.4849321842852539,0.006911672440895411,0.11791662817633597,0.12399488848152729
Glutamatergic,L2/3 IT,L2/3 IT_2,0.3070953317036796,0.263868214557685,4507.0,12685.0,0.22340819140756368,0.19708739045849416,0.4037246067969733,0.35702955305518186,-0.04322711714599459,0.18031641538940962,0.1599421625966877
Glutamatergic,L2/3 IT,L2/3 IT_3,0.4472779118896184,0.3798489777663303,1280.0,192.0,0.398551438202698,0.3176751588563883,0.49894744937828267,0.44656378295337595,-0.0674289341232881,0.10039601117558467,0.12888862409698765
Glutamatergic,L2/3 IT,L2/3 IT_5,0.41733956157314667,0.36883978797150263,1091.0,4737.0,0.3697289728642442,0.3132143995059784,0.4626150414420715,0.4348996198171235,-0.048499773601644036,0.09288606857782727,0.12168522031114509
