Subject,488 Channel,568 Channel,Area (um^2),Layer,,,
1143 - L - 14,8,1,,5/6,,,
1143 - L - 15,9,1,,5/6,,,
1143 - L - 16,6,0,,5/6,,,
1143 - L - 17,4,1,,5/6,,,
1143 - L - 18,8,1,,5/6,,,
1143 - L - 19,9,2,,5/6,,,
1143 - L - 20,7,0,,5/6,,,
1143 - r - 1,5,2,90837162.00,2/3,,,
1143 - r - 2,1,3,,2/3,,,
1143 - r - 3,1,0,,2/3,,,
1143 - r - 4,1,0,,2/3,,,
1143 - r - 5,1,4,,2/3,,,
1143 - r - 6,2,2,,2/3,,,
1143 - r - 7,2,2,,2/3,,,
1143 - r - 8,1,1,,2/3,,,
1143 - r - 9,1,1,,2/3,,,
1143 - r - 10,1,1,,2/3,,,
1143 - r - 11,2,0,,5/6,,,
1143 - r - 12,0,0,,5/6,,,
1143 - r - 13,1,0,,5/6,,,
1143 - r - 14,0,0,,5/6,,,
1143 - r - 15,1,1,,5/6,,,
1143 - r - 16,0,0,,5/6,,,
1143 - r - 17,1,0,,5/6,,,
1143 - r - 18,0,0,,5/6,,,
1143 - r - 19,4,0,,5/6,,,
1143 - r - 20,1,1,,5/6,,,
1153 - L - 1,15,3,74959950.00,2/3,,,
1153 - L - 2,12,2,,2/3,,,
1153 - L - 3,27,0,,2/3,,,
1153 - L - 4,23,0,,2/3,,,
1153 - L - 5,9,1,,2/3,,,
1153 - L - 6,9,1,,2/3,,,
1153 - L - 7,12,1,,2/3,,,
1153 - L - 8,15,1,,2/3,,,
1153 - L - 9,17,3,,2/3,,,
1153 - L - 10,10,2,,2/3,,,
1153 - L - 11,21,0,,5/6,,,
1153 - L - 12,12,1,,5/6,,,
1153 - L - 13,17,1,,5/6,,,
1153 - L - 14,23,0,,5/6,,,
1153 - L - 15,21,0,,5/6,,,
1153 - L - 16,5,0,,5/6,,,
1153 - L - 17,11,0,,5/6,,,
1153 - L - 18,6,0,,5/6,,,
1153 - L - 19,16,0,,5/6,,,
1153 - L - 20,19,1,,5/6,,,
1159 - L - 1,17,1,86827806.00,2/3,,,
1159 - L - 2,12,1,,2/3,,,
1159 - L - 3,20,3,,2/3,,,
1159 - L - 4,18,3,,2/3,,,
1159 - L - 5,18,1,,2/3,,,
1159 - L - 6,10,1,,2/3,,,
1159 - L - 7,17,2,,2/3,,,
1159 - L - 8,13,1,,2/3,,,
1159 - L - 9,18,3,,2/3,,,
1159 - L - 10,14,1,,2/3,,,
1159 - L - 11,10,0,,5/6,,,
1159 - L - 12,17,0,,5/6,,,
1159 - L - 13,3,0,,5/6,,,
1159 - L - 14,5,1,,5/6,,,
1159 - L - 15,7,1,,5/6,,,
1159 - L - 16,16,2,,5/6,,,
1159 - L - 17,20,1,,5/6,,,
1159 - L - 18,18,1,,5/6,,,
1159 - L - 19,22,2,,5/6,,,
1159 - L - 20,16,1,,5/6,,,
1159 - R - 1,1,3,84344689.00,2/3,,,
1159 - R - 2,9,1,,2/3,,,
1159 - R - 3,4,3,,2/3,,,
1159 - R - 4,0,0,,2/3,,,
1159 - R - 5,0,1,,2/3,,,
1159 - R - 6,5,2,,2/3,,,
1159 - R - 7,5,0,,2/3,,,
1159 - R - 8,2,4,,2/3,,,
1159 - R - 9,1,0,,2/3,,,
1159 - R - 10,1,1,,2/3,,,
1159 - R - 11,1,1,,5/6,,,
1159 - R - 12,0,0,,5/6,,,
1159 - R - 13,4,0,,5/6,,,
1159 - R - 14,0,0,,5/6,,,
1159 - R - 15,2,1,,5/6,,,
1159 - R - 16,0,0,,5/6,,,
1159 - R - 17,4,0,,5/6,,,
1159 - R - 18,2,1,,5/6,,,
1159 - R - 19,6,1,,5/6,,,
1159 - R - 20,1,2,,5/6,,,
1180 - L - 1,26,0,94226795.00,2/3,,,
1180 - L - 2,18,1,,2/3,,,
1180 - L - 3,16,4,,2/3,,,
1180 - L - 4,37,4,,2/3,,,
1180 - L - 5,26,5,,2/3,,,
1180 - L - 6,37,6,,2/3,,,
1180 - L - 7,20,4,,2/3,,,
1180 - L - 8,21,0,,2/3,,,
1180 - L - 9,25,2,,2/3,,,
1180 - L - 10,25,3,,2/3,,,
1180 - L - 11,7,0,,5/6,,,
1180 - L - 12,7,0,,5/6,,,
1180 - L - 13,17,0,,5/6,,,
1180 - L - 14,11,0,,5/6,,,
1180 - L - 15,19,2,,5/6,,,
1180 - L - 16,18,1,,5/6,,,
1180 - L - 17,23,0,,5/6,,,
1180 - L - 18,15,1,,5/6,,,
1180 - L - 19,12,0,,5/6,,,
1180 - L - 20,22,0,,5/6,,,
1180 - R - 1,2,3,93889978.00,2/3,,,
1180 - R - 2,2,5,,2/3,,,
1180 - R - 3,3,4,,2/3,,,
1180 - R - 4,7,3,,2/3,,,
1180 - R - 5,3,3,,2/3,,,
1180 - R - 6,3,6,,2/3,,,
1180 - R - 7,3,0,,2/3,,,
1180 - R - 8,6,3,,2/3,,,
1180 - R - 9,5,2,,2/3,,,
1180 - R - 10,3,4,,2/3,,,
1180 - R - 11,0,0,,5/6,,,
1180 - R - 12,0,0,,5/6,,,
1180 - R - 13,0,1,,5/6,,,
1180 - R - 14,2,0,,5/6,,,
1180 - R - 15,0,0,,5/6,,,
1180 - R - 16,2,2,,5/6,,,
1180 - R - 17,0,0,,5/6,,,
1180 - R - 18,6,0,,5/6,,,
1180 - R - 19,0,0,,5/6,,,
1180 - R - 20,1,0,,5/6,,,
1181 - L - 1,16,0,74009832.00,2/3,,,
1181 - L - 2,7,1,,2/3,,,
1181 - L - 3,17,2,,2/3,,,
1181 - L - 4,13,2,,2/3,,,
1181 - L - 5,19,0,,2/3,,,
1181 - L - 6,18,0,,2/3,,,
1181 - L - 7,7,0,,2/3,,,
1181 - L - 8,14,2,,2/3,,,
1181 - L - 9,9,0,,2/3,,,
1181 - L - 10,11,2,,2/3,,,
1181 - L - 11,5,0,,5/6,,,
1181 - L - 12,8,0,,5/6,,,
1181 - L - 13,6,0,,5/6,,,
1181 - L - 14,10,0,,5/6,,,
1181 - L - 15,24,0,,5/6,,,
1181 - L - 16,11,0,,5/6,,,
1181 - L - 17,1,0,,5/6,,,
1181 - L - 18,3,0,,5/6,,,
1181 - L - 19,13,0,,5/6,,,
1181 - L - 20,12,0,,5/6,,,
1181 - R - 1,2,2,75239983.00,2/3,,,
1181 - R - 2,4,0,,2/3,,,
1181 - R - 3,2,3,,2/3,,,
1181 - R - 4,1,4,,2/3,,,
1181 - R - 5,1,4,,2/3,,,
1181 - R - 6,2,1,,2/3,,,
1181 - R - 7,1,3,,2/3,,,
1181 - R - 8,1,1,,2/3,,,
1181 - R - 9,2,0,,2/3,,,
1181 - R - 10,5,1,,2/3,,,
1181 - R - 11,1,1,,5/6,,,
1181 - R - 12,0,0,,5/6,,,
1181 - R - 13,2,1,,5/6,,,
1181 - R - 14,0,0,,5/6,,,
1181 - R - 15,1,0,,5/6,,,
1181 - R - 16,0,1,,5/6,,,
1181 - R - 17,1,0,,5/6,,,
1181 - R - 18,3,0,,5/6,,,
1181 - R - 19,1,0,,5/6,,,
1181 - R - 20,1,0,,5/6,,,
1188 - L - 1,14,0,48360702.00,2/3,,,
1188 - L - 2,7,0,,2/3,,,
1188 - L - 3,10,0,,2/3,,,
1188 - L - 4,20,0,,2/3,,,
1188 - L - 5,23,0,,2/3,,,
1188 - L - 6,12,0,,2/3,,,
1188 - L - 7,15,3,,2/3,,,
1188 - L - 8,19,1,,2/3,,,
1188 - L - 9,12,1,,2/3,,,
1188 - L - 10,17,0,,2/3,,,
1188 - L - 11,4,0,,5/6,,,
1188 - L - 12,14,0,,5/6,,,
1188 - L - 13,16,0,,5/6,,,
1188 - L - 14,14,0,,5/6,,,
1188 - L - 15,20,0,,5/6,,,
1188 - L - 16,13,1,,5/6,,,
1188 - L - 17,19,0,,5/6,,,
1188 - L - 18,14,0,,5/6,,,
1188 - L - 19,14,0,,5/6,,,
1188 - L - 20,11,0,,5/6,,,
1189 - L - 1,11,0,71528236.00,2/3,,,
1189 - L - 2,17,3,,2/3,,,
1189 - L - 3,18,0,,2/3,,,
1189 - L - 4,15,1,,2/3,,,
1189 - L - 5,7,1,,2/3,,,
1189 - L - 6,12,0,,2/3,,,
1189 - L - 7,14,0,,2/3,,,
1189 - L - 8,21,0,,2/3,,,
1189 - L - 9,16,0,,2/3,,,
1189 - L - 10,23,1,,2/3,,,
1189 - L - 11,14,0,,5/6,,,
1189 - L - 12,10,0,,5/6,,,
1189 - L - 13,4,0,,5/6,,,
1189 - L - 14,22,0,,5/6,,,
1189 - L - 15,4,0,,5/6,,,
1189 - L - 16,3,0,,5/6,,,
1189 - L - 17,13,0,,5/6,,,
1189 - L - 18,23,0,,5/6,,,
1189 - L - 19,23,1,,5/6,,,
1189 - L - 20,17,1,,5/6,,,
1189 - R - 1,6,4,74917700.00,2/3,,,
1189 - R - 2,3,4,,2/3,,,
1189 - R - 3,2,3,,2/3,,,
1189 - R - 4,3,1,,2/3,,,
1189 - R - 5,2,0,,2/3,,,
1189 - R - 6,0,2,,2/3,,,
1189 - R - 7,7,3,,2/3,,,
1189 - R - 8,5,3,,2/3,,,
1189 - R - 9,4,3,,2/3,,,
1189 - R - 10,0,1,,2/3,,,
1189 - R - 11,2,1,,5/6,,,
1189 - R - 12,1,0,,5/6,,,
1189 - R - 13,3,0,,5/6,,,
1189 - R - 14,3,1,,5/6,,,
1189 - R - 15,1,0,,5/6,,,
1189 - R - 16,3,0,,5/6,,,
1189 - R - 17,0,2,,5/6,,,
1189 - R - 18,3,0,,5/6,,,
1189 - R - 19,1,0,,5/6,,,
1189 - R - 20,4,0,,5/6,,,
1190 - L - 1,13,2,60509436.00,2/3,,,
1190 - L - 2,19,0,,2/3,,,
1190 - L - 3,20,0,,2/3,,,
1190 - L - 4,16,0,,2/3,,,
1190 - L - 5,13,1,,2/3,,,
1190 - L - 6,15,0,,2/3,,,
1190 - L - 7,17,2,,2/3,,,
1190 - L - 8,24,0,,2/3,,,
1190 - L - 9,12,0,,2/3,,,
1190 - L - 10,11,2,,2/3,,,
1190 - L - 11,14,2,,5/6,,,
1190 - L - 12,18,0,,5/6,,,
1190 - L - 13,24,0,,5/6,,,
1190 - L - 14,23,4,,5/6,,,
1190 - L - 15,19,1,,5/6,,,
1190 - L - 16,11,0,,5/6,,,
1190 - L - 17,10,0,,5/6,,,
1190 - L - 18,11,0,,5/6,,,
1190 - L - 19,24,0,,5/6,,,
1190 - L - 20,13,0,,5/6,,,
1190 - R - 1,2,2,58665477.00,2/3,,,
1190 - R - 2,3,0,,2/3,,,
1190 - R - 3,0,4,,2/3,,,
1190 - R - 4,3,0,,2/3,,,
1190 - R - 5,5,4,,2/3,,,
1190 - R - 6,1,1,,2/3,,,
1190 - R - 7,0,3,,2/3,,,
1190 - R - 8,1,0,,2/3,,,
1190 - R - 9,4,1,,2/3,,,
1190 - R - 10,4,2,,2/3,,,
1190 - R - 11,1,0,,5/6,,,
1190 - R - 12,1,0,,5/6,,,
1190 - R - 13,1,0,,5/6,,,
1190 - R - 14,0,0,,5/6,,,
1190 - R - 15,2,0,,5/6,,,
1190 - R - 16,0,0,,5/6,,,
1190 - R - 17,2,0,,5/6,,,
1190 - R - 18,0,1,,5/6,,,
1190 - R - 19,2,1,,5/6,,,
1190 - R - 20,0,1,,5/6,,,
1195 - L - 1,9,0,52302796.00,2/3,,,
1195 - L - 2,13,0,,2/3,,,
1195 - L - 3,18,1,,2/3,,,
1195 - L - 4,22,0,,2/3,,,
1195 - L - 5,14,0,,2/3,,,
1195 - L - 6,29,0,,2/3,,,
1195 - L - 7,19,0,,2/3,,,
1195 - L - 8,13,0,,2/3,,,
1195 - L - 9,25,0,,2/3,,,
1195 - L - 10,17,2,,2/3,,,
1195 - L - 11,15,0,,5/6,,,
1195 - L - 12,15,0,,5/6,,,
1195 - L - 13,24,1,,5/6,,,
1195 - L - 14,15,1,,5/6,,,
1195 - L - 15,29,1,,5/6,,,
1195 - L - 16,24,1,,5/6,,,
1195 - L - 17,22,0,,5/6,,,
1195 - L - 18,29,0,,5/6,,,
1195 - L - 19,25,1,,5/6,,,
1195 - L - 20,18,0,,5/6,,,
1195 - R - 1,1,0,51493624.00,2/3,,,
1195 - R - 2,0,3,,2/3,,,
1195 - R - 3,1,2,,2/3,,,
1195 - R - 4,4,5,,2/3,,,
1195 - R - 5,5,7,,2/3,,,
1195 - R - 6,3,4,,2/3,,,
1195 - R - 7,5,0,,2/3,,,
1195 - R - 8,1,1,,2/3,,,
1195 - R - 9,1,3,,2/3,,,
1195 - R - 10,1,4,,2/3,,,
1195 - R - 11,0,0,,5/6,,,
1195 - R - 12,0,0,,5/6,,,
1195 - R - 13,0,2,,5/6,,,
1195 - R - 14,1,1,,5/6,,,
1195 - R - 15,4,1,,5/6,,,
1195 - R - 16,0,0,,5/6,,,
1195 - R - 17,5,1,,5/6,,,
1195 - R - 18,2,1,,5/6,,,
1195 - R - 19,0,2,,5/6,,,
1195 - R - 20,6,3,,5/6,,,
1196 - L - 1,9,0,69432636.00,2/3,,,
1196 - L - 2,17,1,,2/3,,,
1196 - L - 3,8,1,,2/3,,,
1196 - L - 4,10,0,,2/3,,,
1196 - L - 5,19,0,,2/3,,,
1196 - L - 6,21,4,,2/3,,,
1196 - L - 7,22,1,,2/3,,,
1196 - L - 8,20,0,,2/3,,,
1196 - L - 9,12,0,,2/3,,,
1196 - L - 10,14,1,,2/3,,,
1196 - L - 11,1,0,,5/6,,,
1196 - L - 12,12,2,,5/6,,,
1196 - L - 13,5,0,,5/6,,,
1196 - L - 14,13,0,,5/6,,,
1196 - L - 15,22,2,,5/6,,,
1196 - L - 16,24,2,,5/6,,,
1196 - L - 17,6,0,,5/6,,,
1196 - L - 18,12,0,,5/6,,,
1196 - L - 19,17,1,,5/6,,,
1196 - L - 20,22,0,,5/6,,,
1196 - R - 1,4,14,72303101.00,2/3,,,
1196 - R - 2,7,1,,2/3,,,
1196 - R - 3,1,3,,2/3,,,
1196 - R - 4,5,5,,2/3,,,
1196 - R - 5,6,4,,2/3,,,
1196 - R - 6,7,0,,2/3,,,
1196 - R - 7,6,2,,2/3,,,
1196 - R - 8,4,4,,2/3,,,
1196 - R - 9,2,4,,2/3,,,
1196 - R - 10,3,10,,2/3,,,
1196 - R - 11,0,1,,5/6,,,
1196 - R - 12,1,0,,5/6,,,
1196 - R - 13,1,0,,5/6,,,
1196 - R - 14,3,0,,5/6,,,
1196 - R - 15,2,0,,5/6,,,
1196 - R - 16,0,0,,5/6,,,
1196 - R - 17,1,0,,5/6,,,
1196 - R - 18,0,0,,5/6,,,
1196 - R - 19,0,0,,5/6,,,
1196 - R - 20,1,0,,5/6,,,
1211 - L - 1,7,0,78724594.00,2/3,,,
1211 - L - 2,5,0,,2/3,,,
1211 - L - 3,7,0,,2/3,,,
1211 - L - 4,26,1,,2/3,,,
1211 - L - 5,20,1,,2/3,,,
1211 - L - 6,15,2,,2/3,,,
1211 - L - 7,23,0,,2/3,,,
1211 - L - 8,19,0,,2/3,,,
1211 - L - 9,17,2,,2/3,,,
1211 - L - 10,23,0,,2/3,,,
1211 - L - 11,10,2,,5/6,,,
1211 - L - 12,13,0,,5/6,,,
1211 - L - 13,15,1,,5/6,,,
1211 - L - 14,21,0,,5/6,,,
1211 - L - 15,20,1,,5/6,,,
1211 - L - 16,26,1,,5/6,,,
1211 - L - 17,38,2,,5/6,,,
1211 - L - 18,15,0,,5/6,,,
1211 - L - 19,8,0,,5/6,,,
1211 - L - 20,12,0,,5/6,,,
1211 - R - 1,7,5,86326214.00,2/3,,,
1211 - R - 2,0,2,,2/3,,,
1211 - R - 3,4,9,,2/3,,,
1211 - R - 4,2,0,,2/3,,,
1211 - R - 5,6,1,,2/3,,,
1211 - R - 6,2,4,,2/3,,,
1211 - R - 7,0,4,,2/3,,,
1211 - R - 8,0,4,,2/3,,,
1211 - R - 9,1,1,,2/3,,,
1211 - R - 10,3,4,,2/3,,,
1211 - R - 11,3,0,,5/6,,,
1211 - R - 12,0,0,,5/6,,,
1211 - R - 13,3,0,,5/6,,,
1211 - R - 14,0,0,,5/6,,,
1211 - R - 15,1,1,,5/6,,,
1211 - R - 16,3,0,,5/6,,,
1211 - R - 17,2,0,,5/6,,,
1211 - R - 18,2,0,,5/6,,,
1211 - R - 19,3,0,,5/6,,,
1211 - R - 20,0,0,,5/6,,,
1215 - L - 1,12,2,94820661.00,2/3,,,
1215 - L - 2,11,2,,2/3,,,
1215 - L - 3,17,1,,2/3,,,
1215 - L - 4,12,0,,2/3,,,
1215 - L - 5,16,2,,2/3,,,
1215 - L - 6,20,0,,2/3,,,
1215 - L - 7,16,1,,2/3,,,
1215 - L - 8,18,1,,2/3,,,
1215 - L - 9,20,0,,2/3,,,
1215 - L - 10,22,0,,2/3,,,
1215 - L - 11,36,1,,5/6,,,
1215 - L - 12,22,0,,5/6,,,
1215 - L - 13,24,1,,5/6,,,
1215 - L - 14,20,2,,5/6,,,
1215 - L - 15,28,0,,5/6,,,
1215 - L - 16,29,2,,5/6,,,
1215 - L - 17,20,0,,5/6,,,
1215 - L - 18,14,1,,5/6,,,
1215 - L - 19,13,1,,5/6,,,
1215 - L - 20,8,0,,5/6,,,
1215 - R - 1,3,3,100649471.00,2/3,,,
1215 - R - 2,4,2,,2/3,,,
1215 - R - 3,8,2,,2/3,,,
1215 - R - 4,4,3,,2/3,,,
1215 - R - 5,5,4,,2/3,,,
1215 - R - 6,6,6,,2/3,,,
1215 - R - 7,4,4,,2/3,,,
1215 - R - 8,3,0,,2/3,,,
1215 - R - 9,6,2,,2/3,,,
1215 - R - 10,5,3,,2/3,,,
1215 - R - 11,0,0,,5/6,,,
1215 - R - 12,3,0,,5/6,,,
1215 - R - 13,3,0,,5/6,,,
1215 - R - 14,4,0,,5/6,,,
1215 - R - 15,0,0,,5/6,,,
1215 - R - 16,3,1,,5/6,,,
1215 - R - 17,1,1,,5/6,,,
1215 - R - 18,4,0,,5/6,,,
1215 - R - 19,7,0,,5/6,,,
1215 - R - 20,5,1,,5/6,,,
1221 - L - 1,23,3,111473921.00,2/3,,,
1221 - L - 2,14,1,,2/3,,,
1221 - L - 3,5,0,,2/3,,,
1221 - L - 4,22,3,,2/3,,,
1221 - L - 5,16,3,,2/3,,,
1221 - L - 6,21,3,,2/3,,,
1221 - L - 7,18,5,,2/3,,,
1221 - L - 8,24,1,,2/3,,,
1221 - L - 9,22,4,,2/3,,,
1221 - L - 10,14,2,,2/3,,,
1221 - L - 11,10,1,,5/6,,,
1221 - L - 12,14,2,,5/6,,,
1221 - L - 13,20,1,,5/6,,,
1221 - L - 14,28,3,,5/6,,,
1221 - L - 15,26,3,,5/6,,,
1221 - L - 16,43,0,,5/6,,,
1221 - L - 17,8,0,,5/6,,,
1221 - L - 18,26,2,,5/6,,,
1221 - L - 19,25,1,,5/6,,,
1221 - L - 20,24,2,,5/6,,,
1221 - R - 1,4,1,117759707.00,2/3,,,
1221 - R - 2,4,1,,2/3,,,
1221 - R - 3,4,5,,2/3,,,
1221 - R - 4,4,6,,2/3,,,
1221 - R - 5,9,3,,2/3,,,
1221 - R - 6,4,1,,2/3,,,
1221 - R - 7,6,3,,2/3,,,
1221 - R - 8,1,1,,2/3,,,
1221 - R - 9,1,1,,2/3,,,
1221 - R - 10,2,2,,2/3,,,
1221 - R - 11,1,1,,5/6,,,
1221 - R - 12,2,0,,5/6,,,
1221 - R - 13,2,2,,5/6,,,
1221 - R - 14,2,0,,5/6,,,
1221 - R - 15,5,1,,5/6,,,
1221 - R - 16,0,0,,5/6,,,
1221 - R - 17,3,0,,5/6,,,
1221 - R - 18,5,1,,5/6,,,
1221 - R - 19,8,3,,5/6,,,
1221 - R - 20,5,0,,5/6,,,
1222 - L - 1,8,0,24535927.00,2/3,,,
1222 - L - 2,15,0,,2/3,,,
1222 - L - 3,25,0,,2/3,,,
1222 - L - 4,17,0,,2/3,,,
1222 - L - 5,13,0,,2/3,,,
1222 - L - 6,6,0,,2/3,,,
1222 - L - 7,29,0,,2/3,,,
1222 - L - 8,16,0,,2/3,,,
1222 - L - 9,18,0,,2/3,,,
1222 - L - 10,11,0,,2/3,,,
1222 - L - 11,8,0,,5/6,,,
1222 - L - 12,23,0,,5/6,,,
1222 - L - 13,19,0,,5/6,,,
1222 - L - 14,24,0,,5/6,,,
1222 - L - 15,23,0,,5/6,,,
1222 - L - 16,11,0,,5/6,,,
1222 - L - 17,27,0,,5/6,,,
1222 - L - 18,23,0,,5/6,,,
1222 - L - 19,31,0,,5/6,,,
1222 - L - 20,7,0,,5/6,,,
1222 - R - 1,7,2,21643323.00,2/3,,,
1222 - R - 2,2,0,,2/3,,,
1222 - R - 3,2,0,,2/3,,,
1222 - R - 4,4,0,,2/3,,,
1222 - R - 5,2,0,,2/3,,,
1222 - R - 6,3,0,,2/3,,,
1222 - R - 7,0,1,,2/3,,,
1222 - R - 8,6,0,,2/3,,,
1222 - R - 9,1,0,,2/3,,,
1222 - R - 10,2,0,,2/3,,,
1222 - R - 11,4,0,,5/6,,,
1222 - R - 12,0,1,,5/6,,,
1222 - R - 13,1,0,,5/6,,,
1222 - R - 14,1,0,,5/6,,,
1222 - R - 15,1,1,,5/6,,,
1222 - R - 16,0,0,,5/6,,,
1222 - R - 17,1,0,,5/6,,,
1222 - R - 18,1,0,,5/6,,,
1222 - R - 19,0,0,,5/6,,,
1222 - R - 20,1,0,,5/6,,,
1226 - L - 1,3,1,125149401.00,2/3,,,
1226 - L - 2,6,1,,2/3,,,
1226 - L - 3,1,0,,2/3,,,
1226 - L - 4,0,1,,2/3,,,
1226 - L - 5,1,0,,2/3,,,
1226 - L - 6,2,1,,2/3,,,
1226 - L - 7,3,0,,2/3,,,
1226 - L - 8,0,0,,2/3,,,
1226 - L - 9,3,0,,2/3,,,
1226 - L - 10,4,2,,2/3,,,
1226 - L - 11,4,1,,5/6,,,
1226 - L - 12,17,1,,5/6,,,
1226 - L - 13,1,0,,5/6,,,
1226 - L - 14,2,0,,5/6,,,
1226 - L - 15,1,0,,5/6,,,
1226 - L - 16,0,2,,5/6,,,
1226 - L - 17,2,0,,5/6,,,
1226 - L - 18,1,1,,5/6,,,
1226 - L - 19,3,1,,5/6,,,
1226 - L - 20,8,0,,5/6,,,
1226 - R - 1,,,,,,,
1226 - R - 2,,,,,,,
1226 - R - 3,,,,,,,
1226 - R - 4,,,,,,,
1226 - R - 5,,,,,,,
1226 - R - 6,,,,,,,
1226 - R - 7,,,,,,,
1226 - R - 8,,,,,,,
1226 - R - 9,,,,,,,
1226 - R - 10,,,,,,,
1226 - R - 11,,,,,,,
1226 - R - 12,,,,,,,
1226 - R - 13,,,,,,,
1226 - R - 14,,,,,,,
1226 - R - 15,,,,,,,
1226 - R - 16,,,,,,,
1226 - R - 17,,,,,,,
1226 - R - 18,,,,,,,
1226 - R - 19,,,,,,,
1226 - R - 20,,,,,,,
1240 - R - 1,2,2,48716447.00,2/3,,,
1240 - R - 2,0,0,,2/3,,,
1240 - R - 3,1,1,,2/3,,,
1240 - R - 4,1,3,,2/3,,,
1240 - R - 5,2,2,,2/3,,,
1240 - R - 6,1,0,,2/3,,,
1240 - R - 7,7,2,,2/3,,,
1240 - R - 8,1,3,,2/3,,,
1240 - R - 9,8,5,,2/3,,,
1240 - R - 10,2,0,,2/3,,,
1240 - R - 11,0,0,,5/6,,,
1240 - R - 12,1,0,,5/6,,,
1240 - R - 13,0,2,,5/6,,,
1240 - R - 14,2,1,,5/6,,,
1240 - R - 15,1,0,,5/6,,,
1240 - R - 16,3,1,,5/6,,,
1240 - R - 17,3,0,,5/6,,,
1240 - R - 18,4,2,,5/6,,,
1240 - R - 19,1,1,,5/6,,,
1240 - R - 20,2,1,,5/6,,,
1244 - L - 1,15,0,48174295.00,2/3,,,
1244 - L - 2,15,1,,2/3,,,
1244 - L - 3,9,0,,2/3,,,
1244 - L - 4,22,0,,2/3,,,
1244 - L - 5,14,0,,2/3,,,
1244 - L - 6,23,3,,2/3,,,
1244 - L - 7,14,0,,2/3,,,
1244 - L - 8,29,0,,2/3,,,
1244 - L - 9,13,1,,2/3,,,
1244 - L - 10,29,2,,2/3,,,
1244 - L - 11,14,1,,5/6,,,
1244 - L - 12,11,1,,5/6,,,
1244 - L - 13,16,0,,5/6,,,
1244 - L - 14,16,0,,5/6,,,
1244 - L - 15,13,0,,5/6,,,
1244 - L - 16,14,0,,5/6,,,
1244 - L - 17,14,0,,5/6,,,
1244 - L - 18,11,0,,5/6,,,
1244 - L - 19,11,0,,5/6,,,
1244 - L - 20,8,0,,5/6,,,
1244 - R - 1,5,5,52554268.00,2/3,,,
1244 - R - 2,7,3,,2/3,,,
1244 - R - 3,5,1,,2/3,,,
1244 - R - 4,0,1,,2/3,,,
1244 - R - 5,2,1,,2/3,,,
1244 - R - 6,5,0,,2/3,,,
1244 - R - 7,4,2,,2/3,,,
1244 - R - 8,2,3,,2/3,,,
1244 - R - 9,5,0,,2/3,,,
1244 - R - 10,2,0,,2/3,,,
1244 - R - 11,3,0,,5/6,,,
1244 - R - 12,0,1,,5/6,,,
1244 - R - 13,3,0,,5/6,,,
1244 - R - 14,2,0,,5/6,,,
1244 - R - 15,0,2,,5/6,,,
1244 - R - 16,1,0,,5/6,,,
1244 - R - 17,0,0,,5/6,,,
1244 - R - 18,2,1,,5/6,,,
1244 - R - 19,0,0,,5/6,,,
1244 - R - 20,0,0,,5/6,,,
1247 - L - 1,0,0,46408921.00,2/3,,,
1247 - L - 2,0,0,,2/3,,,
1247 - L - 3,20,0,,2/3,,,
1247 - L - 4,12,0,,2/3,,,
1247 - L - 5,15,1,,2/3,,,
1247 - L - 6,19,1,,2/3,,,
1247 - L - 7,14,1,,2/3,,,
1247 - L - 8,10,0,,2/3,,,
1247 - L - 9,21,0,,2/3,,,
1247 - L - 10,18,0,,2/3,,,
1247 - L - 11,10,0,,5/6,,,
1247 - L - 12,11,0,,5/6,,,
1247 - L - 13,14,1,,5/6,,,
1247 - L - 14,10,0,,5/6,,,
1247 - L - 15,9,1,,5/6,,,
1247 - L - 16,13,1,,5/6,,,
1247 - L - 17,1,0,,5/6,,,
1247 - L - 18,10,0,,5/6,,,
1247 - L - 19,11,0,,5/6,,,
1247 - L - 20,12,0,,5/6,,,
1247 - R - 1,0,2,43809870.00,2/3,,,
1247 - R - 2,1,4,,2/3,,,
1247 - R - 3,2,1,,2/3,,,
1247 - R - 4,4,0,,2/3,,,
1247 - R - 5,4,4,,2/3,,,
1247 - R - 6,0,0,,2/3,,,
1247 - R - 7,2,0,,2/3,,,
1247 - R - 8,10,5,,2/3,,,
1247 - R - 9,2,1,,2/3,,,
1247 - R - 10,3,7,,2/3,,,
1247 - R - 11,3,4,,5/6,,,
1247 - R - 12,0,0,,5/6,,,
1247 - R - 13,0,0,,5/6,,,
1247 - R - 14,2,0,,5/6,,,
1247 - R - 15,5,0,,5/6,,,
1247 - R - 16,1,1,,5/6,,,
1247 - R - 17,3,0,,5/6,,,
1247 - R - 18,0,0,,5/6,,,
1247 - R - 19,6,2,,5/6,,,
1247 - R - 20,0,0,,5/6,,,
1263 - L - 1,18,0,117351910.00,2/3,,,
1263 - L - 2,22,2,,2/3,,,
1263 - L - 3,12,1,,2/3,,,
1263 - L - 4,18,2,,2/3,,,
1263 - L - 5,17,0,,2/3,,,
1263 - L - 6,5,2,,2/3,,,
1263 - L - 7,12,2,,2/3,,,
1263 - L - 8,19,1,,2/3,,,
1263 - L - 9,23,2,,2/3,,,
1263 - L - 10,11,0,,2/3,,,
1263 - L - 11,12,0,,5/6,,,
1263 - L - 12,17,1,,5/6,,,
1263 - L - 13,20,0,,5/6,,,
1263 - L - 14,14,0,,5/6,,,
1263 - L - 15,8,0,,5/6,,,
