CellType,logFC,AveExpr,t,P.Value,adj.P.Val,Cohort
Vip_6,0.03037916648954486,-0.455095821249738,0.23220479182549555,0.816732000925863,0.9198981484112351,HBCC
Vip_18,-0.026498046394506123,0.47855103452471115,-0.219031510094505,0.8269576271453849,0.9217131885891269,HBCC
Sst Chodl_1,0.026712722572662925,-1.1817982882960416,0.1831615089975371,0.8549471913469661,0.9396723358857134,HBCC
L5 IT_2,-0.02277312660011938,2.2859005335123856,-0.17161356875896042,0.8639993453059458,0.9396723358857134,HBCC
Sncg_3,0.025596177623741015,-1.0692367554143163,0.16471399852719587,0.8694164603054731,0.9396723358857134,HBCC
L5/6 NP_1,-0.022199168693208513,1.227981562577289,-0.14007167803969914,0.8888129611878675,0.9510298684710182,HBCC
Vip_1,0.016102941972697144,0.9712088278720861,0.1175011168621571,0.9066382950663341,0.9581959690019543,HBCC
Vip_4,-0.012218973338753157,1.565085462769212,-0.10892993420158133,0.9134204564317694,0.9581959690019543,HBCC
Pvalb_2,0.013404402953469816,0.564071207892979,0.082373293223026,0.9344723693656092,0.9707625584671862,HBCC
Sncg_1,0.010802166789446555,0.22313599783057553,0.06612192492295585,0.9473789676927966,0.9747072071454733,HBCC
Pvalb_5,-0.005046243151525008,-0.06112611961087699,-0.035608333781689094,0.9716474714441875,0.9901550423288387,HBCC
Vip_2,0.0030211739247914243,0.6620746875355746,0.023657428458386157,0.9811609360036527,0.9904171712489703,HBCC
L6 IT Car3_3,3.649021750991687e-4,0.2626462318850291,0.002142256740003183,0.9982939027636433,0.9982939027636433,HBCC
L6b_4,0.38969596920761523,-0.4896654153185057,3.300932183572384,0.0011491025037244547,0.1241030704022411,MSSM 2
L6b_1,0.4939198050157496,-1.2567881769635776,2.914232062918679,0.003989590619497663,0.21543789345287379,MSSM 2
Sst_13,-0.24197015164338667,0.7310426019509537,-2.3072604412329194,0.022107846118602094,0.7958824602696754,MSSM 2
Pvalb_2,-0.26586839272289003,0.8186966659503806,-2.0779360635116504,0.039046562898958095,0.9984640559243151,MSSM 2
L5/6 NP_2,0.25637817010069663,-0.9102242664112299,1.826293323591277,0.06936074532514484,0.9984640559243151,MSSM 2
Pvalb_12,0.19849238322782176,-1.0060224328893161,1.7205939993817356,0.08693718876497263,0.9984640559243151,MSSM 2
L6b_6,0.2465622195579171,0.3782352368006295,1.7066952577655154,0.0894970662195273,0.9984640559243151,MSSM 2
Vip_5,-0.22011336926418568,-0.5471205187108572,-1.6666316477854761,0.09721975912544778,0.9984640559243151,MSSM 2
L2/3 IT_8,-0.2577028221222617,-1.7264303723399965,-1.65153649629674,0.100265282765888,0.9984640559243151,MSSM 2
Sncg_8,-0.1682082697139985,0.29672176706636355,-1.5299258726994605,0.12768260182927763,0.9984640559243151,MSSM 2
L2/3 IT_1,-0.154253665498809,3.5184592048074763,-1.510050406455923,0.13267614735824665,0.9984640559243151,MSSM 2
Pvalb_15,-0.11826801478120365,2.2103625599201973,-1.477685145049541,0.1411321934992691,0.9984640559243151,MSSM 2
L6 IT Car3_3,-0.17773268955047855,0.20355912481224073,-1.4233186543349792,0.15626832655113906,0.9984640559243151,MSSM 2
Sst_12,0.15448730963051158,-0.30349776934177847,1.414187147508638,0.1589280816552875,0.9984640559243151,MSSM 2
Vip_13,-0.17141751039588998,0.7674320608151458,-1.4101826845635435,0.16010530501055875,0.9984640559243151,MSSM 2
Pvalb_6,-0.1279784318365263,-0.13076203303705933,-1.3796089115295225,0.16931330392209556,0.9984640559243151,MSSM 2
Vip_4,-0.10934391785498486,1.82930763135243,-1.3695232994357693,0.17243702335519465,0.9984640559243151,MSSM 2
Sst_2,-0.1386578175846071,0.31049216408981484,-1.3353074279599608,0.18335826324162402,0.9984640559243151,MSSM 2
Vip_11,-0.11804256166128356,1.412426124660433,-1.3108132052627472,0.19148812976635696,0.9984640559243151,MSSM 2
Lamp5_3,0.15226463266460727,-0.9041743338468988,1.2349165011457701,0.21837219245614908,0.9984640559243151,MSSM 2
Lamp5_6,0.174888625137795,-0.8669335630795463,1.18208639726167,0.23863478992267056,0.9984640559243151,MSSM 2
L2/3 IT_6,-0.17192691510083918,2.0866076301256515,-1.15518237718551,0.2494527881291737,0.9984640559243151,MSSM 2
L5 ET_2,0.1437233997093759,-1.3229344518056636,1.1485182751495562,0.2521849650125235,0.9984640559243151,MSSM 2
