gene,log2FC,pct_vulnerable,pct_not_depleted,mean_vulnerable,mean_not_depleted,p_wilcoxon,fdr_wilcoxon,donor_delta,p_donor_paired,fdr_donor,neg_log10_p,always_label
BIRC2,-0.06085727,0.2621793363144269,0.3029223968565815,0.16148123,0.19253471,7.431035e-07,2.2073227811714966e-06,-0.034211963,0.0051540113,0.047162722318600386,6.1289506,False
DLK2,0.021650324,0.120498940927277,0.09147838899803537,0.06709702,0.053633567,7.433711e-07,2.2075397415935055e-06,0.0074117384,0.24559659,0.394345025820506,6.128794,False
LYRM1,-0.047679897,0.17839491645092964,0.2151277013752456,0.10723764,0.1321517,7.556276e-07,2.243349636234372e-06,-0.025046686,0.003732384,0.0411869301406326,6.121692,False
BMP2K,-0.062628336,0.35843727935984937,0.399926326129666,0.2451192,0.28074932,7.6952136e-07,2.284000629158559e-06,-0.042897314,0.008884403,0.05979259813557991,6.1137795,False
SLC36A4,-0.07051691,0.5907272299364557,0.6166502946954814,0.4682715,0.51134306,7.819212e-07,2.3201971334092693e-06,-0.055397443,0.03020686,0.11012401433714251,6.106837,False
PKN2-AS1,-0.03949396,0.2577076959284538,0.21291748526522594,0.2181159,0.20375808,7.848117e-07,2.3281651794536344e-06,0.02635693,0.41772112,0.5630112537312879,6.1052346,False
MPPE1,0.04938494,0.32784184514003295,0.2852406679764244,0.21547711,0.18578239,8.158106e-07,2.4194088197321524e-06,0.004870218,0.480019,0.620025412415329,6.088411,False
RESF1,0.04689252,0.38762061661567426,0.34172396856581533,0.25975883,0.22927399,8.159959e-07,2.4194088197321524e-06,0.021920618,0.017376898,0.08184186746194284,6.088312,False
NFE2L2,0.05151598,0.3662038126618028,0.32269155206286837,0.25259984,0.22065705,8.233533e-07,2.4405851967969577e-06,0.017065167,0.19873242,0.34360930563890796,6.084414,False
GTF2IRD2,-0.04031779,0.12873617321722758,0.16232809430255402,0.07762201,0.09830659,8.41353e-07,2.493288478927926e-06,-0.008365223,0.35215384,0.5046530131320269,6.0750217,False
ABHD15-AS1,0.045936428,0.2219345728406684,0.18528978388998035,0.13834026,0.11369365,8.430927e-07,2.4977915784838805e-06,0.00486168,0.5092926,0.6439700422146678,6.074125,False
MTCH2,0.058265112,0.43421981642739466,0.3915766208251473,0.30400988,0.268291,8.47173e-07,2.5092247221862055e-06,0.022434229,0.11370548,0.24003430143980276,6.0720277,False
KIAA0586,0.06733063,0.5542480583666745,0.5076129666011788,0.43571162,0.393223,8.537993e-07,2.5281909667490294e-06,-0.0012423455,0.9498174,0.9672036810822637,6.068644,False
FAT1,0.013439564,0.24170393033654977,0.19793713163064833,0.17039932,0.15313852,8.551176e-07,2.531433674372686e-06,0.023415104,0.14155799,0.2753487418217914,6.067974,False
TMEM169,-0.047021173,0.2024005648387856,0.24189587426326128,0.12616698,0.15141036,8.6632775e-07,2.5639504859038813e-06,-0.017297257,0.085486606,0.20140998933701515,6.062318,False
TCEAL2,-0.07421288,0.37891268533772654,0.41527504911591356,0.26087824,0.300527,8.863069e-07,2.6223957091647632e-06,-0.04997138,0.038381863,0.1259849159805863,6.052416,False
GPX4,-0.08625621,0.43257236996940457,0.46770628683693516,0.3329261,0.37854248,8.8906813e-07,2.6298798572131212e-06,-0.073353395,0.0070221126,0.05418415134235964,6.051065,False
ILRUN,0.055955768,0.4650506001412097,0.42178290766208254,0.33201587,0.296129,8.9657664e-07,2.6513986499267275e-06,0.024105381,0.2382517,0.3869330415063529,6.0474124,False
AC022137.4,-0.03645705,0.09013885620145917,0.11836935166994106,0.050520144,0.06908256,9.200203e-07,2.7200182356621904e-06,-0.019669898,0.06182362,0.16611254107946472,6.0362024,False
ST5,0.07704876,0.8343139562249942,0.8023084479371316,1.0191284,0.9586505,9.3036965e-07,2.749899277049095e-06,0.09423715,0.13415556,0.265853255492631,6.0313444,False
CFAP36,-0.08081796,0.5297717109908213,0.5610265225933202,0.3914501,0.43539476,9.4119673e-07,2.781176169609831e-06,-0.043266803,0.026517967,0.10222510669542395,6.0263195,False
IL11RA,0.03125478,0.1675688397269946,0.13470039292730845,0.099576436,0.08107028,9.4673953e-07,2.7968264475930484e-06,0.013949841,0.07528441,0.18695847332581955,6.0237694,False
IQSEC3,0.061540455,0.5855495410684867,0.5325392927308448,0.45428628,0.41248995,9.600654e-07,2.835454859093619e-06,0.013472766,0.5370566,0.6667801375930283,6.0176992,False
MAPRE2,-0.0724997,0.8183101906330902,0.8304273084479371,0.8589486,0.9064345,9.645748e-07,2.8480314598736323e-06,-0.011133921,0.8044297,0.8707490644382156,6.015664,False
WDR11-AS1,0.052461583,0.4918804424570487,0.4462180746561886,0.3777757,0.340135,9.723801e-07,2.8703306010853274e-06,0.006696069,0.8141658,0.8768758937683946,6.012164,False
SGIP1,-0.060928583,0.9670510708401977,0.9651277013752456,1.4751112,1.5174606,9.728284e-07,2.870906743295607e-06,-0.03350096,0.008513474,0.05886852443399842,6.011964,False
AC025809.1,-0.090132,0.7159331607437044,0.7215127701375246,0.668774,0.71711874,9.731611e-07,2.871141787158187e-06,-0.04695923,0.28813854,0.4397231115588008,6.011815,False
TUB,-0.06579776,0.3523181925158861,0.3908398821218075,0.22864857,0.2640813,9.841282e-07,2.9027431009960123e-06,-0.035664756,0.014309055,0.07410354926511341,6.0069485,False
GCC2,-0.07648354,0.6295598964462227,0.6489440078585462,0.5148409,0.5596032,9.85353e-07,2.905600545683371e-06,-0.038773645,0.057481803,0.15838560781231023,6.006408,False
AL158152.1,0.051951867,0.38197222875970815,0.33718074656188607,0.25185156,0.22046858,9.870841e-07,2.9099486059588603e-06,0.01156644,0.26537496,0.41603283225798093,6.0056458,False
MTBP,-0.040327784,0.10425982584137444,0.1344548133595285,0.062018342,0.08188825,9.895926e-07,2.9165858137170878e-06,-0.021200415,0.00012845467,0.014311828292333163,6.0045433,False
ATP1A1-AS1,-0.035720393,0.08048952694751706,0.10768664047151277,0.04460952,0.062082354,9.983812e-07,2.941723864573937e-06,-0.015600708,0.13238029,0.26404958904711673,6.000704,False
ADD3-AS1,0.0429954,0.12520593080724876,0.09737229862475442,0.08861389,0.06671018,1.0016986e-06,2.950731973482769e-06,0.028453443,0.07140265,0.18080170495169504,5.999263,False
TRIP12,0.06493383,0.804659919981172,0.7703831041257367,0.8067917,0.7580233,1.006296e-06,2.963505182434589e-06,0.021526312,0.077748686,0.1903715374504236,5.9972744,False
EFCAB2,0.04621794,0.6528594963520828,0.5986001964636543,0.6049657,0.55943733,1.0141435e-06,2.9858407198748523e-06,0.021156812,0.31001678,0.46367641340845417,5.993901,False
