cell,t_ms,v_mV,i_pA
Sst_25,31.42,-70.106255,-90.0
Sst_25,32.380000000000074,-70.075,-90.0
Sst_25,33.34000000000004,-70.1875,-90.0
Sst_25,34.3,-70.200005,-90.0
Sst_25,35.26000000000007,-70.25625,-90.0
Sst_25,36.22000000000003,-70.28125,-90.0
Sst_25,37.17999999999999,-70.29375,-90.0
Sst_25,38.140000000000065,-70.287506,-90.0
Sst_25,39.10000000000002,-70.30626,-90.0
Sst_25,40.05999999999999,-70.28125,-90.0
Sst_25,41.02000000000005,-70.225,-90.0
Sst_25,41.98000000000002,-70.231255,-90.0
Sst_25,42.939999999999976,-70.1875,-90.0
Sst_25,43.90000000000005,-70.16875,-90.0
Sst_25,44.860000000000014,-70.14375,-90.0
Sst_25,45.81999999999997,-70.1,-90.0
Sst_25,46.780000000000044,-70.05625,-90.0
Sst_25,47.74,-70.0,-90.0
Sst_25,48.700000000000074,-69.96875,-90.0
Sst_25,49.66000000000004,-69.93751,-90.0
Sst_25,50.62,-69.93125,-90.0
Sst_25,51.58000000000007,-69.918755,-90.0
Sst_25,52.540000000000035,-69.850006,-90.0
Sst_25,53.49999999999999,-69.81251,-90.0
Sst_25,54.460000000000065,-69.77501,-90.0
Sst_25,55.42000000000002,-69.80626,-90.0
Sst_25,56.37999999999999,-69.725,-90.0
Sst_25,57.34000000000006,-69.6375,-90.0
Sst_25,58.30000000000002,-69.581245,-90.0
Sst_25,59.25999999999998,-69.5375,-90.0
Sst_25,60.22000000000005,-69.443756,-90.0
Sst_25,61.180000000000014,-69.4,-90.0
Sst_25,62.13999999999997,-69.33125,-90.0
Sst_25,63.100000000000044,-69.293755,-90.0
Sst_25,64.06,-69.200005,-90.0
Sst_25,65.01999999999997,-69.174995,-90.0
Sst_25,65.98000000000003,-69.106255,-90.0
Sst_25,66.94,-69.0125,-90.0
Sst_25,67.90000000000008,-69.00001,-90.0
Sst_25,68.86000000000003,-68.95,-90.0
Sst_25,69.82,-68.85625,-90.0
Sst_25,70.78000000000006,-68.77501,-90.0
Sst_25,71.74000000000002,-68.725006,-90.0
Sst_25,72.69999999999999,-68.631256,-90.0
Sst_25,73.66000000000005,-68.56875,-90.0
Sst_25,74.62000000000002,-68.46876,-90.0
Sst_25,75.57999999999998,-68.43126,-90.0
Sst_25,76.54000000000005,-68.325,-90.0
Sst_25,77.50000000000001,-68.268745,-90.0
Sst_25,78.45999999999998,-68.19375,-90.0
Sst_25,79.42000000000004,-68.100006,-90.0
Sst_25,80.38000000000001,-68.0125,-90.0
Sst_25,81.33999999999997,-67.96876,-90.0
Sst_25,82.30000000000004,-67.94375,-90.0
Sst_25,83.26,-67.86875,-90.0
Sst_25,84.22000000000007,-67.84375,-90.0
Sst_25,85.18000000000004,-67.825,-90.0
Sst_25,86.14,-67.775,-90.0
Sst_25,87.10000000000007,-67.725006,-90.0
Sst_25,88.06000000000003,-67.65626,-90.0
Sst_25,89.01999999999998,-67.575,-90.0
Sst_25,89.98000000000006,-67.58125,-90.0
