symbol,specificity,P,neg_log10_p,p_fdr,is_driver,is_hcn1
CCDC3,0.0026757152788212,0.12398,0.9066483679844453,0.2620317627611743,False,False
OPTN,0.0021439656238331,0.056757,1.245980568074999,0.1596047188104874,False,False
MCM10,0.0010672959434109,0.43579,0.3607227396580217,0.5709427766847024,False,False
UCMA,0.0013647673386271,0.9691,0.013631406429727063,0.9718975274552871,False,False
PHYH,0.0015622206104976,0.51702,0.2864926566707832,0.6348929322268327,False,False
SEPHS1,0.0017846678038904,0.44232,0.3542634230693202,0.5756752113364281,False,False
BEND7,0.0001561491812645,0.16461,0.7835437850842583,0.31470659289388686,False,False
PRPF18,0.0029347413955005,0.32749,0.48480195677486954,0.4789181634333821,False,False
FRMD4A,0.0029910123634759,0.07694,1.1138478180292033,0.19439970592885372,False,False
FAM107B,0.0005342094999243,0.034701,1.459658009698343,0.11445958328173376,False,False
CDNF,0.0011758766404302,0.3272,0.48518670500071465,0.47862546453089244,False,False
HSPA14,0.0003287323314335,0.27564,0.5596577587573491,0.43232926096771024,False,False
SUV39H2,0.0018672078162303,0.4309,0.36562350591163223,0.5663004029605263,False,False
DCLRE1C,0.0013924180103994,0.072546,1.139386528447727,0.18708368984992738,False,False
MEIG1,0.0014605738046803,0.051921,1.2846569516025328,0.14990559049855492,False,False
OLAH,0.0009718814825471,0.59875,0.22275447357738037,0.6961024116106505,False,False
ACBD7,0.0003460654311511,0.24738,0.6066354148149979,0.40524186039360394,False,False
C10orf111,0.0005504424450023,0.041072,1.3864541486726318,0.12789782385035073,False,False
RPP38,0.0012540215356078,0.12687,0.8966410601334371,0.26628703309692675,False,False
NMT2,0.0014425398656599,0.014425,1.840884178172231,0.0633835372559802,False,False
FAM171A1,0.0015041357415507,0.0025224,2.598186042260152,0.018281394285714285,False,False
ITGA8,6.331919249732107e-05,0.12888,0.8898144725888384,0.2689724588665448,False,False
FAM188A,0.0014540247779973,0.16405,0.7850237652779335,0.31386125344187715,False,False
PTER,0.0001137936906837,5.1479e-05,4.288369898028336,0.0008874713042071197,False,False
C1QL3,5.30068199258058e-05,0.11229,0.9496589181659156,0.24609249725726826,False,False
RSU1,0.0013689530587878,0.3613,0.44213203843197774,0.5083584521922874,False,False
CUBN,0.0005356400317528,0.83063,0.08059238745781415,0.8635374726775956,False,False
TRDMT1,0.0010840287890994,0.057246,1.242254853767426,0.16033093690851735,False,False
VIM,0.0,0.049899,1.301908157760049,0.14599705584035153,False,False
ST8SIA6,0.0001264439711284,5.7861e-05,4.2376140647991845,0.0009784938,False,False
HACD1,0.003545553367477,0.20239,0.6938109495995742,0.35811308833296435,False,False
STAM,0.0026168334638406,0.12169,0.9147451088961233,0.25914041960836554,False,False
TMEM236,0.0012314424273187,0.35894,0.4449781415238478,0.5064999435078118,False,False
MRC1,0.0008662128522759,0.12486,0.9035766694047295,0.2632437546174142,False,False
SLC39A12,2.8059772038500384e-05,0.37181,0.42967893385832207,0.5174515030915265,False,False
CACNB2,0.0017865022354604,5.0922e-18,17.293094547439704,1.6275689639999998e-14,False,False
NSUN6,0.0019468587008165,3.447e-06,5.462558716592052,9.854473524150269e-05,False,False
ARL5B,0.0014294609002269,4.1071e-05,4.386464722780759,0.000733235390625,False,False
MALRD1,0.0005848326565648,0.59,0.22914798835785583,0.6898946367161776,False,False
PLXDC2,0.0001338916842177,0.088383,1.0536312611881467,0.2121574960949234,False,False
NEBL,0.0019366732817201,0.0013977,2.8545860348321166,0.011874877033492824,False,False
CASC10,0.0010267804299397,0.19052,0.7200594271604471,0.34528239056475396,False,False
SKIDA1,0.0009118519367182,0.66512,0.17709999283786043,0.7440869947497376,False,False
MLLT10,0.0019890015759976,0.25777,0.5887676284589306,0.4140539119509498,False,False
DNAJC1,0.0013709067094475,0.51513,0.28808315705969506,0.6331071698838729,False,False
EBLN1,0.0,0.39383,0.4046912045559281,0.5364184121708003,False,False
COMMD3,0.0012469202643351,0.78839,0.10325889298260203,0.8320737412495047,False,False
BMI1,0.0014188471827185,0.61934,0.20807087022733023,0.7114496787408365,False,False
SPAG6,0.0002684345391608,0.43602,0.3604935894230963,0.5710100483487667,False,False
PIP4K2A,0.0006954880267176,0.056538,1.247659558498189,0.15918495031712473,False,False
ARMC3,0.0002235624431746,0.13909,0.8567040928759281,0.2819580289193303,False,False
MSRB2,0.0015786723512551,0.39667,0.40157064380900437,0.538817107522312,False,False
PTF1A,0.0015978264656858,0.068931,1.1615854210367624,0.1805879198360656,False,False
C10orf67,0.0004504413392239,0.045955,1.337667229560245,0.13833242701073648,False,False
OTUD1,0.0011878402365406,0.024748,1.6064598926520368,0.09075213125286828,False,False
KIAA1217,0.0056234853035624,0.15534,0.8087166991814844,0.30381697956186515,False,False
ARHGAP21,0.0018288842838923,0.020054,1.6977989893946182,0.07870162325239147,False,False
PRTFDC1,0.0029910468688265,0.091987,1.0362735446891442,0.21775207332247076,False,False
ENKUR,0.0008833561875825,0.38395,0.4157253280750132,0.5289573232758621,False,False
THNSL1,0.0018002323035188,0.52678,0.27837072204457886,0.6419942942118508,False,False
GPR158,0.0019093019014263,0.10871,0.9637305042571847,0.2416937270450751,False,False
MYO3A,0.0010451786969572,0.075688,1.1209729705249458,0.19229022031473536,False,False
GAD2,0.0053187664224035,0.50256,0.29881208094557044,0.623024696299744,False,False
APBB1IP,0.0001359207896017,0.078883,1.1030165810958714,0.19757735307945465,False,False
PDSS1,0.0018657029756426,0.40113,0.3967148564744988,0.5426289436262063,False,False
ABI1,0.0023003816091978,0.0041767,2.379166717701978,0.02610396664059445,False,False
ANKRD26,0.0021213548893153,0.87566,0.057664488337361534,0.8985438846795941,False,False
YME1L1,0.0020611177253548,0.89158,0.04983968221407291,0.9101564861066751,False,False
MASTL,0.0020937629952267,0.81916,0.08663126267122986,0.8548942702279109,False,False
ACBD5,0.0020263181429921,0.62913,0.20125960503306267,0.7184198885316184,False,False
RAB18,0.0018505105490083,0.63524,0.1970621629230119,0.7227002520111055,False,False
MKX,0.00510967426263,0.020751,1.6829609696016565,0.0804126408826382,False,False
MPP7,0.0021363125921616,0.1455,0.8371370066780739,0.2908725919439579,False,False
WAC,0.0017459139178493,0.00031385,3.5032778670132703,0.0037346514147431125,False,False
BAMBI,2.4314841077308763e-05,0.0041369,2.383324977043354,0.025941090905527247,False,False
LYZL1,0.0,0.48093,0.3179181311647352,0.6068968990840177,False,False
SVIL,0.0005685298083694,0.34084,0.46744944336576805,0.4910271378346705,False,False
KIAA1462,0.0001091425098215,0.42699,0.36958229592503233,0.5634321847906861,False,False
MTPAP,0.0016548492663683,0.27337,0.5632491472273482,0.4301620687278456,False,False
MAP3K8,0.0004527243535524,0.054735,1.2617348775796704,0.15558876467449306,False,False
LYZL2,0.0,0.82113,0.08558808062328925,0.8563909502055733,False,False
