gene,estimate,se,zval,pval,k,coef,padj
ABHD13,-0.05225924788206281,0.07539536277397195,-0.6931361022657456,0.48822414318400703,7,dxSCZ:stratumdepleted,0.9838273170540576
ABHD15-AS1,-0.06605687930677874,0.10266184767577113,-0.6434413640732535,0.5199377506054605,7,dxSCZ:stratumdepleted,0.9838273170540576
ABHD17A,-0.17823080302292474,0.09479477644634653,-1.8801753609683618,0.06008418241817869,7,dxSCZ:stratumdepleted,0.843170591909467
ABHD17B,-0.00436490288811081,0.060474397640780345,-0.07217769929745242,0.942460492259267,7,dxSCZ:stratumdepleted,0.9966665263195124
ABHD17C,0.19931821238146935,0.0721072563186543,2.7641907702138613,0.005706416615019815,6,dxSCZ:stratumdepleted,0.5770205545536538
ABHD18,0.0430625439131095,0.06420435166861632,0.6707106729365023,0.5024048623519541,7,dxSCZ:stratumdepleted,0.9838273170540576
ABHD2,0.016796040254717853,0.039058433139053085,0.4300234009623932,0.66717861877999185,7,dxSCZ:stratumdepleted,0.9853969322776521
ABHD3,0.009964660412554052,0.0918384976282763,0.10850199720042042,0.9135974963323839,7,dxSCZ:stratumdepleted,0.9963126055122565
ABHD5,0.0881040015570089,0.09303666609951643,0.9469814993453085,0.3436482063219564,7,dxSCZ:stratumdepleted,0.9838273170540576
ABHD6,0.10313216961587221,0.09516470468991586,1.0837228986515273,0.2784876795622509,7,dxSCZ:stratumdepleted,0.9717968303860441
ABHD8,0.049059507928748324,0.058826015072921595,0.8339763940823365,0.404294286159912,7,dxSCZ:stratumdepleted,0.9838273170540576
ABI1,0.039250017079754125,0.035730387113547014,1.0985052290371815,0.27198393559181994,7,dxSCZ:stratumdepleted,0.9699413382239173
ABI2,-0.02124049059569772,0.04474347582485466,-0.4747170443092575,0.6349886676768186,7,dxSCZ:stratumdepleted,0.9838273170540576
ABI3BP,-0.416659219002054,0.18616629675691931,-2.2381023110004357,0.02521438399574798,5,dxSCZ:stratumdepleted,0.7753497854281612
ABITRAM,-0.04798753421939558,0.07500134673455656,-0.6398223006479099,0.5222881326620843,5,dxSCZ:stratumdepleted,0.9838273170540576
ABL1,0.06848298346367448,0.04402730884904479,1.5554660335584034,0.1198351180192761,7,dxSCZ:stratumdepleted,0.9029570913018427
ABL2,-0.012114398469371589,0.04763426782957342,-0.2543210806286487,0.7992475150979563,7,dxSCZ:stratumdepleted,0.9963126055122565
ABLIM1,0.06483270653593766,0.0374898383704134,1.7293407855047722,0.08374812112463516,7,dxSCZ:stratumdepleted,0.8854140121582467
ABLIM2,0.032473545072262834,0.04602050087325829,0.705632152107511,0.48041692412103865,7,dxSCZ:stratumdepleted,0.9838273170540576
ABLIM3,0.041541757348927025,0.04196245337959794,0.9899744653424993,0.32218660002722915,7,dxSCZ:stratumdepleted,0.9803686945532772
ABR,0.03692817808986364,0.038113094224553896,0.9689105238291861,0.3325898342457802,7,dxSCZ:stratumdepleted,0.9803686945532772
ABRAXAS2,0.04162394069932279,0.0720127400250214,0.5780080119831605,0.563258710024729,5,dxSCZ:stratumdepleted,0.9838273170540576
ABTB1,-0.05106434584782777,0.12790475010820024,-0.39923729028538973,0.6897183688537514,6,dxSCZ:stratumdepleted,0.9897243069699121
ABTB2,-0.24378822975723857,0.10381301265532727,-2.3483398036684213,0.01885730897936538,7,dxSCZ:stratumdepleted,0.6997273832860561
AC007563.2,-0.12492888520793587,0.18596615865375632,-0.6717828991700391,0.5017219169927161,5,dxSCZ:stratumdepleted,0.9838273170540576
