gene,estimate,se,zval,pval,k,ci.lb,ci.ub,tau2,I2,stratum,padj
DNAJC1,-0.02292128701663053,0.03720665433569633,-0.6160534298468132,0.5378592568137914,7,-0.09584498949982638,0.05000241546656532,0,0,depleted,0.8862046927920851
DNAJC10,-0.0028520689952567604,0.032290210743540666,-0.08832611895626256,0.9296174801541043,7,-0.06613971910580478,0.06043558111529126,1.5749973643781849e-6,0.01824793925279001,depleted,0.9879279185712255
DNAJC11,-0.013629412862696037,0.046657242836189494,-0.2921178371072634,0.7701965291509086,6,-0.10507592843956688,0.07781710271417482,0.002681803944061334,20.860872964684305,depleted,0.9495981918146269
DNAJC12,0.006467100317068947,0.06752061075258266,0.09577964779919562,0.9236955817376465,7,-0.12587086497214095,0.13880506560627887,0,0,depleted,0.9855458323875617
DNAJC13,0.01059096254113464,0.03418645832356232,0.3097999342574494,0.7567131016089522,7,-0.056413264532027045,0.07759518961429632,3.243027056441195e-4,3.4531021140357137,depleted,0.945937333986468
DNAJC15,-0.07018311823013766,0.06761311098516505,-1.038010486539164,0.2992651729951934,6,-0.20270238064377066,0.062336144183495326,0.005959726410596005,22.181060730428847,depleted,0.774269339962174
DNAJC16,-0.033651386838794546,0.038042553414035334,-0.8845722439435224,0.3763873821927413,7,-0.10821342141024506,0.04091064773265598,0,0,depleted,0.8208393194609813
DNAJC17,-0.05055298773823901,0.04518516976415075,-1.1187960121010105,0.26322717339135854,7,-0.13911429311130266,0.038008317634824644,0,0,depleted,0.7540246903434045
DNAJC18,-0.037167574150517906,0.04593638084260057,-0.8091097615606967,0.4184520138716385,7,-0.12720122618213073,0.05286607788109491,0.0024977854938937117,17.171998088524784,depleted,0.8411246442036328
DNAJC19,-0.05318159981579146,0.0779240616841858,-0.682479822873303,0.49493559699097806,6,-0.2059099542458732,0.09954675461429027,0.010792033926034438,32.03474528835647,depleted,0.8669876304012764
DNAJC2,0.05832705488191449,0.06662018677357048,0.8755162317415471,0.381293082295408,7,-0.0722461118376153,0.18890022160144426,0.008026760225765319,28.09946521590272,depleted,0.82409462250537
DNAJC21,0.01028107936721893,0.04324170199322226,0.23775843441200334,0.8120684587939541,7,-0.07447109916971056,0.09503325790414843,0,0,depleted,0.9637261915096934
DNAJC24,0.10595200033858641,0.048170906611838316,2.199501894210727,0.02784225459622136,7,0.01153875827674096,0.20036524240043185,0.0013522202269986487,7.832724273052547,depleted,0.46571156839889283
DNAJC27,-0.010265517495108489,0.05706522805584281,-0.17989093962899566,0.8572381882967844,7,-0.12211130925412503,0.10158027426390806,0.005175186729653895,24.105498163299714,depleted,0.9739536757007219
DNAJC27-AS1,0.10268592964465265,0.05172923159005376,1.9850658223269757,0.04713714871919242,7,0.0012984987802156511,0.20407336050908964,0,0,depleted,0.5168288604469148
DNAJC28,0.07384027006961057,0.10727539027857912,0.6883244132494671,0.49124851125574803,5,-0.13641563130388273,0.28409617144310384,0.006114683310286834,10.085081931248663,depleted,0.8669876304012764
DNAJC3,0.055152666776007685,0.04150634159944438,1.3287768724176352,0.18392159454565837,7,-0.026198267888919914,0.1365036014409353,0,0,depleted,0.7010790834506063
DNAJC3-DT,0.24419115759520216,0.11394667548116537,2.1430301196945876,0.03211067990902559,5,0.02085977749404483,0.4675225376963595,0.02142476039807852,35.32972152509535,depleted,0.4761726592116785
DNAJC30,-0.17912327429013017,0.09296331991890033,-1.9268166675458058,0.05400248155472069,5,-0.36132803321444984,0.003081484634189474,1.3783341232676965e-6,0.002916458443481117,depleted,0.5346569168589208
DNAJC4,-0.10117390590765096,0.09046517621718812,-1.1183740543958418,0.26340727073364756,5,-0.2784823931484091,0.07613458133310719,0,0,depleted,0.7540246903434045
DNAJC5,-0.07472504370756185,0.03563875443610074,-2.0967355590819454,0.036016990867333086,7,-0.14457571885618636,-0.004874368558937317,1.2303949229598282e-6,0.011753609931284001,depleted,0.4863082002749535
DNAJC6,0.017055971520473515,0.036288032946721345,0.47001642512602865,0.6383432826684329,7,-0.0540672661249032,0.08817920916585023,0.0031545430774521117,40.05494787439049,depleted,0.9192375004016963
DNAJC7,-0.04300237551695295,0.033637790875619675,-1.2783947577282975,0.2011102715193698,7,-0.10893123415265756,0.02292648311875166,0,0,depleted,0.7094467460498552
DNAJC8,-0.04237347156952753,0.05292078132069284,-0.8006962579170926,0.42330750945246426,7,-0.14609629699180554,0.06134935385275046,0,0,depleted,0.8427601096433577
DNAJC9,0.07770692013621612,0.04281404827994977,1.8149865116260686,0.06952598236128883,7,-0.0062070725248444675,0.1616209127972767,0,0,depleted,0.5710690069886531
DNAL1,-0.018766788899299263,0.04223482334793798,-0.4443439657529788,0.6567939189723984,7,-0.10154552155466909,0.06401194375607056,4.7025082369539625e-7,0.0032630711843578543,depleted,0.9258908454931296
DNALI1,0.11095482028000214,0.11749849313305276,0.9443084529974295,0.34501204759194204,5,-0.1193379944985081,0.3412476350585124,0.021424294054137986,31.608666440582876,depleted,0.8027469780990368
DNASE1,-0.04040921049053785,0.04772577212035617,-0.846695793388796,0.39716470404103715,7,-0.13395000498080173,0.05313158399972605,0,0,depleted,0.8319202704098809
DNER,0.05993245376425337,0.0535438263287562,1.1193158553195535,0.2630054140331043,7,-0.04501151743457627,0.16487642496308302,0.008363900407914893,49.66813487391533,depleted,0.7540246903434045
DNHD1,0.013983502657276525,0.06954174604866473,0.2010806954356738,0.8406354765105967,7,-0.12231581502013694,0.15028282033468998,0.009282989479351982,30.136294030844596,depleted,0.9709187730847639
DNM1,-0.08925406958571792,0.02709493308844062,-3.2941240081451224,9.872893130064002e-4,7,-0.14235916260258416,-0.036148976568851694,1.1652621837265669e-6,0.0192359709649058,depleted,0.19581825713503728
DNM1L,-0.02408140142312409,0.025303193263943785,-0.9517139268520425,0.3412420843748738,6,-0.0736747489143104,0.02551194606806222,0,0,depleted,0.8018492185476853
DNM1P35,0.042165714787186906,0.14500543623349274,0.29078713103755793,0.7712141282064189,6,-0.24203971779297823,0.326371147367352,0.04691087358970354,40.36096714577153,depleted,0.9495981918146269
DNM2,-0.04262741618175844,0.037416985574722096,-1.1392530832456043,0.2545976107725255,7,-0.11596336031826848,0.030708527954751597,4.952110266848675e-6,0.04249532879016181,depleted,0.7506591442069629
DNM3,0.03411592056631723,0.03219774089294149,1.0595749770070437,0.28933800253314196,7,-0.028990491967400604,0.09722233310003506,0.001345552068786047,18.92001993172633,depleted,0.7660867187891267
DNMBP,-0.050942837090733724,0.06335462924025854,-0.804090209375927,0.42134487851069585,7,-0.17511562865552865,0.07322995447406122,0.009325688427420398,38.44311001066746,depleted,0.8424946196893048
DNMT1,-0.10589072892496043,0.042734277920985685,-2.4778874027250213,0.01321628455798662,7,-0.18964837455541758,-0.02213308329450328,0,0,depleted,0.38398206333387996
