stratum,gene,k,estimate,se,z,padj
depleted,ACADM,6,-0.06125327142723239,0.03637737955939366,-1.6838285816388632,0.6095632725933577
depleted,ACADSB,6,0.04727045212063766,0.03611163309273783,1.3090089833169,0.7027713758573857
depleted,ACADVL,6,-0.1205757569315616,0.07197090753016865,-1.6753402321767148,0.6132860459293682
depleted,ACAP1,5,-0.15979617888926692,0.1073879342911032,-1.4880273090652572,0.6570621740783388
depleted,ACAP2,7,0.01079768702982418,0.02656792455378999,0.4064181606644866,0.9339047958626104
depleted,ACAP3,7,-0.05618483037515476,0.04265339116888505,-1.3172418144360976,0.7012901923756838
depleted,ACAT1,6,0.06769872371604037,0.03480215862228403,1.9452449616930505,0.5300754402390011
depleted,ACAT2,7,0.02400181510839436,0.11383056660295555,0.21085562362272528,0.9704328678130072
depleted,ACBD3,7,0.00339831610315012,0.04425016922704929,0.07679781032504607,0.989641479602126
depleted,ACBD4,6,-0.1423518741059667,0.09442803305722355,-1.507517095264509,0.654742445811661
depleted,ACBD5,7,0.03002972037670252,0.04496575495740027,0.6678353428103704,0.8721520483677265
depleted,ACBD6,7,0.0454214559044852,0.03446844415912194,1.3177692527924731,0.7012901923756838
depleted,ACCS,5,0.1418825242339686,0.11627051394250323,1.220279496692779,0.7259672962963067
depleted,ACD,5,-0.04129490100203545,0.08880799537811154,-0.46499080208056787,0.9202647353972152
depleted,ACER2,7,0.05218658052610563,0.07016635777337872,0.7437550156822497,0.8557615742853436
depleted,ACER3,7,0.03042933034386451,0.03078352831801423,0.9884939123777294,0.7910389094415181
depleted,ACHE,5,-0.079196992469796,0.08608055458146943,-0.9200334832281012,0.8126336342309376
depleted,ACIN1,7,0.00835068393796859,0.03079413418771314,0.2711777472639747,0.95556926312118
depleted,ACLY,6,-0.04719817922319325,0.05477084176846326,-0.8617391608242488,0.8280521830667974
depleted,ACO1,7,-0.04374299597980984,0.03889170458499662,-1.1247384614940412,0.7540246903434045
depleted,ACO2,6,-0.04120341708983939,0.03113049344308955,-1.3235709599388268,0.7010790834506063
depleted,ACOT11,5,0.15901079640787533,0.08307025518962949,1.9141724802083704,0.5346569168589208
depleted,ACOT13,6,0.01854925846652709,0.05720974388241556,0.32423250320175856,0.9427071961089328
depleted,ACOT7,6,-0.04084580288949155,0.05910513127308341,-0.6910703353448571,0.8669876304012764
depleted,ACOT8,7,-0.12460038986386386,0.06243176724264366,-1.9957850845323544,0.5112095420667737
depleted,ACOT9,6,4.395371751347728e-4,0.04818553220375747,0.00912176653515301,0.998023450307926
depleted,ACOX1,7,-0.05278455018186391,0.05587431514257568,-0.9447015153057796,0.8027469780990368
depleted,ACOX3,7,0.04487480892513857,0.04060826874002429,1.1050657986044377,0.7563522210668026
depleted,ACP1,7,-0.03228693005157926,0.05273445898259785,-0.6122548837039138,0.8868043899024323
depleted,ACP2,6,-0.16800653086000283,0.0969153949384192,-1.7335381129773604,0.5951463982613076
depleted,ACP6,6,0.1357135136106837,0.07257427607276956,1.869994727534106,0.5518747876697114
depleted,ACSF3,6,-0.14302006790549401,0.05264563938821813,-2.7166555400883077,0.32554814933224635
depleted,ACSL1,6,-0.04457264609335273,0.04881510378318084,-0.9130912901738036,0.8140364727968891
depleted,ACSL3,7,0.02969285741747054,0.02975513519050537,0.9979069907551724,0.7868149473995056
depleted,ACSL4,7,0.04158237857922269,0.03615744264473334,1.1500364942231205,0.7469260236425169
depleted,ACSS2,7,-0.01285901827021798,0.08140900663418187,-0.15795572015761167,0.973953675700722
depleted,ACSS3,6,0.23602520279947484,0.07745872871859358,3.047109172898395,0.24915672603477737
depleted,ACTB,6,0.03224723300942101,0.08650819943326293,0.3727650467895619,0.9366542851956716
depleted,ACTG1,7,-0.16617087870258906,0.06024614540829429,-2.7581993433178504,0.30573594773852064
depleted,ACTL6B,7,9.943231689644068e-4,0.0474181230116579,0.02096926461471174,0.996630595632027
depleted,ACTN1,7,-0.04432116499914557,0.06481836595602619,-0.6837747966249836,0.8669876304012764
depleted,ACTN2,6,0.07734794856611074,0.1159641084087718,0.6669990364040945,0.8721520483677265
depleted,ACTN4,7,0.02113183691225427,0.05728297860715131,0.3689025505670218,0.9367178969215836
depleted,ACTR10,7,-0.0021420254842254,0.03303301276515501,-0.06484499308173695,0.990578800308162
depleted,ACTR1A,7,-0.04874414354887661,0.04624200892282927,-1.054109557182583,0.7686151178104639
depleted,ACTR1B,7,-0.09386673097018176,0.04709801082489606,-1.9930083951775663,0.5117686078959204
depleted,ACTR2,7,-0.0807231197517286,0.06378949272711322,-1.2654610704784282,0.712879125706946
depleted,ACTR3,7,0.02229376523241496,0.03605687824129411,0.6182943815386394,0.885952086961625
depleted,ACTR3B,7,-0.08119516427584404,0.03832804589073178,-2.118426921824316,0.4799760401689611
depleted,ACTR3C,7,0.14130036502595109,0.06462580121487482,2.1864388892625164,0.4690052393911981
depleted,ACTR5,6,-0.07061540175107404,0.06619653588368798,-1.0667537327806749,0.7631833719699072
depleted,ACTR6,7,0.00760705596448007,0.04873732051102898,0.15608276952276523,0.9741471306535922
depleted,ACTR8,6,-0.11883268467039386,0.07528052558147844,-1.5785315491956493,0.6351043279291086
depleted,ACVR1,7,-0.02411880940980164,0.04933648422636928,-0.4888635618853169,0.9150746520929682
depleted,ACVR1B,7,0.08186922798826882,0.05128431485041624,1.5963794822463997,0.6325315727431418
depleted,ACVR1C,6,0.14622808491592224,0.09448928682431704,1.5475625843996748,0.6453598849972921
depleted,ACVR2A,7,0.09014789979162856,0.04533643677663158,1.988420489148252,0.5137696613967273
depleted,ACVR2B,7,0.1025293139135364,0.0428352935259808,2.3935709428803027,0.41274636735102216
depleted,ACYP1,7,0.04955251967450316,0.05161114078958218,0.9601128538609136,0.7999126424003256
depleted,ACYP2,7,2.6606357574445675e-4,0.03070885726752611,0.00866406631241901,0.9980321173802628
depleted,ADAL,7,-0.05180322458773556,0.05962829751451515,-0.868769137256103,0.8259771507768168
depleted,ADAM10,7,0.04576523072818364,0.04165706011256005,1.0986188320664745,0.7570528913275897
depleted,ADAM11,7,-0.05254883312237232,0.04182940016736277,-1.2562655192787906,0.71591272945411
depleted,ADAM12,7,-0.33520013782363867,0.13851802738203817,-2.419902623209783,0.4040078058861869
depleted,ADAM15,7,-0.05072700593891577,0.06230441710431005,-0.8141799297149128,0.8393372194792174
depleted,ADAM17,7,-0.04949047151700492,0.04825329821213439,-1.0256391449022113,0.7796411413433859
depleted,ADAM19,7,-0.05137636897713071,0.08347467716284515,-0.6154725088292824,0.8862046927920851
depleted,ADAM22,7,0.01959258130886627,0.02329348075392299,0.8411186595874718,0.8324590243008579
depleted,ADAM23,7,0.00477371354867193,0.02966677470171426,0.160911106673018,0.973953675700722
depleted,ADAM32,7,0.10165484895789768,0.06150210764831602,1.6528677283579414,0.6179072016367319
depleted,ADAM9,7,-0.01550185454972422,0.03669992276131162,-0.422394745911182,0.9297426104672308
depleted,ADAMTS10,7,-0.04848869111479417,0.04355775984422177,-1.1132044275969926,0.7551696363565619
depleted,ADAMTS12,7,-0.07679938524689335,0.1818078901736341,-0.4224205295685833,0.9297426104672308
depleted,ADAMTS13,7,0.00868936864693263,0.05737888722851572,0.15143843086964331,0.9749355566301032
depleted,ADAMTS17,7,-0.20156252712484943,0.18344960338089217,-1.0987351480196434,0.7570528913275897
depleted,ADAMTS19,7,0.02650694229164415,0.03485433874253454,0.7605062453615383,0.8512342689178934
depleted,ADAMTS19-AS1,5,0.06974230191420597,0.06310989814014488,1.105092924715753,0.7563522210668026
depleted,ADAMTS20,6,0.14667175571531893,0.170457061755542,0.8604615978049982,0.8280521830667974
depleted,ADAMTS5,6,-0.10483201525914612,0.1158501723522362,-0.904893045306916,0.8165863824978352
depleted,ADAMTS6,7,-0.15709132262441516,0.10479767755735428,-1.4989962209653105,0.6559297901507796
depleted,ADAMTS9,7,-0.2709333105396869,0.09070018805897452,-2.9871306370778665,0.258615196246777
depleted,ADAMTS9-AS2,7,0.14034592951709246,0.03954916999994041,3.548644118632678,0.12330546124645682
depleted,ADAMTSL1,7,-0.10173701780823464,0.17836499502427994,-0.5703866826245009,0.8995675651766646
depleted,ADAMTSL3,7,0.06817198922922724,0.05681734290091144,1.1998447260745388,0.734509484034666
