pathway,pval,padj,log2err,ES,NES,size,leadingEdge,coef
GOBP_P38MAPK_CASCADE,0.3175054704595186,0.8517986768431921,0.03502578380064452,-0.30463458559552253,-1.0891609899186776,32,MAP1LC3A|OPRK1|MAP3K5|DAB2IP|GADD45A|MAP2K3|PRMT1|MAPKAPK2|DUSP10|PJA2|RELL2|SASH1|CYLD|DUSP1|MAP2K6|ATF2|MAPK11,dxSCZ:stratumdepleted
GOBP_PALLIUM_DEVELOPMENT,0.28985753052917235,0.8453220718164416,0.03178233709060047,0.2352650955262692,1.0807742880972266,135,CDON|NF1|EPHA5|CDH2|FLNA|CEP120|PLCB1|XRN2|PTEN|CRK|BBS2|DAB1|SRF|CNTNAP2|DCLK2|TSC1|ALK|HIF1A|PHLPP2|BTBD3|EGFR|FILIP1|EZH2|FKTN|CCDC85C|OGDH|SRD5A1|DISC1|PSEN1|ROBO1|KDM1A|MCPH1|WDR47|TRAPPC9|FXR1|ARX|TRA2B,dxSCZ:stratumdepleted
GOBP_PANCREAS_DEVELOPMENT,0.1912007332722273,0.7887618596554528,0.042289364661447525,0.3379070387067525,1.2017991494306257,36,ZNF800|SMAD2|CDH2|CLOCK|SELENOT|PDPK1|GDF11,dxSCZ:stratumdepleted
GOBP_PATTERN_SPECIFICATION_PROCESS,0.033624526124938194,0.6101828520311233,0.10009850312420068,0.26632794904745566,1.3018358771877894,217,EPB41L5|CDON|GREM2|MID1|PBX1|TASOR|PRICKLE1|EXT1|SMAD2|ACVR2A|IFT57|SMAD5|CHSY1|SSBP3|WDR77|BBS7|ANKS6|MEF2C|MIB1|NRG3|INTU|PKD2|ARL13B|CELSR2|DISP1|MNS1|SRF|ARL6|DAAM2|KDM2B|NME7|DVL2|GDF11|ASPH|PALB2|APC|ERBB4|CC2D2A|TBC1D32|BASP1|ABI1|SUFU|MED12|IFT122|MKS1|HIF1A|ETS2|SKI|PCGF2|FGFR2|CAPRIN2|IFT74|PSEN1|ROBO1|NCKAP1|ROBO2|RNF2|KAT2A|CLUAP1|MOSMO|PCSK5|GAS8|TRA2B|DOP1B|POFUT1|KMT2A|MLLT3|RPGRIP1L|OFD1|ACVR2B|PPP2R3A,dxSCZ:stratumdepleted
GOBP_PENTOSE_METABOLIC_PROCESS,0.4557496640430025,0.9125177445834496,0.025861036835466387,0.3977726180981744,0.9961091852272149,10,OTOGL|FGGY,dxSCZ:stratumdepleted
GOBP_PENTOSE_PHOSPHATE_SHUNT,0.6424090338770388,0.9656882316704214,0.021668243132077245,-0.30823054610175576,-0.8608419922737653,13,DERA|PRPS2|PGD,dxSCZ:stratumdepleted
GOBP_PEPTIDE_BIOSYNTHETIC_PROCESS,0.9282726892513593,0.999644282896583,0.016149573616630206,-0.22451504623892557,-0.6270370738529872,13,MGST2|SLC1A1|SLC1A2|HAGH|GGT7|GCLM,dxSCZ:stratumdepleted
GOBP_PEPTIDE_CATABOLIC_PROCESS,0.8922040423484119,0.999644282896583,0.015523425844196874,0.25615207031428544,0.6600966764004118,11,TRHDE|LTA4H|IDE|ECE1,dxSCZ:stratumdepleted
GOBP_PEPTIDE_METABOLIC_PROCESS,0.19629765395894427,0.7913569886186833,0.04166736699834084,0.33902436977957306,1.1984657622030723,35,THOP1|CPD|TRHDE|PAM|MIPEP|ABCB9|NLN|GCLC|LTA4H|PCSK5|IDE|DNPEP|AASDH|ECE1,dxSCZ:stratumdepleted
GOBP_PEPTIDE_TRANSPORT,0.03613033935505656,0.6114263590142965,0.097676284397018,0.2838665898942877,1.3319281197165886,159,PRKD1|SLC15A4|GNAZ|GNAO1|PCLO|EFNA5|EPHA5|SYBU|SMAD2|ADCY8|GLUD1|ACVR1C|MFSD1|PLCB1|PRKAR1A|PFKM|SERP1|RAB8B|HADH|ACSL4|LRRC8A|DOC2B|BAIAP3|CLOCK|PICK1|SELENOT|SLC25A39|DISP1|FOXO1|PLA2G6|JAK2|CPT1A|ITPR1,dxSCZ:stratumdepleted
GOBP_PEPTIDYL_AMINO_ACID_MODIFICATION,0.7698437998087344,0.9886265569411736,0.014927939428544434,0.17749734021753444,0.8972467598343444,288,PRKD1|GALNT13|BAG6|GALNT1|EPHB2|GALNT2|PDCD10|EFNA5|ZDHHC2|HDAC9|PIAS4|LMTK2|TTLL7|MAPK8|SAE1|QPCTL|AGBL4|TENM1|PTEN|POGLUT2|ABL1|ROCK1|NFATC2IP|UBA2|KAT7|SIRT1|NMT2|GNL3L|FLT3|PTPN2|CEP41|INPP5F|PDGFB|AGBL1|JAK2|ZDHHC15|SUMO3|ERBB4|ESCO1|ABI1|ALK|MGAT5B|PDK3|ZDHHC8|AGTPBP1|EGFR|P3H3|GNL3|FGFR2|EEF1AKMT1|TTBK2|RANGAP1|TOP1|CNOT7|SENP6|RIPK1|CTH|TTBK1|MARK2|TOLLIP|PIAS1|SLF1,dxSCZ:stratumdepleted
GOBP_PEPTIDYL_CYSTEINE_MODIFICATION,0.9883164144799846,0.999644282896583,0.013974214767679405,0.17141037902689427,0.5087190402563831,18,ZDHHC2|ZDHHC15|ZDHHC8,dxSCZ:stratumdepleted
