pathway,pval,padj,log2err,ES,NES,size,leadingEdge,signature,source
GOBP_ACTIVATED_T_CELL_PROLIFERATION,0.1213936972924989,0.5716588322426587,0.06000346547780699,0.44331039261451455,1.3380732399655642,16,HMGB1|CADM1|PRNP|RC3H1|CASP3|PPP3CA|PRKAR1A|BTN3A1,depleted,C5:GO:BP
GOBP_ACTIVATION_OF_GTPASE_ACTIVITY,0.21743829940551251,0.6787801593461633,0.038948724086186784,-0.38617434925169963,-1.2039277942489182,20,TIAM1|SCRIB|APC2|TBC1D7|PIP5K1A|ECT2|BCR|MTSS2,depleted,C5:GO:BP
GOBP_ACTIVATION_OF_IMMUNE_RESPONSE,0.5709219858156028,0.8805333668395423,0.02948670041586716,0.1783173664662859,0.9673003774367493,290,LY96|PRKD1|C5AR1|KLRD1|HMGB1|WASHC4|MAP3K7|LCP2|DDX41|CBLB|NFKBIA|CD36|CD47|KCNK6|SOS1|PRNP|CD8A|RAP1A|SPPL3|WNK1|UBR2|NCK1|PIK3CA|PRKCH|PAWR|MAPK8|SCARA3|CD247|FBXL2|RIPK2|LYPLAL1|C2|TYRO3|BRCC3|LATS1|RC3H2|DENND1B|PTPN2|PDE4D|C1S|RPS6KA3|MAP2K6|ARRB2|ESR1|RC3H1|SERPING1|STK11|PAK3|PDPK1|ABHD8|GBP5|PELI1|MFHAS1|CSNK1A1|PIK3R1|GDI1|SLC19A1|NFKBIZ|CD55|SLC15A2|CTSS|PTPN22|ZDHHC18|CACNB4|FOXP1|BTRC|NOS2|EPG5|PLCG2|PRKCB|AP3B1|NR1D1|PRKD2|PLD2|BTN3A1|BIRC3,depleted,C5:GO:BP
GOBP_ACTIVATION_OF_INNATE_IMMUNE_RESPONSE,0.9436462324393359,0.9857265038303745,0.012000883616790322,-0.162282149294104,-0.7844569478320054,181,ITCH|ELP6|PAK1|IRAK2|HSPA8|UFD1|SQSTM1|ATAT1|XRCC6|ECSIT|TRIM65|HDAC6|NLRX1|DAB2IP|HAVCR2|BIRC2|TAB1|SPSB3|SFPQ|PTPRS|DDX3X|PJA2|MAPKAPK2|CHUK|TRAF3|EP300|DHX33|SMPDL3A|AARS2|PRKDC|PRKCE|PPP6C|TNIP1|SLC15A4|YWHAE|PHB2|SCIMP|GPS2|FYN|ZNFX1|MARK4|SRC|NPLOC4|HSP90AA1|RFTN1|FLOT1|NAGK|HCFC2|NONO,depleted,C5:GO:BP
GOBP_ACTIVATION_OF_PROTEIN_KINASE_ACTIVITY,0.9580892293826048,0.9901390791696442,0.016776012570227837,0.18625407158048515,0.6216084529135938,23,ADCY8|PRLR|STK11|JAK2|PIBF1,depleted,C5:GO:BP
GOBP_ACTIVIN_RECEPTOR_SIGNALING_PATHWAY,0.5022532672374944,0.8503672902800792,0.026941622957522362,0.2879091497563193,0.9608743564156542,23,ACVR2B|ACVR2A|ACVR1B|ACVR1C|MAGI2|NOMO3|SMAD2,depleted,C5:GO:BP
GOBP_ACTOMYOSIN_STRUCTURE_ORGANIZATION,0.11313928630159513,0.5574158211854398,0.053097257605142945,-0.26339808724338787,-1.2153511740169018,133,ITGB5|EVL|FHOD3|ACTG1|ITGB1|LUZP1|PAK1|TAC1|NRP1|KCTD13|MKKS|MYO18A|CDC42BPB|CDC42|ARHGAP6|ZYX|VPS4A|FAM171A1|TMOD3|ARHGEF10L|PGM5|OBSL1|STMN1|EPB41L4B|PDGFRB|PPFIA1|LIMK1|LPAR1|ECT2|PLEC|MTOR|CFL2|FRMD5|TESK1|DNM2|DLC1|TTC8,depleted,C5:GO:BP
GOBP_ACUTE_INFLAMMATORY_RESPONSE,0.210591789585925,0.6727930836989031,0.03935790068340837,-0.3374081533607893,-1.1926358237724821,33,PARK7|TAC1|TFRC|NPY|GSTP1|EIF2AK1|FN1|LIPA|CTNNBIP1|ZP3|STAT3|DNASE1,depleted,C5:GO:BP
GOBP_ACYLGLYCEROL_HOMEOSTASIS,0.7095538530869762,0.915207117888506,0.02128239540185751,0.2525793965040429,0.8314918184905914,22,ABCG8|SESN2|DGAT2|APOE|PNPLA2|OSBPL8|ADORA1|LIPC|NR1H3,depleted,C5:GO:BP
GOBP_ACYL_COA_METABOLIC_PROCESS,0.9469534050179211,0.9869484618445519,0.017808428493884594,0.16825957087255383,0.7228320364927575,66,ACAT1|ACOT11|PDHX|BAAT|ELOVL1|ACACB|FAR2|CBR4|ACACA|ELOVL5|DGAT2|ACSL4|SNCA|ACSL3|NUDT7|PMVK|TECR|PDK1,depleted,C5:GO:BP
