"logFC","AveExpr","t","P.Value","adj.P.Val","B","celltype","SE","FDR"
0.153703344195492,1.40941974200862,3.26969287821247,0.00158085199261959,0.0081385904919065,-1.61354428198192,"L4 IT_1",0.0470084958803596,0.0081385904919065
0.208457494423917,0.181432390663442,3.25738380009068,0.00164265129194443,0.0081385904919065,-1.72792104333716,"L6 IT Car3_2",0.0639953739618013,0.0081385904919065
0.210990596923806,-1.60511339822631,3.15603265718075,0.00224461811117524,0.0102735503673385,-1.9369984107265,"L6 CT_3",0.0668531095341332,0.0102735503673385
0.122462567453803,3.43664144834583,3.15349270275031,0.00226206613592775,0.0102735503673385,-1.89972145651709,"L4 IT_2",0.0388339466734765,0.0102735503673385
-0.22721425291366,-1.19400667103115,-3.1081257542648,0.00259582733497659,0.0113178071804979,-2.15439421317397,"Pvalb_8",0.073103301113827,0.0113178071804979
0.238319364581713,-3.17496314175298,3.01204552796554,0.00345941876315102,0.0145029478916716,-2.25293180221681,"L6b_3",0.0791220990416713,0.0145029478916716
-0.183055711637749,0.579334853927501,-2.98469695640991,0.00375007043786598,0.0151391732491627,-2.43229371427212,"Sst_3",0.0613314230259189,0.0151391732491627
0.12921161321218,0.74277772813548,2.97205344490615,0.0038919437510991,0.0151507810310643,-2.3490864809188,"Vip_9",0.0434755348809887,0.0151507810310643
0.204342066828351,0.665964330087259,2.82504683598599,0.0059479501436952,0.0223560884711302,-2.89630927525535,"L5 IT_6",0.0723322757787242,0.0223560884711302
0.148785495999786,-0.15769723530581,2.79265609170286,0.00651814735019232,0.0236826020390321,-2.84895621335245,"Sst_5",0.0532774144449207,0.0236826020390321
0.182887517970465,-1.07100830894026,2.72835387194732,0.00780099190529018,0.027392685930626,-3.02261214622162,"L5/6 NP_4",0.0670321837100743,0.027392685930626
0.116617851724669,-0.265623601955515,2.71736949051781,0.00804188944752322,0.027392685930626,-3.12511338601706,"Sst_10",0.042915713940119,0.027392685930626
0.192599477958419,-1.8759566206181,2.67079997861821,0.00914035730340002,0.0301908771536546,-3.17632784210306,"L6b_5",0.0721130296167156,0.0301908771536546
