pathway,pval,padj,log2err,ES,NES,size,leadingEdge,cell_type
PGC3_SCZ_GWAS_no_MHC,0.8381640550999973,0.8381640550999973,0.005057462264289609,-0.18746010493550963,-0.8275443096349366,141,PDE4B|IFT81|ATP2A2|LPCAT4|RBM26|NRGN|DGKZ|MSANTD2|GOLGA8A|DGKI|SREBF2|ASPHD1|R3HDM2|RIMS1|TP53BP1|FUT9|FOXP1|MICU3|NEK4|HCN1|GRAMD1B|RABL2B,L5 ET
PGC3_SCZ_GWAS_with_MHC,0.8381640550999973,0.8381640550999973,0.005057462264289609,-0.18746010493550963,-0.8275443096349366,141,PDE4B|IFT81|ATP2A2|LPCAT4|RBM26|NRGN|DGKZ|MSANTD2|GOLGA8A|DGKI|SREBF2|ASPHD1|R3HDM2|RIMS1|TP53BP1|FUT9|FOXP1|MICU3|NEK4|HCN1|GRAMD1B|RABL2B,L5 ET
REF_HALLMARK_OXPHOS,0.46810320385596826,0.8381640550999973,0.009922317463210468,-0.28634197468265044,-0.9940001093733967,37,ATP1B1|ETFDH|NNT|SUCLA2|IMMT|MPC1|PDHX|MDH1|NDUFA5|LRPPRC,L5 ET
REF_REACTOME_TRANSLATION,0.5768876172309648,0.8381640550999973,0.00854853511709456,-0.273322633837357,-0.9250721603154378,33,EIF4A2|EIF4E|RPS24|SPCS2|MRPS27|SRP54,L5 ET
PGC3_SCZ_GWAS_no_MHC,0.010860774119006355,0.02172154823801271,0.08574506395660332,-0.25662380565501514,-1.3222625726797492,328,ANAPC7|PTN|SLC45A1|GMEB2|THRAP3|LPCAT4|IGSF9B|ARSA|GALNT2|ACTR1B|NPTXR|ASPHD1|CRELD2|PDE4B|PRKD1|SREBF2|R3HDM2|SORCS3|CUL3|NRBP2|DGKZ|PFDN5|RABL2B|MAN2A2|KCNB1|B9D1|AMBRA1|ZEB2-AS1|PLCL2|EPN2-AS1|UNC45A|RBM26|SPG7|PANK4|UBE2D2|SLCO4C1|LINC01239|TRIM9|TRPM6|GRAMD1B|ATXN7|FAHD2B|SF3B1|PEX10|ZNF440|CATSPER2|ZNF491|GMEB1|C12orf42|SHANK3|CLTA|ZNF536|MSANTD2|ATP2A2|PTGIS|RCCD1|MDK|PLCB2|BRD1|SLC38A7|PTPRF|PTK7|NGEF|TP53BP1|SIAE|SEC11A|NT5C2|WDR73|ZEB2|CUL9|PLEKHO1|SGCD|KCNG2|NOSIP|PUF60|CPEB1-AS1|LETM2|LRP1|SOX2-OT|PLK2|CNTN4|SUGP1|PIM3|MICU3|KCTD13|XRCC3|CPLX1|CPEB1|PPP1R13B|GRIN2A|FAM83H|MAU2|ELAC2|AKT3|DPP4|NAGA|GNE|PRKD3|GABBR2|ARHGAP44|SNHG21|PDE6B|ZNF707|ZSWIM6|TAOK2|ABCB1|PPIP5K1|DNAJC19|CTNND1|GLT8D1|DGKI|DNPH1|EGR1|ZNF823|MAP7D1|CACNA1C|ZFYVE21|MYL5|SRF|PSMD6|MORN1|KANSL1-AS1|GOLGA8A|GIGYF2|CTNNA2|ZSCAN2|PLCH2,L5 IT
PGC3_SCZ_GWAS_with_MHC,0.010860774119006355,0.02172154823801271,0.08574506395660332,-0.25662380565501514,-1.3222625726797492,328,ANAPC7|PTN|SLC45A1|GMEB2|THRAP3|LPCAT4|IGSF9B|ARSA|GALNT2|ACTR1B|NPTXR|ASPHD1|CRELD2|PDE4B|PRKD1|SREBF2|R3HDM2|SORCS3|CUL3|NRBP2|DGKZ|PFDN5|RABL2B|MAN2A2|KCNB1|B9D1|AMBRA1|ZEB2-AS1|PLCL2|EPN2-AS1|UNC45A|RBM26|SPG7|PANK4|UBE2D2|SLCO4C1|LINC01239|TRIM9|TRPM6|GRAMD1B|ATXN7|FAHD2B|SF3B1|PEX10|ZNF440|CATSPER2|ZNF491|GMEB1|C12orf42|SHANK3|CLTA|ZNF536|MSANTD2|ATP2A2|PTGIS|RCCD1|MDK|PLCB2|BRD1|SLC38A7|PTPRF|PTK7|NGEF|TP53BP1|SIAE|SEC11A|NT5C2|WDR73|ZEB2|CUL9|PLEKHO1|SGCD|KCNG2|NOSIP|PUF60|CPEB1-AS1|LETM2|LRP1|SOX2-OT|PLK2|CNTN4|SUGP1|PIM3|MICU3|KCTD13|XRCC3|CPLX1|CPEB1|PPP1R13B|GRIN2A|FAM83H|MAU2|ELAC2|AKT3|DPP4|NAGA|GNE|PRKD3|GABBR2|ARHGAP44|SNHG21|PDE6B|ZNF707|ZSWIM6|TAOK2|ABCB1|PPIP5K1|DNAJC19|CTNND1|GLT8D1|DGKI|DNPH1|EGR1|ZNF823|MAP7D1|CACNA1C|ZFYVE21|MYL5|SRF|PSMD6|MORN1|KANSL1-AS1|GOLGA8A|GIGYF2|CTNNA2|ZSCAN2|PLCH2,L5 IT
REF_HALLMARK_OXPHOS,0.72374162381175,0.964988831749,0.008391433405311918,-0.1895792029665845,-0.9003564633870115,167,RHOT2|IDH2|ACADVL|AFG3L2|AIFM1|BAX|NNT|ETFA|MRPS15|SUCLA2|IMMT|SDHB|CYB5A|ACADM|NDUFS8|UQCRC1|CPT1A|NDUFB1|MTRR|RETSAT|NDUFV1|ISCU|TIMM17A|COX7A2L|MFN2|FH|PHYH|ETFDH|NDUFS6|TIMM13|SUCLG1,L5 IT
REF_REACTOME_TRANSLATION,1,1,0.006239573982394858,-0.12947327145188156,-0.6469176222337106,249,MRPL55|SEC11C|MRRF|HARS2|SEC61A2|MRPS15|MTFMT|RPN2|GFM1|AARS2|MRPS25|FARSB|MRPL48|MRPL33|MRPL32|EIF2B4|EIF3B|RPS26|EIF3D|RPS3A|LARS2|SEC11A|EIF3L|SRP54|RPL41|RPL21|AIMP2|RPS12|EEF1D|RPL6|RPS27A|MRPL36|EIF2B2|RPS4Y1|RPL23A|RPL10A|EIF2B3|RPS7|EIF3K|MRPS5|MRPS11|MRPL14|RPS6|RPL32|RPL24|WARS2|APEH|RPL7A|MRPL2|EIF3A|RPL12|MRPL3|MRPL19|SEC61B|IARS2|CHCHD1|RPL11|DDOST|RPS13|RPL10|MRPL54|MRPL24|OXA1L|MRPS26|RPL5|MRPL34|RPLP2|MRPL20|RPL19|RPL30|TSFM|RPS4X|RPL34|SRPRA|SEC61A1|AURKAIP1|MRPL57|MRPL13|RPL14|SPCS1|RPS25|MRPS23|EARS2|MRPL52|MRPL51|MRPS12|SSR1|RPS9|RPS24|SPCS3|RPS18|MRPL16|MRPS21|RPL22|DAP3|SRPRB|FARSA|RPL36AL|RPS23|EIF3H,L5 IT
PGC3_SCZ_GWAS_no_MHC,0.04431560168666883,0.08863120337333766,0.043168462280660555,0.24338358404697275,1.2473277924948623,267,MEF2C-AS1|CALN1|MIR137HG|UFM1|CTNNA1|JAM3|QPCT|SNAP91|RIMS1|FXR1|BBX|CSMD1|CACNB2|GPM6A|ADGRB3|CCDC92|ARL17A|EFNA5|BRINP2|LINC00862|FUT9|EXOC4|ZDHHC2|MFAP3|IMMP2L|RAB21|THOC7|MPHOSPH9|NDUFAF7|SLC12A6|NEK1|SLCO4C1|ZNF804A|KMT2E|RUNDC3B|NGEF|RERE|KANSL1|SORCS3|CNOT1|LINC01470|RBM26-AS1|FHIT|CNTN4|PCDH7|TRIM9|PRR12|ZBED4|FAM178B,L5_6 NP
PGC3_SCZ_GWAS_with_MHC,0.04431560168666883,0.08863120337333766,0.043168462280660555,0.24338358404697275,1.2473277924948623,267,MEF2C-AS1|CALN1|MIR137HG|UFM1|CTNNA1|JAM3|QPCT|SNAP91|RIMS1|FXR1|BBX|CSMD1|CACNB2|GPM6A|ADGRB3|CCDC92|ARL17A|EFNA5|BRINP2|LINC00862|FUT9|EXOC4|ZDHHC2|MFAP3|IMMP2L|RAB21|THOC7|MPHOSPH9|NDUFAF7|SLC12A6|NEK1|SLCO4C1|ZNF804A|KMT2E|RUNDC3B|NGEF|RERE|KANSL1|SORCS3|CNOT1|LINC01470|RBM26-AS1|FHIT|CNTN4|PCDH7|TRIM9|PRR12|ZBED4|FAM178B,L5_6 NP
