pathway,source,k_cells,mean_NES,sd_NES,p_fisher,n_pos_NES,n_neg_NES,n_sig_per_ct,padj_fisher,stouffer_Z,p_stouffer,padj_stouffer
GOCC_COPI_COATED_VESICLE,C5:GO:CC,18,-0.4151980933499182,0.9300501697841038,0.6596131016349488,6,12,0,0.8649493916871744,-1.970231334730882,0.04881186388789931,0.09580227358060488
GOCC_COPI_COATED_VESICLE_MEMBRANE,C5:GO:CC,17,0.04126027909910066,0.995695126198663,0.8546312333355776,9,8,0,0.9792239888482882,0.0042287030039336055,0.9966259932165686,0.9978018760087748
GOCC_COPI_VESICLE_COAT,C5:GO:CC,17,0.07373151161130582,1.0396859072196512,0.6097541618509126,10,7,0,0.8309654036975284,-0.31723051427212806,0.7510686977066081,0.8228717574514484
GOCC_CORE_MEDIATOR_COMPLEX,C5:GO:CC,19,0.08286201842316662,0.9355051861203321,0.9787577242269244,10,9,0,0.9999994617856818,0.4825414530128581,0.6294213583582624,0.7232757920225775
GOCC_CORNIFIED_ENVELOPE,C5:GO:CC,8,0.22765570680646838,1.1942158777055254,0.17213852374151864,5,3,0,0.36731542492706837,0.5167746444495084,0.6053134819427739,0.7028933193144584
GOCC_CORTICAL_ACTIN_CYTOSKELETON,C5:GO:CC,23,-0.6622839891070139,0.8419224588035038,0.2786655458216773,4,19,0,0.5150456857309171,-2.566703124208908,0.010267047237432868,0.0259892077402303
GOCC_CORTICAL_CYTOSKELETON,C5:GO:CC,23,-0.41764048247605784,1.0026880841923935,0.1492956829793945,7,16,0,0.3302886494259872,-1.8227820484825106,0.06833640765663647,0.12593753505640268
GOCC_COSTAMERE,C5:GO:CC,18,0.21677952343075238,1.109523433634846,0.19111711767606976,10,8,0,0.3953583644562089,1.437403816033584,0.150603285129713,0.24064032821479478
GOCC_CUL2_RING_UBIQUITIN_LIGASE_COMPLEX,C5:GO:CC,21,-0.9118337690054109,0.6699258268372584,0.09900897795332789,2,19,0,0.24465302852853632,-4.070497518842213,4.6912840812360885e-5,2.453927159479453e-4
GOCC_CUL3_RING_UBIQUITIN_LIGASE_COMPLEX,C5:GO:CC,22,-0.04029000699919929,0.9510656352769389,0.9805892444191551,11,11,0,0.9999994617856818,-0.4361131721349261,0.6627546207087232,0.7516271218224708
GOCC_CUL4A_RING_E3_UBIQUITIN_LIGASE_COMPLEX,C5:GO:CC,19,0.41874740159078094,0.8555824232081323,0.9534929487504716,14,5,0,0.9999994617856818,1.1176493636660847,0.2637167770642665,0.37595763047224257
GOCC_CUL4_RING_E3_UBIQUITIN_LIGASE_COMPLEX,C5:GO:CC,21,0.46136752383891344,0.8289243067025999,0.9602479229174474,16,5,0,0.9999994617856818,1.1969999290129225,0.23130658241793628,0.3389922030178045
GOCC_CUL5_RING_UBIQUITIN_LIGASE_COMPLEX,C5:GO:CC,13,-1.389350814259231,0.2331873693830016,3.9173319562144005e-5,0,13,0,3.905194796514408e-4,-5.999233669244027,1.982509002646922e-9,2.934190165351655e-8
GOCC_CULLIN_RING_UBIQUITIN_LIGASE_COMPLEX,C5:GO:CC,23,0.06012152822089546,0.9426653540193465,0.9780915550563498,12,11,0,0.9999994617856818,0.49356430569496096,0.6216139145078556,0.7170012785223521
GOCC_CUTICULAR_PLATE,C5:GO:CC,1,-0.742160454403011,NA,NA,0,1,0,NA,NA,NA,NA
GOCC_CYCLIN_DEPENDENT_PROTEIN_KINASE_HOLOENZYME_COMPLEX,C5:GO:CC,23,0.411659140384626,1.027553252401967,0.09662781777913274,16,7,0,0.23998264857861354,1.86568462442268,0.06208550208516662,0.11646941277927228
GOCC_CYTOCHROME_COMPLEX,C5:GO:CC,18,-0.6631608635284273,1.1084247977671557,2.666046978196477e-4,4,14,0,0.00205455103657785,-3.2604791352955522,0.0011122415007056444,0.00389106199765873
GOCC_CYTOLYTIC_GRANULE,C5:GO:CC,1,0.6602907826859512,NA,NA,1,0,0,NA,NA,NA,NA
GOCC_CYTOPLASMIC_DYNEIN_COMPLEX,C5:GO:CC,21,-0.8981582993144205,0.6186973944444862,0.26203832916446146,2,19,0,0.4931460620574155,-3.8236274142798607,1.3150258628550008e-4,6.068188830588303e-4
GOCC_CYTOPLASMIC_EXOSOME_RNASE_COMPLEX,C5:GO:CC,17,-0.7665656123260852,0.5150335201218305,0.9488677362011013,1,16,0,0.9999994617856818,-1.948602837216165,0.051342873054716645,0.09969629329236486
GOCC_CYTOPLASMIC_MICROTUBULE,C5:GO:CC,23,0.5652303049852616,1.0727127016825162,1.2296067511390963e-4,16,7,0,0.0010422316047113515,4.218167876214773,2.4629542119064098e-5,1.3922710078704108e-4
GOCC_CYTOPLASMIC_REGION,C5:GO:CC,23,0.3032388048339371,1.0289503430293392,0.09508723445311815,14,9,0,0.23739169974451232,2.5457093380692357,0.010905595270211529,0.02731585145247801
